source_id,field_dir,cand_type,ra,dec,score,max_event_depth,n_dip_events,asymmetry,period_power,secular_sigma,secular_total_mag,hr_class,W1_W2,K_W2,simbad_otype,ir_verdict,frac_confirmed,n_bands,dips_per_band,secular_confirmed,verdict
1465222840286511232,fp190p0p30p0,dipper,192.5716820739304,30.152966572454645,0.5622904548424387,0.136284391405919,1,1.7501620137615106,0.0276573994555619,,,main_sequence,0.0,0.116000175,,clean,0.125,3,"{'g': 1, 'r': 8, 'i': 3}",False,single_band_artifact
1499691670824605568,fp210p0p45p0,dipper,210.1048455022667,44.72700021780751,0.8045244906031692,0.4217605470657194,4,1.8374955018957704,0.0190841317019236,,,main_sequence,0.011000633,0.25300026,,clean,0.125,3,"{'g': 16, 'r': 16, 'i': 3}",False,single_band_artifact
629216200005110,fp215p0p30p0,dipper,215.1635811,29.1286845,0.4871112731003456,0.1151883830033051,1,1.5875631341265464,0.0198966943719848,,,main_sequence,-0.07499981,-0.09999943,,clean,0.0,3,"{'g': 4, 'r': 9, 'i': 1}",False,single_band_artifact
1626212100007497,fp220p0p25p0,dipper,219.24551225,24.2791769,0.5925117644783086,0.2089028280140938,1,1.5421214242587604,0.3667184032573901,2.382368484127296,-0.037762674714588,main_sequence,-0.027999878,0.001999855,,clean,0.0,2,"{'g': 0, 'r': 3}",False,single_band_artifact
1613211100007590,fp125p0p25p0,secular_fader,125.9146713,23.7495535,0.2557644829103786,0.0,0,1.4482363831991858,0.2370990002719083,7.055788262239248,0.0213712567375715,main_sequence,0.048999786,0.14299965,*,clean,,0,{},False,marginal_fade
1613211100007936,fp125p0p25p0,secular_fader,126.16555935,23.7209861,0.2524418273324208,0.0,0,0.5221038600919078,0.1585272422252639,7.114699001107879,0.0194418319433411,main_sequence,-0.05000019,0.020000458,,clean,,0,{},False,marginal_fade
1613211100007182,fp125p0p25p0,secular_fader,125.6157381,23.77956765,0.2274796054112059,0.0,0,1.207294945760175,0.2831936377813485,8.158990355258066,0.0261374293784292,main_sequence,-0.13000011,-0.09100056,,clean,,0,{},False,marginal_fade
1707210100000483,fp130p0p40p0,secular_fader,130.9944778,38.7164855,0.2588217042074753,0.0,0,1.202869866588124,0.1778349592927071,8.085500121182157,0.0220873378326537,main_sequence,-0.05700016,0.01099968,,clean,,0,{},False,marginal_fade
1707210100022232,fp130p0p40p0,secular_fader,130.61028155,38.75078495,0.2332793631687141,0.0,0,1.1311420797806482,0.2200024548523836,6.4089628222665045,0.0255356721700095,main_sequence,-0.024999619,-0.08199978,,clean,,0,{},False,marginal_fade
1707210100000302,fp130p0p40p0,secular_fader,130.6496289,38.7394769,0.217344949208169,0.0,0,1.0579089242089796,0.2275438658729863,8.564921545804953,0.0269536404688983,main_sequence,-0.05600071,0.040999413,,clean,,0,{},False,marginal_fade
1615207300004886,fp140p0p22p0,secular_fader,139.9124145,21.0702221,0.210573569484226,0.0,0,1.069058152987266,0.3118997323166996,7.876770672376581,0.0598255014787202,main_sequence,0.25699997,0.40299988,,ir_excess_dusty,,0,{},False,ir_excess_dusty
1664211200008108,fp145p0p32p0,secular_fader,144.7733196,30.8294965,0.2236043237335432,0.0,0,0.7078645458320761,0.2546522542215224,9.631366899503762,0.0741776094467845,main_sequence,-0.06400013,-0.07899952,,clean,,0,{},False,marginal_fade
711211300006656,fp148p0p42p0,secular_fader,147.2425665,40.712551,0.6614951369456739,0.2021304259639933,1,0.8733601520937279,0.0283495435144204,9.035112761297098,0.2336689783221453,main_sequence,-0.1069994,0.72900105,,ir_excess_dusty,,0,{},False,ir_excess_dusty
1616209200003938,fp152p0p25p0,secular_fader,151.0450624,23.8133944,0.2316576409761842,0.0,0,0.7754520702761452,0.2278078634127193,6.215597419511189,0.0381603167518865,main_sequence,-0.076999664,-0.29999924,,clean,,0,{},False,marginal_fade
1616209200016210,fp152p0p25p0,secular_fader,150.9881141,23.7302433,0.2012070477856969,0.0,0,0.8666257498582826,0.2854164650537719,6.344255971371049,0.0566591199770866,main_sequence,-0.08500004,-0.11199951,,clean,,0,{},True,marginal_fade
621215300001295,fp158p0p30p0,secular_fader,156.56074059999997,28.83874455,0.2720598849092633,0.0,0,0.793133272322273,0.0931337169691223,7.256374247571911,0.1412235059221014,main_sequence,0.031999588,0.13700008,,clean,,0,{},False,single_band_fade
1665205300000564,fp158p0p30p0,secular_fader,156.913431,28.70998595,0.2521935978153132,0.0,0,1.105363182461282,0.1804273104412121,6.566912318383374,0.0600937548488963,main_sequence,-0.1079998,-0.15100002,,clean,,0,{},False,marginal_fade
1666208100007423,fp158p0p30p0,secular_fader,158.65316105,28.85040015,0.235324347755716,0.0,0,1.1839533143994068,0.2523761703608279,6.662189843289668,0.0266345050457971,main_sequence,-0.09799957,-0.066999435,,clean,,0,{},False,marginal_fade
1567209100010294,fp160p0p18p0,secular_fader,160.4006448,16.9280769,0.2257209411327793,0.0,0,1.123500203470008,0.2722969035847369,7.714977620261274,0.033158340207321,main_sequence,-0.062000275,0.13599968,,clean,,0,{},False,marginal_fade
1568212200002025,fp160p0p18p0,secular_fader,160.769607,16.9306375,0.1654169140430896,0.0,0,1.0660040556869737,0.4618110976604291,5.422659382678409,0.0969965990028097,main_sequence,0.18600082,0.72000027,,ir_excess_dusty,,0,{},False,ir_excess_dusty
1753212300003021,fp168p0p46p0,secular_fader,169.1071376,44.7069183,0.1577345173952442,0.0,0,0.9651785952294916,0.4742182753491857,7.183450242768897,0.096471803504909,main_sequence,0.14799976,0.043999672,,clean,,0,{},False,single_band_fade
714209400006073,fp180p0p42p0,secular_fader,179.807262,40.7111183,0.2879632649236242,0.0,0,0.8246568727868346,0.040122450254586,7.461486383311437,0.1051078575174458,main_sequence,0.14799976,-0.10700035,,clean,,0,{},False,single_band_fade
1755213300002324,fp195p0p48p0,secular_fader,195.0062915,46.73942215,0.15,0.0,0,0.8670019679066732,0.5582668279379173,4.872876154182672,0.1697294191031028,main_sequence,0.20000076,0.4140005,,ir_excess_dusty,,0,{},False,ir_excess_dusty
579204200001760,fp205p0p18p0,secular_fader,205.1695571,16.7300095,0.5052135373346643,0.1033502494456374,4,1.5234025759630436,0.1668516297219229,6.014691936083472,0.1526427175624638,main_sequence,-0.1420002,0.012999535,,clean,,0,{},False,single_band_fade
1574205300005123,fp210p0p15p0,secular_fader,208.6849276,13.7811755,0.1362976136509571,0.0,0,0.823550928321607,0.5027822777878337,6.350839828416591,0.038858581191264,main_sequence,-0.17800045,-0.1430006,,clean,,0,{},False,marginal_fade
1794202200005591,fp210p0p50p0,secular_fader,208.80462405,48.71748795,0.1765743055973248,0.0,0,0.8756007121917624,0.4114189813422506,6.599459689821178,0.0273981744288865,main_sequence,-0.16900063,-0.026000023,,clean,,0,{},False,marginal_fade
1794202200005372,fp210p0p50p0,secular_fader,208.97423575,48.739513650000006,0.1662562417043445,0.0,0,1.3004050369933569,0.4720880333489324,12.643501012677373,0.0292423444596373,main_sequence,-0.17800045,-0.08500004,,clean,,0,{},False,marginal_fade
1794202200004470,fp210p0p50p0,secular_fader,208.32171205,48.83687,0.1505792430305835,0.0,0,1.026380936465167,0.4577363167561937,7.152742899074318,0.0169223448124067,main_sequence,-0.023999214,0.14800072,,clean,,0,{},False,marginal_fade
1794202200004271,fp210p0p50p0,secular_fader,208.3663052,48.8571909,0.0677392836255139,0.0,0,0.8601393730901442,0.563477748207181,5.172528392192989,0.1955330626834054,main_sequence,0.13400078,0.044000626,,clean,,0,{},False,single_band_fade
1525214400002695,fp225p0p12p0,secular_fader,225.0774872,10.7668626,0.17106425513879,0.0,0,0.7450661135537502,0.4297858162040333,5.819526019755706,0.024548975970906,main_sequence,-0.108000755,-0.11700058,,clean,,0,{},False,marginal_fade
