n_epochs,max_depth,n_dips,dip_duty_cycle,asymmetry,best_period_d,period_power,score,n_dip_events,out_of_dip_rms,source_id,ra,dec,g_mag,bp_rp,parallax,hr_class,resists_mundane,is_candidate
1304,0.2803882864531919,35,0.026840490797546013,0.9261708272735868,0.11771671909246123,0.01735535499066762,0.6733648220742283,34,0.0,718139839226763008,131.13089215308665,37.23688426186622,18.492231369018555,1.9284305572509766,0.5206758646266264,unknown,False,False
1030,0.19288014315036595,36,0.03495145631067961,0.8839599955730086,93.35672294754882,0.04176669075910372,0.669188793436908,31,0.0,710323514144118272,130.65811451612606,33.187669709674616,18.401399612426758,2.381938934326172,,unknown,False,False
940,0.16663847094383,23,0.02446808510638298,0.8408946110622598,0.9227755243133757,0.021504974745091193,0.667214756001535,23,0.0,710304989947621120,130.9338752512068,32.968635123069205,18.054346084594727,1.4747886657714844,0.7201958814208417,unknown,False,False
1307,0.2246063358585344,40,0.030604437643458302,0.9163464209008811,0.138766508037425,0.01831126393885073,0.666649477961202,35,0.0,910293991692660736,130.86215785833852,37.38118114664013,17.959251403808594,1.6100120544433594,0.666078233062259,unknown,False,False
1052,0.18816531924086333,32,0.030418250950570342,0.8555848329945731,1.6176692718239771,0.018317104006603246,0.6655367352677856,31,0.0,710407863004523264,130.7906787806788,33.55782110426753,17.83927345275879,0.8662929534912109,0.27494342283958045,unknown,False,False
1030,0.30082308595120566,36,0.03495145631067961,0.8972612774400507,0.7255901996632311,0.027100017143781605,0.6640128519997227,35,0.0,710434663600574592,130.8126415872667,33.944850164063915,18.48027229309082,2.370676040649414,1.0817466138868985,giant,False,False
221,0.14044229035117328,12,0.05429864253393665,0.9785051564250447,0.8625319903380313,0.07596899690250541,0.6622118257252412,11,0.0,710346329009767936,131.33680627864558,33.382709963064805,17.725475311279297,0.7546939849853516,0.2980382746389235,unknown,False,False
974,0.8054390061710291,42,0.043121149897330596,1.3071187838986893,0.21189166212386673,0.01962615675944144,0.6589678514346604,39,0.0,710272455573551232,129.95812906188087,32.951783964942784,17.73158073425293,0.8276081085205078,0.33368614480830633,unknown,False,False
968,0.37276565307086507,33,0.03409090909090909,0.9387468806653729,0.4992406078816004,0.05186461840948532,0.6584288190516168,30,0.01009916990375067,710723422841672192,128.64241350942143,33.42786115431404,18.297388076782227,2.2677764892578125,1.2983923714847112,giant,False,False
1041,0.2114195610940277,40,0.03842459173871278,0.8518729957599546,0.33359359939962885,0.028046059597702813,0.6573004678349749,36,0.0,710280530112130560,130.16990959757615,33.11587822624595,18.103281021118164,1.5419349670410156,0.20773533509994294,unknown,False,False
