source_id,ra,dec,dist_pc,phot_g_mean_mag,bp_rp,sep_now_pc,v_rel_kms,t_enc_myr,d_min_pc,abs_g,lum_class,dest_score,cross_yr_0.001c,cross_yr_0.01c,cross_yr_0.1c,known_planet_host,n_planets,has_temperate_planet,has_hycean_candidate,host_name
1019361632454363776,140.1836971614705,51.26549428582397,29.13654966586596,10.175136,1.609067,30.096627977269904,33.68590243839607,-0.5068670568046502,24.51291900540484,7.8529453921704135,main_sequence,0.6664676195644625,79950.44926036043,7995.044926036043,799.5044926036043,False,0,False,False,
3821241581596899200,145.9468487613185,-5.43094457308411,51.058286171277366,10.984588,1.6064987,25.993742595794057,49.96479361604966,-0.4516536776919466,11.9590756619466,7.444256834345953,main_sequence,0.6650654874911939,39005.288260466055,3900.528826046606,390.05288260466057,False,0,False,False,
3772463294418913664,153.3239260447348,-7.321001644095197,69.7158608420922,11.516018,1.6056805,38.39196129187084,32.611275691559,-1.010323611892127,18.39849696307116,7.299360028263596,main_sequence,0.6646186600683378,60007.87166916283,6000.787166916283,600.0787166916283,False,0,False,False,
3807826646385182976,163.16466663566115,0.4837383262045547,39.35498355071053,10.177057,1.6050138,8.034155137007586,11.79947906589961,-0.0841393709422848,7.969737408496914,7.202058323953704,main_sequence,0.6642545185945815,25993.80702705934,2599.3807027059343,259.9380702705934,False,0,False,False,
3904388128358205184,188.13882739221063,10.765775657015062,40.25612128270448,10.773553,1.6034584,10.918440137905526,20.107317439785607,-0.4361720947034933,6.22586881997826,7.7493933606828715,main_sequence,0.6634048106117912,20306.06836678981,2030.606836678981,203.06068366789808,False,0,False,False,
688430107330061056,136.32532947554864,25.296670400420613,28.77323623635509,9.978919,1.6029959,23.84263815127356,49.74720982184399,-0.2037498146110709,21.47122252021172,7.683975442973058,main_sequence,0.6631521029244063,70029.76211366731,7002.976211366731,700.2976211366731,False,0,False,False,
3645295115284892160,211.86854246832857,-3.6698545368419,53.27485836013592,11.030897,1.6026087,34.89009614317971,37.31784753851241,-0.718043933305912,21.594331532954072,7.398285481273227,main_sequence,0.6629405226836027,70431.29001308151,7043.129001308151,704.312900130815,False,0,False,False,
3824731809460825728,142.393910188964,-5.372591252423846,24.126596462619297,9.203399,1.6002216,22.024144345374243,47.769831927724255,-0.2425537154467554,18.5645511002994,7.290918698321563,main_sequence,0.661635803439966,60549.46783198669,6054.9467831986685,605.4946783198668,False,0,False,False,
5462158954004048000,152.5556112393027,-29.50388770963294,51.71440323566634,10.9365835,1.6000986,34.46545161834922,62.7581811957768,-0.0827902859536361,34.05335741953469,7.368525912712032,main_sequence,0.6615685604318342,111067.19782801575,11106.719782801574,1110.6719782801574,False,0,False,False,
3604851267979822336,201.7715434770315,-16.268034180326975,62.066062213674925,11.36893,1.5997362,39.40183978663883,28.471277919036783,-0.5281855387830361,36.27631277586881,7.404659037945041,main_sequence,0.6613704312218491,118317.50854725121,11831.750854725122,1183.1750854725121,False,0,False,False,
859102555665441408,172.4829107690302,59.50744556564169,31.363077297074373,15.575597,3.6009235,30.95733200331781,34.66148307417538,-0.0574554216679882,30.890260141441704,13.093503657940058,main_sequence,0.6610097320247478,100750.55424990912,10075.055424990913,1007.5055424990912,False,0,False,False,
3776429228564935296,160.92427271698105,-6.306298579216183,56.6227842566745,10.977319,1.5984831,23.64610879500025,20.03393703824792,-0.5983281171633041,20.220102549474163,7.212362896544763,main_sequence,0.660685248231027,65949.15450765264,6594.915450765264,659.4915450765263,False,0,False,False,
909612539297481600,123.56877556693811,40.76876299372725,34.395018901447244,10.262624,1.5982647,33.38795652848737,35.51795707638949,-0.042565136522637,33.352136654593714,7.580146237760085,main_sequence,0.6605658141563753,108780.12156527594,10878.012156527595,1087.8012156527593,False,0,False,False,
3566923923617986560,179.7478029143644,-19.012352061841757,24.655627178856346,15.230571,3.6068392,19.772630741558977,31.93353151998215,-0.3611293178008224,15.870009833043898,13.270990728014226,main_sequence,0.6577734549875689,51761.04957710001,5176.104957710002,517.6104957710002,False,0,False,False,
1586977737129182848,224.8772397438248,45.4484767398366,33.77293515427863,9.9927225,1.590395,35.39621373899141,17.217821321429522,-1.002395759274887,30.68113360280288,7.349878469266962,main_sequence,0.6562593094494595,100068.47470186545,10006.847470186543,1000.6847470186543,False,0,False,False,
