n_epochs,max_depth,n_dips,dip_duty_cycle,asymmetry,best_period_d,period_power,score,n_dip_events,out_of_dip_rms,max_event_depth,source_id,ra,dec,g_mag,bp_rp,parallax,hr_class,secular_slope_mag_yr,secular_sigma,secular_total_mag,secular_score,is_secular_fader,glint_max_brighten,glint_sigma,glint_events,glint_score,is_glint,resists_mundane,is_candidate,shared_epoch_frac
869,0.366495033469187,2,0.0023014959723820483,0.8212763269581139,0.1000277647468062,0.028422241135892656,0.2914733276592322,0,0.0,0.0,719207400006783,217.6318549,38.8651088,,,,unknown,-0.017695882075399304,2.720033629057594,-0.12499592307742441,0.0,False,0.7919427068322324,9.474810284699622,3,0.46077425531917543,False,False,False,0.9895833333333334
879,0.3633374388359206,4,0.004550625711035267,0.9405829744104935,0.1808153090919227,0.028480782563602043,0.2914557652309194,0,0.0,0.0,719207300015589,216.7388253,38.9328677,,,,unknown,-0.0050821202704811,0.8972353323978113,-0.03587080660231155,0.0,False,0.39480328004494747,5.402924323024428,2,0.21954562718981954,False,False,False,0.9898477157360406
831,0.34826866832341064,2,0.0024067388688327317,0.7347539569176799,0.8432506536075269,0.02850661114276281,0.2914480166571711,0,0.0,0.0,719207400020595,217.6765642,38.8014332,,,,unknown,-0.01387150644697881,2.7025628344939916,-0.09798362377397994,0.0,False,1.1266173855234967,12.998179775816622,6,0.0,False,False,False,0.9962546816479401
861,0.37597297250402106,7,0.008130081300813009,0.8815171180573946,0.14034877653311478,0.02888752194518494,0.29133374341644447,0,0.0,0.0,719207400007026,217.7246266,38.8399741,,,,unknown,-0.011728607181481656,1.3629242420958418,-0.08284690908343226,0.0,False,0.6464427725529134,7.5702651544118105,4,0.31223750066048894,False,False,False,1.0
714,0.3856738080041089,0,0.0,0.9698524950830095,0.14153246134294595,0.029342832700144886,0.2911971501899565,0,0.0,0.0,719207400006602,217.81165215,38.88751395,20.251365661621094,2.141267776489258,1.1203060028907432,unknown,-0.015169616295527082,2.62175088007813,-0.1070931320940385,0.0,False,1.0318277150405146,8.687804024227662,3,0.5691707203230355,True,False,False,1.0
877,0.379204191475629,8,0.009122006841505131,0.8289627903129408,0.11476775222058506,0.029596755941529003,0.29112097321754127,0,0.0,0.0,719207300006787,216.5969488,38.95915,,,,unknown,-0.0014074249396870116,0.2719613594120149,-0.009934376521692441,0.0,False,0.5812471654406637,8.095587363178472,3,0.3219871641418065,False,False,False,0.9822222222222222
931,0.24940988606060766,16,0.017185821697099892,0.9008702985785377,0.10739969377177155,0.029638703847158207,0.29110838884585255,0,0.0,0.0,719207300007075,216.8537887,38.9354635,,,,unknown,-0.00423078060784773,0.8131815216172215,-0.029861849953139636,0.0,False,0.35542021966756443,7.880710967345871,1,0.30070527526017976,False,False,False,0.9166666666666666
774,0.379850782566058,1,0.0012919896640826874,0.8134285925550216,0.997310000572692,0.02967967440233353,0.2910960976792999,0,0.0,0.0,719207300006696,216.72808055000002,38.96839675,,,,unknown,-0.014105685859549303,4.564619422347437,-0.09956298759915169,0.0,False,0.6925947910403139,6.825730674913236,5,0.0,False,False,False,1.0
937,0.2558830179666769,12,0.012806830309498399,0.833970695007996,1.035020056577356,0.029972948824105686,0.29100811535276827,0,0.0,0.0,719207300007067,216.8389052,38.9354832,,,,unknown,-0.00515308884310637,0.856992637627672,-0.036373325051732866,0.0,False,0.31767237181641206,7.07447685517137,1,0.281911496842757,False,False,False,0.9824561403508771
936,0.2868303054095235,5,0.005341880341880342,0.9222766718517269,1.4577271647606873,0.0300175107915501,0.29099474676253495,0,0.0,0.0,719207400006753,217.9461526,38.8691623,,,,unknown,-0.01031210451954319,1.3527919484904418,-0.0728722604951935,0.0,False,0.43207386815411497,7.3999173438062025,3,0.23391833651222388,False,False,False,0.9927536231884058
664,0.4193160478309942,3,0.004518072289156626,0.906951036209462,0.332283945806621,0.03047912033815126,0.2908562638985546,0,0.0,0.0,719207300026398,216.5820981,38.9707974,,,,unknown,-0.0002637787608479536,0.052651486760068256,-0.0018567729354419355,0.0,False,0.9237759893382449,8.411953637774902,4,0.4819361376493292,False,False,False,0.9958847736625515
677,0.41883418039400666,1,0.0014771048744460858,0.9634550402959448,0.11684606447706623,0.030801086186401674,0.2907596741440795,0,0.0,0.0,719207300015552,216.8424214,38.9397456,,,,unknown,-0.0035973610003060506,0.6041009711061397,-0.02542192331662985,0.0,False,0.6701996948430335,5.515553102771737,1,0.41841672413773756,False,False,False,0.996
815,0.3104208654966796,1,0.001226993865030675,0.8363000996006786,0.9968518038192998,0.03125859395642436,0.2906224218130727,0,0.0,0.0,719207300007114,216.578808,38.9291899,,,,unknown,-0.005321901038178223,1.1368105482366766,-0.037572195596396935,0.0,False,0.5782693405610131,6.403987567101619,5,0.0,False,False,False,1.0
959,0.25173992007234025,19,0.01981230448383733,0.920519819079575,0.49912197990708346,0.032226966539648065,0.29033191003810555,0,0.0,0.0,719207400007161,217.9547955,38.8257677,,,,unknown,-0.010010942377963862,1.4756875965719507,-0.07071365918292892,0.0,False,0.2953430520899607,6.122705130722316,0,0.0,False,False,False,0.967741935483871
697,0.41158321064513137,1,0.0014347202295552368,0.8721527239648764,0.9978961091544369,0.032947097435110456,0.2901158707694669,0,0.0,0.0,719207400006685,217.6978599,38.8760094,20.546491622924805,0.4796180725097656,-0.2730407887397192,unknown,-0.008647846090806205,1.2280032699123709,-0.061085457584851434,0.0,False,0.9287571987381344,7.571272406329947,2,0.5535734599347619,True,False,False,0.9962546816479401
738,0.37243394007943487,5,0.006775067750677507,0.8629379002169498,0.11169884427405993,0.03320613719042146,0.29003815884287354,0,0.0,0.0,719207300006737,216.6295948,38.963599349999996,,,,unknown,-0.003863909549876693,0.6495727661636381,-0.02728886719577503,0.0,False,0.9347978672996005,8.952022301940625,5,0.0,False,False,False,0.9922178988326849
794,0.36228436617655313,2,0.0025188916876574307,0.7905725437719907,0.12695409214029774,0.033263160654358706,0.2900210518036924,0,0.0,0.0,719207300006781,216.57387175,38.959104749999995,,,,unknown,-0.00909973788545061,2.167979903705489,-0.06420276774742792,0.0,False,0.9177699090209566,9.996266557934307,4,0.49962826402252786,False,False,False,1.0
910,0.31709825257929125,6,0.006593406593406593,0.8948395476851662,0.4912571489203414,0.033597426492879834,0.28992077205213607,0,0.0,0.0,719207400006748,217.79530725,38.8693287,,,,unknown,-0.005378391884928484,0.819064180923512,-0.038007331456053305,0.0,False,0.3206874167862297,4.5803942924165835,0,0.0,False,False,False,0.9836956521739131
751,0.411062619961752,3,0.0039946737683089215,0.8817976221046939,0.25520121208867147,0.033826741884763076,0.28985197743457103,0,0.0,0.0,719207300007284,216.8469502,38.9148322,,,,unknown,-0.01410840874407534,2.7627244027548588,-0.09958270114909702,0.0,False,0.8166306613579661,7.836001071655404,3,0.4530308683980527,False,False,False,1.0
764,0.4593335762883799,2,0.002617801047120419,0.8172435462457295,0.9972166270567029,0.033908650204980545,0.2898274049385058,0,0.0,0.0,719207400006635,217.63092275000002,38.8833951,,,,unknown,-0.008644595291061666,1.1471411590393843,-0.06101491834177667,0.0,False,1.4233312345024003,14.035793402970786,8,0.0,False,False,False,1.0
39,0.10788922674954227,3,0.07692307692307693,0.9045668368520641,0.9976067703960905,0.5524120899417585,0.28968075955079653,1,0.007178273693833092,0.10788922674954227,1718216300007319,216.8994649,38.9129355,,,,unknown,0.008810885947673465,1.5706919787622564,0.03477634718810141,0.1650252742458441,False,0.05080497434385656,4.787389747626393,0,0.0,False,False,False,0.0
814,0.45491060083680923,3,0.0036855036855036856,0.8052031263747355,0.20137862406106521,0.035079108130951865,0.28947626756071443,0,0.0,0.0,719207400006894,217.93537835,38.854257849999996,,,,unknown,-0.01286869085394802,1.923513757325744,-0.09085192797940701,0.0,False,0.7968398056007004,8.112729508755342,6,0.0,False,False,False,0.9962264150943396
703,0.4238829715209358,3,0.004267425320056899,0.8624280222359073,0.9973626311317563,0.03532580079412378,0.2894022597617628,0,0.0,0.0,719207300006928,216.5669646,38.9448254,,,,unknown,-0.0010625034059663755,0.24389142257353083,-0.007499481995879381,0.0,False,1.2563224262543868,11.248041256519134,5,0.0,False,False,False,0.9963898916967509
678,0.3825337280195499,0,0.0,0.9053617721665417,0.12113716246015398,0.03574578697154828,0.2892762639085355,0,0.0,0.0,719207400014532,217.8973067,38.841021549999994,,,,unknown,-0.00816948328339135,1.0821037974616845,-0.05759799368150273,0.0,False,0.9157813450740351,7.807444180318291,4,0.46930764339893066,False,False,False,1.0
675,0.4355656238953033,3,0.0044444444444444444,0.8536291541561047,0.9972352763831587,0.0359317751292642,0.28922046746122076,0,0.0,0.0,719207300007046,216.8715298,38.9380523,,,,unknown,-0.010524159239574782,1.5370290687723318,-0.07419936321021772,0.0,False,1.935158511272387,17.72375044480373,8,0.0,False,False,False,0.9962546816479401
822,0.3378697339276726,8,0.009732360097323601,0.8294565856841933,0.9919583283642234,0.03644847345930863,0.2890654579622074,0,0.0,0.0,719207300006437,216.61599855,38.9941751,,,,unknown,-0.007299218947145361,1.2951668628196065,-0.051519613323947035,0.0,False,0.9417985837538665,11.565062725072613,11,0.0,False,False,False,0.9893992932862191
547,0.481737387423848,2,0.003656307129798903,0.7832774506108882,0.9646269928549508,0.036500363297220256,0.2890498910108339,0,0.0,0.0,719207400007147,217.8785889,38.8268623,,,,unknown,-0.013160516702883845,1.9951965343610583,-0.09283655351686608,0.0,False,1.059851347798067,6.9854211722499,5,0.0,False,False,False,1.0
719,0.3625473425116974,0,0.0,0.7498974314738309,0.10351939374082458,0.036902434961388335,0.2889292695115835,0,0.0,0.0,719207300022261,216.7832309,38.9159814,,,,unknown,-0.010461133991141187,1.4724377201393812,-0.07383718456062531,0.0,False,1.33755285716282,12.263438056168303,5,0.0,False,False,False,1.0
761,0.39003162324445373,3,0.003942181340341655,0.9250156753446664,0.4985531689354093,0.0371316277097808,0.2888605116870657,0,0.0,0.0,719207400026801,217.832126,38.8563769,,,,unknown,-0.006430093601651885,1.0110411087761317,-0.045440164542803266,0.0,False,1.2489738205088146,12.307520922236069,1,0.697433612296481,True,False,False,0.9962406015037594
742,0.4516146451842227,3,0.004043126684636119,0.936852729274357,0.49870261225900536,0.03736474282308775,0.28879057715307366,0,0.0,0.0,719207400007156,217.9503996,38.82614675,,,,unknown,-0.007324082695417387,0.8801221959572194,-0.051736320589072946,0.0,False,1.2663393530326816,11.467253894547298,6,0.0,False,False,False,1.0
674,0.3862029907274752,1,0.001483679525222552,0.8202586723184897,36.31076933994048,0.03764427453670777,0.2887067176389877,0,0.0,0.0,719207400014390,217.8005805,38.855369350000004,20.18560791015625,2.1247119903564453,1.3127515196993982,unknown,-0.010515823728017645,1.29570604562004,-0.07462869294288578,0.0,False,1.2564314278417683,11.337518868419231,4,0.5645002515789231,True,False,False,1.0
970,0.1436393325171208,26,0.026804123711340205,0.9552255581357953,0.998166418377081,0.03966368943621678,0.28810089316913495,0,0.0,0.0,719207400006939,217.8831214,38.8498115,,,,unknown,-0.009115615835818805,1.6173555657154297,-0.06440334526541681,0.0,False,0.17484718330364402,7.774494653239211,0,0.0,False,False,False,0.75
654,0.4002086585789931,1,0.0015290519877675841,0.8557275953696956,1.5141462006813082,0.039684971918212485,0.2880945084245362,0,0.0,0.0,719207300007047,216.82190705,38.9374945,20.1939640045166,1.884408950805664,1.91181938376276,unknown,-0.0014467505762298933,0.3345879379739012,-0.010203617053311033,0.0,False,1.263725067180777,10.34936879833624,2,0.6313249173111499,True,False,False,1.0
970,0.08330854302481239,7,0.007216494845360825,1.091795918451839,0.4939644749958459,0.022513944621379945,0.2880776415820762,0,0.0035586433795400467,0.0,719207400006649,217.70148024999997,38.8812739,,,,unknown,-0.007482892260646894,0.9940761563047423,-0.05286788106544518,0.0,False,0.05979727865652129,5.331171330098387,0,0.0,False,False,False,
785,0.4096629618624772,4,0.005095541401273885,0.8417572195111668,0.9994068339766473,0.040555864990068774,0.2878332405029793,0,0.0,0.0,719207400014653,217.6375386,38.8279797,,,,unknown,-0.006224471712440546,1.7696875030271502,-0.04398678630296676,0.0,False,0.7899449730823918,7.9226092794646155,7,0.0,False,False,False,0.993006993006993
945,0.08357486536706871,18,0.01904761904761905,0.7919965003503829,0.4987382805493803,0.040902599802392976,0.2877292200592821,0,0.0,0.0,719207300007056,216.6997666,38.9352548,,,,unknown,-0.001652162827128421,0.27605473648228673,-0.011661615427230083,0.0,False,0.09120382588240616,4.629981774277656,0,0.0,False,False,False,
688,0.4310323372372814,2,0.0029069767441860465,0.872316638528077,1.0348403220498248,0.041370173263159865,0.28758894802105206,0,0.0,0.0,719207300007201,216.60007660000002,38.9207303,,,,unknown,-0.011016758700877234,2.0398142421622794,-0.07775872720605725,0.0,False,0.9535464409117531,7.845379840851811,4,0.49139350697045453,False,False,False,1.0
