source_id,vet_set,hip,ra,dec,ks_m,jk,pred_s09_jy,etz,nearby,pm_source,verdict,note,n_in_cone,wise_id,sep_arcsec,w1,w2,w3,e_w3,w3snr,w3rchi2,w4,e_w4,w4snr,cc_flags,ph_qual,ext_flg,resid_w3,sig_w3,resid_w4,sig_w4,nearest_wide_sep_arcsec,nearest_wide_cc_flags,nearest_wide_w1,artefact_region_plausible
3837746380705638656,missing,,142.28906890382422,-2.7508697899163823,5.137,0.556999683380127,0.5259614595108376,False,True,gaia_lookup,PHOTOSPHERE_PRESENT_AT_12_22_UM,,1.0,J092909.32-024503.0,0.07068714023974433,,4.9670000076293945,5.166999816894531,0.014000000432133675,76.80000305175781,0.9713,5.110000133514404,0.032999999821186066,32.9,hhh0,XAAA,0.0,-0.050754685170061146,-1.8849816696153479,-0.05880815343290316,-1.462003074043509,,,,
3022685626580347392,missing,,89.5900670199354,-4.651563226359424,5.166,0.4960002899169922,0.5140856915811954,False,True,gaia_lookup,PHOTOSPHERE_PRESENT_AT_12_22_UM,,1.0,J055821.62-043903.7,0.9281169682401517,5.228000164031982,5.021999835968018,5.120999813079834,0.014000000432133675,80.4000015258789,6.226,5.072999954223633,0.03099999949336052,35.3,0000,BAAA,1.0,0.031446938615150466,1.1679099704088711,0.014487616211855098,0.37532181084487404,,,,
6875884341845417216,missing,,305.2472708276594,-15.42867557739688,5.177,0.6510000228881836,0.5074726670482145,False,False,gaia_lookup,PHOTOSPHERE_PRESENT_AT_12_22_UM,,1.0,J202059.33-152543.0,0.07921363762920594,5.122000217437744,5.010000228881836,5.142000198364258,0.014000000432133675,79.80000305175781,1.043,5.072999954223633,0.03700000047683716,29.2,0000,BAAA,0.0,0.003147204615656936,0.12891452276896662,0.006949488330001891,0.16523000240409075,,,,
378607281314502016,iras_ul,,4.581543815043471,36.7850369465716,4.464,-0.1190004348754882,0.937606541266534,False,True,catalogue,PHOTOSPHERE_PRESENT_AT_12_22_UM,,1.0,J001819.60+364706.4,0.12284727878857633,4.315000057220459,4.072000026702881,4.355000019073486,0.014000000432133675,75.69999694824219,2.026,4.144000053405762,0.020999999716877937,51.1,0000,BBAA,0.0,0.16805403656497947,0.5788225802501494,0.315042237835303,1.0835154127814117,,,,
441416161501150848,iras_ul,,52.01294917356026,49.062754281296215,5.217,-0.0999999046325683,0.4729157265684368,False,False,catalogue,INCONCLUSIVE,,1.0,J032803.09+490346.1,0.13918029689073377,5.309999942779541,5.169000148773193,5.379000186920166,0.014999999664723873,73.0,0.9856,5.290999889373779,0.03400000184774399,32.3,0h00,BAAA,0.0,-0.1051893437184026,-4.413903371495644,-0.08123008114100362,-2.1617203919870165,,,,
250437313946591360,iras_ul,,59.1528146624188,50.69479996042314,4.286,-0.0529999732971191,1.1399692171690294,False,True,catalogue,PHOTOSPHERE_PRESENT_AT_12_22_UM,,1.0,J035636.63+504142.2,0.31713942353397734,4.283999919891357,3.9739999771118164,4.301000118255615,0.014999999664723873,71.30000305175781,2.778,4.24399995803833,0.023000000044703484,48.1,0h00,BBAA,0.0,0.03626188872169131,1.4504755605390882,0.02914860994562021,0.956334869739613,,,,
216718178536050176,iras_ul,,56.07975605974174,32.28820323631351,3.717,-0.1029999256134033,1.8800007662456009,False,False,catalogue,PHOTOSPHERE_PRESENT_AT_12_22_UM,,1.0,J034419.14+321717.8,0.24584799319001102,3.881999969482422,3.4639999866485596,3.9010000228881836,0.01600000075995922,66.9000015258789,1.018,3.869999885559082,0.028999999165534973,37.0,0000,BBAA,0.0,-0.12683499565636708,-0.5103703717882001,-0.15987127172370982,-0.640279526614294,,,,
3299587566928862976,iras_ul,,65.9658647128416,9.460976008216258,4.8,-0.0740003585815429,0.703076020825797,False,False,gaia_lookup,PHOTOSPHERE_PRESENT_AT_12_22_UM,,1.0,J042351.83+092739.4,0.3749568129464573,4.849999904632568,4.589000225067139,4.866000175476074,0.01600000075995922,68.19999694824219,2.093,4.738999843597412,0.02800000086426735,38.2,0000,BAAA,0.0,-0.01225885214057798,-0.5143999085954697,0.05066039211981882,1.546566775843625,,,,
3232262786334597888,iras_ul,,73.56290684709873,2.440677615718005,4.271,-0.0819997787475586,1.140087482770381,False,False,catalogue,PHOTOSPHERE_PRESENT_AT_12_22_UM,,1.0,J045415.09+022626.7,0.3031782526672857,4.26800012588501,3.9539999961853027,4.271999835968018,0.014000000432133675,80.19999694824219,3.371,4.218999862670898,0.02500000037252903,43.1,0000,BBAA,1.0,0.05368590305343018,0.17641139377746712,0.04261711194630107,0.1397162210224122,,,,
5564659825994306176,iras_ul,,107.21272288090462,-39.65562070198668,5.304,-0.0749998092651367,0.4417720142482824,False,False,catalogue,INCONCLUSIVE,,1.0,J070851.04-393919.9,0.3816601265069962,5.38100004196167,5.247000217437744,5.451000213623047,0.014999999664723873,74.4000015258789,5.858,5.368000030517578,0.032999999821186066,32.9,0000,BAAA,1.0,-0.093140894622448,-3.908332291707418,-0.07422025946806646,-2.0237708121857256,,,,
