mass,sensitivity_-2,sensitivity_-1,sensitivity_0,sensitivity_1,sensitivity_2,upper_limit
205.65123083486515,1.4991816017370194e-42,3.087461549220752e-42,6.614371500302892e-42,1.1545432270775015e-41,1.7059195501622135e-41,1.3363180855043043e-41
215.44346900318843,1.5625462734422066e-42,3.216190384337132e-42,6.890495092739029e-42,1.2028865511949538e-41,1.7780076247860264e-41,1.3981913743652186e-41
225.7019719633921,1.629172199072994e-42,3.3512078855382694e-42,7.1807128090581e-42,1.2536717195821982e-41,1.8537632021329252e-41,1.4630473524669154e-41
236.4489412645407,1.6992266000552785e-42,3.4928279390125645e-42,7.485743185979925e-42,1.3070228105398856e-41,1.93337300508589e-41,1.5310311786417032e-41
247.70763559917117,1.7728849572779472e-42,3.641379915881774e-42,7.806340248218126e-42,1.3630700421120322e-41,2.0170329347041662e-41,1.602294982158875e-41
259.5024211399737,1.8503313490594618e-42,3.7972093735292497e-42,8.143294981140989e-42,1.4219500348275948e-41,2.104948451036153e-41,1.6769981844446638e-41
271.858824273294,1.931758796135637e-42,3.960678782557864e-42,8.497436837593139e-42,1.4838060817246743e-41,2.1973349629223504e-41,1.7553078345304118e-41
284.8035868435802,2.0173696130397498e-42,4.132168279730914e-42,8.869635276656029e-42,1.5487884254383786e-41,2.2944182262587695e-41,1.8373989587319874e-41
298.364724028334,2.1073757651434672e-42,4.312076447184788e-42,9.260801331722548e-42,1.6170545420769674e-41,2.3964347500888036e-41,1.9234549250719966e-41
312.5715849688235,2.2019992305140438e-42,4.500821118145321e-42,9.671889204824006e-42,1.6887694315514842e-41,2.5036322097876444e-41,2.013667822970725e-41
327.4549162877732,2.301472365625265e-42,4.698840209306053e-42,1.0103897883683583e-41,1.7641059139582784e-41,2.6162698664863556e-41,2.1082388587422778e-41
343.0469286314919,2.4060382738275653e-42,4.906592579945373e-42,1.05578727774464e-41,1.8432449315418287e-41,2.7346189917576987e-41,2.207378767443353e-41
359.38136638046257,2.51595117534626e-42,5.124558917775257e-42,1.1034907366509747e-41,1.926375855689948e-41,2.8589632964532646e-41,2.311308241634624e-41
376.4935806792472,2.6314767774265762e-42,5.353242651410078e-42,1.1536144861264758e-41,2.0136967983278676e-41,2.9895993624349656e-41,2.420258377623601e-41
394.4206059437656,2.7528926430870105e-42,5.5931708892404294e-42,1.2062779863957088e-41,2.1054149269897468e-41,3.1268370757925993e-41,2.5344711397687784e-41
413.20124001153386,2.88048855677311e-42,5.844895384377313e-42,1.2616060027186872e-41,2.201746782749769e-41,3.271000059973387e-41,2.65419984343444e-41
432.87612810830615,3.0145668850257755e-42,6.108993525194812e-42,1.3197287701856724e-41,2.3029186000903245e-41,3.4224261070732856e-41,2.779709657194738e-41
453.4878508128582,3.155442930089768e-42,6.386069350868771e-42,1.3807821566632614e-41,2.409166627676877e-41,3.5814676053584807e-41,2.911278124892625e-41
475.0810162102798,3.303445274188365e-42,6.676754591140344e-42,1.4449078230165914e-41,2.520737448890826e-41,3.7484919608838046e-41,3.0491957081678615e-41
497.7023564332114,3.4589161119821015e-42,6.981709729375073e-42,1.5122533796497702e-41,2.637888300846909e-41,3.9238820108728926e-41,3.19376635007539e-41
521.4008287999684,3.6222115685112923e-42,7.301625087799549e-42,1.5829725383162123e-41,2.7608873904902045e-41,4.1080364263042117e-41,3.3453080604182357e-41
546.2277217684342,3.7937019996910304e-42,7.637221933601279e-42,1.6572252580599574e-41,2.8900142062293417e-41,4.301370100918025e-41,3.504153523427594e-41
572.236765935022,3.973772272196495e-42,7.989253604369233e-42,1.735177884050145e-41,3.0255598234136816e-41,4.5043145236271104e-41,3.6706507284215527e-41
599.4842503189408,4.162822019324819e-42,8.358506651116533e-42,1.8170032779713548e-41,3.167827201812142e-41,4.71731813105608e-41,3.8451636240805716e-41
628.029144183426,4.3612658691696865e-42,8.745801996891692e-42,1.9028809385267407e-41,3.317131473085291e-41,4.940846636686056e-41,4.0280727969742834e-41
657.9332246575682,4.5695336411872594e-42,9.151996108712992e-42,1.9929971105049215e-41,3.4738002160780886e-41,5.17538333280975e-41,4.2197761749754377e-41
689.2612104349695,4.7880705069630746e-42,9.577982180294235e-42,2.0875448807484158e-41,3.6381737175852333e-41,5.421429361228404e-41,4.4206897561952446e-41
722.0809018385471,5.0173371107233036e-42,1.0024691322717497e-41,2.1867242592497248e-41,3.8106052160569305e-41,5.679503948343042e-41,4.63124836406457e-41
756.463327554629,5.2578096448599634e-42,1.0493093759910863e-41,2.2907422434840936e-41,3.9914611255302357e-41,5.950144600003814e-41,4.851906429186598e-41
792.4828983539177,5.509979875468894e-42,1.0984200025443444e-41,2.3998128639727185e-41,4.181121236875479e-41,6.233907251191291e-41,5.083138798572724e-41
830.2175681319752,5.774355112622898e-42,1.1499062156801415e-41,2.5141572089499297e-41,4.3799788932510516e-41,6.531366365308939e-41,5.325441572862251e-41
869.7490026177834,6.051458119839263e-42,1.2038774882939984e-41,2.6340034258918813e-41,4.5884411364595714e-41,6.843114977569287e-41,5.579332972117411e-41
911.1627561154896,6.341826956930683e-42,1.2604476800510518e-41,2.759586697545656e-41,4.80692882069332e-41,7.169764676666472e-41,5.845354230764209e-41
954.5484566618348,6.646014750180049e-42,1.3197351533760118e-41,2.8911491899839055e-41,5.035876689953691e-41,7.511945518631552e-41,6.124070522235176e-41
1000.0,6.964589383528845e-42,1.3818628872666892e-41,3.0289399700955194e-41,5.275733415218747e-41,7.870305866486398e-41,6.416071913844915e-41
2000.0,1.3992501266203768e-41,2.7425801737908315e-41,6.061652185280578e-41,1.0553543224000672e-40,1.5760694248773276e-40,1.2844045573901662e-40
5000.0,3.519162765885851e-41,6.787188257739873e-41,1.516660606822516e-40,2.639072173523936e-40,3.946820304629665e-40,3.21494894241552e-40
10000.0,7.070321988269837e-41,1.3470517316144368e-40,3.035210064392524e-40,5.279183018269923e-40,7.903711638578298e-40,6.4358615814526615e-40
