source_id,ra,dec,ccd,sep_arcsec,g_n_epochs,g_n_seasons,g_baseline_yr,g_mag_med,g_slope_var_yr,g_slope_sigma,g_v_first,g_v_last,g_amp_first_mmag,g_amp_last_mmag,g_amp_growth,g_monotonic_frac,g_rank_rho,g_rank_p,g_slope_sigma_loo_min,g_frac_seasons_positive,g_score,r_n_epochs,r_n_seasons,r_baseline_yr,r_mag_med,r_slope_var_yr,r_slope_sigma,r_v_first,r_v_last,r_amp_first_mmag,r_amp_last_mmag,r_amp_growth,r_monotonic_frac,r_rank_rho,r_rank_p,r_slope_sigma_loo_min,r_frac_seasons_positive,r_score,is_candidate,n_bands_candidate,g_n_per_season,g_v_exc,r_n_per_season,r_v_exc
620115100001266_1664205100000317,150.258862,29.5414151,1664_0x5_0x1,0.01916419411306118,437,8,6.4783081889117184,15.977273700000001,-1.6630190132979951e-06,0.15385001825008293,-2.218410317925743e-05,-3.295765287142172e-05,0.0,0.0,inf,0.42857142857142855,0.2857142857142857,0.2503968253968254,-0.5423859140108953,0.375,0.0,99,4,6.511495566735102,15.484465125,2.6442334271414444e-05,0.4713074902742459,-9.986703117077853e-05,7.231211121166428e-05,0.0,8.50365281580006,inf,0.6666666666666666,-0.2,1.0,0.0,0.5,0.17083333333333334,False,0,"55,107,96,43,38,36,46,16","-5.90832e-06,-2.88443e-05,-1.89591e-05,-8.00048e-05,7.14248e-06,8.73981e-05,-9.29718e-05,0.00016866","18,19,38,14","0.000679147,-0.000208357,-1.30701e-05,0.000142521"
620115100004679_1664205100000680,150.2766208,29.4921991,1664_0x5_0x1,0.08116297762756043,143,6,6.2690622543463395,21.15214155,-0.001546777304507,0.20232337217903315,0.008377858249003632,-0.0013189849665607746,91.53064103896374,0.0,0.0,0.8,0.08571428571428572,0.4597222222222222,-1.055160376885666,0.6666666666666666,0.0,63,4,6.661691066392899,19.785043225000003,0.0015279429977848359,0.4196251198449623,-0.0003380698185086601,0.009840614399792167,0.0,99.19987096661046,inf,0.6666666666666666,0.4,0.375,0.026808054142598008,0.75,0.17083333333333334,False,0,"25,41,37,8,12,13","0.0370457,0.0190254,-0.00975402,-0.0132628,0.168118,0.0218428","12,16,18,10","0.00860956,-0.00302612,0.00298045,0.0283223"
620115200000759_667202300028284,149.4789121,29.6711504,667_0x2_0x3,0.04935825901235643,88,4,3.0989029742641887,21.308008200000003,0.0053694072474713885,0.38924804404963614,-0.01360400270906371,0.0030352693801610677,0.0,55.09327890188664,inf,0.6666666666666666,-0.2,1.0,0.0,0.25,0.17083333333333334,184,7,6.0807562045174555,21.0333767,0.004992627702426861,0.7061965049696639,-0.006251220019519719,0.024107731858858145,0.0,155.26664760616862,inf,0.6666666666666666,0.21428571428571427,0.33075396825396824,0.22907392733629658,0.7142857142857143,0.17083333333333334,False,0,"15,23,27,8","-0.0188516,-0.0136899,0.029348,-0.0205392","25,45,41,19,17,16,19","0.0381107,-0.00567393,-0.00491404,0.00922269,0.0279911,0.021279,0.03627"
620115100008168_1664205100017697,150.4153238,29.481159650000002,1664_0x5_0x1,0.0018883377438462738,314,8,6.520709686516099,20.275632875,-0.00015181380485737396,0.09455615935779771,0.0008160354482278834,-0.00017389829965245988,28.566334175527025,0.0,0.0,0.42857142857142855,-0.2619047619047619,1.0,-0.5937195716904603,0.625,0.0,91,4,6.568981497193697,18.8871398,0.0003660015322435141,0.5685464530496072,-0.001698581390319621,0.0007056759029325653,0.0,26.564561034065015,inf,0.6666666666666666,0.4,0.375,0.0,0.5,0.17083333333333334,False,0,"35,77,76,31,28,28,28,11","0.0133,-0.0033371,-0.00112302,0.00456528,0.0116909,0.00680269,-0.0067155,0.00439562","16,19,32,14","-0.00389332,0.000962965,0.00219583,-0.000490521"
620115200005289_1664205200000565,149.46914750000002,29.526173749999998,1664_0x5_0x2,0.005661988722896209,210,7,6.0192752933607325,20.8405361,0.003100394371177482,0.8070453877878073,-0.013854655639957743,0.004807471598145558,0.0,69.33593295071148,inf,0.5,0.5714285714285714,0.1,0.5365057929184704,0.2857142857142857,0.15,73,4,6.568981497193697,19.663922325,0.0021635460877240417,1.0772314846278737,-0.011297372077474463,0.0029149221411105784,0.0,53.99001890266921,inf,0.6666666666666666,0.8,0.16666666666666666,0.7384191555672569,0.25,0.17083333333333334,False,0,"22,46,57,26,15,20,18","-0.00763124,-0.0113838,-0.00851276,-0.0101741,-0.00807308,0.00820541,0.00692605","16,16,22,12","-0.00992437,-0.0107517,-0.00185679,0.011315"
620115100001225_1664205100006487,150.2416112,29.5518235,1664_0x5_0x1,0.03905384342673395,367,8,6.519497553593444,19.9068289,0.00145713354646618,1.8001450788528461,-0.0062710801605783744,0.003228698430866826,0.0,56.82163699566237,inf,0.7142857142857143,0.7142857142857143,0.028794642857142855,1.218761671008569,0.375,0.2398660163839187,79,4,6.568986820807658,19.451035025,0.0025000322522353816,0.9587027560163076,-0.001975239310382049,0.014447439606146258,0.0,120.1975024954606,inf,0.6666666666666666,0.8,0.16666666666666666,0.496030891524594,0.75,0.17083333333333334,False,0,"50,95,85,30,36,29,34,8","-0.00795006,-0.0050695,-0.000340034,-0.0038567,0.000415234,0.00188431,0.00232051,-0.00109885","16,19,24,13","0.00165774,-0.00206812,0.00821417,0.0252276"
620115100001180_1664205100000144,150.2342029,29.56363215,1664_0x5_0x1,0.003450168528516667,164,7,6.1120945668719875,21.142204300000003,0.001729677423187868,0.3790658296414292,-0.007773570798036507,0.0027983811826712,0.0,52.89972762379028,inf,0.5,0.21428571428571427,0.33075396825396824,0.13307364808530106,0.5714285714285714,0.15,68,4,6.544386138261458,19.733943475,0.0019180146767782474,0.7311896515306041,-0.008918445044694813,0.003633783618994779,0.0,60.280872745795406,inf,0.6666666666666666,0.8,0.16666666666666666,0.2656996902917013,0.25,0.17083333333333334,False,0,"24,38,44,16,14,11,13","-0.0116441,-0.0132218,0.0044302,0.0533512,0.0299266,-0.0337364,0.00682162","15,16,18,11","-0.0114181,-0.00309984,-0.00452328,0.0150092"
620115200005406_1665208200009859,150.0009104,29.5111346,1665_0x8_0x2,0.031280520015786475,363,8,6.442681810266935,19.937003150000002,-0.0001169610524250089,0.1436724542866546,-0.0016012294359891086,-0.002354772280957391,0.0,0.0,inf,0.7142857142857143,-0.21428571428571427,1.0,-0.24321851138507813,0.125,0.0,76,6,6.672515891581092,19.068417099999998,0.0003990460397788657,0.3687128224615664,-0.001051077393165177,0.0016115636487318054,0.0,40.14428538075881,inf,0.4,0.7142857142857143,0.06805555555555555,0.1821173192088411,0.6666666666666666,0.1694992485803214,False,0,"42,89,87,35,31,31,34,12","-0.000829687,-0.00226537,-0.00255168,0.000686412,-0.00393358,-0.000797643,-0.00176831,-0.00327992","15,14,8,10,21,8","0.000896235,-0.000563831,-0.00505972,0.00202317,0.0019772,0.00238561"
620115100001064_620215100001902,150.5661434,29.5971671,620_0xf_0x1,0.018956192189528067,337,8,6.470180764681739,20.2684264,0.0009308288461626342,0.6900265997795908,-0.006798302373304355,-0.0007756714776519817,0.0,0.0,inf,0.42857142857142855,0.047619047619047616,0.46743551587301585,0.0,0.125,0.15,558,8,6.686825392333999,19.75774095,0.0006749626132849621,0.8040183459996318,-0.005836842283661234,-0.0013234851422712366,0.0,0.0,inf,0.5714285714285714,0.5476190476190477,0.08549107142857143,0.38046220570935524,0.25,0.16687114943201556,False,0,"39,83,78,32,28,31,34,10","-0.0151338,-0.00119812,-0.0026705,-0.00329454,-0.00807166,-0.00393825,0.004911,-0.00905907","52,102,119,51,86,75,54,18","-0.00833886,-0.00476373,-0.00252035,-0.00825291,0.00105469,-0.00272544,-0.00512112,0.00141515"
620115200004700_620215200013833,149.5924186,29.6394655,620_0xf_0x2,0.08390774010519422,138,7,6.25802548336755,21.100172,-0.0019529884588988153,0.30279227135904324,0.011082926312459631,-0.001138925232051875,105.2754782105483,0.0,0.0,0.3333333333333333,0.42857142857142855,0.1767857142857143,-0.5745394182200853,0.7142857142857143,0.0,327,8,6.869239881998619,20.417695525,0.0011134216705705469,0.44667908407465373,-0.007115355318492782,0.0005330052264719467,0.0,23.086905952767832,inf,0.5714285714285714,0.5476190476190477,0.08549107142857143,0.15405822525726434,0.375,0.16687114943201556,False,0,"23,43,31,12,11,9,9","0.00415673,0.0174707,0.0171409,-0.0255104,-0.0132052,0.0180884,0.0451804","36,73,77,24,47,34,26,10","-0.00437528,-0.00266779,-0.00417029,-0.0181293,-0.0115598,0.0295052,0.000227259,0.012723"
667102300006970_620215200007617,149.75466805,29.69155315,620_0xf_0x2,0.06355108313941348,230,7,6.213044496372377,20.866736449999998,-0.0017785330166000604,0.6661595667394316,-0.000792366778046255,-0.011842471548449822,0.0,0.0,inf,0.5,-0.39285714285714285,1.0,-1.1130051741822313,0.2857142857142857,0.0,480,8,6.518540224777554,20.0363483,0.0008844251535162991,0.678103659589541,-0.004348634730595494,0.001416526208405564,0.0,37.636766710300236,inf,0.42857142857142855,0.5714285714285714,0.0755704365079365,0.4743716603845298,0.375,0.1641922747417261,False,0,"36,55,62,18,16,16,24","-0.0110979,0.00457063,-0.00237793,0.0938924,-0.028434,-0.00303294,-0.0132155","45,93,99,45,71,63,45,19","-0.0056037,-0.00097672,-0.00476,-0.00538863,0.00763945,0.00178247,-0.00289215,0.00131175"
667102300006779_667202300007074,149.46238905,29.73631125,667_0x2_0x3,0.021875784040370817,402,8,6.4606589221081485,19.770196900000002,7.48795580930545e-05,0.09583703357899796,-0.0026155833349740666,-0.0021318120498966587,0.0,0.0,inf,0.42857142857142855,-0.09523809523809523,1.0,0.0,0.125,0.15,719,8,6.507090621765916,19.450860975,0.0005975729045627373,1.2255114355353316,-0.0034191239850390387,0.000469337058062568,0.0,21.664188377656064,inf,0.42857142857142855,0.5714285714285714,0.0755704365079365,0.9281360296435379,0.25,0.1641922747417261,False,0,"43,83,105,38,36,38,44,15","-0.00153454,-0.00234622,-0.00198792,-0.00644946,0,-0.00458068,0.00194562,-0.00477538","63,127,137,98,116,104,56,18","-0.00325204,-0.00144851,-0.00354884,-0.00426319,0.00130847,0.00232664,-0.000674235,-0.000689438"
620115200008541_620215200007717,149.9769653,29.6808027,620_0xf_0x2,0.050660372234859856,179,7,6.3060829247091075,21.005617100000002,0.007561304684971697,1.316930496193316,-0.005757032359735557,0.04192518200268744,0.0,204.75639673203727,inf,0.5,0.6071428571428571,0.08333333333333333,0.5498020538673682,0.8571428571428571,0.15923781203888956,271,8,6.487972548665311,20.61561155,0.0015867784147928035,0.47897729066729067,-0.008870102357221066,0.0014248724387692993,0.0,37.74748254876475,inf,0.42857142857142855,0.5714285714285714,0.0755704365079365,0.24704672942632383,0.25,0.1641922747417261,False,0,"22,57,48,14,14,11,10","-0.0227526,0.00713501,0.0309199,0.00453437,0.0450843,0.0366022,0.0194436","30,56,66,21,42,28,20,8","-0.00313147,-0.00348849,-0.00722667,-0.0204998,-0.00720802,0.0148408,-0.00174846,0.0157465"
667102300003394_667202300007638,149.4433438,29.6734941,667_0x2_0x3,0.05035120807782234,464,8,6.4782951490759615,16.4214096,-1.2064716260433007e-05,0.8813317930012549,4.9945197205572066e-05,-2.821359561936896e-05,7.067191606683101,0.0,0.0,0.5714285714285714,-0.2857142857142857,1.0,-1.7214000933634885,0.5,0.0,839,8,6.801001121971249,15.9526491,2.7938460040033184e-05,2.0178278338923086,-3.407923355918516e-05,0.00015593026451922944,0.0,12.487204031296574,inf,0.42857142857142855,0.5714285714285714,0.0755704365079365,1.316046538218211,0.75,0.1641922747417261,False,0,"53,97,107,44,55,41,48,18","-4.61339e-05,0.000114932,1.4496e-05,0.000140022,-3.35647e-05,2.98967e-05,-1.57427e-05,-0.000137157","75,135,149,126,134,125,68,27","-2.61764e-05,-6.2352e-05,5.29951e-05,0.0001467,7.76704e-05,0.000207731,6.88099e-05,6.79628e-05"
620115200001243_1665208200000289,149.8699608,29.5657657,1665_0x8_0x2,0.027054730281470388,435,8,6.4701857713894695,16.911663075,2.2629824456550065e-07,0.010572808873797043,5.188523300265028e-05,5.33494246847284e-05,7.2031404958289045,7.304069049833004,1.0140117430810276,0.42857142857142855,-0.14285714285714285,1.0,0.0,0.75,0.0,85,6,6.6096217393566,15.660176024999998,3.5124012704759124e-05,0.990891346136158,-3.2893656603409744e-05,0.00019926278134340357,0.0,14.116046944644367,inf,0.6,0.4857142857142857,0.17777777777777778,0.04814637690457048,0.5,0.16249999999999998,False,0,"53,107,96,44,39,34,46,16","0.000294564,-2.33348e-07,6.2075e-05,0.000146817,2.81962e-05,-1.22433e-05,0.000350095,2.38225e-05","17,14,10,10,25,9","-3.653e-05,0.000186083,-0.000147221,3.27631e-05,-8.55109e-06,0.000386248"
620115100007947_1665208200000792,150.4126455,29.5343702,1665_0x8_0x2,0.03993452746771842,347,8,6.487907651471616,20.126593575,0.0007562874053015328,0.6067537818885989,-0.0056769335993280875,-0.0007702107557606575,0.0,0.0,inf,0.5714285714285714,0.16666666666666666,0.35166170634920635,0.0,0.375,0.15892857142857142,82,6,6.6096217393566,18.55339145,0.00025653181367542776,0.42857098887267314,-0.001241991377825778,0.00045358687467990594,0.0,21.297579080259474,inf,0.6,0.4857142857142857,0.17777777777777778,0.03268629214823751,0.3333333333333333,0.16249999999999998,False,0,"41,84,84,34,32,28,31,12","-0.0106673,-0.00257306,-0.00494932,0.000462903,0.00694045,-0.0112971,0.0109434,-0.00603601","17,14,8,10,24,9","-0.000730846,-6.7518e-07,-0.00267839,-0.00135453,0.00813276,0.00346095"
620115100001345_1665208200009902,150.3251306,29.5172828,1665_0x8_0x2,0.03466271846365863,417,8,6.479668859548262,19.181035975,-0.0002934427306960913,1.156463592380761,-6.877044764870027e-05,-0.0019701821718009697,0.0,0.0,inf,0.5714285714285714,-0.6428571428571429,1.0,-1.4662071341126288,0.125,0.0,80,6,6.633045161806975,18.691219775,0.0001317497132029501,0.25817760091795594,-0.0014321855599851443,-0.0005582837622548595,0.0,0.0,inf,0.6,0.42857142857142855,0.20972222222222223,0.0,0.16666666666666666,0.16249999999999998,False,0,"52,104,92,40,38,35,43,13","-0.00108331,-0.00033541,-0.000559447,0.00153003,-0.0018643,-0.000922627,-0.00226806,-0.00295284","16,14,8,10,23,8","-0.00137419,-0.00162113,0.00814698,-0.00149661,-0.00137419,-5.41418e-05"
620115100001141_1665208200000363,150.4183059,29.5757674,1665_0x8_0x2,0.031400689364805764,429,8,6.478309456399731,19.0942612,-0.00016325310485632233,0.7492830497003518,-0.0005459044784834842,-0.001603508611460814,0.0,0.0,inf,0.5714285714285714,-0.6904761904761905,1.0,-0.8233027893447694,0.125,0.0,84,6,6.609615734428461,18.34777305,6.226742625344749e-05,0.14996449343786278,-0.00045682359832163814,-4.5259838014487794e-05,0.0,0.0,inf,0.6,0.2571428571428571,0.32916666666666666,0.0,0.3333333333333333,0.16249999999999998,False,0,"54,106,95,43,34,33,45,16","-0.000813558,-0.000687727,-0.00137315,0.00265647,-0.00169408,-0.00107921,-0.001637,-0.00190834","17,14,10,10,25,8","-0.000487027,0.00164658,-0.00222994,-0.000181336,-0.000793217,0.00279653"
667102400011905_620215100034320,150.2305751,29.6751014,620_0xf_0x1,0.16281100709221308,103,4,4.348252655304597,20.941106775,-0.002726622361640668,0.28122747867833936,0.002999414957467809,-0.008856627966549117,54.76691480691431,0.0,0.0,0.3333333333333333,0.4,0.375,-0.5132436696946112,0.75,0.0,135,6,6.115021928268318,20.42408085,0.004016780835110394,0.8010702884527857,-0.0009830047447243456,0.023579698143023638,0.0,153.5568238243538,inf,0.6,0.5428571428571428,0.1486111111111111,0.04485968297636419,0.8333333333333334,0.16249999999999998,False,0,"18,25,31,8","0.000247863,0.0231071,-0.00992013,0.119853","14,27,33,19,16,19","0.0147255,-0.0106322,0.0242069,0.0276387,0.00710725,0.0613498"
667102300002921_667202300014096,149.4477755,29.7860383,667_0x2_0x3,0.020922295590749502,345,8,6.465938553456545,20.2417259,0.0009244286938684435,0.6790740397012932,-0.007761579291614089,-0.0017842801600086418,0.0,0.0,inf,0.42857142857142855,0.5714285714285714,0.0755704365079365,0.2322763809172971,0.125,0.1641922747417261,824,8,6.806489514579053,18.65787505,0.00012605895964036326,0.8171238717814071,-0.0009472707480764786,-8.925176106560208e-05,0.0,0.0,inf,0.5714285714285714,0.5238095238095238,0.09831349206349206,0.4269678372996324,0.125,0.15979037381806505,False,0,"43,76,91,33,24,33,33,12","-0.0119138,-0.00396099,-0.00476127,-0.0102708,0.0112156,-0.00167852,-0.00465754,-0.00371206","74,135,149,119,133,123,65,25","-0.00129235,-0.000234884,-0.000406269,-0.00190625,0.000493892,-0.00062998,-0.000145589,-3.86612e-05"
620115200000885_620215200001626,149.5841469,29.642204200000002,620_0xf_0x2,0.06737571810290242,240,7,6.124228426694034,20.6598911,0.001109869403692219,0.31350127682462126,0.005060544509392029,0.011857638261401873,71.13750423926909,108.89278333021832,1.530736627531384,0.6666666666666666,0.42857142857142855,0.1767857142857143,0.0,0.8571428571428571,0.04119244752727898,654,8,6.859672123340192,19.246798025000004,0.0005826716540946676,1.4475439719716265,-0.0016166193590498093,0.002380317143603901,0.0,48.78849396736797,inf,0.5714285714285714,0.5238095238095238,0.09831349206349206,1.0679451740720014,0.625,0.15979037381806505,False,0,"38,65,61,17,20,18,20","0.00069318,0.0100241,0.0101655,0.0390168,-0.0134332,0.0299397,0.0258231","64,115,126,62,109,91,61,24","-0.00180664,-0.0012205,0.000336079,-0.00266668,0.00354003,0.00461332,0.000948664,0.000268246"
620115200001616_620215200002864,149.8546361,29.4789461,620_0xf_0x2,0.010962363395331336,405,8,6.4688243878165705,19.465344424999998,-0.00036825517604211974,0.8649933557628902,0.0014069145844433516,-0.0009752634792775971,37.5088600792313,0.0,0.0,0.5714285714285714,-0.5,1.0,-1.1997898356525436,0.5,0.0,735,8,6.865162449007523,18.057805525,8.587145735863963e-06,0.12414975716377648,-6.815319604334417e-05,-9.20104559333581e-06,0.0,0.0,inf,0.5714285714285714,0.2619047619047619,0.26820436507936507,0.0,0.375,0.15892857142857142,False,0,"48,100,92,38,34,32,45,16","0.00623187,0.000957722,-0.000856159,0.00199447,-0.000852063,-7.23866e-05,0.000969776,-0.00225552","66,124,134,84,122,103,73,29","0.000194743,-1.35177e-05,-2.19071e-05,-0.000403258,-0.000163126,-0.000108777,0.000274683,0.000819034"
