source_id,spt,spt_num,w1_n_epochs,w1_chi2_red,w1_amp_mag,w1_mean_mag,w1_duty_cycle_high,w1_two_state_sep_mag,w1_parity_frac,w1_parity_z,w1_mean_n_exp,w2_n_epochs,w2_chi2_red,w2_amp_mag,w2_mean_mag,w2_duty_cycle_high,w2_two_state_sep_mag,w2_parity_frac,w2_parity_z,w2_mean_n_exp,w2_chi2_threshold,w1_w2_mean,w1_w2_expected,colour_identity_ok,pm_known,duty_cycle_veto,duty_cycle_candidate,duty_cycle_flag,status
WISE J111838.70+312537.9,T8.5,28.5,12,3.070081667306147,0.39499998092651367,16.21688623198022,0.25,0.22661119037204358,0.027818256109848897,0.9101054122953118,4.75,12,1.4765149056307736,0.13950014114379883,13.34355901428768,0.5,0.07341678937276086,0.10067656177637137,0.8169714844423136,4.75,10.145520425155123,2.8733272176925393,2.8,True,True,,False,False,TESTED
WISEPC J112254.73+255021.5,T6,26.0,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,1.9,True,True,,False,False,NO_EPOCHS
WISE J112438.12-042149.7,T7,27.0,18,3.162126426437352,0.35050010681152166,16.161482735905725,0.3888888888888889,0.16046115330287236,0.0018784930633024399,0.21680715578955576,7.055555555555555,18,3.485693132736057,0.2785000801086426,14.058440119129651,0.4444444444444444,0.10691263675689733,0.06496161320436854,1.1388178002978295,6.944444444444445,10.145520425155123,2.103042616776074,2.2,True,True,,False,False,TESTED
WISE J113949.24-332425.1,T7,27.0,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,2.2,True,True,,False,False,NO_EPOCHS
WISEA J114156.67-332635.5,Y0,30.0,2,0.4573027131413747,0.07550048828125,16.29663488709833,0.5,0.07550048828125,,,4.0,2,8.97881784066107,0.3574995994567889,14.7517297917342,0.5,0.3574995994567889,,,4.0,10.145520425155123,1.5449050953641326,3.5,False,True,,False,False,TOO_FEW_EPOCHS
WISE J114340.22+443123.8,T8.5,28.5,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,2.8,True,True,,False,False,NO_EPOCHS
WISEP J115013.88+630240.7,T8,28.0,18,3.197784998857432,0.4205002784729004,16.27909178787909,0.16666666666666666,0.18769985834757463,0.08637762289937295,1.5083517705039793,7.166666666666667,18,1.9894588640588813,0.14600038528442383,13.430553419475247,0.5555555555555556,0.04961247444152761,0.02033335083663207,0.5218992019229344,7.055555555555555,10.145520425155123,2.848538368403842,2.6,True,True,,False,False,TESTED
ULAS J115239.94+113407.6,T8.5,28.5,2,3.6737508825704417,0.0800008773803711,16.16916677576349,0.5,0.0800008773803711,,,4.5,2,14.68158164736523,0.4024996757507324,14.661655636356016,0.5,0.4024996757507324,,,4.5,10.145520425155123,1.5075111394074732,2.8,False,True,,False,False,TOO_FEW_EPOCHS
WISE J120604.38+840110.6,Y0,30.0,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,3.5,True,True,,False,False,NO_EPOCHS
2MASSI J1217110-031113,T7.5,27.5,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,2.4000000000000004,True,False,,False,False,NO_EPOCHS
WISEPC J121756.91+162640.2AB,T9,29.0,9,2.086457459971611,0.2284994125366211,16.3881607226374,0.6666666666666666,0.1369164784749337,0.16410886393652688,1.086274518262957,4.555555555555555,9,19.924448229225284,0.17849969863891602,13.084083145045446,0.4444444444444444,0.10150001049041713,4.953349165885656e-08,0.0008100878224396059,4.222222222222222,10.145520425155123,3.304077577591956,3.0,True,True,detection_limited_series,True,False,TESTED
WISEA J122036.38+540717.3,T9.5,29.5,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,3.25,True,True,,False,False,NO_EPOCHS
WISE J122152.28-313600.8,T6.5,26.5,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,2.05,True,False,,False,False,NO_EPOCHS
2MASS J12255432-2739466AB,T6,26.0,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,1.9,True,False,,False,False,NO_EPOCHS
WISE J122558.86-101345.0,T6,26.0,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,1.9,True,False,,False,False,NO_EPOCHS
2MASS J12373919+6526148,T6.5,26.5,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,2.05,True,True,,False,False,NO_EPOCHS
ULAS J123828.51+095351.3,T8,28.0,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,2.6,True,True,,False,False,NO_EPOCHS
WISE J124309.61+844547.8,T9,29.0,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,3.0,True,True,,False,False,NO_EPOCHS
WISE J125015.56+262846.9,T6.5,26.5,1,,,,,,,,4.0,1,,,,,,,,4.0,10.145520425155123,,2.05,True,True,,False,False,TOO_FEW_EPOCHS
WISE J125448.52-072828.4,T7,27.0,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,2.2,True,True,,False,False,NO_EPOCHS
WISE J125715.90+400854.2,T7,27.0,21,7.554186685723389,0.45800018310546875,16.18420716225282,0.5238095238095238,0.21717719164761462,0.018616692696405174,0.9449827838812033,7.761904761904762,21,2.6241249095710426,0.421999931335451,14.340609157756168,0.7142857142857143,0.16041673024495395,0.009896105350431485,0.4391972229820098,8.047619047619047,10.145520425155123,1.8435980044966538,2.2,True,True,,False,False,TESTED
VHS J125804.89-441232.4,T6,26.0,22,3.353492129074873,0.4074997901916504,15.653367204357808,0.2727272727272727,0.19872920711835285,0.02409702299315052,1.0067969242816734,11.863636363636363,22,6.609136854286806,0.3665003776550293,13.933649488146877,0.3181818181818182,0.1384286017644989,0.004832636824977077,0.46205249033483337,11.681818181818182,10.145520425155123,1.7197177162109316,1.9,True,True,,False,False,TESTED
Gl 494C,T8,28.0,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,2.6,True,True,,False,False,NO_EPOCHS
WISE J130141.62-030212.9,T8.5,28.5,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,2.8,True,True,,False,False,NO_EPOCHS
ULAS J130217.21+130851.2,T8,28.0,1,,,,,,,,6.0,1,,,,,,,,6.0,10.145520425155123,,2.6,True,True,,False,False,TOO_FEW_EPOCHS
WISEPC J131106.24+012252.4,T9:,29.0,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,3.0,True,True,,False,False,NO_EPOCHS
ULAS J131508.42+082627.4,T7.5,27.5,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,2.4000000000000004,True,True,,False,False,NO_EPOCHS
WISE J131833.98-175826.5,T8,28.0,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,2.6,True,True,,False,False,NO_EPOCHS
WISEPC J132004.16+603426.2,T6.5,26.5,20,4.4355916237842425,0.49249935150146484,16.27112805102191,0.65,0.18847227620554463,0.23028685322555048,2.796377587607045,9.85,20,2.891139575654054,0.36100053787231623,14.481530850547257,0.25,0.1409001350402832,0.02399180854716221,0.8853469805000448,9.85,10.145520425155123,1.7895972004746543,2.05,True,True,,False,False,TESTED
WISEPA J132233.66-234017.1,T8,28.0,5,7.28330637804243,0.243499755859375,16.417912562186046,0.4,0.19283326466878137,0.10349176767809808,1.1593880021355438,4.4,5,5.170019421198537,0.15349960327148615,13.86871910501165,0.2,0.12712490558624445,0.14542971545755226,0.8199472547634135,4.4,10.145520425155123,2.549193457174397,2.6,True,True,,False,False,TOO_FEW_EPOCHS
WISEA J133300.03-160754.4,[T7.5],27.5,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,2.4000000000000004,True,True,,False,False,NO_EPOCHS
ULAS J133553.45+113005.2,T8.5,28.5,6,0.4288606067038477,0.27949953079223633,16.227551110653884,0.16666666666666666,0.22139978408813477,0.16693171270160784,0.711913380565413,4.833333333333333,6,2.5354224179054152,0.3430004119873029,14.058803379075673,0.6666666666666666,0.23987507820129395,0.4677197595294046,2.4514617153184197,4.666666666666667,10.145520425155123,2.168747731578211,2.8,True,True,,False,False,TOO_FEW_EPOCHS
SDSSp J134646.45-003150.4,T6.5,26.5,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,2.05,True,True,,False,False,NO_EPOCHS
WISEPC J140518.40+553421.4,Y0.5(pec?),30.5,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,3.75,True,True,,False,False,NO_EPOCHS
ULAS J141623.94+134836.3,(sd)T7.5,27.5,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,2.4000000000000004,True,True,,False,False,NO_EPOCHS
Gl 547B,"sdT8, T8",28.0,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,2.6,True,True,,False,False,NO_EPOCHS
VHS J143311.46-083736.3,T8,28.0,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,2.6,True,True,,False,False,NO_EPOCHS
WISEPA J143602.19-181421.8,T8pec,28.0,3,4.733379929872357,0.14499855041503906,16.346424898635263,0.6666666666666666,0.11274862289428711,,,4.666666666666667,3,1.521527154848349,0.19250059127807617,14.568893006520735,0.6666666666666666,0.1592504978179914,,,4.666666666666667,10.145520425155123,1.7775318921145278,2.6,True,True,,False,False,TOO_FEW_EPOCHS
WISE J144806.48-253420.3,T8,28.0,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,2.6,True,True,,False,False,NO_EPOCHS
Gl 570D,T7.5,27.5,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,2.4000000000000004,True,False,,False,False,NO_EPOCHS
WISEPC J145715.03+581510.2,T7,27.0,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,2.2,True,True,,False,False,NO_EPOCHS
WISE J150115.92-400418.4,T6,26.0,9,1.1609536816210986,0.3535003662109375,16.157507761674463,0.4444444444444444,0.17177517414092947,0.045035135163995405,0.5003534863680865,4.222222222222222,9,6.644484967714211,0.3814997673034686,14.153393272139603,0.4444444444444444,0.25537495613098216,0.07059427482302155,0.9442907130040634,4.333333333333333,10.145520425155123,2.00411448953486,1.9,True,True,,False,False,TESTED
SDSS J150411.63+102718.4,T7,27.0,21,2.7878902175560416,0.45399951934814453,16.00760716148052,0.5238095238095238,0.16565904183821267,0.005402060831453145,0.41796249705447464,10.904761904761905,21,1.8939282650384857,0.23549985885620117,14.00518617292479,0.38095238095238093,0.12665868722475437,0.00657435430740955,0.3729656698702338,10.904761904761905,10.145520425155123,2.0024209885557323,2.2,True,True,,False,False,TESTED
