name,ra,dec,plx,spt,spt_num,source_id,pmra,pmdec,astrometry_source
WISEPA J161441.45+173936.7,243.673331,17.6595728,,T9,29.0,WISEPA J161441.45+173936.7,652.3800048828125,-432.0699768066406,catwise2020
2MASS J16150413+1340079,243.76723,13.66887,,T6,26.0,2MASS J16150413+1340079,,,none
WISEPA J161705.75+180714.3,244.2740417,18.1205307,,T8,28.0,WISEPA J161705.75+180714.3,101.36000061035156,-68.72000122070312,catwise2020
WISEPA J162208.94-095934.6,245.5373089,-9.9929425,,T6,26.0,WISEPA J162208.94-095934.6,61.6099967956543,5.760000228881836,catwise2020
SDSSp J162414.37+002915.6,246.0609063,0.4823851,90.9,T6,26.0,SDSSp J162414.37+002915.6,886.239990234375,-3325.239990234375,catwise2020
WISEPA J162725.64+325525.5,246.85721,32.92469,,T6,26.0,WISEPA J162725.64+325525.5,,,none
SDSS J162838.77+230821.1,247.16062,23.14005,75.1,T7,27.0,SDSS J162838.77+230821.1,,,none
WISE J163940.86-684744.6,249.9202285,-68.7957603,,Y0pec,30.0,WISE J163940.86-684744.6,11.559999465942383,-79.72999572753906,catwise2020
WISEPA J165311.05+444423.9,253.2957556,44.7391252,,T8,28.0,WISEPA J165311.05+444423.9,-86.83999633789062,-396.94000244140625,catwise2020
WISEPA J171104.60+350036.8AB,257.7688786,35.0101455,,T8,28.0,WISEPA J171104.60+350036.8AB,-153.6999969482422,-39.0099983215332,catwise2020
WISEPA J171717.02+612859.3,259.3210651,61.4831278,,T8,28.0,WISEPA J171717.02+612859.3,73.68000030517578,-20.149999618530273,catwise2020
WISE J172134.46+111739.4,260.3934586,11.2944629,,T6,26.0,WISE J172134.46+111739.4,-85.36000061035156,122.72000122070312,catwise2020
WISEA J173551.56-820900.3,263.9623212,-82.1504485,,T6,26.0,WISEA J173551.56-820900.3,-198.9399871826172,-221.8800048828125,catwise2020
WISEPA J173835.53+273258.9,264.6485808,27.5492069,,Y0,30.0,WISEPA J173835.53+273258.9,336.25,-327.03997802734375,catwise2020
WISEPA J174124.26+255319.5,265.3523682,25.8931141,,T9,29.0,WISEPA J174124.26+255319.5,29.209999084472656,-14.65999984741211,catwise2020
SDSS J175805.46+463311.9,269.52273,46.55275,71.4754,T6.5,26.5,SDSS J175805.46+463311.9,,,none
WISEPA J180435.40+311706.1,271.1468987,31.2851354,,T9.5:,29.5,WISEPA J180435.40+311706.1,-293.6199951171875,12.260000228881836,catwise2020
WISEPA J181210.85+272144.3,273.0453678,27.3619199,,T8.5:,28.5,WISEPA J181210.85+272144.3,141.98001098632812,-283.6099853515625,catwise2020
WISE J181243.14+200746.4,273.1796892,20.128836,,T9,29.0,WISE J181243.14+200746.4,-21.729999542236328,-546.9199829101562,catwise2020
WISE J181329.40+283533.3,273.3728319,28.5930698,,T8,28.0,WISE J181329.40+283533.3,51.810001373291016,64.2699966430664,catwise2020
WISEPA J182831.08+265037.8,277.1299203,26.8434699,,>or=Y2,32.0,WISEPA J182831.08+265037.8,297.1099853515625,-109.70999908447266,catwise2020
SCR J1845-6357B,281.27279,-63.96286,259.45,T6,26.0,SCR J1845-6357B,,,none
WISEPA J185215.78+353716.3,283.06468,35.62211,,T7,27.0,WISEPA J185215.78+353716.3,,,none
WISEPA J190624.75+450808.2,286.60319,45.13646,,T6,26.0,WISEPA J190624.75+450808.2,,,none
WISE J192841.35+235604.9,292.1743397,23.9342214,,T6,26.0,WISE J192841.35+235604.9,96.70999908447266,-17.399999618530273,catwise2020
WISE J195500.42-254013.9,298.752184,-25.670855,,T8,28.0,WISE J195500.42-254013.9,254.3199920654297,-363.5400085449219,catwise2020
WISEPA J195905.66-333833.7,299.7735697,-33.643004,,T8,28.0,WISEPA J195905.66-333833.7,24.479999542236328,-201.61000061035156,catwise2020
WISE J200050.19+362950.1,300.2090525,36.4980646,,T8,28.0,WISE J200050.19+362950.1,128.83999633789062,1516.8800048828125,catwise2020
