kepoi_name,tic_id,era,scope,sector,author,exptime_s,flux_column,n_points,status,median_flux,smeared,no_flat_core,exptime_over_duration,n_transits,n_transits_seen,depth_ppm,depth_err_ppm,depth_err_method,oot_scatter_ppm,reduction_author,reduction_flux_column
K00897.01,268924036.0,tess,ensemble,54,SPOC,120.0,SAP_FLUX,17897,OK,172.64512634277344,False,False,0.016042609169955403,12,12,10479.627661971512,1335.2358597346336,bootstrap,28198.06303477372,SPOC,SAP_FLUX
K00897.01,268924036.0,tess,ensemble,55,SPOC,120.0,SAP_FLUX,18882,OK,134.5800552368164,False,False,0.016042609169955403,14,14,13568.945038733056,1235.1286118794637,bootstrap,27923.00800328639,SPOC,SAP_FLUX
K00897.01,268924036.0,tess,ensemble,74,SPOC,120.00000000000097,SAP_FLUX,18787,OK,122.15045166015625,False,False,0.01604260916995553,13,13,14048.874591313535,2715.4130382995795,bootstrap,33210.81482944366,SPOC,SAP_FLUX
K00897.01,268924036.0,tess,ensemble,75,SPOC,120.00000000000097,SAP_FLUX,19473,OK,142.13938903808594,False,False,0.01604260916995553,13,13,10458.827049734067,1858.6918512858767,bootstrap,26479.18168647981,SPOC,SAP_FLUX
K00897.01,268924036.0,tess,ensemble,81,SPOC,120.00000000000097,SAP_FLUX,18409,OK,191.6602783203125,False,False,0.01604260916995553,11,12,9886.37670665614,631.226766206273,bootstrap,23228.390056231143,SPOC,SAP_FLUX
K00897.01,268924036.0,tess,ensemble,82,SPOC,120.00000000000097,SAP_FLUX,18138,OK,131.6844711303711,False,False,0.01604260916995553,12,13,10908.30538759517,1149.0936062764288,bootstrap,22595.93215488025,SPOC,SAP_FLUX
K00897.01,268924036.0,tess,ensemble,41,TESS-SPOC,600.0,PDCSAP_FLUX,3658,OK,81.35523986816406,False,False,0.08021304584977701,13,13,33078.0499573565,4276.38223091959,bootstrap,31541.806262944236,TESS-SPOC,PDCSAP_FLUX
K00897.01,268924036.0,tess,ensemble,54,TESS-SPOC,600.0,PDCSAP_FLUX,3571,OK,70.67565155029297,False,False,0.08021304584977701,12,12,39798.27896732608,5769.421434097719,bootstrap,50628.58486627754,TESS-SPOC,PDCSAP_FLUX
K00897.01,268924036.0,tess,ensemble,55,TESS-SPOC,600.0,PDCSAP_FLUX,3771,OK,74.6713638305664,False,False,0.08021304584977701,14,14,39446.52261713193,4436.524214195658,bootstrap,36823.45893150441,TESS-SPOC,PDCSAP_FLUX
K00897.01,268924036.0,tess,ensemble,74,TESS-SPOC,199.99999999999872,PDCSAP_FLUX,11267,OK,78.93341064453125,False,False,0.0267376819499255,13,13,39434.150139103556,6466.901655298037,bootstrap,62601.91211513953,TESS-SPOC,PDCSAP_FLUX
K00897.01,268924036.0,tess,ensemble,75,TESS-SPOC,199.99999999999872,PDCSAP_FLUX,11678,OK,94.99018859863281,False,False,0.0267376819499255,13,13,23522.04441631682,4860.645033529179,bootstrap,51164.04638642028,TESS-SPOC,PDCSAP_FLUX
K00897.01,268924036.0,tess,ensemble,81,TESS-SPOC,199.99999999999872,PDCSAP_FLUX,11032,OK,103.9069595336914,False,False,0.0267376819499255,11,12,31944.72873029297,1338.9615601460666,bootstrap,48515.96969361183,TESS-SPOC,PDCSAP_FLUX
K00897.01,268924036.0,tess,ensemble,82,TESS-SPOC,199.99999999999872,PDCSAP_FLUX,10874,OK,95.80923461914062,False,False,0.0267376819499255,12,13,29488.361124213196,3563.0604642266926,bootstrap,40679.659535748724,TESS-SPOC,PDCSAP_FLUX
K00897.01,268924036.0,tess,ensemble,41,TESS-SPOC,600.0,SAP_FLUX,3658,OK,162.45868682861328,False,False,0.08021304584977701,13,13,10852.559318694817,1389.0708129192221,bootstrap,10254.721881637028,TESS-SPOC,SAP_FLUX
K00897.01,268924036.0,tess,ensemble,54,TESS-SPOC,600.0,SAP_FLUX,3571,OK,157.37034606933594,False,False,0.08021304584977701,12,12,11033.793195667613,1612.6658094442882,bootstrap,13968.166816707233,TESS-SPOC,SAP_FLUX
K00897.01,268924036.0,tess,ensemble,55,TESS-SPOC,600.0,SAP_FLUX,3771,OK,128.74789428710938,False,False,0.08021304584977701,14,14,14586.463437224505,1674.0539738887692,bootstrap,13346.61595474988,TESS-SPOC,SAP_FLUX
K00897.01,268924036.0,tess,ensemble,74,TESS-SPOC,199.99999999999872,SAP_FLUX,11267,OK,122.41847229003906,False,False,0.0267376819499255,13,13,15537.944355583259,2551.922313884393,bootstrap,24599.838233979204,TESS-SPOC,SAP_FLUX
K00897.01,268924036.0,tess,ensemble,75,TESS-SPOC,199.99999999999872,SAP_FLUX,11678,OK,142.024658203125,False,False,0.0267376819499255,13,13,9813.608794179723,1835.547724875772,bootstrap,21524.31222854138,TESS-SPOC,SAP_FLUX
K00897.01,268924036.0,tess,ensemble,81,TESS-SPOC,199.99999999999872,SAP_FLUX,11032,OK,191.0484161376953,False,False,0.0267376819499255,11,12,10282.456143012392,487.24528163823476,bootstrap,15956.291860569543,TESS-SPOC,SAP_FLUX
K00897.01,268924036.0,tess,ensemble,82,TESS-SPOC,199.99999999999872,SAP_FLUX,10874,OK,131.6380844116211,False,False,0.0267376819499255,12,13,11575.102618409182,1287.596659617444,bootstrap,15726.766758867223,TESS-SPOC,SAP_FLUX
K00897.01,268924036.0,tess,ensemble,41,SPOC,120.0,PDCSAP_FLUX,18322,OK,79.47888946533203,False,False,0.016042609169955403,13,13,29810.368640207133,3819.4928439625155,bootstrap,75974.25566629275,QLP,PDCSAP_FLUX
K00897.01,268924036.0,tess,ensemble,54,SPOC,120.0,PDCSAP_FLUX,17897,OK,84.28904724121094,False,False,0.016042609169955403,12,12,35498.01786635231,4326.914817895407,bootstrap,95973.37020794865,QLP,PDCSAP_FLUX
K00897.01,268924036.0,tess,ensemble,55,SPOC,120.0,PDCSAP_FLUX,18882,OK,85.01567077636719,False,False,0.016042609169955403,14,14,32908.4030626651,3179.7041497583746,bootstrap,67151.88263487842,QLP,PDCSAP_FLUX
K00897.01,268924036.0,tess,ensemble,74,SPOC,120.00000000000097,PDCSAP_FLUX,18603,OK,85.67475891113281,False,False,0.01604260916995553,12,13,33881.77428257829,7242.839519899403,bootstrap,74837.78902813443,QLP,PDCSAP_FLUX
K00897.01,268924036.0,tess,ensemble,75,SPOC,120.00000000000097,PDCSAP_FLUX,19473,OK,101.4555892944336,False,False,0.01604260916995553,13,13,25425.052243823848,4385.654178592579,bootstrap,62237.796595707034,QLP,PDCSAP_FLUX
K00897.01,268924036.0,tess,ensemble,81,SPOC,120.00000000000097,PDCSAP_FLUX,18409,OK,112.49906158447266,False,False,0.01604260916995553,11,12,28712.908991523243,1802.8539138252568,bootstrap,62865.84136451942,QLP,PDCSAP_FLUX
K00897.01,268924036.0,tess,ensemble,82,SPOC,120.00000000000097,PDCSAP_FLUX,18138,OK,104.18102264404297,False,False,0.01604260916995553,12,13,25676.23780590911,2685.912709553626,bootstrap,53939.97314915737,QLP,PDCSAP_FLUX
K00897.01,268924036.0,tess,ensemble,41,SPOC,120.0,SAP_FLUX,18322,OK,145.98767852783203,False,False,0.016042609169955403,13,13,10745.706147606234,1459.196427766427,bootstrap,26580.314502768397,QLP,SAP_FLUX
K00897.01,268924036.0,tess,ensemble,54,SPOC,120.0,SAP_FLUX,17897,OK,172.64512634277344,False,False,0.016042609169955403,12,12,10479.627661971572,1335.2358597346524,bootstrap,28198.06303477372,QLP,SAP_FLUX
K00897.01,268924036.0,tess,ensemble,55,SPOC,120.0,SAP_FLUX,18882,OK,134.5800552368164,False,False,0.016042609169955403,14,14,13568.94503873311,1235.1286118794571,bootstrap,27923.00800328656,QLP,SAP_FLUX
K00897.01,268924036.0,tess,ensemble,74,SPOC,120.00000000000097,SAP_FLUX,18787,OK,122.15045166015625,False,False,0.01604260916995553,13,13,14048.874591313599,2715.4130382995754,bootstrap,33210.81482944334,QLP,SAP_FLUX
K00897.01,268924036.0,tess,ensemble,75,SPOC,120.00000000000097,SAP_FLUX,19473,OK,142.13938903808594,False,False,0.01604260916995553,13,13,10458.827049734075,1858.691851285869,bootstrap,26479.18168647981,QLP,SAP_FLUX
K00897.01,268924036.0,tess,ensemble,81,SPOC,120.00000000000097,SAP_FLUX,18409,OK,191.6602783203125,False,False,0.01604260916995553,11,12,9886.376706656038,631.2267662062768,bootstrap,23228.390056231143,QLP,SAP_FLUX
K00897.01,268924036.0,tess,ensemble,82,SPOC,120.00000000000097,SAP_FLUX,18138,OK,131.6844711303711,False,False,0.01604260916995553,12,13,10908.305387595072,1149.0936062764067,bootstrap,22595.932154880207,QLP,SAP_FLUX
K00897.01,268924036.0,kepler,primary,1,Kepler,1765.462885941888,PDCSAP_FLUX,1624,OK,1.0,True,False,0.2360219256935605,16,16,14050.669443031573,100.63645992805911,bootstrap,388.64019971677135,,
K00897.01,268924036.0,kepler,primary,2,Kepler,1765.462885941888,PDCSAP_FLUX,4070,OK,1.0,True,False,0.2360219256935605,41,42,13674.617873551928,82.07999395965739,bootstrap,410.2172961547202,,
K00897.01,268924036.0,kepler,primary,3,Kepler,1765.462885941888,PDCSAP_FLUX,4134,OK,1.0,True,False,0.2360219256935605,40,41,14163.188798635092,121.00184848603594,bootstrap,499.0300267335684,,
K00897.01,268924036.0,kepler,primary,4,Kepler,1765.462885941888,PDCSAP_FLUX,4108,OK,1.0,True,False,0.2360219256935605,41,42,13682.811804879713,97.0535397152439,bootstrap,468.57101890438935,,
K00897.01,268924036.0,kepler,primary,5,Kepler,1765.462885941888,PDCSAP_FLUX,4486,OK,1.0,True,False,0.2360219256935605,44,44,13755.251396608908,81.32370242810757,bootstrap,370.1678798086137,,
K00897.01,268924036.0,kepler,primary,6,Kepler,1765.462885941888,PDCSAP_FLUX,4272,OK,1.0,True,False,0.2360219256935605,42,43,13874.970364565093,59.82884843465245,bootstrap,409.93186402762746,,
K00897.01,268924036.0,kepler,primary,7,Kepler,1765.462885941888,PDCSAP_FLUX,4226,OK,1.0,True,False,0.2360219256935605,41,43,14230.703911030754,90.10062731145196,bootstrap,455.14074795532446,,
K00897.01,268924036.0,kepler,primary,8,Kepler,1765.462885941888,PDCSAP_FLUX,3106,OK,1.0,True,False,0.2360219256935605,31,32,13762.522194258961,95.57706149636887,bootstrap,416.0450754864424,,
K00897.01,268924036.0,kepler,primary,9,Kepler,1765.462885941888,PDCSAP_FLUX,4610,OK,1.0,True,False,0.2360219256935605,46,46,14125.481528102506,75.98337624029314,bootstrap,404.73182041574194,,
K00897.01,268924036.0,kepler,primary,10,Kepler,1765.462885941888,PDCSAP_FLUX,4441,OK,1.0,True,False,0.2360219256935605,44,44,13859.514348935554,64.54979875061248,bootstrap,383.9583514892795,,
K00897.01,268924036.0,kepler,primary,11,Kepler,1765.462885941888,PDCSAP_FLUX,4473,OK,1.0,True,False,0.2360219256935605,46,47,14129.649329431728,108.40765250448123,bootstrap,386.13736163044507,,
