Teff,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn
8250.0,11534532.57821093,11015393.095414145,11194378.834671525,13061708.881318405,11561122.421920981,10423174.293933036,8147042.840208388,8511380.38202376,7211074.79182899,7294575.102545694,6456542.290346549,6606934.480075965,5847900.841444812,5929253.245799994,5176068.319505681,4375221.051582521,4864072.056914619,4920395.356814511,4159106.1049402184,3881503.6599064865,3639150.3612720706,3655947.916131247,3451437.3933585645,3483373.1503601163,3288516.3087598328,3419794.425137087,3083187.9502493534,3026913.4281013045
8500.0,11117317.27281592,10592537.251772897,10764652.13629835,12560299.636948753,11168632.477805613,10092528.860766834,7906786.279998246,8279421.6371233445,7030723.198838341,7112135.136533296,6309573.444801929,6441692.655151775,5714786.366718666,5807644.175213124,5081594.42560561,4295364.267648873,4775292.736576911,4830588.020397728,4092606.5973001095,3828247.4331682282,3589219.34645005,3605786.4302164274,3404081.8970100093,3435579.478998743,3243396.1734934933,3372873.0865886854,3040885.025676277,2992264.636608189
8750.0,10568175.092136584,10069316.688518044,10256519.262514079,11967405.313072443,10665961.212302567,9660508.78989814,7585775.7502918355,7943282.347242821,6760829.753919818,6854882.2645266205,6081350.012787176,6223002.851691589,5533501.092157371,5610479.760324701,4920395.356814511,4168693.834703355,4634469.197362884,4688133.821452655,3971915.4946944052,3723917.062545683,3491403.1547858627,3507518.7395256795,3318944.575526103,3349654.3915782794,3162277.660168379,3288516.3087598328,2971666.031738025,2917427.014001166
9000.0,10162486.928706948,9682778.562612485,9885530.94656939,11534532.57821093,10303861.20441616,9354056.74147552,7379042.301291015,7726805.850957021,6591738.952443212,6683439.175686149,5942921.586155727,6081350.012787176,5407543.229455804,5495408.738576248,4819477.976251272,4092606.5973001095,4549880.60150049,4602565.735813563,3908408.9579240168,3664375.746478333,3435579.478998743,3459393.778261217,3273406.9487883793,3296097.121774576,3118889.5840939353,3243396.1734934933,2930893.245250318,2884031.503126606
9250.0,9727472.237769661,9246981.73938223,9440608.762859225,11015393.095414145,9862794.8563121,8974287.94500749,7112135.136533296,7447319.739059889,6367955.209079162,6456542.290346549,5754399.373371567,5888436.5535558835,5248074.602497723,5333348.954876213,4688133.821452655,3990249.0236214204,4425883.723626264,4477133.041763623,3810658.233937734,3572728.3815192883,3349654.3915782794,3372873.0865886854,3191537.8551007584,3221068.7912834347,3047894.989627983,3169567.463043493,2870780.582024692,2818382.931264455
9500.0,9418895.965228418,8953647.655495938,9141132.414702509,10641430.182243163,9571940.712948442,8729713.683881113,6934258.060165694,7277798.045368242,6237348.354824191,6324118.5137621965,5636376.558259549,5780960.474057175,5152286.445817562,5236004.365857506,4613175.7456037905,3926449.353996001,4355118.736855688,4415704.473533121,3758374.042884443,3523708.7104248693,3311311.2148259077,3334264.127632347,3155004.623374624,3184197.5217261254,3013006.0241861218,3133285.724315589,2837919.028441558,2792543.8412373364
9750.0,9120108.393559096,8649679.187756939,8830799.004185623,10280162.981264725,9268298.233793484,8472274.141405962,6745280.276979215,7079457.843841373,6081350.012787176,6165950.018614822,5520774.392807573,5649369.748123023,5046612.975635286,5128613.839913649,4518559.443749226,3854783.576657721,4275628.861515865,4335108.783875285,3689775.9857015046,3467368.504525317,3258367.010020087,3280952.93113119,3111716.33710602,3140508.6938762167,2971666.031738025,3090295.432513592,2798981.319634363,2754228.703338169
10000.0,8851156.098308356,8375292.821268827,8570378.452303693,9977000.638225526,9015711.37605957,8260379.495771783,6606934.480075965,6934258.060165694,5970352.865838366,6067363.295885059,5420008.904016239,5559042.572704037,4965923.214503358,5058246.620031137,4456562.483975033,3801893.9632056127,4226686.142656033,4285485.203974392,3655947.916131247,3427677.865464505,3228494.121712638,3250872.9738543406,3083187.9502493534,3111716.33710602,2944421.633798763,3061963.4336906755,2779713.267759288,2735268.7263067137
10250.0,8531001.140175896,8053784.41199066,8241381.15013003,9571940.712948442,8669618.757582162,7961593.504173184,6382634.861905483,6698846.094165258,5780960.474057175,5874893.525297768,5272298.614228233,5395106.225151279,4830588.020397728,4920395.356814511,4345102.241715714,3706807.2178257597,4120975.190973304,4178303.666466222,3564511.334262439,3349654.3915782794,3155004.623374624,3176874.070649769,3013006.0241861218,3040885.025676277,2884031.503126606,2999162.5189876533,2722701.30807791,2679168.3248190316
10500.0,8279421.6371233445,7798301.105232594,7961593.504173184,9268298.233793484,8394599.865193982,7726805.850957021,6208690.342300638,6531305.526474729,5636376.558259549,5741164.62207328,5152286.445817562,5284452.517751803,4731512.589614803,4819477.976251272,4255984.131337427,3639150.3612720706,4045758.9169744286,4102041.0298660723,3499451.6702835695,3296097.121774576,3104559.588128356,3126079.367123956,2964831.3895243453,2992264.636608189,2837919.028441558,2951209.226666384,2679168.3248190316,2636331.3858253816
