Teff,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn
10250.0,517606.8319505681,481947.79762512713,480839.348449729,542000.8904016238,483058.80203977285,437522.10515825206,351560.4405282983,362242.99841669877,311888.95840939356,313328.57243155886,280543.3637951716,284446.1107447914,254683.0252585039,257039.57827688646,227509.74307720715,195433.94557753962,214289.06011200606,215774.44091526646,185353.16234148105,173780.08287493762,163681.652142781,164058.97731995388,155596.5631605075,156314.7642640954,148251.80851459544,153108.74616820287,139315.68029453035,136772.88255958495
10500.0,510504.99997540645,476430.98680541565,477529.27365769114,538269.7825162881,481947.79762512713,437522.10515825206,350751.8739525679,363078.05477010104,312607.9367123956,314774.8314101317,281838.2931264455,285759.05433749495,255858.5886905648,258821.2915153093,229086.76527677747,196788.6289706843,215774.44091526646,217270.11788637433,186637.96908346695,175388.050184176,165196.1798229015,165576.99634695292,157036.28043335516,157761.126969935,149623.56560944326,154881.66189124828,140928.87984218748,138356.6378971781
10750.0,496592.3214503358,463446.91973628843,464515.2752227492,523600.4365857506,468813.3821452655,426579.5188015925,343557.9478998743,355631.31856898544,306902.1988391158,309029.5432513592,276694.16454115126,281190.08303989394,252348.07724805755,254683.0252585039,225423.9212152428,194088.58775927793,212813.90459827133,214289.06011200606,184501.54191794738,173380.39977541374,163305.19478943347,163681.652142781,155238.70099580818,156314.7642640954,148251.80851459544,153108.74616820287,139636.83610559363,137088.17661648523
11000.0,479733.44863668917,446683.5921509635,447713.3041763623,504661.2975635287,452897.5799036204,413047.501990161,333426.4127632347,344349.9307633384,297851.6429429191,299916.25189876533,269153.4803926914,273526.87263067137,245470.89156850285,248313.31052955677,220292.6463053456,189670.59212111443,207491.35174549106,209411.24558508914,180301.77408595697,169433.78004473288,159587.91472367337,160324.53906900418,152054.7529732497,153108.74616820287,145211.1617587742,150314.1966090021,136772.88255958495,134586.03540559468
11250.0,465586.0935229591,432513.8310350088,433510.8783875284,488652.35934283363,439541.6154378243,400866.71762730257,324339.6173493493,335737.6142429545,291071.7118066608,293089.32452503184,263633.1385825381,267300.6408663309,240436.28000069346,243220.40090738158,215774.44091526646,185780.4455091699,203704.2077705719,205589.05959841405,177010.8958317422,166724.72125510644,157036.28043335516,157761.126969935,149623.56560944326,150660.7066186742,142889.39585111037,147910.8388168207,134586.03540559468,132434.15351946643
11500.0,456036.91595129593,424619.563946313,426579.5188015925,481947.79762512713,434510.22417157143,397191.54946944054,321366.0538640315,333426.4127632347,289067.98823654774,291071.7118066608,261818.30082189862,266072.50597988087,239331.5756405385,242102.904673618,214783.0474130533,185353.16234148105,203235.70109362208,205116.21788255667,176603.7820686164,166341.26503701697,156675.107010815,157398.28644662196,149279.44095789976,150314.1966090021,142560.7593602188,147570.6533275893,134586.03540559468,132434.15351946643
11750.0,440554.86350655346,409260.65973001096,410204.10298660723,463446.91973628843,418793.56511791825,383707.2454922784,311171.633710602,322849.4121712638,279898.1319634363,282487.9974915705,254097.27055493064,258821.2915153093,232809.1257665008,235504.9283896009,209411.24558508914,180301.77408595697,197696.96401118618,199986.1869632745,172186.8574986006,162181.009735893,152756.60582380733,153461.6982799294,145881.42602753473,146892.62776438662,139315.68029453035,144211.53515248682,131522.48321922377,129419.58414499863
12000.0,427562.8861515864,396278.03425543936,398107.1705534969,449779.8548932875,406443.32916521275,372391.7062545683,303389.1184194272,314774.8314101317,273526.87263067137,276057.78562203445,248313.31052955677,252929.79964461422,227509.74307720715,230144.18174085088,204644.4636724674,176603.7820686164,193642.19639466068,195884.4673505989,169044.09316432633,158854.67485977773,149968.4835502374,150660.7066186742,143218.78992735423,144211.53515248682,136772.88255958495,141905.75216890927,129419.58414499863,127057.41052085419
12250.0,413999.6748197304,383707.2454922784,384591.78204535355,434510.22417157143,393550.07545577723,361409.86263961316,294442.16337987635,305492.11132155155,266072.50597988087,268534.4445658509,242102.904673618,246603.9337234341,221819.64198002193,224905.46058357827,199986.1869632745,172583.7891990204,189234.3618644976,191425.5925021086,165196.1798229015,155596.5631605075,146892.62776438662,147570.6533275893,140281.3704561959,141253.75446227554,133967.66874259344,138675.58288718897,126765.18658578448,124738.35142429432
12500.0,402717.0343254595,372391.7062545683,373250.1577957206,421696.5034285822,382824.7433168228,351560.4405282983,287078.0582024692,297851.6429429191,259417.93621188123,261818.30082189862,236591.96974857565,240436.28000069346,216770.41048196962,219785.9872784823,195433.94557753962,169044.09316432633,185353.16234148105,187068.21403658015,161808.00376430646,152405.27537972908,143879.85782558465,144543.9770745928,137404.19750125147,138356.6378971781,131522.48321922377,136144.4682465951,124165.2307592412,122179.9660164871
12750.0,384591.78204535355,355631.31856898544,355631.31856898544,401790.81084894,364753.94692560803,335737.6142429545,274157.4171927881,285101.826750391,248313.31052955677,250610.92530321138,226464.43075930618,230674.71887200713,207969.66871036938,210862.81499332888,187499.45080674172,162181.009735893,177827.94100389228,179887.09151287875,155238.70099580818,146217.71744567182,138038.42646028838,138995.26312133527,132129.56341865766,133045.441797809,126473.63474711523,130918.1922999407,119398.8104464273,117760.59735208066
13000.0,368128.9736425313,339625.27259040816,339625.27259040816,382824.7433168228,348337.3150360116,320626.9324505467,262421.8543384439,272270.13080779096,237684.02866248784,240436.28000069346,217270.11788637433,221309.47096056363,199526.23149688786,202301.91786782717,180301.77408595697,155955.25028269523,171001.53150902863,172583.7891990204,149279.44095789976,140928.87984218748,133045.441797809,133659.5516546443,127057.41052085419,128233.05826560204,121618.60006463679,126182.75345906705,115080.03889444355,113240.03632355577
13250.0,346736.85045253165,317687.4070649769,316227.7660168379,354813.3892335753,322849.4121712638,297166.60317380255,244343.05526939713,253512.8630497907,221819.64198002193,223872.11385683378,202768.2719521284,206062.99132700005,186208.71366628655,188799.13490962927,168655.30253887424,146217.71744567182,159955.80286146677,161435.8556826487,139958.73225726178,132129.56341865766,124738.35142429432,125314.11749414155,119398.8104464273,120226.4434617413,114287.83347897712,118304.15557251658,108143.39512979376,106414.30182243163
13500.0,328095.293113119,301300.60241861216,300607.6302628229,337287.30865886854,306902.1988391158,283139.19957993785,232273.67963571052,241546.08344449403,210862.81499332888,213304.4913146575,193196.83170169222,196336.02768360474,177827.94100389228,179887.09151287875,160694.1253012879,139315.68029453035,152405.27537972908,154170.04529495584,133352.1432163324,125892.54117941661,119124.20080273738,119674.05313072442,113762.7285823431,114551.29414455361,109144.03364487572,112979.59146727977,103276.1405761398,101624.86928706948
13750.0,311888.95840939356,287078.0582024692,285759.05433749495,321366.0538640315,292415.2377843337,269773.94324449205,221819.64198002193,230144.18174085088,201372.42498623894,203704.2077705719,184501.54191794738,187931.68168032684,169824.3652461746,172186.8574986006,153461.6982799294,133045.441797809,145881.42602753473,147231.25024327193,127643.88088113435,120503.59403717986,113762.7285823431,114287.83347897712,108893.00933334332,109647.8196143185,104231.74293933036,108143.39512979376,98627.948563121,97274.72237769661
14000.0,292415.2377843337,268534.4445658509,267916.83248190314,300607.6302628229,273526.87263067137,252929.79964461422,207969.66871036938,215774.44091526646,189234.3618644976,190985.32585662368,172981.63592151031,176197.60464116308,159587.91472367337,161435.8556826487,144211.53515248682,125025.90302177213,137088.17661648523,138356.6378971781,119949.93031493781,113240.03632355577,106905.48792226576,107398.9412341244,102329.29922807537,103038.6120441616,98174.79430199844,101624.86928706948,92896.63867799363,91411.32414702508
14250.0,274789.4153102397,252348.07724805755,251188.6431509582,281838.2931264455,256448.4036517716,237137.37056616554,194984.45997580455,202768.2719521284,177418.94808901643,179473.36268325246,162554.8755750485,165576.99634695292,149968.4835502374,151705.03674593367,135518.9412351035,117489.75549395302,128824.95516931349,130316.67784523,112719.74561755093,106414.30182243163,100693.16688518044,101157.94542598982,96382.90236239706,97050.99672454898,92257.14271547628,95499.25860214369,87297.13683881113,86099.37521845999
14500.0,258821.2915153093,237137.37056616554,236047.8233180578,264850.0138606701,240990.5428686593,222843.5149270303,183653.83433483474,190546.07179632483,167109.0614310707,169044.09316432633,153108.74616820287,155955.25028269523,141253.75446227554,142889.39585111037,127643.88088113435,110917.4815262401,121338.88504649761,122743.92311584084,106414.30182243163,100230.52380779004,94841.84633008979,95279.61640236521,90782.05301781862,91411.32414702508,87096.35899560814,90157.1137605957,82413.8115013003,81096.10578538405
14750.0,238781.12829131781,218272.99118430036,216271.852372702,240990.5428686593,219785.9872784823,202768.2719521284,167494.2876026438,173780.08287493762,152756.60582380733,154170.04529495584,139958.73225726178,142232.87871228185,129121.92736135334,130617.08881318405,116949.939101987,101624.86928706948,111173.1727281592,112201.84543019629,97498.96377173866,92044.95717531722,87096.35899560814,87498.37752274364,83368.11846196349,83945.99865193982,79983.42550070277,82603.79495771784,75683.28950209737,74473.19739059889
15000.0,221819.64198002193,202301.91786782717,199986.1869632745,222330.98906514051,202301.91786782717,187068.21403658015,154881.66189124828,160324.53906900418,140928.87984218748,142232.87871228185,129121.92736135334,131522.48321922377,119124.20080273738,120781.38351067797,108143.39512979376,93972.33105646375,102801.62981264725,103752.84158180126,90157.1137605957,85113.80382023759,80723.50302488382,81096.10578538405,77268.05850957021,77803.6551039804,73960.52750582375,76559.6606911257,70145.52984199714,69023.98038402427
15250.0,205589.05959841405,187499.45080674172,185353.16234148105,205589.05959841405,187499.45080674172,172981.63592151031,143218.78992735423,148593.5642287006,130617.08881318405,131825.67385564075,119674.05313072442,121898.95989248673,110407.86199020736,111686.32477805612,100230.52380779004,87096.35899560814,95060.4793656281,96161.22783836638,83560.30182312474,78886.01176185548,74644.8758410067,75162.2894018206,71449.63260755135,72110.7479182899,68548.8226452662,70957.77679633888,65012.969034309026,63973.48354826482
15500.0,189670.59212111443,172583.7891990204,170608.23890031243,189234.3618644976,172583.7891990204,159587.91472367337,131825.67385564075,136772.88255958495,120226.4434617413,121338.88504649761,110153.93095414146,111943.78834671526,101624.86928706948,102801.62981264725,92257.14271547628,80167.8063387679,87498.37752274364,88511.56098308356,76913.04402866098,72610.59574351543,68706.84400142317,69183.09709189362,65917.38952443213,66374.30704019089,63095.7344480193,65313.055264747294,59841.15950603199,58884.36553555884
