Unnamed: 0.1,Unnamed: 0,Names,Class,[H/Mg],[C/Mg],[O/Mg],[Na/Mg],[Mg/Mg],[Al/Mg],[Si/Mg],[P/Mg],[S/Mg],[K/Mg],[Ca/Mg],[Ti/Mg],[Cr/Mg],[Mn/Mg],[Fe/Mg],[Co/Mg],[Ni/Mg],[Cu/Mg],[Zn/Mg],[He/Mg],[Li/Mg],[Be/Mg],[B/Mg],[N/Mg],[F/Mg],[Ne/Mg],[Cl/Mg],[Ar/Mg],[Sc/Mg],[V/Mg],[Ga/Mg],[Ge/Mg]
22,22,Mayo_Belwa,AUB,,,0.484622,-2.577178,0.0,-2.441178,0.006822,,-2.757178,,-1.931178,-3.414178,-3.569178,-3.539178,-2.662178,,,,,,,,,,,,,,,,,
23,23,Mayo_Belwa,AUB,,,0.53863,-1.34427,0.0,-1.27427,0.06573,,,-2.52227,-1.80227,-2.98627,-3.03127,-2.87627,-1.93927,,-3.69727,,,,,,,,,,,,,,,
24,24,Norton_County,AUB,,,,,0.0,-2.30286,-0.06086,-3.59986,,-3.75886,-1.64586,-3.16086,34.26914,-2.49886,-1.65186,,,,,,,,,,,,,,,,,
25,25,Norton_County,AUB,,,0.46786,-2.44414,0.0,-2.30414,-0.02114,,-1.81114,,-1.67914,-3.89714,-3.87514,,-1.53214,,-3.16114,,,,,,,,,,,,,,,
26,26,Norton_County,AUB,-1.72851,,0.45329,-2.38151,0.0,-1.92651,-0.04751,-3.55451,-1.81151,-3.07551,-1.93351,-3.12851,-3.04051,-2.65151,-1.54751,,-3.17051,,,,,,,,,,,,,,,
27,27,Pena_Blanca_Springs,AUB,,,0.49189,-2.09071,0.0,-2.02471,0.01429,,,-3.65271,-1.80971,-3.88271,-3.38371,-3.05271,-2.99171,,,,,,,,,,,,,,,,,
28,28,Pesyanoe,AUB,,,0.50245,-1.67475,0.0,-1.57175,0.02425,,,-3.16475,-1.92475,-3.39375,-3.37275,-3.34275,-1.98375,,-3.25975,,,,,,,,,,,,,,,
29,29,Shallowater,AUB,,,0.4815326,-1.9868674,0.0,-1.8768674,0.0001326,,-0.8939674,-3.2828674,-2.4828674,-3.5118674,,,-0.5351674,-3.2038674,-2.0358674,,,,,,,,,,,,,,,
30,30,Y793592,AUB,-0.67924,,0.52746,-1.45454,0.0,-1.30954,0.02746,-2.95054,-1.90254,-2.57654,-1.45854,,-3.34854,-2.54054,-1.90254,-3.35354,-2.20854,,,,,,,,,,,,,,,
31,31,Bencubbin_I,BENC,-0.55833,-1.55843,0.59157,-1.49343,0.0,-1.14343,0.02757,-2.18443,-0.93743,-2.60843,-1.27143,-2.53643,-2.01743,-2.15443,-0.18843,-2.70543,-1.44143,,,,,,,,,,,,,,,
32,32,Bencubbin_II,BENC,-0.7182,-1.0301,0.5893,-1.3891,0.0,-1.2231,0.1029,-1.9541,-0.5263,-2.4531,-1.3561,-2.4091,-1.9621,-2.1191,0.06374,-2.5501,-1.1051,,,,,,,,,,,,,,,
33,33,ALH84025,BRAC,,,,-2.53314,0.0,-2.35614,-0.09714,,,,-1.22714,,-1.99914,-2.21614,-0.22814,-3.08714,-1.94014,,-3.48014,,,,,,,,,,,,,
34,34,Brachina,BRAC,-1.36975,-2.06475,0.55475,-1.52275,0.0,-1.21075,-0.02875,-2.24975,-1.21875,-2.59975,-1.25675,-2.65375,-1.94775,-2.14975,-0.26145,,,,,,,,,,,,,,,,,
35,35,Brachina,BRAC,,,,-1.43947,0.0,-1.21147,-0.01647,-2.23047,-1.14247,-2.56547,-1.21747,-2.64147,-1.90047,-2.14347,-0.25147,-3.16547,-1.96547,,-3.13847,,,,,,,,,,,,,
36,36,A881655,CC,-0.1451,,0.60925,-1.85415,0.0,-1.05655,-0.05915,-2.15115,-0.83385,-2.67215,-1.10015,-2.47615,-1.95115,-2.19715,-0.17225,-2.84915,-1.39715,,,,,,,,,,,,,,,
37,37,B7904,CC,-0.33797,-0.80757,0.61223,-1.46267,0.0,-1.05167,-0.02067,-2.12267,-0.59817,-2.72367,-1.22167,-2.53767,-1.93067,-2.21967,-0.11537,,-1.38667,,,,,,,,,,,,,,,
38,38,B7904,CC,-0.30876,,0.58534,-1.44106,0.0,-0.95816,-0.05006,-2.05206,-0.65466,-2.84006,-1.17206,-2.46806,-1.95106,-2.22206,-0.13085,-3.09306,-1.45506,,,,,,,,,,,,,,,
39,39,Y82162,CC,0.42346,,0.68496,-1.25124,0.0,-1.05324,-0.04724,-1.99424,-0.34094,-2.25924,-1.13924,-2.24024,-1.89924,-2.05924,-0.08857,-2.87924,-1.46624,,,,,,,,,,,,,,,
40,40,A882113,CC,-0.25918,,0.59592,-1.77788,0.0,-1.13388,-0.07688,-2.79788,-1.06688,-2.86288,-1.17388,-2.84988,-2.03988,-2.21188,-0.15378,-2.78388,-1.43688,,,,,,,,,,,,,,,
41,41,Coolidge,CC,-0.44766,-1.59326,0.58184,-1.85226,0.0,-0.97976,-0.03426,-2.06326,-1.24126,-2.98826,-1.11626,-2.46426,-1.95726,-2.26326,-0.16506,-2.65926,-1.43026,,,,,,,,,,,,,,,
42,42,A881551,CC,-0.44222,,0.57538,-1.79962,0.0,-1.08562,-0.07062,-2.69662,-1.02112,-2.77362,-1.16862,-2.55662,-1.96462,-2.25262,-0.16782,-2.96762,-1.34862,,,,,,,,,,,,,,,
43,43,Orgueil,CC,,,,,0.0,-1.09759,-0.02159,-2.16859,,-2.42459,-1.06859,-2.62759,34.70841,-1.99159,-0.08609,,,,,,,,,,,,,,,,,
44,44,Ivuna,CC,,0.00305,0.55249,-1.21791,0.0,-1.09891,-0.02391,-1.83991,-0.28101,-2.42891,-1.07391,-2.65891,-1.96391,-2.09091,-0.06918,,,,,,,,,,,,,,,,,
45,45,Orgueil,CC,0.67856,-0.16954,0.85336,-1.20604,0.0,-1.07204,-0.01804,-2.10404,-0.35604,-2.49004,-1.21004,-2.65304,-1.97104,-2.12404,-0.06698,,-1.34304,,,,,,,,,,,,,,,
46,46,Orgueil,CC,,-0.1817,0.5596,-1.2159,0.0,-1.0829,-0.0189,-1.9969,-0.3594,-2.4219,-1.2559,-2.6509,-1.9179,-2.1659,-0.07509,,,,,,,,,,,,,,,,,
47,47,Tonk,CC,0.5524,-0.1797,0.7655,-0.5124,0.0,-0.9555,0.0403,-2.3407,-0.2685,-1.6487,-1.1537,-2.4797,-2.3337,-2.2067,-0.02649,,-2.4547,,,,,,,,,,,,,,,
48,48,Y693,CC,-1.49598,,0.57712,-1.63498,0.0,-1.01008,-0.04798,-2.20098,-1.11498,-2.86798,-1.16198,-2.30198,-1.96198,-2.36898,-0.16978,-2.91398,-1.49398,,,,,,,,,,,,,,,
49,49,EET87526,CC,-0.78584,-2.39774,0.57906,-1.58774,0.0,-1.04774,-0.03674,-2.28474,-1.27274,-2.99174,-1.15474,-2.55174,-1.96874,-2.41574,-0.17324,-2.86674,-1.57774,,,,,,,,,,,,,,,
50,50,EET87860,CC,-0.92547,-2.39287,0.57813,-1.63887,0.0,-1.03407,-0.03687,-2.27987,-1.21187,-2.98687,-1.14887,-2.54687,-1.97287,-2.36287,-0.16147,-2.78287,-1.41987,,,,,,,,,,,,,,,
51,51,LEW87009,CC,-1.2712,-2.2722,0.58,-1.6832,0.0,-0.9858,-0.0352,-2.2652,-1.3922,-2.8652,-1.1162,-2.4182,-1.9672,-2.4152,-0.163,-2.7862,-1.5852,,,,,,,,,,,,,,,
52,52,A881280,CC,0.77573,,0.81523,-1.49007,0.0,-0.95137,-0.02007,-1.93707,-0.48427,-2.53707,-1.25707,-2.18307,-2.00407,-2.23807,-0.09914,-3.13407,-1.35007,,,,,,,,,,,,,,,
