Teff,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn
13750.0,0.0009204495717531712,0.01790605854035294,0.02944421633798762,0.01233104833228909,0.009794899854086991,0.007852356346100719,0.006652731562017413,0.0049545019080479,0.0032658783217233566,0.004931738039549359,0.013152248321922383,0.010139113857366794,0.009162204901220002,0.006501296903430909,0.004539416166502032,0.0034914031547858626,0.002798981319634363,0.0028973435877013244,0.008222426499470713,0.00753355563733717,0.006902398038402419,0.006324118513762197,0.005956621435290103,0.005767664633922509,0.0052119471110508055,0.004886523593428336,0.00456036915951296,0.003971915494694405,0.00377572190925416
14000.0,0.0006367955209079155,0.016405897731995394,0.02624218543384442,0.011117317272815914,0.008933054837332954,0.007194489780036998,0.006081350012787176,0.004456562483975033,0.002792543841237339,0.004528975799036209,0.012050359403717974,0.009204495717531713,0.008222426499470713,0.005754399373371567,0.004045758916974429,0.0031477483141013176,0.002552701302661247,0.002648500138606701,0.007550922276654342,0.006902398038402419,0.006309573444801929,0.005780960474057181,0.0054325033149243305,0.005272298614228227,0.004720630412635905,0.004425883723626264,0.004111497211045221,0.0035563131856898547,0.0033806483620598153
14250.0,0.0004375221051582521,0.015066070661867418,0.023388372386593546,0.010046157902783952,0.008165823713585922,0.006561452663029057,0.005533501092157366,0.00399024902362142,0.002365919697485759,0.004149540426343628,0.011040786199020729,0.00833681184619634,0.007362070974947361,0.005093308710571952,0.0036057864302164234,0.002837919028441555,0.0023227367963571076,0.002426610095082414,0.006950243175887969,0.006309573444801929,0.005767664633922509,0.005272298614228227,0.004931738039549359,0.0047973344863668915,0.00427562886151586,0.003999447497610974,0.0036897759857015045,0.003176874070649769,0.0030338911841942717
14500.0,0.0003019951720402016,0.013803842646028845,0.020796966871036958,0.00907820530178186,0.007447319739059889,0.005997910762555094,0.0050466129756352816,0.0035727283815192887,0.0019906733389871865,0.0038018939632056127,0.010092528860766845,0.007585775750291836,0.006606934480075957,0.0045185594437492215,0.0032210687912834347,0.002564484036517716,0.0021134890398366475,0.0022181964198002193,0.006382634861905489,0.005780960474057181,0.005284452517751803,0.0048083934844972845,0.004487453899331323,0.004375221051582521,0.0038636697705406934,0.0036057864302164234,0.0033189445755261032,0.0028313919957993787,0.0027227013080779127
14750.0,0.00020749135174549107,0.012618275345906706,0.01849268618978078,0.008222426499470713,0.0067920363261718434,0.005482769649208536,0.004602565735813558,0.0031915378551007614,0.0016634126503701698,0.0034833731503601164,0.00924698173938223,0.006886522963442762,0.005902010801718442,0.003999447497610974,0.0028840315031266055,0.0023227367963571076,0.0019230917289101575,0.002027682719521282,0.005861381645140285,0.005284452517751803,0.004819477976251272,0.004375221051582521,0.004073802778041126,0.003981071705534973,0.0034914031547858626,0.0032508729738543437,0.0029716660317380254,0.0025234807724805754,0.0024378108183687524
15000.0,5.9841159506031984e-05,0.010423174293933041,0.013645831365889245,0.006576578373554205,0.00554625712957911,0.004446312674691089,0.003681289736425313,0.002328091257665008,0.0009204495717531712,0.002870780582024692,0.007396052750582382,0.005176068319505676,0.004415704473533125,0.0029444216337987605,0.002228435149270303,0.0018450154191794737,0.0015488166189124811,0.0016672472125510626,0.004830588020397728,0.004305266104917106,0.003908408957924021,0.0035075187395256792,0.0032210687912834347,0.0031622776601683794,0.0026915348039269166,0.00248885731828239,0.0022335722228305327,0.0018706821403657997,0.0018281002161427426
15250.0,9.954054173515275e-05,0.010592537251772886,0.014655478409559114,0.00677641507610675,0.005675446054085471,0.004581418867145335,0.0038194427084004643,0.002535128630497907,0.0011508003889444357,0.0029241523778433367,0.007673614893618186,0.005533501092157366,0.004742419852602448,0.00316956746304349,0.002333458062281002,0.0019098532585662387,0.001595879147236732,0.0017021585083949501,0.004943106869868354,0.004425883723626264,0.004027170343254591,0.0036391503612720707,0.003372873086588689,0.003296097121774576,0.00285101826750391,0.002648500138606701,0.00239883291901949,0.0020137242498623874,0.0019633602768360475
15500.0,6.870684400142317e-05,0.009705099672454899,0.013121998990192035,0.006165950018614822,0.005188000389289609,0.004178303666466218,0.0034753616144320575,0.0022542392121524305,0.0009506047936562819,0.0026791683248190315,0.007014552984199714,0.0049773708497893605,0.0042559841313374305,0.0028248799749157074,0.002108628149933289,0.0017378008287493763,0.0014554590805819655,0.001555965631605075,0.004549880601500485,0.004055085354483839,0.0036897759857015045,0.0033189445755261032,0.003061963433690679,0.00299916251898765,0.0025763211570025753,0.0023878112829131782,0.0021527817347243737,0.001803017740859568,0.0017619760464116293
15750.0,4.920395356814511e-05,0.008892011178579481,0.011748975549395297,0.005610479760324706,0.0047533522594280534,0.0038194427084004643,0.003176874070649769,0.0020137242498623874,0.0007888601176185541,0.002454708915685031,0.006397348354826482,0.004477133041763623,0.003828247433168228,0.0025292979964461446,0.0019098532585662387,0.0015812480392703827,0.0013304544179780914,0.001425607593602188,0.004178303666466218,0.003715352290971724,0.003372873086588689,0.0030338911841942717,0.002792543841237339,0.002735268726306711,0.002333458062281002,0.0021577444091526667,0.001931968317016924,0.0016180800376430662,0.0015812480392703827
16000.0,7.85235634610071e-05,0.009057326008981998,0.012676518658578455,0.005794286964268809,0.004864072056914614,0.003935500754557776,0.0032885163087598298,0.0021827299118430013,0.0009749896377173867,0.0025061092530321138,0.006652731562017413,0.004786300923226385,0.004111497211045221,0.0027227013080779127,0.0019998618696327446,0.0016368165214278084,0.0013708817661648536,0.0014554590805819655,0.004285485203974397,0.003828247433168228,0.0034833731503601164,0.0031477483141013176,0.002917427014001166,0.00285101826750391,0.0024660393372343387,0.0022908676527677724,0.0020701413487910414,0.0017418068733916145,0.0017021585083949501
16250.0,0.00012560299636948753,0.00922571427154763,0.013614446824659496,0.0059841159506031985,0.004988844874600122,0.004045758916974429,0.0033962527259040853,0.0023442288153199225,0.0011776059735208078,0.002552701302661247,0.006902398038402419,0.005093308710571952,0.004395416154378243,0.0029308932452503213,0.0020989398836235244,0.0016982436524617442,0.001412537544622754,0.0014859356422870075,0.004385306977749856,0.003926449353995997,0.0035892193464500534,0.003258367010020087,0.00304088502567628,0.0029580124665515464,0.002600159563165272,0.0024210290467361778,0.002208004733018899,0.0018663796908346695,0.0018155156627731352
16500.0,0.00019408858775927772,0.009375620069258801,0.014621771744567183,0.006194410750767812,0.005116818355403078,0.004149540426343628,0.003499451670283573,0.0024945947269429535,0.001383566378971781,0.002600159563165272,0.007144963260755134,0.005407543229455809,0.00468813382145265,0.0031550046233746274,0.0022181964198002193,0.001766037820686164,0.0014554590805819655,0.0015170503674593369,0.004487453899331323,0.0040364539296760486,0.003698281797802663,0.003372873086588689,0.0031622776601683794,0.003069021988391158,0.0027289777828080407,0.002546830252585042,0.0023442288153199225,0.0019998618696327446,0.0019364219639466068
16750.0,0.00029308932452503213,0.009549925860214359,0.015667510701081494,0.006426877173170194,0.005248074602497728,0.0042461956394631295,0.0035974933515574236,0.0026363313858253786,0.001588546748597779,0.002648500138606701,0.007362070974947361,0.005688529308438413,0.0049773708497893605,0.0033962527259040853,0.0023442288153199225,0.0018365383433483456,0.0014962356560944327,0.0015488166189124811,0.004591980128368685,0.004139996748197304,0.0038018939632056127,0.0034753616144320575,0.003273406948788383,0.00316956746304349,0.00285101826750391,0.0026668586645214806,0.002477422057633286,0.0021281390459827114,0.0020558905959841426
17000.0,0.000431519076827765,0.00972747223776965,0.016672472125510627,0.0066988460941652655,0.005382697825162881,0.004355118736855683,0.003698281797802663,0.002760577856220345,0.0017906058540352948,0.0026977394324449204,0.007568328950209743,0.0059292532458,0.005260172663907063,0.0036475394692560767,0.00248885731828239,0.001918668740670289,0.00154170045294956,0.0015812480392703827,0.00468813382145265,0.004236429660495409,0.003899419866765436,0.003580964371026359,0.003388441561392024,0.003273406948788383,0.0029716660317380254,0.0027861211686297693,0.002606153549998895,0.0022542392121524305,0.002167704104819694
