Teff,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn
9000.0,20606.299132700005,13677.288255958494,13583.13446587154,13520.72563194278,13995.873225726178,13121.998990192042,12331.048332289096,10864.256236170644,10814.339512979375,9794.89985408699,9616.122783836649,8871.560120379609,8770.008211436349,8072.350302488382,7979.946872679769,7277.798045368242,6501.296903430909,6792.036326171843,6729.766562843175,6025.595860743575,5701.642722807472,5395.1062251512785,5345.643593969719,5093.308710571952,5069.907082747044,4830.5880203977285,4897.7881936844615,4539.416166502032,4446.312674691088
9250.0,12133.888504649762,7925.013304804718,7870.457896950985,7834.296427662121,8109.610578538404,7603.262769401815,7144.963260755135,6295.061828571975,6251.726927756856,5649.369748123022,5546.25712957911,5105.049999754065,5035.006087879047,4634.46919736288,4570.881896148751,4168.693834703355,3723.917062545687,3881.5036599064824,3845.9178204535356,3435.5794789987463,3250.872973854344,3076.096814740708,3047.8949896279833,2904.022654464451,2884.0315031266055,2754.2287033381663,2792.543841237339,2588.2129151530903,2535.128630497907
9500.0,6309.57344480193,3863.669770540693,3828.2474331682283,3863.669770540693,4064.4332916521275,3881.5036599064824,3672.8230049808462,3169.56746304349,3162.2776601683795,2824.8799749157074,2728.9777828080405,2523.4807724805755,2460.3676041476274,2296.148648112363,2290.8676527677726,2147.8304741305333,1901.0782799232995,1972.4227361148535,1976.96964011186,1713.9573075084252,1618.0800376430661,1577.6112696993484,1545.254439538414,1462.1771744567184,1462.1771744567184,1399.5873225726177,1425.607593602188,1330.4544179780914,1297.1792709839558
9750.0,2831.391995799379,1291.2192736135348,1380.3842646028852,1531.0874616820304,1694.3378004473288,1682.6740610704674,1606.941253012877,1285.2866599436154,1282.3305826560218,1071.519305237606,914.1132414702499,933.2543007969914,926.8298233793494,946.237161365793,1000.0,1002.3052380778994,862.9785477669702,794.3282347242813,895.3647655495937,659.1738952443212,615.1768727098683,701.4552984199714,644.1692655151775,619.4410750767812,632.4118513762197,599.7910762555094,612.3503917247733,594.2921586155727,575.4399373371566
10000.0,1124.6049739669268,268.5344445658506,410.2041029866068,568.8529308438412,651.6283940608428,629.5061828571975,553.3501092157366,389.9419866765436,379.3149849736821,279.2543841237339,180.3017740859568,258.22601906345955,300.6076302628232,373.2501577957206,401.79081084894,381.94427084004644,326.58783217233565,240.99054286865956,319.88951096913974,202.30191786782717,201.37242498623874,247.74220576332863,221.81964198002194,226.98648518838212,230.6747188720069,200.90928126087277,195.43394557753942,219.28049353504497,206.06299132700005
10250.0,398.1071705534973,81.65823713585922,142.8893958511102,218.27299118430014,226.98648518838212,202.30191786782717,154.88166189124811,109.64781961431851,100.69316688518045,72.11074791828997,57.14786366718669,84.33347577642752,106.16955571987242,135.8313446587154,135.51894123510365,104.71285480508996,97.94899854086991,71.77942912713618,86.49679187756934,68.7068440014232,72.11074791828997,73.6207097494736,73.45138681571152,71.28530301265195,73.96052750582378,60.81350012787179,57.01642722807475,66.68067692136222,60.53408747539136
10500.0,112.46049739669269,25.644840365177174,46.238102139926035,72.94575102545687,63.09573444801933,55.207743928075736,36.643757464783334,28.119008303989407,24.717241450161303,19.18668740670289,18.113400926196025,25.58585886905645,34.119291162192845,39.902490236214206,37.497300224548354,26.791683248190314,26.121613543992066,20.32357010936222,21.23244462000219,19.31968317016924,21.47830474130534,20.65380155810529,20.941124558508925,19.952623149688797,20.276827195212817,17.619760464116293,16.865530253887414,16.634126503701697,14.157937799570817
10750.0,21.23244462000219,6.123503917247735,13.304544179780914,20.511621788255656,15.958791472367329,12.531411749414161,8.609937521846007,6.792036326171845,5.432503314924332,4.528975799036208,4.613175745603794,7.413102413009175,9.22571427154763,9.506047936562814,8.649679187756934,6.324118513762195,5.662392890382533,5.223961889991197,4.775292736576909,4.920395356814509,5.272298614228227,5.1286138399136485,5.14043651582426,5.069907082747043,4.875284901033862,4.477133041763626,4.265795188015926,3.2960971217745776,2.63633138582538
11000.0,1.5995580286146687,0.8394599865193975,2.1827299118430017,2.1727011788637447,1.506607066186742,1.1297959146727978,0.8375292821268826,0.6367955209079158,0.4775292736576909,0.35399734108343467,0.6854882264526615,1.1066237839776663,1.0327614057613974,0.9162204901219998,0.7852356346100717,0.610942024905572,0.49090787615260306,0.4446312674691087,0.44771330417636257,0.6501296903430906,0.6095368972401691,0.5888436553555889,0.5675446054085471,0.5345643593969717,0.5236004365857502,0.4666593803142886,0.4518559443749224,0.26730064086633115,0.28248799749157066
11250.0,0.6576578373554205,0.41114972110452225,1.030386120441616,0.72443596007499,0.4797334486366891,0.28906798823654756,0.19364219639466074,0.14791083881682077,0.12735030810166617,0.11402497875611688,0.328095293113119,0.3698281797802662,0.32433961734934924,0.2798981319634362,0.24490632418447456,0.20137242498623883,0.15703628043335524,0.1428893958511103,0.19724227361148539,0.2290867652767773,0.21134890398366465,0.195884467350599,0.18450154191794738,0.16672472125510626,0.1686553025388741,0.14655478409559117,0.1428893958511103,0.11994993031493786,0.11830415557251646
11500.0,0.497737084978936,0.34514373933585624,0.8531001140175893,0.5571857489319298,0.3483373150360118,0.20941124558508925,0.14996848355023737,0.11885022274370183,0.1051961873823223,0.09571940712948446,0.27605778562203453,0.28840315031266056,0.25644840365177174,0.22284351492703036,0.19408858775927784,0.15667510701081488,0.11994993031493786,0.10209394837076799,0.16595869074375605,0.1803017740859569,0.16634126503701693,0.1527566058238073,0.14487718535447616,0.13243415351946647,0.1321295634186575,0.11803206356517296,0.1158777356155126,0.09977000638225536,0.09862794856312104
11750.0,0.3614098626396133,0.29308932452503206,0.7095777679633888,0.4246195639463129,0.2558585886905646,0.159220872705117,0.12161860006463679,0.0984011105761134,0.08790225168308842,0.08109610578538408,0.23496328208483072,0.22750974307720706,0.20796966871036954,0.1803017740859569,0.1538154640303035,0.12105981335504823,0.08790225168308842,0.07328245331389041,0.1406047524129914,0.14521116175877424,0.1333521432163324,0.12274392311584072,0.11694993910198709,0.1081433951297938,0.1069054879222658,0.09749896377173872,0.09594006315159331,0.08394599865193973,0.08279421637123341
12000.0,0.3258367010020088,0.2741574171927882,0.6637430704019088,0.38994198667654345,0.23334580622810025,0.14655478409559117,0.11297959146727979,0.09162204901219996,0.08184647881347899,0.07585775750291836,0.2202926463053456,0.21134890398366465,0.19364219639466074,0.16749428760264373,0.14256075936021884,0.11117317272815914,0.07998342550070284,0.06652731562017412,0.1318256738556407,0.13489628825916536,0.1241652307592411,0.11402497875611688,0.10889300933334335,0.10092528860766845,0.0995405417351527,0.09099132726322517,0.08953647655495937,0.07870457896950984,0.07744617978025188
12250.0,0.28183829312644537,0.2529297996446145,0.6081350012787179,0.34593937782612194,0.20653801558105292,0.1321295634186575,0.10327614057613975,0.08413951416451952,0.07498942093324558,0.06998419960022735,0.20370420777057185,0.19230917289101584,0.17660378206861643,0.15240527537972914,0.12852866599436155,0.0993116048420934,0.07014552984199714,0.05847900841444806,0.12189895989248664,0.12274392311584072,0.11297959146727979,0.10399201658290592,0.0993116048420934,0.09246981739382225,0.09078205301781857,0.08356030182312478,0.08222426499470711,0.07261059574351547,0.07112135136533292
12500.0,0.23933157564053875,0.23280912576650079,0.5546257129579107,0.3054921113215513,0.18197008586099836,0.118576874816716,0.09418895965228413,0.07691304402866095,0.06854882264526617,0.06441692655151772,0.18749945080674188,0.17458221529205037,0.16106456351782703,0.1383566378971781,0.11508003889444358,0.08790225168308842,0.061235039172477336,0.051168183554030786,0.11220184543019636,0.11168632477805612,0.10280162981264736,0.0946237161365793,0.09057326008982003,0.084527884516029,0.08279421637123341,0.07638357835776907,0.07533555637337173,0.06668067692136222,0.06516283940608428
12750.0,0.19952623149688797,0.2137962089502232,0.505824662003114,0.26730064086633115,0.15995580286146688,0.10665961212302578,0.08609937521846008,0.07030723198838335,0.06237348354824192,0.0591561634175474,0.17258378919902034,0.15848931924611134,0.14655478409559117,0.1253141174941416,0.10280162981264736,0.07744617978025188,0.053088444423098846,0.04487453899331321,0.10327614057613975,0.10139113857366794,0.0933254300796991,0.08609937521846008,0.08241381150130021,0.07726805850957022,0.07550922276654337,0.06982324040771715,0.06886522963442762,0.06095368972401691,0.059703528658383694
13000.0,0.16368165214278085,0.1963360276836047,0.46025657358135597,0.23334580622810025,0.14092887984218747,0.09638290236239705,0.07870457896950984,0.06426877173170198,0.056754460540854715,0.054325033149243335,0.15885467485977786,0.14421153515248689,0.1333521432163324,0.11297959146727979,0.09120108393559097,0.06792036326171846,0.04613175745603793,0.03944573020752785,0.09506047936562814,0.09225714271547633,0.0849180475036314,0.07834296427662116,0.07516228940182053,0.0706317554262962,0.06870684400142321,0.06382634861905485,0.0628058358813318,0.05559042572704037,0.054575786109127104
13250.0,0.1321295634186575,0.1803017740859569,0.41783036664662176,0.20323570109362218,0.1244514611771385,0.08709635899560805,0.07177942912713618,0.058748935252977655,0.051522864458175645,0.049888448746001214,0.14588142602753484,0.13121998990192033,0.12105981335504823,0.1018591388054117,0.08090958991783821,0.059292532457999966,0.04008667176273028,0.034673685045253165,0.08749837752274359,0.08394599865193973,0.07726805850957022,0.07144963260755134,0.06854882264526617,0.06456542290346556,0.06266138646723353,0.05834451042737448,0.05741164622073274,0.050699070827470445,0.04977370849789361
