Teff,He,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn
8750.0,5559.042572704037,3614.0986263961313,3499.451670283573,3411.9291162192844,3467.368504525317,3213.660538640318,2999.16251898765,2642.4087573219476,2624.218543384442,2376.8402866248757,2333.458062281002,2157.744409152667,2133.0449131465775,1972.4227361148535,1949.8445997580454,1786.4875748520499,1599.5580286146694,1671.090614310707,1655.7699634695275,1485.9356422870076,1406.0475241299143,1336.5955165464418,1324.3415351946644,1261.8275345906707,1256.0299636948755,1199.4993031493793,1216.1860006463678,1129.7959146727976,1106.6237839776663
9000.0,4159.106104940223,2691.5348039269165,2612.1613543992053,2552.701302661247,2594.179362118815,2409.9054286865953,2249.0546058357804,1976.96964011186,1958.844673505989,1778.2794100389228,1741.8068733916145,1610.64563517827,1592.20872705117,1468.9262776438661,1448.7718535447616,1327.3944577297402,1188.502227437019,1238.796586530369,1227.4392311584072,1099.0058394325208,1042.3174293933037,988.553094656939,979.4899854086991,933.2543007969914,928.9663867799363,885.1156098308356,897.4287945007482,833.681184619634,816.5823713585922
9250.0,2910.717118066605,1879.3168168032685,1828.1002161427427,1786.4875748520499,1823.8957023196383,1694.3378004473288,1581.2480392703826,1386.755828871888,1374.041975012515,1244.5146117713857,1218.9895989248662,1122.018454301963,1109.174815262401,1020.9394837076798,1009.2528860766844,922.5714271547629,824.1381150130021,859.013521505396,851.1380382023767,762.0790100254122,721.1074791828997,683.9116472814293,677.641507610675,645.6542290346556,641.2095765851615,612.3503917247733,620.8690342300638,575.4399373371566,563.6376558259543
9500.0,1905.4607179632462,1210.5981335504828,1177.6059735208078,1156.1122421920993,1183.0415557251647,1099.0058394325208,1025.651926251408,899.4975815300355,889.2011178579481,801.6780633876789,785.2356346100718,721.1074791828997,711.2135136533288,654.6361740672747,645.6542290346556,588.843655355589,527.2298614228228,548.2769649208536,543.250331492433,486.4072056914614,460.25657358135584,435.51187368556833,431.519076827765,411.14972110452214,408.3193863326923,389.9419866765436,395.3666200681279,366.43757464783334,358.92193464500536
9750.0,1150.8003889444356,722.7698036021702,704.6930689671467,690.2398038402418,707.945784384138,657.6578373554206,613.7620051647939,537.0317963702527,530.8844442309885,478.6300923226385,466.6593803142887,428.54852039743963,421.6965034285822,387.25764492161727,381.06582339377303,347.53616144320574,310.45595881283555,323.5936569296281,319.88951096913974,285.75905433749466,270.3958364108843,256.4484036517716,253.5128630497907,242.10290467361776,240.43628000069322,229.08676527677724,232.27367963571075,215.77444091526667,211.34890398366477
10000.0,633.869711256927,380.18939632056123,374.1105882720533,369.8281797802663,381.06582339377303,357.27283815192885,332.65955329400435,287.73984147356697,285.10182675039096,254.0972705549304,244.9063241844744,227.50974307720716,223.872113856834,207.49135174549107,206.06299132700005,188.79913490962926,168.65530253887405,171.79083871575875,174.18068733916147,152.05475297324955,143.8798578255845,138.99526312133526,136.14446824659495,130.01695780332898,129.7179270983956,123.31048332289096,125.31411749414156,117.48975549395291,114.81536214968828
10250.0,312.6079367123956,142.8893958511102,157.76112696993485,167.49428760264382,177.0108958317422,171.79083871575875,155.95525028269537,126.76518658578462,125.31411749414156,104.47202192208003,91.20108393559097,95.94006315159331,97.94899854086991,98.8553094656939,101.85913880541169,93.5405674147552,84.52788451602899,74.64487584100665,86.8960429286302,66.98846094165265,63.97348354826482,67.60829753919819,63.24118513762193,61.94410750767815,63.3869711256927,58.210321777087124,58.47900841444806,58.8843655355589,56.88529308438413
10500.0,139.63683610559377,37.583740428844415,56.104797603247064,71.44963260755135,74.30191378967014,72.77798045368242,59.02010801718442,44.157044735331255,42.169650342858226,31.915378551007617,24.434305526939713,33.11311214825911,37.67037989839089,45.08167045414601,46.451527522274944,38.54783576657719,36.55947916131249,26.915348039269155,35.23708710424871,25.52701302661247,25.52701302661247,27.41574171927882,26.121613543992066,26.181830082189848,26.977394324449204,22.8559880337543,21.97859872784825,25.176769277588555,23.334580622810034
10750.0,56.623928903825316,11.641260294104915,21.03778439766475,31.18889584093937,29.308932452503214,27.925438412373378,19.76969640111861,14.588142602753482,13.031667784522993,9.72747223776965,8.165823713585924,12.161860006463678,14.859356422870066,19.054607179632473,18.663796908346693,13.489628825916533,13.520725631942772,9.772372209558107,11.561122421920986,9.72747223776965,10.375284158180126,10.046157902783952,10.209394837076797,9.931160484209338,10.280162981264736,8.550667128846834,8.090958991783824,8.99497581530035,7.925013304804718
11000.0,17.538805018417612,3.9902490236214208,7.5857757502918375,11.587773561551263,9.268298233793491,8.570378452303697,5.520774392807573,4.345102241715716,3.7068072178257596,2.971666031738026,2.884031503126606,4.120975190973302,5.248074602497725,6.208690342300636,5.821032177708714,4.045758916974426,4.073802778041127,3.1841975217261247,3.265878321723358,3.069021988391157,3.4119291162192855,3.2359365692962827,3.2960971217745776,3.1768740706497707,3.1768740706497707,2.8183829312644537,2.69773943244492,2.4717241450161302,2.027682719521282
