tail,v_esc,v0,m_chi_gev,delta_keV,rate_at_event_per_ty,mean_rate_livetime_per_ty,bayes_factor_timing,energy_density_at_event_per_keV,peak_date,fractional_modulation,fraction_of_year_on
sharp,500.0,250.0,1000.0,80.0,3.3053791767473997,3.092797341517661,1.0687344858895356,2.5617684628596167e-05,2023-05-31,0.07198079023048397,1.0
sharp,500.0,250.0,1000.0,100.0,1.644891212647992,1.5023280544270325,1.0948948252685935,4.111210048257774e-05,2023-05-31,0.09869012891613153,1.0
sharp,500.0,250.0,1000.0,120.0,0.7680628037784883,0.684398732291369,1.122244632463026,6.886088593875233e-05,2023-05-31,0.12629522943861549,1.0
sharp,500.0,250.0,1000.0,140.0,0.34094342643040504,0.29614434433620795,1.1512744813500049,0.00011861085222698651,2023-05-31,0.15522209549553972,1.0
sharp,500.0,250.0,1000.0,160.0,0.1459076469345743,0.12347281098289152,1.1816985923710068,0.00020671499199584705,2023-05-31,0.1850456568844303,1.0
sharp,500.0,250.0,1000.0,180.0,0.06163836847075652,0.05094712318380042,1.2098498329019602,0.00035492008872127354,2023-05-31,0.2119869908454901,1.0
sharp,500.0,250.0,1000.0,200.0,0.02681948827798617,0.021822958220485897,1.2289575046159358,0.0005729143988463381,2023-05-31,0.22966035044059246,1.0
sharp,500.0,250.0,1000.0,220.0,0.012586204739495623,0.010160836093223583,1.2386977433766062,0.0008250756798520213,2023-05-31,0.238783170954271,1.0
sharp,500.0,250.0,1000.0,240.0,0.0063788830838253235,0.005074098280146316,1.2571461433422182,0.0010485144635598866,2023-05-31,0.25770098749760817,1.0
sharp,500.0,250.0,1000.0,260.0,0.0032532074889909546,0.0024804429194333405,1.311542976257705,0.0012421675756267442,2023-05-31,0.31130224749281604,1.0
sharp,500.0,250.0,1000.0,280.0,0.0014918241204105976,0.0010429382887346631,1.430404978438889,0.001493462757293077,2023-05-31,0.4202949215485648,1.0
sharp,500.0,250.0,1000.0,300.0,0.0005366933395547038,0.00032197767745997216,1.6668650565734477,0.001978391819460026,2023-05-31,0.6076200818615645,1.0
sharp,500.0,250.0,1000.0,320.0,0.00012229880580665536,5.6679149435004976e-05,2.157738904443117,0.0031460490371027793,2023-05-31,0.8678055309225547,1.0
sharp,500.0,250.0,1000.0,340.0,1.0483795064367605e-05,3.3312275606812974e-06,3.1471266592857665,0.006555875176041532,2023-05-31,0.9976305541798414,1.0
sharp,500.0,250.0,1000.0,360.0,5.0507509994668133e-08,1.0733934194904759e-08,4.7054052202633505,0.01279484541284795,2023-05-31,1.0,0.5205479452054794
