tail,v_esc,v0,m_chi_gev,delta_keV,rate_at_event_per_ty,mean_rate_livetime_per_ty,bayes_factor_timing,energy_density_at_event_per_keV,peak_date,fractional_modulation,fraction_of_year_on
sharp,500.0,238.0,200.0,260.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,238.0,200.0,280.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,238.0,200.0,300.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,238.0,200.0,320.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,238.0,200.0,340.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,238.0,200.0,360.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,238.0,200.0,380.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,238.0,200.0,400.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,238.0,200.0,420.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,238.0,200.0,440.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,238.0,200.0,460.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,238.0,200.0,480.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,238.0,1000.0,0.0,17.701209139005144,18.115580825998357,0.9771262268114234,9.39719414324998e-06,2023-12-02,0.024062328376430433,1.0
sharp,500.0,238.0,1000.0,20.0,14.402520844957872,14.48023355347737,0.9946331868037559,9.754357212534178e-06,2023-12-02,0.005347419473927288,1.0
sharp,500.0,238.0,1000.0,40.0,9.854116516421861,9.65439944092743,1.02068663894802,1.1822832534096595e-05,2023-05-31,0.02216937916805748,1.0
sharp,500.0,238.0,1000.0,60.0,5.7360277938643085,5.466554405915888,1.049294924725673,1.6522816625078366e-05,2023-05-31,0.052047121272894716,1.0
sharp,500.0,238.0,1000.0,80.0,2.955058921870601,2.743037746020116,1.0772942975932822,2.5567563170681616e-05,2023-05-31,0.08089222155939184,1.0
sharp,500.0,238.0,1000.0,100.0,1.39879908162819,1.2657617835879758,1.1051045305405744,4.214523337574761e-05,2023-05-31,0.10919272408101116,1.0
sharp,500.0,238.0,1000.0,120.0,0.6216034023795353,0.5481492142444759,1.1340040015131694,7.232760769327687e-05,2023-05-31,0.13823893652942418,1.0
sharp,500.0,238.0,1000.0,140.0,0.26309722289522075,0.2259176812235759,1.164571190135626,0.00012714201460622802,2023-05-31,0.1685448703535323,1.0
sharp,500.0,238.0,1000.0,160.0,0.10778446576289934,0.09009901154614723,1.1962891036567467,0.00022472797650658792,2023-05-31,0.19944039177963827,1.0
sharp,500.0,238.0,1000.0,180.0,0.04395286573414195,0.03588443542288441,1.224844844740461,0.00038706757467749596,2023-05-31,0.22654868812220907,1.0
sharp,500.0,238.0,1000.0,200.0,0.01868598073749913,0.015026354587154716,1.2435471710133106,0.0006172230066459529,2023-05-31,0.24372217214794062,1.0
sharp,500.0,238.0,1000.0,220.0,0.008627525446666208,0.006872526476916331,1.2553644537630557,0.0008682694085925223,2023-05-31,0.255013284375826,1.0
sharp,500.0,238.0,1000.0,240.0,0.004253896250433415,0.003315715486039228,1.2829497187995726,0.0010829506427558176,2023-05-31,0.2828173962454669,1.0
sharp,500.0,238.0,1000.0,260.0,0.0020486141482728834,0.0015099818332744873,1.3567144339944404,0.0012834671298834522,2023-05-31,0.35373474871343663,1.0
sharp,500.0,238.0,1000.0,280.0,0.0008479220023111832,0.0005598300917526388,1.514605975639191,0.0015829998288647775,2023-05-31,0.492135214704955,1.0
sharp,500.0,238.0,1000.0,300.0,0.0002548384265336341,0.00013838272564008517,1.8415479631210223,0.0022232628772565237,2023-05-31,0.7219279194845066,1.0
sharp,500.0,238.0,1000.0,320.0,4.0419612660263424e-05,1.587719833847951e-05,2.5457648004751343,0.003949814232515977,2023-05-31,0.9639301872596849,1.0
sharp,500.0,238.0,1000.0,340.0,1.2651931021047258e-06,3.2684340868791406e-07,3.8709457448866393,0.009053214879102883,2023-05-31,0.9999992833266119,0.6575342465753424
sharp,500.0,238.0,1000.0,360.0,2.2935743697255803e-10,4.224634554598642e-11,5.429047980561906,0.008838236595924231,2023-05-31,1.0,0.3287671232876712
sharp,500.0,238.0,1000.0,380.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,238.0,1000.0,400.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,238.0,1000.0,420.0,0.0,0.0,0.0,0.0,,,0.0
