halo,m_chi_gev,delta_keV,timing,energy_per_keV,profile,sigma_n_for_one_event_cm2,events_at_ceiling,sideband_per_window_event,sideband_factor,marginal,physical,marginal_rel_global
shm_lz,1000,100.0,1.0990946001982445,6.353743919934261e-05,6.983365633442173e-05,2.6588452755395216e-46,376103118.5980103,0.001132205841215337,0.9988684348619926,6.975463500345411e-05,True,0.0015348872660269175
shm_lz,1000,110.0,1.1115705228849002,8.200897438876246e-05,9.115875854257108e-05,3.9547017245810175e-46,252863570.91973746,0.0014851738832476573,0.9985159284417018,9.102347242172827e-05,True,0.0020028886786196336
shm_lz,1000,120.0,1.1240581577348825,0.00010646517682785767,0.0001196730505280402,5.949260493995622e-46,168088118.01219073,0.0019629689884506293,0.9980389563751585,0.00011943836645523685,True,0.002628132564067201
shm_lz,1000,130.0,1.1365864869704578,0.0001387355129428351,0.00015768490927374143,9.035157372189562e-46,110678758.41078596,0.002608932027993989,0.9973944682774712,0.00015727405624046462,True,0.003460672487038845
shm_lz,1000,140.0,1.1491560369168943,0.00018109007695820865,0.00020810075516227043,1.3825997270210625e-45,72327513.1953477,0.00347948069289574,0.9965265656852654,0.00020737793085836762,True,0.0045631626531162746
shm_lz,1000,150.0,1.1617456603507077,0.00023624051529536817,0.000274451393443409,2.1273718748362957e-45,47006356.14433662,0.004646005965499394,0.9953647700253179,0.00027317924811792683,True,0.006011060759736623
shm_lz,1000,160.0,1.1742028539438034,0.00030723016836373655,0.0003607505405103347,3.283291369826957e-45,30457242.058681633,0.006194283395793049,0.9938248616273045,0.0003585228560046587,True,0.007888969187981609
shm_lz,1000,170.0,1.1862253959679825,0.00039705374712660377,0.00047099523840582675,5.0666255915137934e-45,19737002.111916915,0.008217801642699023,0.9918158721844756,0.0004671405531742101,True,0.01027900277130488
shm_lz,1000,180.0,1.1973838666052699,0.0005079439647657052,0.000608203908549971,7.786667287331201e-45,12842464.729769386,0.010802307012600921,0.989255828385354,0.0006016692613798117,True,0.013239184573268347
shm_lz,1000,190.0,1.2071877109676223,0.0006403176626079108,0.0007729836134157821,1.1863740246239962e-44,8429044.965957811,0.013999943120478827,0.9860976003516196,0.0007622372863004268,True,0.0167723378435785
shm_lz,1000,200.0,1.215244791532214,0.000791612007570326,0.0009620023691141982,1.7836288816203649e-44,5606547.473550299,0.017797938519980024,0.9823595093217162,0.0009450321752893523,True,0.02079457303110421
shm_lz,1000,210.0,1.2215090597997265,0.0009556441929928965,0.0011673280396858213,2.635981876586898e-44,3793652.789809058,0.022098434675023326,0.9781439470306957,0.0011418148562178938,True,0.025124596851268992
shm_lz,1000,220.0,1.2265252835575886,0.0011232913706085697,0.0013777452668534682,3.822547429902465e-44,2616056.4867746215,0.026732899756842805,0.9736212612727508,0.0013414020844264363,True,0.02951633218217182
shm_lz,1000,230.0,1.2315109160207256,0.0012848396120850578,0.0015822940076185834,5.445615001056643e-44,1836339.8804468634,0.031521309119648594,0.9689703083295077,0.0015331959124301113,True,0.033736580833617275
shm_lz,1000,240.0,1.2382084676056753,0.001433138838516777,0.0017745246451060358,7.655545587634161e-44,1306242.629676556,0.036356725556363205,0.9642962430071871,0.0017111674483994124,True,0.0376526825272324
shm_lz,1000,250.0,1.2485887809756,0.0015660578774599639,0.001955362296154972,1.0698872985322338e-43,934677.8874484152,0.041275152232438696,0.9595650671503342,0.0018762973530131774,True,0.04128621580884669
shm_lz,1000,260.0,1.2646243492746916,0.0016870886926967726,0.0021335334401703463,1.500321318564457e-43,666523.8890005401,0.04648889462923307,0.9545751614221996,0.002036618028050269,True,0.044813926370060105
shm_lz,1000,270.0,1.288266342003024,0.0018044423378192247,0.0023246023298977574,2.1332496648205154e-43,468768.3849157603,0.052397734976339295,0.9489513606271871,0.002205934543873606,True,0.04853958222149443
shm_lz,1000,280.0,1.3216434745831487,0.0019297687272292086,0.0025504662457971118,3.1096725295171063e-43,321577.26915228844,0.05961872787922531,0.942123670605355,0.0024028546212454343,True,0.05287262932536198
shm_lz,1000,290.0,1.3674415462933067,0.0020775610316308133,0.0028409432696119567,4.70240797843925e-43,212657.00564158717,0.06908326782994738,0.933248967226455,0.002651307372314307,True,0.05833960601882593
shm_lz,1000,300.0,1.4294589275102996,0.0022658258673151103,0.003238905014217352,7.473911019521173e-43,133798.75641924175,0.08226902536166207,0.9210241465098474,0.002983109726346002,True,0.06564061487674319
shm_lz,1000,310.0,1.5134263603978286,0.0025183421170570943,0.0038113253444542806,1.2680619834103613e-42,78860.49838909075,0.10170668381156885,0.903294463704608,0.0034427490830226098,True,0.07575456064526158
shm_lz,1000,320.0,1.6282835268681388,0.0028689231854720494,0.004671420362754204,2.342290757412153e-42,42693.247917044944,0.132110808113603,0.8762438947666862,0.00409330357275215,True,0.09006942018245313
shm_lz,1000,330.0,1.7881568134783947,0.0033684389733291756,0.006023297100944734,4.8363826429205e-42,20676.610471750013,0.18309561248752845,0.8326885365085434,0.005015530447941822,True,0.11036218333785248
shm_lz,1000,340.0,2.0148931707190503,0.004094720777895055,0.008250424931382144,1.1585170450168915e-41,8631.724533542965,0.27639805796208794,0.7585109393414488,0.006258037564668778,True,0.13770242175093556
shm_lz,1000,350.0,2.3385147362572027,0.0051591325675465595,0.012064707535512089,3.3981169629922716e-41,2942.8062979899096,0.4678243668441551,0.6263635241998633,0.007556892730383999,True,0.16628254770487189
shm_lz,1000,360.0,2.78697451900831,0.006673229544899492,0.018598120701128304,1.326355717600241e-40,753.9455567841843,0.9297193804296077,0.39466444540078377,0.007340016992007638,True,0.16151039444039594
