key,ra,dec,tmass_reached,wise_reached,ks,e_ks,h,j,tmass_qual,tmass_rflg,tmass_sep_arcsec,w1,e_w1,w2,e_w2,w3,e_w3,w4,e_w4,wise_qual,wise_cc,wise_ext,wise_sep_arcsec
HD  71155,126.41513277136585,-3.9064272186819444,True,True,4.079,0.254,4.09,4.117,DCD,333,0.048904971067122965,3.927,0.314,3.556,0.266,3.925,0.016,3.429,0.02,BBAA,d000,0,0.6096780218645357
HD  72673,128.2145653347,-31.500851377865832,True,True,4.438,0.036,4.763,5.333,DDE,331,0.16995300967150573,,,,,,,,,,,,
HD  75732,133.14921293501794,28.330820831797222,True,True,4.015,0.036,4.265,4.768,DDE,331,0.2248182182308083,,,,,,,,,,,,
HD  76151,133.57477956862334,-5.434459527358611,True,True,4.456,0.023,4.625,4.871,EDA,131,0.49611658399992425,4.421,0.356,4.313,0.054,4.467,0.013,4.399,0.028,CAAA,0000,0,4.552802246901011
HD   7788,18.94203792959625,-68.8759448102925,True,True,3.876,0.036,3.457,3.759,DDE,331,0.4195224332186347,3.68,0.53,3.233,0.292,3.668,0.014,3.631,0.019,CBAA,h000,1,4.824568806412375
HD  81937,142.88211696306456,63.06185995089555,True,True,2.864,0.292,3.025,3.222,DDD,333,0.05844882766393536,1.606,,1.49,,2.849,0.012,2.761,0.019,UUAA,hh00,1,0.7244024142756662
HD  88955,153.68398203349875,-42.12194134188417,True,True,3.775,0.282,3.713,3.858,DDD,333,0.13556725010419846,3.724,0.408,3.349,0.308,3.762,0.015,3.614,0.024,CBAA,h000,1,1.840105310611271
HD  89449,154.93403005227668,19.470912768482776,True,True,4.02,0.314,3.944,4.037,DDD,333,0.6510907921063758,3.654,0.351,3.392,0.302,3.721,0.015,3.674,0.022,BBAA,0000,0,3.0638399628891606
HD  90132,155.87206698759,-38.00984042183,True,True,4.686,0.021,4.789,4.852,AFA,111,0.2008512538287533,4.629,0.242,4.376,0.141,4.718,0.014,4.639,0.029,BBAA,0000,0,1.769693685383798
HD  91324,157.84092029716916,-53.71548360761639,True,True,3.582,0.214,3.588,3.912,CCC,333,0.15729687492526437,2.779,,3.3,0.313,3.645,0.016,3.562,0.023,UBAA,HHH0,1,4.629687974280162
HD  95418,165.46033229797294,56.382433649496384,True,True,2.285,0.244,2.359,2.269,DCD,333,0.16691738012026372,1.156,,0.845,,2.461,0.009,2.138,0.023,UUAA,hh00,0,0.9935052890487169
HD  97603,168.52708926588556,20.523718139047475,True,True,2.144,0.206,2.191,2.238,DCC,333,0.4558462015470869,0.761,,0.585,,2.34,0.013,2.276,0.017,UUAA,HHH0,0,2.131362138300206
HD   9826,24.199339768294585,41.40545871334139,True,True,2.859,0.274,2.957,3.175,CCD,333,0.4465537920687264,1.816,,1.709,,2.853,0.013,2.816,0.022,UUAA,hh00,1,4.364280117447003
HD  99211,171.2205150667429,-17.684011879005833,True,True,3.546,0.526,3.523,3.648,DDD,333,0.8399305536069493,2.698,,3.206,0.339,3.519,0.015,3.489,0.023,UBAA,0000,1,0.8049028384732724
HD 116842,201.30640763875,54.98795966138889,True,True,3.145,0.244,3.295,3.291,DDD,333,0.1321948255490349,3.593,0.497,3.254,0.298,3.598,0.015,3.564,0.02,CBAA,hh00,0,1.1383971905655659
HD 120136,206.8155757166775,17.456891543222227,True,True,3.507,0.348,3.546,3.617,DDD,333,1.0390998003288463,,,,,,,,,,,,
HD 126660,216.2991539590004,51.85074367335807,True,True,2.739,0.332,2.98,3.179,DCD,333,0.3592485045411907,,,,,,,,,,,,
HD 128167,218.67007244468,29.745127131650005,True,True,3.336,0.324,3.462,3.561,DDD,333,0.1945888038977717,3.478,0.415,3.146,0.135,3.507,0.01,3.444,0.019,CBAA,hhpp,0,2.525189317371688
HD 131156,222.8474163722046,19.100472048411426,True,True,1.971,0.6,2.253,2.66,DDD,333,2.198668986676624,,,,,,,,,,,,
HD 135379,229.37853938357503,-58.80120701859055,True,True,3.875,0.178,3.806,3.928,DDC,333,0.258520538890497,3.796,0.302,3.574,0.219,3.853,0.015,3.363,0.02,BBAA,HHH0,1,1.630572899086652
HD 139006,233.67195203403162,26.714685000024716,True,True,2.206,0.362,2.394,2.249,DCD,333,0.14750438798771154,0.942,,0.935,,2.263,0.008,1.94,0.013,UUAA,hh00,0,1.433503674406608
HD 139664,235.29740336214545,-44.66120602675139,True,True,3.802,0.296,3.732,4.023,DDD,333,0.2582125174767658,3.681,0.348,3.087,0.199,3.65,0.015,3.521,0.019,BBAA,0000,1,3.3718414838296
HD 141004,236.61089255068003,7.353068716340001,True,True,2.989,0.23,3.07,3.43,DCD,333,0.11105433845549018,2.05,,1.948,,3.0,0.011,2.971,0.02,UUAA,hh00,0,2.3225359460398214
HD 141795,237.7040219606796,4.477730970842778,True,True,3.425,0.266,3.44,3.564,DDD,333,0.13764669477815578,3.441,0.391,3.109,0.246,3.458,0.016,3.445,0.021,CBAA,0000,0,1.5479258579728261
HD 141891,238.785675265,-63.43072653638888,True,True,2.152,0.29,2.209,2.23,DDD,333,0.18195758302553938,,,,,,,,,,,,
HD 142091,237.8080470598467,35.65738158087722,True,True,2.423,0.242,2.575,3.035,CCD,333,0.1837824436650846,1.598,,1.38,,2.525,0.007,2.398,0.017,UUAA,0h00,0,3.5685286910927223
HD 142860,239.11326107375749,15.661613772328334,True,True,2.703,0.314,2.875,3.149,DDD,333,0.5695871386754076,,,,,,,,,,,,
HD 146233,243.90529281485533,-8.369439479286111,True,True,4.186,0.292,4.162,4.667,DCD,333,0.3579235906199821,,,,,,,,,,,,
HD 149661,249.08937370706997,-2.3245869511758324,True,True,4.039,0.234,4.053,4.446,DCD,333,0.43446220982326106,,,,,,,,,,,,
HD 152391,253.24501048327,-0.02642177669888889,True,True,4.835,0.029,4.942,5.235,AAA,111,0.6769307903507774,,,,,,,,,,,,
HD 160032,265.09927324399,-49.41558312680999,True,True,3.83,0.294,3.702,4.021,DDD,333,0.11069627525871958,3.723,0.357,3.333,0.269,3.738,0.016,3.641,0.026,CBAA,HHH0,1,2.398140679878805
HD 160915,265.857473075892,-21.68319414243306,True,True,3.877,0.28,3.787,4.081,DDD,333,0.2615940578304483,3.711,0.385,3.389,0.274,3.729,0.014,3.663,0.022,CBAA,0000,1,0.806969460747187
HD 161868,266.9731691245113,2.7072791218991665,True,True,3.622,0.232,3.661,3.587,DCD,333,0.05715235190961796,3.677,0.412,3.356,0.247,3.646,0.016,3.118,0.02,CBAA,0h00,0,0.8650419968769232
HD 162003,265.48359320893996,72.14886878277,True,True,3.502,0.362,3.648,3.803,DDD,333,1.3541474157378643,,,,,,,,,,,,
HD 164259,270.12087522471666,-3.6902715468230562,True,True,3.639,0.238,3.665,3.928,DCD,333,0.2522334892114846,3.705,0.299,3.319,0.237,3.715,0.014,3.64,0.022,BBAA,0000,0,1.78334369794689
HD 165777,271.83743686336254,9.563846726640831,True,True,3.412,0.192,3.426,3.509,DCC,333,0.2070177268403092,3.455,0.491,3.059,0.355,3.434,0.012,3.393,0.022,CBAA,hh00,0,1.1859868752382288
HD 172167,279.234734787025,38.783688956244,True,True,0.129,0.186,-0.029,-0.177,CBC,333,0.03388584201324396,-2.034,,-2.082,,0.017,0.068,-0.157,0.007,UUAA,hh00,0,3.780598129701011
HD 172555,281.3620874193479,-64.87125966888472,True,True,4.298,0.031,4.251,4.382,DCE,331,0.08738553655525949,4.335,0.247,4.065,0.166,3.624,0.015,2.355,0.022,BBAA,hh00,0,1.603942641504243
HD 173667,281.41552366368626,20.54630919062889,True,True,3.19,0.256,3.286,3.527,DCD,333,0.08728608473017536,2.399,,2.289,0.271,3.09,0.011,3.023,0.017,UBAA,0h00,1,4.021572285843758
HD 177724,286.35253339791666,13.86347728111111,True,True,2.876,0.36,3.048,3.084,DDD,333,0.19606769967211204,2.023,,1.611,,2.949,0.014,2.896,0.019,UUAA,0h00,0,0.9081719090527146
HD 178253,287.3680896456666,-37.90447440014084,True,True,4.049,0.272,3.915,4.094,DDD,333,0.33752441724291987,4.026,0.265,3.594,0.179,3.974,0.015,3.695,0.026,BBAA,0000,0,1.6156655068643622
HD 182572,291.24249988095914,11.94441346681389,True,True,3.037,0.32,3.327,3.553,CCD,333,0.5013092470123102,,,,,,,,,,,,
HD 185144,293.0899592077504,69.66117661255723,True,True,2.9,0.324,3.039,3.423,DCD,333,1.1412952946303716,,,,,,,,,,,,
HD 185395,294.11055446568747,50.22110138999945,True,True,3.537,0.296,3.716,3.878,DDD,333,0.4006888061070649,3.515,0.421,3.052,0.406,3.517,0.015,3.416,0.023,CCAA,dddd,1,3.077558366384988
HD 187642,297.69582729638694,8.868321196436963,True,True,0.102,0.248,0.102,0.313,CDD,333,0.18669201057416995,,,,,,,,,,,,
HD 188228,300.14813137628624,-72.9105035987675,True,True,3.8,0.258,3.762,3.798,DDD,333,0.3077230844765156,4.1,0.332,3.724,0.195,4.086,0.014,4.001,0.024,BBAA,00p0,1,1.6310751635708876
HD 191408,302.7997448709225,-36.10120881266862,True,True,3.008,0.602,2.999,3.518,DDD,333,2.5387546306804234,,,,,,,,,,,,
HD 192425,303.56924451093,15.197607338079997,True,True,4.767,0.017,4.801,4.865,DEA,311,0.1847448587369237,4.76,0.224,4.5,0.112,4.765,0.015,4.321,0.026,BBAA,0h00,0,1.015380653383574
HD 195627,308.89520861537994,-60.58174912319,True,True,4.044,0.236,4.016,4.28,DDD,333,0.2623818465832954,4.06,0.229,3.582,0.193,4.045,0.015,3.865,0.024,BBAA,0000,0,2.1259490445546714
HD 197157,311.00972491813707,-51.92097035308806,True,True,3.82,0.268,3.692,3.909,DDD,333,0.029453414265636968,3.915,0.348,3.497,0.252,3.927,0.015,3.853,0.022,BBAA,0000,1,2.202080760300172
HD 197692,311.5238874801846,-25.27089819194861,True,True,3.094,0.262,3.104,3.363,DCD,333,0.1467831647048152,2.421,,2.752,0.467,3.145,0.014,3.104,0.021,UCAA,0000,1,1.1872029167968876
HD 202730,319.96662273615,-53.44942607516,True,True,4.145,0.026,4.224,3.426,DEA,311,0.312371211765288,3.751,0.404,3.402,0.262,3.838,0.016,3.861,0.022,CBAA,0000,1,0.7561195061240412
HD 203280,319.6448846972256,62.5855744637194,True,True,2.066,0.242,2.134,2.154,DCD,333,0.12389524512028072,0.058,,0.216,,1.986,0.012,1.885,0.015,UUAA,hhh0,0,1.6327826870734834
HD 203608,321.61085409436373,-65.3661980715336,True,True,2.969,0.252,2.992,3.34,DDD,333,0.4434468667121427,3.706,0.244,3.637,0.095,4.239,0.013,2.761,0.016,BAAA,hhh0,1,1.5040586027051392
HD 206860,326.13054144214,14.7719398035,True,True,4.559,0.038,4.598,4.793,EEA,111,0.28930553721375135,4.506,0.221,4.294,0.133,4.558,0.015,4.488,0.029,BBAA,0000,0,2.6474390563948145
HD 207129,327.06562984757784,-47.30361608148555,True,True,4.236,0.24,4.306,4.72,CED,313,0.1015336677881951,4.116,0.353,3.817,0.229,4.156,0.014,4.065,0.027,BBAA,hhh0,0,3.5856261224542347
HD 209100,330.8402234423433,-56.785978554364995,True,True,2.237,0.24,2.349,2.894,DCD,333,0.7710306946913352,,,,,,,,,,,,
HD 210027,331.75277295908,25.345098996239997,True,True,2.564,0.29,2.729,2.954,DCD,333,0.20766814804131734,1.388,,1.306,,2.671,0.007,2.619,0.02,UUAA,hh00,0,3.1925796908779716
HD 210302,332.53658414455214,-32.54840841508611,True,True,3.704,0.292,3.639,3.93,DDD,333,0.34983125098033047,3.81,0.344,3.542,0.275,3.821,0.014,3.788,0.027,BBAA,dhh0,0,4.734182491308489
HD 215648,341.67324939263915,12.172885794474443,True,True,2.961,0.286,3.078,3.358,DCD,333,0.48102144423258864,,,,,,,,,,,,
HD 216435,343.40805145924,-48.59828442455,True,True,4.612,0.02,4.687,5.008,EEA,111,0.1853419546344806,4.589,0.229,4.34,0.165,4.627,0.016,4.566,0.026,BBAA,0000,0,2.630735226917944
HD 216956,344.4126927211701,-29.622237033389442,True,True,0.945,0.286,0.937,1.037,DDD,333,0.7517769415436162,-1.472,,-0.75,,1.111,0.082,0.79,0.016,UUAA,hh00,0,3.786508867672108
HD 219482,349.24036453178,-62.00119779668,True,True,4.437,0.015,4.606,5.1,DDE,331,0.2026856819637934,4.387,0.291,4.01,0.186,4.412,0.015,4.259,0.025,BBAA,0000,0,1.7370149145865044
HD 219571,349.35731852264,-58.23570137616001,True,True,3.043,0.276,3.077,3.316,DCD,333,0.38810382988086384,1.933,,1.269,,2.938,0.012,2.878,0.018,UUAA,0000,0,0.717374488699157
HD 222368,354.9876691817333,5.626292753319723,True,True,2.946,0.288,2.988,3.299,DDD,333,0.5123974488658248,,,,,,,,,,,,
HD 224392,359.39616103627,-64.29822981874,True,True,4.824,0.021,4.949,4.91,EAA,111,0.043785399971021946,4.818,0.21,4.573,0.09,4.902,0.015,4.839,0.026,BAAA,0000,0,1.3069314471557139
