n_epochs,max_depth,n_dips,dip_duty_cycle,asymmetry,best_period_d,period_power,score,n_dip_events,out_of_dip_rms,max_event_depth,source_id,ra,dec,g_mag,bp_rp,parallax,hr_class,secular_slope_mag_yr,secular_sigma,secular_total_mag,secular_score,is_secular_fader,glint_max_brighten,glint_sigma,glint_events,glint_score,is_glint,resists_mundane,is_candidate,shared_epoch_frac,rejected_shared_epoch
88,0.2516289687773656,22,0.25,1.856359475071688,0.99736582738246,0.5431880467614159,0.5713815685043012,1,0.0,0.2516289687773656,1616206300004611,149.2061288,21.0921664,,,,unknown,0.027381253861609615,3.0988398068452376,0.1850970062651294,0.5401602788449288,False,0.22168235128340608,5.762727726747135,0,0.0,False,False,False,0.9166666666666666,
90,0.2795407859181994,47,0.5222222222222223,0.34326064847258164,0.23283361664074897,0.3290095192960318,0.5712971442111905,12,0.09173615082554923,0.25375017893974805,1616205300003857,150.8181871,21.09611915,,,,unknown,0.000697736561425748,0.14218512313110243,0.004715740833221687,0.008252546458137952,False,0.6206930136369639,15.768737189149498,5,0.0,False,False,False,0.9444444444444444,
92,0.6553190383058543,9,0.09782608695652174,1.4276096513274694,1.0513317229740426,0.24890731534284177,0.5710968875300287,1,0.0166291656489223,0.6553190383058543,1616206400011196,150.16846149999998,21.1952024,,,,unknown,0.010777023983278533,4.144259197863097,0.07283782178227355,0.2190069239480265,False,0.30867546393977974,6.8311545157675155,1,0.23877326831398615,False,False,False,1.0,
639,0.3661170009612148,137,0.21439749608763695,0.784336561318035,0.11709074206481823,0.058675244799263185,0.5688259979887925,25,0.06670045066133783,0.3594126709175359,570213400014074,148.9329313,21.073368,,,,unknown,0.008774413263998651,2.0546278986238233,0.06537484044281894,0.13523930410826646,False,0.946535820085957,18.336990061877547,30,0.0,False,False,False,0.6274509803921569,
586,0.13485974544190715,41,0.06996587030716724,0.867581221851745,0.9970787658196605,0.058980961386114014,0.5649236243873502,4,0.009910281177268386,0.13485974544190715,571216400006317,149.20872785,21.119478649999998,,,,unknown,0.0002821800533824296,0.13861207329944364,0.0021024336630967996,0.0036792589104193986,False,0.1516135335904547,7.478344963268409,0,0.0,False,False,False,0.6,
559,0.1277716628966321,33,0.059033989266547404,1.187778532768214,0.21327615341950823,0.04254708006228336,0.5647850238464406,3,0.0,0.1277716628966321,571215300007433,150.3017586,21.0645273,,,,unknown,0.007835668279666058,3.194544205330404,0.058252486420267514,0.13833872099523378,False,0.09521383179446286,5.651288685973267,0,0.0,False,False,False,1.0,
91,0.17050731593436363,16,0.17582417582417584,1.3879073128859825,0.996024534649545,0.4093284621250285,0.5636191083745299,6,0.0,0.13079847422303503,1616205300004103,150.8797749,21.0641543,,,,unknown,0.0020667713139152135,0.1791739487300535,0.013968535428393774,0.024444936999689103,False,0.1714158068118805,6.403708439425331,0,0.0,False,False,False,0.75,
527,0.5249726490419429,98,0.1859582542694497,1.6825109792463488,0.9966453407011423,0.35484159753792405,0.5594981794934037,19,0.06604539039987466,0.5249726490419429,571216400006280,149.3868505,21.1260926,,,,unknown,-0.047629302294186764,3.4812086524388577,-0.35513120986045754,0.0,False,0.6176693612164934,9.120143666979736,4,0.31646059815963085,False,False,False,0.9794871794871794,
458,0.47480333458310775,46,0.10043668122270742,0.7566635948526512,0.24941588316454877,0.06900825577003906,0.5592975232689883,3,0.09688700016104024,0.4467505383511796,571216400013221,149.63165220000002,21.1796227,,,,unknown,0.0007612879952509455,0.15032614353925144,0.005676277286948796,0.07243348525216038,False,1.6952556182618759,24.541597298037416,19,0.0,False,False,False,1.0,
80,0.2570784297375621,34,0.425,0.8379921268632843,0.214069467167368,0.1533858579737017,0.5589975543356058,3,0.0416622294240946,0.2570784297375621,1616206300021992,149.0004533,21.15070395,,,,unknown,0.0006919883582022241,0.23696793418327358,0.004677834481975187,0.11235287701012323,False,0.44459011913605084,17.323475300685672,1,0.4469359292297428,False,False,False,0.9523809523809523,
