kepoi_name,tic_id,family,author,flux_column,status,n_segments,segment_list,exptimes_s,n_transits,depth_ppm,depth_err_ppm,depth_err_method,oot_scatter_ppm,odd_even_sigma,smeared,is_primary_reduction
K06130.01,1.2025501e+08,sap,SPOC,SAP_FLUX,OK,3,"74,80,81",120,50,311.14346,553.18345,bootstrap,12961.462,0.84524259,False,True
K06130.01,1.2025501e+08,sap,TESS-SPOC,SAP_FLUX,OK,3,"74,80,81",200,50,358.2313,512.11189,bootstrap,10144.586,0.57458534,False,False
K04351.01,1.2133336e+08,pdc,SPOC,PDCSAP_FLUX,OK,2,"80,81",120,71,86.390562,758.98623,bootstrap,22726.507,0.32495818,False,True
K04351.01,1.2133336e+08,pdc,TESS-SPOC,PDCSAP_FLUX,OK,2,"80,81",200,70,1029.4232,939.1525,bootstrap,17313.076,0.59840409,False,False
K04351.01,1.2133336e+08,sap,SPOC,SAP_FLUX,OK,2,"80,81",120,80,-8.0423739,290.28384,bootstrap,8971.8639,0.69777206,False,True
K04351.01,1.2133336e+08,sap,TESS-SPOC,SAP_FLUX,OK,2,"80,81",200,80,287.61372,433.67909,bootstrap,6426.3046,1.0817677,False,False
K06601.01,2.5834908e+08,pdc,SPOC,PDCSAP_FLUX,OK,3,"74,80,81",120,4,-914.20387,1032.5288,analytic,13281.852,1.4950227,False,True
K06601.01,2.5834908e+08,pdc,TESS-SPOC,PDCSAP_FLUX,OK,3,"74,80,81",200,4,-155.85693,1286.3729,analytic,11959.562,1.6952874,False,False
K06601.01,2.5834908e+08,sap,SPOC,SAP_FLUX,OK,3,"74,80,81",120,4,-980.4323,845.58042,analytic,10708.789,1.618543,False,True
K06601.01,2.5834908e+08,sap,TESS-SPOC,SAP_FLUX,OK,3,"74,80,81",200,4,-227.41196,947.05088,analytic,8692.9151,1.7054536,False,False
K04633.01,3.9417343e+08,pdc,SPOC,PDCSAP_FLUX,OK,4,"74,75,80,82",120,9,-372.09087,479.64953,bootstrap,9822.2482,0.70545056,False,False
K04633.01,3.9417343e+08,pdc,TESS-SPOC,PDCSAP_FLUX,OK,4,"74,75,80,82",200,9,-227.93868,434.23073,bootstrap,7687.5773,0.66975983,False,False
K04633.01,3.9417343e+08,pdc,QLP,KSPSAP_FLUX,OK,5,"14,40,41,54,55","1800,600",10,555.16252,304.79828,bootstrap,6309.877,1.1373976,False,False
K04633.01,3.9417343e+08,pdc,QLP,DET_FLUX,OK,4,"74,75,80,82",200,9,-585.35898,383.98502,bootstrap,10145.015,0.19089825,False,False
K04633.01,3.9417343e+08,sap,SPOC,SAP_FLUX,OK,4,"74,75,80,82",120,9,-327.07922,327.87029,bootstrap,4804.3711,1.2880329,False,False
K04633.01,3.9417343e+08,sap,TESS-SPOC,SAP_FLUX,OK,4,"74,75,80,82",200,9,-372.2084,303.74934,bootstrap,3799.565,1.3863543,False,False
K04633.01,3.9417343e+08,sap,QLP,SAP_FLUX,OK,9,"14,40,41,54,55,74,75,80,82","1800,200,600",19,-16.863927,362.73054,bootstrap,8536.0593,0.72523831,False,True
K03190.01,1.7065042e+08,pdc,SPOC,PDCSAP_FLUX,OK,1,15,120,2,506.31953,398.93679,analytic,3686.7774,0.65643103,False,False
