n_epochs,max_depth,n_dips,dip_duty_cycle,asymmetry,best_period_d,period_power,score,n_dip_events,out_of_dip_rms,max_event_depth,source_id,ra,dec,g_mag,bp_rp,parallax,hr_class,secular_slope_mag_yr,secular_sigma,secular_total_mag,secular_score,is_secular_fader,resists_mundane,is_candidate
595,0.25151507806476947,9,0.015126050420168067,0.869131889391941,0.996431632801406,0.03546468050072478,0.6893605958497826,2,0.0,0.25151507806476947,623210400002655,174.9831155,26.8334503,,,,unknown,0.0022357761686715217,0.4615802454751232,0.016614960577147033,0.029076181010007304,False,False,False
815,0.440056891416701,31,0.03803680981595092,0.7840557091248189,0.5000587047023699,0.038946252509917345,0.6876492796905656,3,0.010222281518819766,0.21421129125707683,623210300030140,174.4513294,26.8699083,,,,unknown,0.005059798330621766,2.473208398131769,0.03551295760313508,0.062147675805486385,False,False,False
585,0.32969317710081747,13,0.022222222222222223,0.8718929939897132,3.370282388934371,0.04167272905675776,0.6874981812829727,2,0.0,0.21760360628276965,623209300008517,176.0350015,27.0646248,,,,unknown,-0.0017708172899387395,0.8438952086722366,-0.012491697255035702,0.0,False,False,False
793,0.3885759914475998,15,0.018915510718789406,0.7672497894736533,0.9995650052089261,0.04212509334708033,0.687362471995876,2,0.0,0.3885759914475998,623210300020682,174.5561324,26.9309845,,,,unknown,0.004722844624704819,1.3849462972455342,0.03309658133058965,0.057919017328531885,False,False,False
583,0.30735304711255274,53,0.09090909090909091,0.6235299217759971,0.49817399753280744,0.06409983080800713,0.6861047108948429,6,0.03822177995425163,0.25522356320572714,623210400022964,174.7228402,26.849485,,,,unknown,0.010941469107472998,2.9694633487816904,0.07724285645547091,0.16358408970616498,False,False,False
834,0.20092240838043895,98,0.11750599520383694,0.9516122074545444,0.2496512500808868,0.0902237387405391,0.6849307171150422,14,0.021672032021479156,0.18670782837887534,623210300002931,174.4545665,26.858615450000002,,,,unknown,0.006406784600688907,1.8013179753041872,0.04743627101465302,0.08301347427564278,False,False,False
321,0.5648040551087108,5,0.01557632398753894,1.081371296345452,0.11354027192196484,0.06821478203165275,0.6844178431712313,2,0.0,0.5648040551087108,623209300017976,175.7297648,26.8426481,,,,unknown,-0.0005516132558732219,0.12515404468919472,-0.0038874451022372987,0.0,False,False,False
828,0.3262603044010638,44,0.05314009661835749,0.8382099794060855,0.2057402534253686,0.0329603548448985,0.6832559261723588,4,0.02228532245805726,0.25981565409434015,623210300001416,174.41125985,26.98699575,,,,unknown,0.007293369207833618,2.2168320683755223,0.0511499115123333,0.08951234514658327,False,False,False
830,0.30021895266753895,92,0.1108433734939759,0.8732526370051273,0.997225015163674,0.09634962762404198,0.6830756863127252,15,0.029577903704782665,0.30021895266753895,623210300002984,173.9230616,26.8570305,,,,unknown,0.008028466120765727,3.0071405934865916,0.05944331181286352,0.16709704315143847,False,False,False
813,0.35029313451674415,100,0.12300123001230012,0.946323101034659,1.0000543860884066,0.044633612961992024,0.6772452178655437,15,0.0366929946533815,0.29040070392864015,623210300002584,174.5142099,26.8880087,,,,unknown,0.0045753775300802595,1.382650034812403,0.032088071936322335,0.056154125888564076,False,False,False
590,0.29154386091821916,64,0.10847457627118644,0.7472774507314563,0.9972267695908789,0.06970883081483972,0.6740337115111883,10,0.041684546414786604,0.271289398192772,623210400002684,175.34886615,26.8262364,,,,unknown,-0.001099967366515766,0.19406514088042734,-0.008175780738934728,0.0,False,False,False
36,0.5920225491928898,24,0.6666666666666666,0.46329239755076085,0.9977011088322678,0.9208295461906796,0.67,7,0.0,0.5920225491928898,1668203300000560,175.7385715,26.80161755,,,,unknown,-0.21709221650209518,7.6918681009039105,-0.8671763983743982,0.0,False,False,False
