jname,bname,ra,dec,pos_err_arcsec,match_radius_arcsec,pmra,pmdec,p0_s,p1,edot_w,dist_kpc,assoc,binary,bincomp,ptype,allwise_match,allwise_dist_arcsec,allwise_n_control_hits,allwise_p_chance,catwise_match,catwise_dist_arcsec,catwise_n_control_hits,catwise_p_chance,designation,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,W4mag,ph_qual,cc_flags,catwise_name,W1mag_cat,W2mag_cat,pmra_catwise,pmdec_catwise,w1_w2,t_colour_k,shape_class,p_chance,veto_reason,verdict,ring_candidate,f_min_300K_W2,f_min_500K_W2,f_min_700K_W2,ring_radius_300K_au,ring_radius_500K_au,ring_radius_700K_au
J1946-1312,,296.7409370495833,-13.209410258333332,0.4789094134134102,1.5,,,0.9837331919310454,3.974471187868404e-15,1.6481893915038396e+25,2.382,,,,,False,,0,0.07808157711903659,False,,0,0.16153311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,3.764083690611185,0.44891443753175764,0.28625178924951455,0.17860550464688013,0.06429798167287686,0.032805092690243294
J1946-2913,B1943-29,296.7156332733333,-29.22975638611111,0.1333534004406967,1.5,19.0,-33.0,0.9594493179932488,1.4883440383450697e-15,6.652684894166328e+24,1.54,,,,,False,,0,0.07808157711903659,False,,0,0.16153311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,3.897870078322373,0.4648701510400887,0.29642600321693524,0.11347227426075567,0.04085001873387204,0.020841846292791857
J1946-5403,,296.6437375,-54.06180833333333,0.0479326971137066,1.5,,,0.00271,,,0.867,GRS:4FGL_J1946.5-5402[aab+22],BT,,HE[ckr+15],False,,0,0.07808157711903659,False,,1,0.19278311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,inf,inf,inf,,,
J1947+0915,,296.94258333333335,9.252222222222224,1.0899353672170589,2.1798707344341177,,,1.48074382424,4.78e-16,5.8122976065058167e+23,3.69,,,,,False,,0,0.07808157711903659,False,,3,0.2552831171838814,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,256.1461072660799,30.54865277201917,19.479450389772794,0.033540165727365706,0.012074459661851654,0.006160438602985537
J1947+10,,296.90000000000003,10.7,243.3401066343993,8.0,,,1.110944,,,5.204,,,,,False,,6,0.26558157711903657,True,3.759716,13,0.5677831171838814,,,,,,,,,,J194736.06+104203.6,16.654,18.167,-56.16,-76.76,-1.5130005,,unfit,0.26558157711903657,chance_coincidence,rejected,False,inf,inf,inf,,,
J1947+1957,,296.8309791666667,19.952330555555555,0.1062111262496758,1.5,,,0.157508542541,5.226e-16,5.2797918755729106e+26,6.77,,,,,False,,0,0.07808157711903659,False,,0,0.16153311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,0.9491686929096381,0.11320033371285045,0.07218257057427171,1.01088018620748,0.36391686703469284,0.18567187093606777
J1947+2011_P,,296.94880725,20.183459444444445,0.0023676027250987,1.5,,,0.0081775519243451,2.3164583936665335e-20,1.672300461637842e+26,5.108,,DD,He[why+25],,False,,0,0.07808157711903659,False,,1,0.19278311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,1.7059658715265877,0.2034579389334413,0.12973563375892969,0.5689163791908584,0.20480989650870904,0.1044948451575046
J1947+2304_P,,296.8704166666667,23.066666666666663,60.01586961233856,8.0,,,0.0109,,,9.819,,,CO[why+25],,False,,5,0.23433157711903657,True,6.25494,14,0.5990331171838814,,,,,,,,,,J194728.50+230356.7,13.008,13.157,-16.75,3.8600001,-0.14899921,,unfit,0.23433157711903657,non_degenerate_companion,rejected,False,inf,inf,inf,,,
J1947-1120,,296.90833333333336,-11.340833333333334,103.1875556797892,8.0,,,0.002240104451,,,1.955,"GRS:4FGL_J1947.6-1121[sru+25],XRS:[sru+25],OPT:""Gaia_DR3_4189956032809439488""[sru+25]",BT,,HE[sru+25],True,3.523499,9,0.35933157711903657,True,3.476716,13,0.5677831171838814,J194738.23-112027.2,13.888,0.03,13.869,0.047,11.883,8.971,AAUU,0000,J194738.23-112027.1,13.862,13.986,6.3999996,11.0,0.0189991,,unfit,0.35933157711903657,nebula_cluster_or_optical_association,rejected,False,inf,inf,inf,,,
J1947-18,,296.8791666666667,-18.97,14.220537685609449,8.0,,,0.00260323,,,1.012,,,,,False,,3,0.17183157711903657,True,4.555513,10,0.4740331171838814,,,,,,,,,,J194730.71-185809.7,16.723,16.761,-30.01,-51.13,-0.038000107,,unfit,0.17183157711903657,chance_coincidence,rejected,False,inf,inf,inf,,,
J1947-4215,,296.775,-42.25,330.83478425655045,8.0,,,1.798069,,,1.219,,,,,False,,7,0.29683157711903657,False,,9,0.4427831171838814,,,,,,,,,,,,,,,,,no_counterpart,0.29683157711903657,,no_counterpart,False,inf,inf,inf,,,
J1947-43,,296.75,-43.0,3562.5864129676816,8.0,,,0.18094,,,1.05,,,,,False,,4,0.20308157711903657,True,5.141926,8,0.4115331171838814,,,,,,,,,,J194700.40-425957.3,17.134,17.019,22.19,-142.54,0.11500168,4397.436944206544,companion,0.20308157711903657,chance_coincidence,rejected,False,inf,inf,inf,,,
J1948+06,,297.1875,6.033333333333333,900.1236105752486,8.0,,,1.325,,,2.755,,,,,False,,4,0.20308157711903657,True,2.66631,14,0.5990331171838814,,,,,,,,,,J194845.13+060201.6,17.183,17.543,-62.940002,110.95,-0.3599987,,unfit,0.20308157711903657,chance_coincidence,rejected,False,inf,inf,inf,,,
J1948+1801_P,,297.16625,18.016666666666666,60.01695393186929,8.0,,,0.53624,,,9.925,,,,,True,3.307046,3,0.17183157711903657,True,3.041742,8,0.4115331171838814,J194839.71+180058.0,14.664,0.059,15.376,0.158,12.765,9.142,ABUU,0h0d,J194839.74+180057.8,14.54,14.885,16.47,-31.720001,-0.71200085,,unfit,0.17183157711903657,chance_coincidence,rejected,False,inf,inf,inf,,,
J1948+1808,,297.0922041666667,18.141708333333334,0.0982393977728333,1.5,,,0.394354427486,2.271e-16,1.4618967737747026e+25,9.416,,,,,False,,0,0.07808157711903659,False,,1,0.19278311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,66.31305914211096,7.908668375265922,5.042988783003372,0.168209157796348,0.06055529680668529,0.030895559595247594
J1948+2314_P,,297.1666666666667,23.23333333333333,61.56287316475032,8.0,,,1.471,,,6.686,,,,RRAT[zhx+23],False,,7,0.29683157711903657,True,7.984247,14,0.5990331171838814,,,,,,,,,,J194839.44+231402.2,13.842,13.987,-59.52,-36.460003,-0.14500046,,unfit,0.29683157711903657,chance_coincidence,rejected,False,inf,inf,inf,,,
J1948+2333,,297.0804875,23.550897222222225,0.0648205727390409,1.5,,,0.5283521633015,1.357843e-14,3.634451054936552e+26,7.059,,,,,False,,0,0.07808157711903659,False,,2,0.22403311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,1.4990993310258334,0.17878649581312167,0.11400380571751254,0.8387078248034372,0.3019348169292374,0.15404837598430482
J1948+2428_P,,297.0425,24.466666666666665,60.01553177153648,8.0,,,1.33395,,,10.956,,,,,False,,7,0.29683157711903657,True,6.413886,11,0.5052831171838814,,,,,,,,,,J194810.42+242754.4,13.191,13.345,-22.6,-19.63,-0.15400028,,unfit,0.29683157711903657,chance_coincidence,rejected,False,inf,inf,inf,,,
J1948+2438_P,,297.09583333333336,24.633333333333333,61.5297544102799,8.0,,,1.903,,,13.996,,,,RRAT[zhx+23],False,,5,0.23433157711903657,False,,10,0.4740331171838814,,,,,,,,,,,,,,,,,no_counterpart,0.23433157711903657,,no_counterpart,False,inf,inf,inf,,,
J1948+2551,,297.0732458333334,25.86443055555556,0.0241284201722433,1.5,,,0.1966268136138,9.02244e-15,4.685495391873045e+27,8.779,,,,,False,,0,0.07808157711903659,False,,0,0.16153311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,0.17985290381977748,0.021449726359192334,0.013677489596883185,3.0114041188582146,1.0841054827889571,0.5531150422392639
J1948+2819,,297.1599583333333,28.32223888888889,0.2313776470938034,1.5,,,0.932692952758,6.126032e-14,2.9807318747838505e+26,9.709,,,,,False,,0,0.07808157711903659,False,,0,0.16153311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,3.457872386949017,0.4123948788693815,0.2629649707921148,0.7595436520187838,0.2734357147267622,0.13950801771773583
J1948+3540,B1946+35,297.1041945833333,35.669738055555555,0.0193260325342656,1.5,-12.6,0.7,0.7173111740759792,7.061204888841216e-15,7.5529352453571055e+25,5.806,,,,,False,,1,0.10933157711903659,False,,1,0.19278311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.10933157711903659,,no_counterpart,False,4.8800151788883,0.5820033371312657,0.37111637023531346,0.38233949587155813,0.13764221851376093,0.07022562169069436
J1948-2730,,297.248030983281,-27.51232752353396,48.11911348254512,8.0,,,0.3316313084798502,2.8594624438654967e-17,3.0951204891309575e+24,2.074,,,,,True,5.287452,6,0.26558157711903657,True,5.164374,8,0.4115331171838814,J194859.20-273041.2,13.859,0.027,13.836,0.042,12.36,8.76,AAUU,0000,J194859.21-273041.3,13.869,13.912,-4.9700003,-10.74,0.022999763,,unfit,0.26558157711903657,chance_coincidence,rejected,False,15.195773621749929,1.8122875921390966,1.1556112312556472,0.07739805777390936,0.02786330079860737,0.01421596979520784
J1949+2306,,297.2805,23.11541666666667,0.242965511878407,1.5,,,1.3193733853,1.231e-16,2.1159949759510724e+23,7.035,,,,,False,,0,0.07808157711903659,False,,0,0.16153311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,2557.3869370267507,305.00063567928174,194.48467321627933,0.020237114953728978,0.007285361383342433,0.0037170211139502213
J1949+2516_P,,297.40416666666664,25.266666666666666,161.79162598120942,8.0,,,0.41034,,,12.958,,,,,True,6.104245,7,0.29683157711903657,True,2.277005,13,0.5677831171838814,J194937.22+251554.6,13.392,0.056,13.858,0.115,11.654,8.869,ABBU,00dD,J194936.99+251602.3,13.37,13.552,0.75,2.1599998,-0.4659996,,unfit,0.29683157711903657,chance_coincidence,rejected,False,inf,inf,inf,,,
J1949+2731_P,,297.33958333333334,27.516666666666666,60.01474599836248,8.0,,,0.84714,,,6.954,,,,,True,3.196981,4,0.20308157711903657,True,3.370338,11,0.5052831171838814,J194921.27+273100.9,13.882,0.059,14.58,0.112,12.577,8.985,ABUU,0000,J194921.27+273101.6,13.762,14.074,22.539999,-8.59,-0.69799995,,unfit,0.20308157711903657,chance_coincidence,rejected,False,inf,inf,inf,,,
J1949+3106,,297.3734894183333,31.101057233333336,7.653997940086054e-05,1.5,-2.89,-5.09,0.0131381831521653,9.392346211088108e-20,1.6350381632437942e+26,6.517,,DDGR,CO[dfc+12],,False,,0,0.07808157711903659,False,,1,0.19278311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,2.8402097844431324,0.33873082605356636,0.21599284167584837,0.5625423582810397,0.20251524898117432,0.10332410662304811
J1949+3426,,297.3069625,34.442747222222216,0.1091281064538911,1.5,,,0.3885391675859,2.0219e-16,1.3608648375354264e+25,9.845,,,,,False,,0,0.07808157711903659,False,,1,0.19278311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,77.87522587596398,9.287602533643588,5.922270750995226,0.16229262280154802,0.058425344208557294,0.029808849085998616
