star_id,ra,dec,teff,logg,fe_h,snr,flag_sp,age,ruwe,vsini,chi2_sp,survey,Rb,Sr,Y,Zr,Mo,Ru,Ba,La,Ce,Nd,Sm,Eu,n_measured,chi2_null,chi2_s,a_s,chi2_r,a_r,chi2_sr,a_sr_s,a_sr_r,chi2_f,a_f,chi2_natural,fission_lr,enrich_lr,natural_class,classification,fission_lr_raw,lr_noba,flagged_core,n_flagged,lr_without_Rb,lr_without_Sr,lr_without_Y,lr_without_Zr,lr_without_Mo,lr_without_Ru,lr_without_Ba,lr_without_La,lr_without_Ce,lr_without_Nd,lr_without_Sm,lr_without_Eu,lr_loo_min,lr_loo_driver,sample,peer_Rb,peer_Sr,peer_Y,peer_Zr,peer_Mo,peer_Ru,peer_Ba,peer_La,peer_Ce,peer_Nd,peer_Sm,peer_Eu,veto_low_snr_or_flagged,veto_s_process_star,veto_r_process_star,veto_young_ba_enhancement,veto_nlte_saturated_lines,veto_single_element_driver,veto_teff_peer_residual,first_veto,vet_pass,veto_reasons
181224002601019,69.19725036621094,-76.22372436523438,4721.124,2.3475504,-0.8129901,79.616425,0,8.05462,2.0485785,4.305327,1.2651588,GALAH,,,-0.033124346,-0.3229355,,,-0.05220688,0.546737,0.4915676,0.3910202,-0.06944668,0.46489668,8,181.68775933772673,115.63162906611726,0.8202533522103691,107.29179280077967,2.3476673718879275,105.83822052252322,0.29122904306392017,1.6104940258691147,77.3278868825556,1.7039486885483046,105.83822052252322,14.255166819983806,52.179936227585564,R_PROCESS,FISSION,12.669902588761115,8.66528675082428,False,0,14.255166819983806,14.255166819983806,4.76500752701461,12.314249996067716,14.255166819983806,14.255166819983806,8.66528675082428,13.887095635056113,8.232572898017043,20.406193472259396,10.670533614324416,12.359563071685308,4.76500752701461,Y,giant,,,0.009379114634586627,-0.2951263613512365,,,-0.020261657150815293,0.3018538784149144,0.6070952904028795,0.3007975573690155,-0.3744149595340275,0.010931770448174116,False,False,True,False,True,True,False,r_process_star,False,r_process_star;nlte_saturated_lines;single_element_driver
150107002201272,84.00003814697266,-67.58538818359375,5446.9536,2.289031,-0.7718933,43.0851,8272,0.34093088,0.85948133,22.600971,0.9748448,GALAH,,,-0.588375,-0.21527256,,,-0.17380598,-0.7000072,1.3594124,0.44464937,-0.79392236,,2,89.49438378850827,69.44428744925172,2.4151867206534017,64.71425898021641,10.899168354746502,64.71425898025625,0.0,10.899168302823893,36.26264619189912,15.507321191317699,64.71425898021641,14.225806394158646,26.615868798304575,R_PROCESS,INSUFFICIENT,13.16918297919128,-1.5792558426856986e-15,True,5,14.225806394158646,14.225806394158646,14.225806394158646,14.225806394158646,14.225806394158646,14.225806394158646,-1.5792558426856986e-15,14.225806394158646,0.0,14.225806394158646,14.225806394158646,14.225806394158646,-1.5792558426856986e-15,Ba,giant,,,-0.4575146587614122,0.20438111075859777,,,-0.29160293819028804,-0.8648067193930956,1.4101082805860679,0.4617627979958362,-1.1285394084952391,,True,False,False,False,True,True,False,low_snr_or_flagged,False,low_snr_or_flagged;nlte_saturated_lines;single_element_driver
160422003501113,184.37167358398438,-39.011165618896484,4116.247,1.8395293,-0.16972148,48.59619,8,12.899018,1.19181,4.6095,1.7138451,GALAH,-0.040433943,-0.010629653,-0.22851785,0.054350693,0.0017501985,0.15848355,-0.07651347,0.35769784,0.06663711,0.22853553,0.20899765,0.12391289,12,64.47137542574282,56.60608649049223,0.21443261128078472,39.66093360518787,0.7327116006050579,39.660933614905545,0.0,0.7327114250971895,12.18863512152552,0.9182196180615162,39.66093360518787,13.736149241831175,26.14137015210865,R_PROCESS,FISSION,5.95565807352258,12.834561194921772,False,0,12.436499060449481,13.156884444960905,13.453041944198636,13.68590329510668,13.504406291973917,13.87140169422361,12.834561194921772,11.076779380720453,12.292028801134858,8.580698115285621,13.662260210691514,10.18254016875388,8.580698115285621,Nd,giant,-0.07184886578033978,-0.06241716325867537,-0.06441193176318805,0.01802723840105966,0.14012495957327653,0.21743803921203664,-0.09717870231735315,0.2534225616803739,0.22775878722853987,0.2740928762287549,0.13629371462894307,-0.03308875688448388,True,False,False,False,False,True,False,low_snr_or_flagged,False,low_snr_or_flagged;single_element_driver
170517003901067,282.3294982910156,-31.162137985229492,4853.2925,2.4577446,-0.6775663,57.34733,0,5.3973804,1.9595624,5.546267,0.86870325,GALAH,,,-0.024999816,-0.12419077,,,0.3982568,0.9066004,0.18398225,0.7100728,0.15204118,,7,245.4749701707155,107.83901994054781,1.7996968466670733,113.0085882039864,3.7179546055530537,103.91203636303777,1.052429480456934,1.5291175434638893,76.48236014338656,2.7044411345296755,103.91203636303777,13.714838109825607,84.49630501366447,S_PLUS_R,FISSION,16.908500499410174,23.101610394457733,False,0,13.714838109825607,13.714838109825607,-7.798060179305185,12.198579100624372,13.714838109825607,13.714838109825607,23.101610394457733,8.315728392785275,13.689412243587974,-2.7531571580684187,-5.841552661538002,13.714838109825607,-7.798060179305185,Y,giant,,,0.0692992351750158,-0.014239818335330723,,,0.4120056172701918,0.6646357033255545,0.2293222679387097,0.6113726980319303,-0.1273663856220817,,False,False,False,False,False,True,False,single_element_driver,False,single_element_driver
180126001601214,103.66870880126953,6.637583255767822,4483.2554,1.889386,-0.30910203,53.099106,0,1.5559095,1.1620134,2.7099435,1.4918765,GALAH,-0.2455952,-0.14182788,-0.19029613,-0.0246263,-0.3776569,-0.5207055,0.24955821,0.62222785,0.12328131,0.31641164,0.10884919,-0.21672246,11,94.52764911277687,83.48683981481335,0.2827060605273453,87.2930065243632,0.43185629499573064,83.48683983038438,0.282705869720759,0.0,56.6339932128215,0.7721622459772864,83.48683981481335,13.426423300995925,18.946827949977685,S_PROCESS,FISSION,13.903662697947837,14.455588976604371,False,1,12.332414456949891,11.932632888113368,7.4688443939993086,12.638844608321449,14.418502470604974,13.426423300995925,14.455588976604371,5.923632011940484,13.468874925286983,6.992195738730871,15.72276036299932,10.503558893334482,5.923632011940484,La,giant,-0.3519478025464019,-0.23713422167661324,-0.08995711425423408,-0.005598325597876874,-0.37216165983771643,-0.6062722556678635,0.14760503499758382,0.39625422834663016,0.09607412398396259,0.252795662383566,-0.004340683710560289,-0.3907893757439239,False,False,False,False,False,True,False,single_element_driver,False,single_element_driver
230210002701197,145.51663208007812,-48.06563949584961,4244.412,1.453882,-0.15967667,73.87839,8,0.5047643,0.9665731,5.829141,3.2919414,GALAH,-0.47706515,0.12761007,-0.10283877,0.27755842,0.0021685758,0.40591648,0.24036789,0.60894626,0.22412032,0.15234953,0.0960238,0.07946497,12,134.01835054111302,100.4330964272025,0.4054006561848839,106.51092555156332,0.6348028160630789,96.93521555454038,0.29145269413589275,0.2816466986218068,70.32974956946504,0.9102586932608936,96.93521555454038,13.30273299253767,31.844300485823993,S_PLUS_R,FISSION,-6.647392201701365,12.64650711327856,False,0,5.489414725357012,14.315670621980097,7.129435391085806,15.808989409235089,14.030748547413246,12.783512985765924,12.64650711327856,4.845732088315,13.32677875768816,16.454689089700505,15.02383963990058,12.54277612419628,4.845732088315,La,giant,-0.4350435431762127,0.11093692091245044,-0.055394210877028754,0.19226737961532683,0.0029459915955039884,0.3430832347923546,0.05097832423747089,0.4337397637325688,0.11988513997287215,0.16983057379715152,0.06338908189452322,0.03949002635410574,True,False,False,True,False,True,True,low_snr_or_flagged,False,low_snr_or_flagged;young_ba_enhancement;single_element_driver;teff_peer_residual
171230004101083,83.82070922851562,-57.75583267211914,4775.279,2.731369,-0.046515666,102.412346,12,3.3461266,1.7360821,14.982477,4.397665,GALAH,0.11641047,0.65429306,0.007946129,-0.00026703475,0.3187045,0.37526876,-0.2656923,0.3937219,0.4148052,0.4499558,0.06613404,0.19709639,12,169.59330140492293,117.40915193688971,0.6214744994261903,128.9824249120882,1.1488895902511873,115.29602414937905,0.4946113492852549,0.3425065141916994,89.17594102900071,1.2608536524296794,115.29602414937905,13.06004156018917,40.20868018796111,S_PLUS_R,FISSION,13.82166859681493,-4.865115399249927,False,0,12.062313619411533,19.207695703487524,13.34524683100139,13.513964790823849,13.096765312787959,12.937700093663388,-4.865115399249927,13.1100913251014,11.309024104379773,1.1748274150828166,14.998717582224543,12.547467178152587,-4.865115399249927,Ba,giant,-0.04200951898699065,0.5172845513932472,0.10703215791084181,0.1300786447659452,0.13104298414282176,0.31750729039478387,-0.25572940505704655,0.20502912076732127,0.46408684295449815,0.40245938191908254,-0.017633282103536305,-0.012097828768029784,True,False,False,False,True,True,False,low_snr_or_flagged,False,low_snr_or_flagged;nlte_saturated_lines;single_element_driver
160515001801377,149.0157928466797,-40.697444915771484,5422.2188,3.008024,-0.18564403,60.47453,124,0.7454309,1.0509645,26.31789,2.314997,GALAH,,,-0.019570092,0.7287787,,,0.14428577,1.0353438,1.3450894,0.48162356,0.66869223,-0.0033246714,8,242.77971609512215,234.31059516708203,0.368688239044504,209.74985792622041,1.6929699363763167,209.74985779843954,0.0,1.6929757005231567,184.02726597358895,1.5875998984906423,209.74985779843954,12.861295912425291,29.3762250607666,R_PROCESS,FISSION,17.86423880172906,3.1373484966417493,False,0,12.861295912425291,12.861295912425291,11.11447154818977,13.033742676304954,12.861295912425291,12.861295912425291,3.1373484966417493,10.536464085583717,4.558965387409167,27.923768211606458,13.34845005499264,11.368993991935952,3.1373484966417493,Ba,giant,,,-0.31886819276705985,0.6278583766350254,,,-0.6107693266166294,0.38206114795291746,0.8864691319380791,0.13845515873481495,0.4931854038203727,0.012889992156093183,True,False,False,False,True,True,False,low_snr_or_flagged,False,low_snr_or_flagged;nlte_saturated_lines;single_element_driver
230211001601155,101.30787658691406,1.371833324432373,4397.9214,1.5738618,-0.34117872,40.999756,0,0.2957148,1.7719607,6.1390786,1.5652229,GALAH,-0.2893379,0.024246981,-0.03166579,0.08873958,-0.09077391,-0.0043770894,0.38298288,0.46509317,0.18593094,0.40442744,0.18210083,0.06918094,12,76.8071948075584,51.95089411840554,0.42412223390706455,57.48832940947007,0.639078436734735,50.07208182492829,0.3122477509546191,0.25857346754939425,24.431147977679956,0.9293019030812714,50.07208182492829,12.820466923624167,26.188023414939224,S_PROCESS,FISSION,3.602266125130331,15.339618429163218,False,0,8.907673266870761,11.5853776064898,10.260355544031595,12.473163106451178,13.23522212258795,13.098944661432435,15.339618429163218,10.96362960803952,13.035174418781043,2.9537245535269037,13.280952444934002,11.342006438672227,2.9537245535269037,Nd,giant,-0.31705405865610353,-0.06853974284759279,0.016908755167059975,0.0585710060297725,-0.013282006348327713,-0.08778613333956287,0.19169619070007995,0.22569350461531057,0.07587976111277644,0.340826460120476,0.11041068989610031,-0.030533864959394974,False,False,False,True,False,True,True,young_ba_enhancement,False,young_ba_enhancement;single_element_driver;teff_peer_residual
160325003201192,194.85867309570312,-47.695526123046875,4418.699,2.414687,0.22934929,70.35598,12,9.544153,2.2212765,9.713102,4.0887566,GALAH,-0.47143453,0.67369413,-0.31841582,-0.17206241,0.04081855,0.15707755,-0.4965721,0.4501047,0.8024194,-0.009835504,-0.100241035,0.30628952,12,499.82008351693526,424.9958738897151,0.7222349714837442,464.594670861215,0.9953781398107275,424.99587386263687,0.7222351694087923,0.0,400.03001402705013,1.52088422724565,424.99587386263687,12.48292991779337,49.89503474494256,S_PROCESS,FISSION,3.9927379086110193,-10.662784996545696,False,0,4.846274472902138,29.156648896283855,-3.595105358578934,4.123648326792534,12.62953876708363,11.807124548831098,-10.662784996545696,6.65714056611958,5.457252807677349,34.939204335237434,23.71082174669067,11.294655004034468,-10.662784996545696,Ba,giant,-0.6760227561457787,0.5576640010642044,-0.07306913551175404,-0.0963748421250821,0.15467114910527152,0.24690749381227384,-0.3485651258529568,0.4128559034066824,0.9449643307556654,0.10503872780800758,-0.12207697750180185,0.1862450419338353,True,False,True,False,True,True,True,low_snr_or_flagged,False,low_snr_or_flagged;r_process_star;nlte_saturated_lines;single_element_driver;teff_peer_residual
230511004001308,289.0426330566406,-59.79513931274414,5425.4023,0.70380795,-0.16960505,56.15043,8264,0.4007898,1.1167293,13.914037,12.555749,GALAH,,,-0.25355765,0.14405996,,,0.17754418,-0.15145311,-0.2184734,0.0041404143,0.28959572,-0.12746705,8,488.4103542545231,488.4103542545231,0.0,487.40436874659923,0.1384532083662468,487.40436873909954,0.0,0.13845360842626678,462.4918581945219,0.7485258220550421,487.40436873909954,12.456255272288814,12.959248030000595,R_PROCESS,FISSION,0.0,14.070720406454228,False,0,12.456255272288814,12.456255272288814,13.351200176393661,9.71599999485008,12.456255272288814,12.456255272288814,14.070720406454228,14.879411193565232,10.29718677387487,6.480025140130778,1.9856436886466327,4.845834907500034,1.9856436886466327,Sm,giant,,,-0.5849928394581775,1.603661944834601,,,-0.7707579988571326,-0.035607671736840374,0.18136033289937648,0.255259009278082,0.4229774232431382,-0.5157243839281292,True,False,False,False,False,True,True,low_snr_or_flagged,False,low_snr_or_flagged;single_element_driver;teff_peer_residual
151219001601157,70.23516845703125,-53.237056732177734,5241.3877,3.1536827,-0.7179833,54.839806,52,2.553808,6.033061,27.479267,1.1285427,GALAH,,,-0.04111758,0.43198398,,,0.14313841,0.5553416,0.995346,-0.090367824,0.3939353,,5,79.36339717183283,48.152837203335835,1.1678712477942823,40.798595196408215,6.381429005129686,40.899834586420006,0.027535644186678785,6.2476040027240405,15.904037861626719,8.755366170357286,40.798595196408215,12.447278667390748,31.729679655103055,R_PROCESS,FISSION,16.04454070267243,8.848500056600527,True,2,12.447278667390748,12.447278667390748,9.519265283221847,12.464490901207643,12.447278667390748,12.447278667390748,8.848500056600527,12.447278667390748,-0.5629759529562484,12.447278667390748,12.634181391900961,12.447278667390748,-0.5629759529562484,Ce,giant,,,0.04753478703321601,0.6555113031392279,,,0.13033924404654162,0.3257530813355512,0.8902291745198241,-0.1991150519820104,0.05034354539642072,,True,False,False,False,True,True,False,low_snr_or_flagged,False,low_snr_or_flagged;nlte_saturated_lines;single_element_driver
210925001601014,281.9375305175781,-34.34047317504883,5406.003,2.8030882,-0.43650317,119.50081,72,0.60934395,0.9644775,3.7554617,8.453347,GALAH,,,-0.16549905,-0.12729335,,,0.19466263,0.477863,-0.07424756,0.64688116,0.49260184,,7,132.12987424371016,112.77594395117454,0.4163582987616965,58.97568149990048,1.6554605367462387,58.97568168877471,0.0,1.6554564926019166,34.595718446298676,1.3110924607569927,58.97568149990048,12.189981526800903,48.76707789870574,R_PROCESS,FISSION,7.947712728554569,10.120621472235175,False,0,12.189981526800903,12.189981526800903,10.568480937298617,12.629776114381496,12.189981526800903,12.189981526800903,10.120621472235175,13.250801116602656,14.830294409324143,0.009867839880593365,8.941420474346899,12.189981526800903,0.009867839880593365,Nd,giant,,,-0.10001623579404584,0.1874163010305837,,,-0.037325924090324925,0.19222112289936427,-0.1478912873285375,0.5213084387411622,0.19714918187301123,,True,False,False,False,False,True,False,low_snr_or_flagged,False,low_snr_or_flagged;single_element_driver
190204002901080,226.2829132080078,-72.2633056640625,4945.3105,3.318978,-0.22215003,74.36548,108,8.861846,2.203738,26.620121,2.4263227,GALAH,,,-0.029882692,-0.26129252,,,-0.38630903,0.7463793,0.6774793,0.46312734,0.2320991,,7,102.17308810921583,98.89830126675731,0.20066740643347394,80.64494767912338,1.354652608582388,80.64494766644106,0.0,1.3546532212086106,56.417690849944144,1.5106030125503398,80.64494766644106,12.113628408248456,22.87769862963584,R_PROCESS,FISSION,14.791585502155165,5.312745022333205,False,0,12.113628408248456,12.113628408248456,12.208601309641693,11.925065271419285,12.113628408248456,12.113628408248456,5.312745022333205,8.771925501209477,9.53180726024718,9.051796905537955,11.561830272576728,12.113628408248456,5.312745022333205,Ba,giant,,,0.05397508754772873,-0.015190796825910513,,,-0.3499357528419416,0.5421912739942405,0.6741272587772629,0.36335001887777546,0.13739824431090888,,True,False,False,False,True,True,False,low_snr_or_flagged,False,low_snr_or_flagged;nlte_saturated_lines;single_element_driver
