star,channels,n_channels,ra,dec,phot_g_mean_mag,bp_rp,ruwe,abs_b,ipd_frac_multi_peak,non_single_star,systematics,main_id,otype,families,trace_verdict,in_groups
gaia:2568768812447297920,"ignition(score=1.94,pct=0.0177); cenotaph(score=1.79,pct=0.0397)",2,28.14804223340112,7.579952440496525,10.664029121398926,0.8443508148193359,0.959926962852478,52.264184762112485,0.0,0.0,,TYC  623-420-1,*,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:2573904085800011648,"ignition(score=2.13,pct=0.0123); cenotaph(score=2.04,pct=0.0259)",2,27.794832390660723,10.2301886560894,12.016687393188477,1.7984142303466797,1.1547480821609497,49.930724009626026,0.0,0.0,,,,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:2598317156651909504,"tailings(score=1.52,pct=0.7831); ignition(score=1.57,pct=0.0373); cenotaph(score=2.93,pct=0.0060)",3,339.53607177734375,-13.515055656433105,12.063885688781738,0.9927244186401367,1.1295967102050781,56.060720254138204,0.0,0.0,,UCAC4 383-164488,*,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:2671109499334427648,"ignition(score=2.22,pct=0.0100); cenotaph(score=2.02,pct=0.0270)",2,323.95581749326806,-5.245869892245611,9.5198335647583,0.6600742340087891,1.0631107091903687,38.62741638797569,0.0,0.0,,HD 205500,*,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:2697548394591284992,"ignition(score=1.41,pct=0.0495); cenotaph(score=2.25,pct=0.0183)",2,328.97833926359925,6.492391048060571,11.382868766784668,0.7345027923583984,1.0933529138565063,35.860404643460406,0.0,0.0,,TYC  557-122-1,*,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:2892851174701611520,"ignition(score=1.93,pct=0.0182); cenotaph(score=2.86,pct=0.0068)",2,93.53106196086712,-32.356292256050644,12.554295539855957,0.8663883209228516,0.9318036437034607,21.462804612330203,0.0,0.0,,,,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:2893531905540963712,"ignition(score=2.24,pct=0.0097); cenotaph(score=2.44,pct=0.0132)",2,95.7007869288934,-30.44841111330001,11.84637451171875,0.7978115081787109,0.9879000186920166,19.067875128972258,1.0,0.0,,TYC 7073-1106-1,*,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:2915353401718894848,"ignition(score=1.43,pct=0.0482); cenotaph(score=2.52,pct=0.0115)",2,85.34300849344915,-24.310285048819814,12.658256530761719,1.0640058517456055,0.9687198996543884,25.584067970493606,0.0,0.0,,,,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:2962267535652797440,"ignition(score=1.57,pct=0.0372); cenotaph(score=1.89,pct=0.0330)",2,77.23946065244682,-22.92272472376405,13.277520179748535,1.616729736328125,1.013088583946228,32.14356864033226,0.0,0.0,,,,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:2970358291964251776,"ignition(score=2.33,pct=0.0078); cenotaph(score=1.85,pct=0.0356)",2,84.44733146833039,-18.216832725949068,12.223103523254395,1.5331964492797852,1.0760082006454468,24.17726125807278,0.0,0.0,,RAVE J053747.4-181301,*,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:3013337445579766912,"ignition(score=1.49,pct=0.0429); cenotaph(score=2.47,pct=0.0125)",2,81.55513298952778,-10.595650438714635,12.932299613952637,1.2803020477294922,0.8941723108291626,23.68346924639336,0.0,0.0,,,,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:310429279694149632,"ignition(score=1.42,pct=0.0485); cenotaph(score=2.56,pct=0.0108)",2,19.9410120376882,31.60660143974908,12.662107467651367,0.8654270172119141,1.0257450342178345,30.878364880453304,0.0,0.0,,,,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:3189535627039276032,"ignition(score=1.5,pct=0.0422); cenotaph(score=2.08,pct=0.0242)",2,63.25727189036319,-11.912443189067435,12.701753616333008,0.9245519638061523,1.1286834478378296,40.48364628675399,0.0,0.0,,,,,UNEXPLAINED,cenotaph+ignition@0.05
