n_flares,n_independent,e_flare_max_erg,amplitude_frac,radius_rsun,teff_k,b_gauss,geometric_factor,assessable,t_spot_k,a_spot_nominal_cm2,a_spot_conservative_cm2,e_mag_nominal_erg,e_mag_conservative_erg,xi_nominal_max,xi_conservative_max,n_above_nominal,n_above_conservative,flares_above,record_key,star_key,star_id,catalogue,mission,amplitude_source,amplitude_unit,amplitude_unit_guessed,amplitude_scale,amplitude_scaled,prot,prot_source,teff_source,radius_source,logg,params_assumed,has_peak_times,catalogue_flag,energy_kind,energy_log10_input,energies_json,t_peaks_json
1,1,9.299999786330634e+33,2.028602,0.81,5566.0,3000.0,3.0,True,3878.9692551999997,2.648497934511892e+22,7.945493803535676e+22,1.5434839137943533e+39,8.020177678071243e+39,-5.220019169044093,-5.935701051123587,0,0,[],kepler_okamoto2021:kepler:7679876,kepler:7679876,7679876,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,14.249,own,own,own,4.548,False,False,-;-,bolometric,False,,
1,1,1.2999999541588192e+34,0.5850489999999999,1.195,5383.0,3000.0,3.0,True,3813.2675338,1.6979163719396758e+22,5.0937491158190264e+22,7.922770826213387e+38,4.1167924823178107e+39,-4.784933756729018,-5.500615638808512,0,0,[],kepler_okamoto2021:kepler:7761519,kepler:7761519,7761519,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,19.98,own,own,own,4.238,False,False,-;-,bolometric,False,,
6,6,6.899999985231894e+34,0.739688,0.813,5463.0,3000.0,3.0,True,3842.2845897999996,9.842464265874967e+21,2.9527392797624896e+22,3.49670037267494e+38,1.8169388112954067e+39,-3.7048093300139797,-4.4204912120934665,0,0,[],kepler_okamoto2021:kepler:7763435,kepler:7763435,7763435,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,7.899,own,own,own,4.6,False,False,-;-,bolometric,False,,
3,3,1.2000000243433737e+34,0.413653,0.897,5616.0,3000.0,3.0,True,3896.5034752,6.587247309355103e+21,1.976174192806531e+22,1.914514248538553e+38,9.94810785084997e+38,-4.202877348021609,-4.918559230101103,0,0,[],kepler_okamoto2021:kepler:7772296,kepler:7772296,7772296,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,23.257,own,own,own,4.482,False,False,2;2,bolometric,False,,
2,2,5.600000031073075e+33,2.168888,0.878,5778.0,3000.0,3.0,True,3952.0848328,3.2546114044806744e+22,9.763834213442025e+22,2.1025743530026638e+39,1.0925296818275623e+40,-5.574563333212247,-6.2902452152917405,0,0,[],kepler_okamoto2021:kepler:7840145,kepler:7840145,7840145,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,6.371,own,own,own,4.515,False,False,-;-,bolometric,False,,
1,1,8.100000133369272e+33,0.29662299999999997,0.916,5970.0,3000.0,3.0,True,4015.52578,4.758246738997496e+21,1.4274740216992486e+22,1.1753659027130507e+38,6.1073803829491846e+38,-4.161688061677523,-4.877369943757017,0,0,[],kepler_okamoto2021:kepler:7869831,kepler:7869831,7869831,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,19.483,own,own,own,4.491,False,False,-;-,bolometric,False,,
50,50,3.9000001100644656e+34,1.645797,0.852,5416.0,3000.0,3.0,True,3825.2925951999996,2.4183812915270137e+22,7.255143874581041e+22,1.346758767472534e+39,6.997963832403806e+39,-4.538225192224786,-5.25390707430428,0,0,[],kepler_okamoto2021:kepler:7872305,kepler:7872305,7872305,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,8.045,own,own,own,3.88,False,False,-;-,bolometric,False,,
1,1,8.800000137253406e+33,0.528017,0.873,5729.0,3000.0,3.0,True,3935.4714122,7.871685276009479e+21,2.361505582802844e+22,2.500945527732734e+38,1.2995294162985766e+39,-4.453621553685217,-5.169303435764711,0,0,[],kepler_okamoto2021:kepler:7886115,kepler:7886115,7886115,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,20.351,own,own,own,4.494,False,False,-;-,bolometric,False,,
1,1,4.200000023304806e+33,0.634223,0.76,5228.0,3000.0,3.0,True,3755.7429727999997,7.59224006071728e+21,2.2776720182151842e+22,2.368959015887628e+38,1.2309472129697219e+39,-4.751308254479937,-5.466990136559431,0,0,[],kepler_okamoto2021:kepler:7937361,kepler:7937361,7937361,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,23.895,own,own,own,4.567,False,False,-;-,bolometric,False,,
1,1,1.9999999580429536e+34,0.34820999999999996,1.108,5270.0,3000.0,3.0,True,3771.50018,8.811309712810715e+21,2.643392913843215e+22,2.9618519745303783e+38,1.5390234313154446e+39,-4.170533363293423,-4.886215245372917,0,0,[],kepler_okamoto2021:kepler:7954521,kepler:7954521,7954521,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,26.86,own,own,own,4.67,False,False,-;-,bolometric,False,,
