n_flares,n_independent,e_flare_max_erg,amplitude_frac,radius_rsun,teff_k,b_gauss,geometric_factor,assessable,t_spot_k,a_spot_nominal_cm2,a_spot_conservative_cm2,e_mag_nominal_erg,e_mag_conservative_erg,xi_nominal_max,xi_conservative_max,n_above_nominal,n_above_conservative,flares_above,record_key,star_key,star_id,catalogue,mission,amplitude_source,amplitude_unit,amplitude_unit_guessed,prot,prot_source,teff_source,radius_source,logg,params_assumed,has_peak_times,catalogue_flag,energy_kind,energy_log10_input,tier,first_veto,flags,centroid
18,18,3e+35,0.0052626099999999,1.273,5796.0,3000.0,3.0,True,3958.1445472,1.6571652307989722e+20,4.971495692396916e+20,7.639261362978177e+35,3.969476643892821e+36,-0.4059301141321327,-1.1216119962116269,0,0,[],kepler_okamoto2021:kepler:10848443,kepler:10848443,10848443,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,2.016,own,own,own,4.49,False,False,-,bolometric,False,none,below_ceiling,,not_checked
77,77,5e+35,0.05588537,1.055,5248.0,3000.0,3.0,True,3763.2621568,1.2857685723535623e+21,3.857305717060687e+21,1.6509991858307152e+37,8.578843419340945e+37,-1.51877685476002,-2.234458736839514,0,0,[],kepler_okamoto2021:kepler:10861194,kepler:10861194,10861194,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.277,own,own,own,4.61,False,False,-,bolometric,False,none,below_ceiling,,not_checked
2,2,4e+34,0.00138003,1.251,5613.0,3000.0,3.0,True,3895.4564698,4.275878095685907e+19,1.282763428705772e+20,1.0012456041254018e+35,5.202624771600571e+35,-0.3984806310394688,-1.1141625131189556,0,0,[],kepler_okamoto2021:kepler:10864581,kepler:10864581,10864581,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,6.038,own,own,own,4.49,False,False,-,bolometric,False,none,below_ceiling,,not_checked
1,1,4e+33,0.0036062299999999,0.832,5465.0,3000.0,3.0,True,3843.004145,5.024278305433555e+19,1.5072834916300666e+20,1.2753024134965718e+35,6.626665725573827e+35,-1.5035531902573993,-2.219235072336893,0,0,[],kepler_okamoto2021:kepler:10910862,kepler:10910862,10910862,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,22.549,own,own,own,,False,False,-,bolometric,False,none,below_ceiling,,not_checked
5,5,4e+34,0.0103504099999999,1.287,5793.0,3000.0,3.0,True,3957.1362058,3.33234160914875e+20,9.997024827446252e+20,2.1783463066630944e+36,1.1319019438861487e+37,-1.736066932354973,-2.451748814434467,0,0,[],kepler_okamoto2021:kepler:10914339,kepler:10914339,10914339,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,8.786,own,own,own,,False,False,-,bolometric,False,none,below_ceiling,,not_checked
1,1,3e+34,0.00252783,0.852,5296.0,3000.0,3.0,True,3781.1913472,3.769651372144164e+19,1.1308954116432491e+20,8.288089471218834e+34,4.306617618548307e+35,-0.4413331759834875,-1.1570150580629814,0,0,[],kepler_okamoto2021:kepler:10916827,kepler:10916827,10916827,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,3.842,own,own,own,,False,False,-,bolometric,False,none,below_ceiling,,not_checked
2,2,5e+34,0.03408486,1.157,5315.0,3000.0,3.0,True,3788.242745,9.351028692077557e+20,2.8053086076232674e+21,1.023980612672105e+37,5.3207593413407815e+37,-2.3113217297557185,-3.0270036118352124,0,0,[],kepler_okamoto2021:kepler:10917907,kepler:10917907,10917907,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,4.382,own,own,own,,False,False,-,bolometric,False,none,below_ceiling,,not_checked
2,2,3e+33,0.01391694,0.854,5793.0,3000.0,3.0,True,3957.1362058,1.972851357508632e+20,5.918554072525895e+20,9.923027553263809e+35,5.156156366147639e+36,-2.519522942542672,-3.2352048246221656,0,0,[],kepler_okamoto2021:kepler:10936708,kepler:10936708,10936708,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,10.059,own,own,own,,False,False,-,bolometric,False,none,below_ceiling,,not_checked
1,1,3e+34,0.02422109,1.249,5818.0,3000.0,3.0,True,3965.5193608,7.326565896601882e+20,2.197969768980565e+21,7.101553119227751e+36,3.690075244545513e+37,-2.3742320851750094,-3.0899139672545037,0,0,[],kepler_okamoto2021:kepler:11017553,kepler:11017553,11017553,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,12.531,own,own,own,,False,False,-,bolometric,False,none,below_ceiling,,not_checked
9,9,2e+34,0.02272904,0.834,5261.0,3000.0,3.0,True,3768.1342682,3.262408243774995e+20,9.787224731324984e+20,2.1101343562673376e+36,1.096457974755502e+37,-2.0232801128696565,-2.7389619949491504,0,0,[],kepler_okamoto2021:kepler:11018441,kepler:11018441,11018441,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,8.384,own,own,own,,False,False,-,bolometric,False,none,below_ceiling,,not_checked
