n_flares,n_independent,e_flare_max_erg,amplitude_frac,radius_rsun,teff_k,b_gauss,geometric_factor,assessable,t_spot_k,a_spot_nominal_cm2,a_spot_conservative_cm2,e_mag_nominal_erg,e_mag_conservative_erg,xi_nominal_max,xi_conservative_max,n_above_nominal,n_above_conservative,flares_above,record_key,star_key,star_id,catalogue,mission,amplitude_source,amplitude_unit,amplitude_unit_guessed,amplitude_scale,amplitude_scaled,prot,prot_source,teff_source,radius_source,logg,params_assumed,has_peak_times,catalogue_flag,energy_kind,energy_log10_input,energies_json,t_peaks_json
1,0,,0.004282,1.66,5924.88,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:105714200,tess:105714200,105714200,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,0.89,tu2022_stars,tu2022_stars,tu2022_stars,4.03,False,False,,bolometric,False,,
1,0,,0.003879,1.22,5426.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:106150467,tess:106150467,106150467,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,9.31,tu2022_stars,tu2022_stars,tu2022_stars,4.25,False,False,,bolometric,False,,
1,0,,0.006938,1.09,5688.45,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:107018296,tess:107018296,107018296,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,1.23,tu2022_stars,tu2022_stars,tu2022_stars,4.37,False,False,,bolometric,False,,
2,0,,0.006823,1.07,5800.6,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:107245872,tess:107245872,107245872,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,3.66,tu2022_stars,tu2022_stars,tu2022_stars,4.4,False,False,,bolometric,False,,
4,3,4.850000000384216e+34,0.009326,0.82,5310.0,3000.0,3.0,True,3786.38962,1.2859605794367495e+20,3.857881738310248e+20,5.222087365329907e+35,2.7134761914944686e+36,-1.0321023946417753,-1.7477842767212692,0,0,[],tess_tu2022:tess:10747750,tess:10747750,10747750,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,10.1,tu2022_stars,tu2022_stars,tu2022_stars,4.57,False,False,,bolometric,False,,
1,0,,0.020149,0.84,5464.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:10784824,tess:10784824,10784824,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,12.07,tu2022_stars,tu2022_stars,tu2022_stars,4.57,False,False,,bolometric,False,,
3,1,8.449999825826329e+33,0.021852,0.83,5314.0,3000.0,3.0,True,3787.8722632,3.085553980214981e+20,9.256661940644943e+20,1.9408964810079122e+36,1.008519395201204e+37,-2.3611456726259377,-3.0768275547054316,0,0,[],tess_tu2022:tess:10802452,tess:10802452,10802452,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,5.96,tu2022_stars,tu2022_stars,tu2022_stars,4.56,False,False,,bolometric,False,,
1,0,,0.028215,1.24,5997.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:1101794352,tess:1101794352,1101794352,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,5.76,tu2022_stars,tu2022_stars,tu2022_stars,4.3,False,False,,bolometric,False,,
6,5,1.6300000072759985e+35,0.040963,1.12,5409.98,3000.0,3.0,True,3823.1047471056795,1.040898467767884e+21,3.122695403303652e+21,1.2025833969572152e+37,6.248806631606005e+37,-1.867927597274985,-2.583609479354479,0,0,[],tess_tu2022:tess:11046349,tess:11046349,11046349,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,3.36,tu2022_stars,tu2022_stars,tu2022_stars,4.31,False,False,GM21,bolometric,False,,
1,1,2.3899999690494e+34,0.005756,1.0,5915.0,3000.0,3.0,True,3997.6223449999998,1.1059565413562555e+20,3.3178696240687664e+20,4.1649495220886366e+35,2.1641712549651696e+36,-1.2412118469347178,-1.9568937290142117,0,0,[],tess_tu2022:tess:11047929,tess:11047929,11047929,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,3.03,tu2022_stars,tu2022_stars,tu2022_stars,4.47,False,False,,bolometric,False,,
