n_flares,n_independent,e_flare_max_erg,amplitude_frac,radius_rsun,teff_k,b_gauss,geometric_factor,assessable,t_spot_k,a_spot_nominal_cm2,a_spot_conservative_cm2,e_mag_nominal_erg,e_mag_conservative_erg,xi_nominal_max,xi_conservative_max,n_above_nominal,n_above_conservative,flares_above,record_key,star_key,star_id,catalogue,mission,amplitude_source,amplitude_unit,amplitude_unit_guessed,amplitude_scale,amplitude_scaled,prot,prot_source,teff_source,radius_source,logg,params_assumed,has_peak_times,catalogue_flag,energy_kind,energy_log10_input,energies_json,t_peaks_json
3,3,6.300862465664374e+33,,1.0,4856.0,3000.0,3.0,False,,,,,,,,0,0,[],kepler_yang2019:kepler:4848115,kepler:4848115,4848115,kepler_yang2019,kepler,,,True,1.0,False,7.39,yang2019_stars,yang2019_stars,,4.64,True,True,,bolometric,True,,
137,131,9.810700097432014e+35,,1.0,5604.0,3000.0,3.0,False,,,,,,,,0,0,[],kepler_yang2019:kepler:4851304,kepler:4851304,4851304,kepler_yang2019,kepler,,,True,1.0,False,1.87,yang2019_stars,yang2019_stars,,4.45,True,True,,bolometric,True,,
5,5,4.800649512466851e+33,1.054808,1.0,4340.0,3000.0,3.0,True,3393.02552,2.5603847910171448e+22,7.681154373051434e+22,1.4671026714806785e+39,7.623289100773698e+39,-5.485160507910919,-6.200842389990413,0,0,[],kepler_yang2019:kepler:4851349,kepler:4851349,4851349,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,11.46,yang2019_stars,yang2019_stars,,4.67,True,True,,bolometric,True,,
11,9,5.055917747662197e+33,5.602926,1.0,4273.0,3000.0,3.0,True,3363.3676618,1.382690463472037e+23,4.1480713904161114e+23,1.8411539372064102e+40,9.566916491390945e+40,-6.561290100988764,-7.2769719830682575,0,0,[],kepler_yang2019:kepler:4852019,kepler:4852019,4852019,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,6.69,yang2019_stars,yang2019_stars,,4.62,True,True,,bolometric,True,,
54,52,1.3341356829031042e+35,,1.0,4622.0,3000.0,3.0,False,,,,,,,,0,0,[],kepler_yang2019:kepler:4853523,kepler:4853523,4853523,kepler_yang2019,kepler,,,True,1.0,False,3.29,yang2019_stars,yang2019_stars,,4.64,True,True,,bolometric,True,,
18,17,7.372249081043412e+34,3.7528569999999997,1.0,5036.0,3000.0,3.0,True,3682.1016031999998,7.989640372279297e+22,2.3968921116837897e+23,8.087112727502444e+39,4.2021870391713473e+40,-5.04019349685008,-5.755875378929574,0,0,[],kepler_yang2019:kepler:4857335,kepler:4857335,4857335,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,7.29,yang2019_stars,yang2019_stars,,4.45,True,True,,bolometric,True,,
6,6,2.46263473034498e+34,,1.0,5165.0,3000.0,3.0,False,,,,,,,,0,0,[],kepler_yang2019:kepler:4857734,kepler:4857734,4857734,kepler_yang2019,kepler,,,True,1.0,False,,,yang2019_stars,,4.63,True,True,,bolometric,True,,
32,32,3.667752315994944e+34,1.0195079999999999,1.0,5209.0,3000.0,3.0,True,3748.5732202,2.118300834898246e+22,6.354902504694737e+22,1.1040382139304059e+39,5.736750840075181e+39,-4.47858410583148,-5.194265987910974,0,0,[],kepler_yang2019:kepler:4857845,kepler:4857845,4857845,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,1.43,yang2019_stars,yang2019_stars,,4.59,True,True,,bolometric,True,,
12,10,2.3377604122746896e+34,0.238171,1.0,5996.0,3000.0,3.0,True,4023.9138272,4.542928315358876e+21,1.3628784946076627e+22,1.096494545694318e+38,5.697552790094137e+38,-3.671206475702782,-4.386888357782269,0,0,[],kepler_yang2019:kepler:4861991,kepler:4861991,4861991,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,7.56,yang2019_stars,yang2019_stars,,4.22,True,True,,bolometric,True,,
18,18,3.4363706414905935e+34,1.0178859999999998,1.0,6046.0,3000.0,3.0,True,4039.9086472,1.933079241157452e+22,5.799237723472356e+22,9.62447691968419e+38,5.0010249063501066e+39,-4.447277135368296,-5.16295901744779,0,0,[],kepler_yang2019:kepler:4863614,kepler:4863614,4863614,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,1.01,yang2019_stars,yang2019_stars,,4.48,True,True,,bolometric,True,,
