key,source,period_days,toi,tic_id,kepoi_name
TOI-5718.01,tess_only,716.8426894,5718.01,17932757,
TOI-5721.01,tess_only,729.4823472,5721.01,85292615,
TOI-5722.01,tess_only,61.3191144,5722.01,458481611,
TOI-5723.01,tess_only,170.6465146,5723.01,235901733,
TOI-5724.01,tess_only,697.4037698,5724.01,162631539,
TOI-5725.01,tess_only,746.9545356,5725.01,1042432,
TOI-5729.01,tess_only,554.4989676,5729.01,103605399,
TOI-5527.01,tess_only,346.1614828,5527.01,415399713,
TOI-5619.01,tess_only,37.9984529,5619.01,224299081,
TOI-5621.01,tess_only,39.9753375,5621.01,219467837,
TOI-5626.01,tess_only,716.2159783,5626.01,376645976,
TOI-563.01,tess_only,731.9380939,563.01,405454160,
TOI-5731.01,tess_only,270.303816,5731.01,188668950,
TOI-5732.01,tess_only,60.1702823,5732.01,335952150,
TOI-553.03,tess_only,40.8905117,553.03,161477033,
TOI-5542.01,tess_only,75.1247037,5542.01,466206508,
TOI-5555.01,tess_only,32.9373717,5555.01,388804061,
TOI-5650.01,tess_only,34.2825595,5650.01,353807936,
TOI-5663.01,tess_only,45.0854117,5663.01,198161914,
TOI-5560.01,tess_only,702.469227,5560.01,238606535,
TOI-5564.01,tess_only,760.0530038,5564.01,127505658,
TOI-5564.02,tess_only,45.4964928,5564.02,127505658,
TOI-5678.01,tess_only,119.3355264,5678.01,209464063,
TOI-5746.01,tess_only,711.7642825,5746.01,318209162,
TOI-5757.01,tess_only,32.6116713,5757.01,219506608,
TOI-5571.01,tess_only,731.4778512,5571.01,88565745,
TOI-5575.01,tess_only,32.0736228,5575.01,160162137,
TOI-5581.01,tess_only,33.5386891,5581.01,456306892,
TOI-5696.01,tess_only,1637.265104,5696.01,393546540,
TOI-5202.01,tess_only,34.6141657,5202.01,320324079,
TOI-4827.01,tess_only,736.5601487,4827.01,332630868,
TOI-4958.01,tess_only,748.8277169,4958.01,457649900,
TOI-5207.02,tess_only,67.8410209,5207.02,147892178,
TOI-5110.01,tess_only,30.1584857,5110.01,239977528,
TOI-5133.01,tess_only,30.4408598,5133.01,312221462,
TOI-5151.01,tess_only,92.1950434,5151.01,388130237,
TOI-5152.01,tess_only,54.3212423,5152.01,257527578,
TOI-6267.01,tess_only,733.9910938,6267.01,296737508,
TOI-5906.01,tess_only,30.1181254,5906.01,276376289,
TOI-6160.01,tess_only,40.7401072,6160.01,294904059,
TOI-6283.01,tess_only,51.6708185,6283.01,361218772,
TOI-6293.02,tess_only,405.0756576,6293.02,34977731,
TOI-6295.01,tess_only,1106.220834,6295.01,456171328,
TOI-6336.01,tess_only,39.810528,6336.01,327126871,
TOI-6382.01,tess_only,35.3712924,6382.01,367522211,
TOI-6403.01,tess_only,742.682809,6403.01,94405787,
TOI-6457.01,tess_only,41.4186335,6457.01,328502522,
TOI-6478.01,tess_only,1462.2115148,6478.01,332657786,
TOI-6480.01,tess_only,750.2395535,6480.01,81089255,
TOI-6482.01,tess_only,1483.5175058,6482.01,189300053,
TOI-6492.01,tess_only,731.8319734,6492.01,47143972,
TOI-6601.01,tess_only,32.5444769,6601.01,167573692,
TOI-6703.01,tess_only,49.6178223,6703.01,255560319,
TOI-6510.01,tess_only,37.98781,6510.01,361154154,
TOI-6618.01,tess_only,35.7890963,6618.01,350432166,
TOI-6622.01,tess_only,37.8575614,6622.01,260539542,
TOI-6724.01,tess_only,42.8614655,6724.01,261646133,
TOI-6525.01,tess_only,731.3548427,6525.01,147193084,
TOI-6528.01,tess_only,1484.1934287,6528.01,363417404,
TOI-6644.01,tess_only,42.7305626,6644.01,149450435,
TOI-6650.02,tess_only,30.5055627,6650.02,64837857,
TOI-6559.01,tess_only,733.3796728,6559.01,313671132,
TOI-6665.01,tess_only,735.797917,6665.01,192014454,
TOI-6668.01,tess_only,718.652003,6668.01,206361691,
TOI-6669.01,tess_only,731.9966539,6669.01,333736132,
TOI-6577.01,tess_only,729.9391752,6577.01,144321743,
TOI-6690.01,tess_only,761.7092276,6690.01,149989864,
TOI-6690.02,tess_only,904.5347981,6690.02,149989864,
TOI-6041.01,tess_only,1094.062167,6041.01,192415680,
TOI-5952.01,tess_only,45.7138545,5952.01,287643871,
TOI-6067.01,tess_only,87.2129046,6067.01,198458010,
TOI-5968.01,tess_only,753.822332,5968.01,431810418,
TOI-6075.01,tess_only,832.9236254,6075.01,424388628,
TOI-6076.01,tess_only,720.5742399,6076.01,308301091,
TOI-6079.01,tess_only,104.2892798,6079.01,272670038,
TOI-5975.01,tess_only,373.0381637,5975.01,376847633,
TOI-5987.01,tess_only,48.7130843,5987.01,284900292,
TOI-5990.01,tess_only,700.9622566,5990.01,29385858,
TOI-5996.01,tess_only,109.0502946,5996.01,293880523,
TOI-6249.01,tess_only,1092.002299,6249.01,456260074,
TOI-588.01,tess_only,39.4718663,588.01,130415266,
TOI-6007.01,tess_only,949.7905952,6007.01,279922257,
TOI-6250.01,tess_only,1076.6094165,6250.01,455737331,
TOI-6898.02,tess_only,43.8681595,6898.02,441158994,
TOI-6902.01,tess_only,36.4358589,6902.01,167656187,
TOI-6905.01,tess_only,1083.5575987,6905.01,354846183,
TOI-7019.01,tess_only,48.2590904,7019.01,366119858,
TOI-7021.01,tess_only,49.5355004,7021.01,233855268,
TOI-7025.01,tess_only,66.9954225,7025.01,219803922,
TOI-7026.01,tess_only,65.5580424,7026.01,219809549,
TOI-7164.01,tess_only,736.5528811,7164.01,326470400,
TOI-7296.01,tess_only,170.3363911,7296.01,233735354,
TOI-7347.01,tess_only,60.8344877,7347.01,233747840,
TOI-7357.01,tess_only,60.3541599,7357.01,270494650,
TOI-7360.01,tess_only,30.7331484,7360.01,258822347,
TOI-7368.01,tess_only,33.5792968,7368.01,256783400,
TOI-7390.01,tess_only,81.3716681,7390.01,160075684,
TOI-7440.01,tess_only,34.0796886,7440.01,252045206,
TOI-7655.01,tess_only,35.0842983,7655.01,117885024,
TOI-7581.01,tess_only,226.2820777,7581.01,350934357,
TOI-7587.01,tess_only,36.9078303,7587.01,294668702,
TOI-7690.01,tess_only,37.3522191,7690.01,410774020,
TOI-7693.01,tess_only,32.6045634,7693.01,341872729,
TOI-7510.03,tess_only,48.8621728,7510.03,118798035,
TOI-7513.02,tess_only,1221.2709773,7513.02,56815340,
TOI-7593.01,tess_only,34.3299701,7593.01,238394308,
TOI-7597.01,tess_only,50.6660684,7597.01,167337562,
TOI-7526.01,tess_only,33.0179222,7526.01,141524447,
TOI-772.02,tess_only,744.2007603,772.02,286864983,
TOI-7619.01,tess_only,39.2959509,7619.01,412386707,
TOI-7620.01,tess_only,145.1966742,7620.01,167165932,
TOI-7622.01,tess_only,40.8216519,7622.01,141279435,
TOI-6924.01,tess_only,91.9283414,6924.01,91777086,
TOI-6929.01,tess_only,719.5740937,6929.01,49524528,
TOI-694.01,tess_only,48.0511988,694.01,55383975,
TOI-7049.01,tess_only,40.3833862,7049.01,337217173,
TOI-705.01,tess_only,47.0196372,705.01,391904697,
TOI-6957.01,tess_only,160.6760208,6957.01,30853990,
TOI-706.01,tess_only,719.0381327,706.01,219345200,
TOI-7060.02,tess_only,1064.700399,7060.02,469810663,
TOI-7064.01,tess_only,61.5555962,7064.01,376867898,
TOI-707.01,tess_only,52.7992033,707.01,167342439,
TOI-6831.01,tess_only,57.1050077,6831.01,380884709,
TOI-7080.01,tess_only,36.6892187,7080.01,366725641,
TOI-7212.01,tess_only,75.6979471,7212.01,377253700,
TOI-7213.01,tess_only,36.9870862,7213.01,336264393,
TOI-6849.01,tess_only,1825.048364,6849.01,434100688,
TOI-6973.01,tess_only,31.6527509,6973.01,427765233,
TOI-6981.01,tess_only,425.4506963,6981.01,443823169,
TOI-6982.01,tess_only,59.8473992,6982.01,113921235,
TOI-709.01,tess_only,32.3766006,709.01,396720998,
TOI-709.02,tess_only,777.0516742,709.02,396720998,
TOI-7090.01,tess_only,60.6825768,7090.01,166178400,
TOI-710.01,tess_only,216.24584,710.01,309402106,
TOI-6869.01,tess_only,763.9701133,6869.01,28872266,
TOI-687.01,tess_only,36.2995129,687.01,74534430,
TOI-6877.01,tess_only,33.5920255,6877.01,365007485,
TOI-6983.01,tess_only,31.1571613,6983.01,368628986,
TOI-6985.01,tess_only,748.7146251,6985.01,59490344,
TOI-699.02,tess_only,33.6335925,699.02,149302744,
TOI-699.03,tess_only,672.6366236,699.03,149302744,
TOI-711.02,tess_only,35.9432773,711.02,38510224,
TOI-7118.01,tess_only,37.8016862,7118.01,286382849,
TOI-712.02,tess_only,51.6991905,712.02,150151262,
TOI-712.03,tess_only,53.746482,712.03,150151262,
TOI-700.02,tess_only,37.4236838,700.02,150428135,
TOI-7006.01,tess_only,51.9120896,7006.01,343336312,
TOI-712.04,tess_only,84.83869,712.04,150151262,
TOI-713.01,tess_only,35.9993588,713.01,167600516,
TOI-7263.01,tess_only,49.2145201,7263.01,269130683,
TOI-793.01,tess_only,54.6616036,793.01,300013921,
TOI-794.01,tess_only,52.4072665,794.01,299945285,
TOI-904.02,tess_only,83.9993991,904.02,261257684,
TOI-913.02,tess_only,1469.8512039,913.02,407126408,
TOI-798.01,tess_only,95.2391755,798.01,260640693,
TOI-928.01,tess_only,30.57908,928.01,300557619,
TOI-933.01,tess_only,88.9350637,933.01,260130483,
TOI-786.02,tess_only,38.5539344,786.02,375059587,
TOI-7866.01,tess_only,30.2860263,7866.01,260949200,
TOI-809.01,tess_only,183.458919,809.01,149301575,
TOI-810.02,tess_only,90.8479191,810.02,388106759,
TOI-813.01,tess_only,83.8962434,813.01,55525572,
TOI-815.02,tess_only,734.4987702,815.02,102840239,
TOI-7869.01,tess_only,43.4488182,7869.01,188620407,
TOI-7875.01,tess_only,35.52644,7875.01,52285162,
TOI-7887.01,tess_only,35.7453903,7887.01,319608890,
TOI-7890.01,tess_only,33.2972335,7890.01,141610717,
TOI-7895.01,tess_only,51.1148728,7895.01,349522456,
TOI-790.01,tess_only,199.5779073,790.01,308994098,
TOI-790.02,tess_only,41.0175174,790.02,308994098,
TOI-7909.01,tess_only,348.5786062,7909.01,27454084,
TOI-791.01,tess_only,139.3048512,791.01,306472057,
TOI-791.02,tess_only,928.0455814,791.02,306472057,
TOI-7916.01,tess_only,69.6579999,7916.01,220400080,
