spkid,full_name,pdes,name,kind,class,neo,pha,H,diameter,albedo,rot_per,e,a,q,i,om,w,ma,epoch,moid,n_obs_used,data_arc,condition_code,rms,first_obs,last_obs,A1,A2,A3,DT,sigma_A1,sigma_A2,model_pars,sigma_A3,sigma_DT,a1_snr,a2_snr,a3_snr,a1_state,a2_state,a3_state,nonradial_constrained,nongrav_law,g_1au,outgassing_evidence,beta_implied,amr_implied_m2_kg,s1_a1_significant,s1_a2_zero,s1_a3_zero,s1_quality,s1_no_coma,s1_no_outgassing_evidence,screen_a1_only,screen_a1_only_strict,R,R_lo,R_hi,amr_natural_m2_kg,beta,diameter_m,diameter_source,areal_density_kg_m2,R_valid,R_reason,screen_r_flag,screen_r_strong,screen_r_extreme,screen_r_flag_conservative,screen_negative_a1,screen_albedo,albedo_significant
1000018,   33P/Daniel,33P,Daniel,cn,JFc,,,,2.6,,,0.4631941403965347,4.02412896319383,2.160176007242465,22.39308248751068,66.49429524360005,19.05548567355807,334.1854604731643,2457411.5,1.18608,773,8897.0,0.0,0.73568,2000-12-22,2025-05-02,5.604937970516518e-09,4.66281070608449e-10,,,7.374e-10,1.357e-11,"[""A1"", ""A2""]",,,7.600946529043285,34.36116953636323,,significant,significant,not_fitted,False,inverse_square,1.0,True,,,True,False,True,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,False,False,False
1000105,   36P/Whipple,36P,Whipple,cn,JFc,,,,4.56,,,0.2582220757080725,4.164639225990031,3.089237440479625,9.935336949932458,182.3911896355827,201.9569858036118,216.0263345583342,2454686.5,2.09516,949,26894.0,0.0,0.63877,1948-07-18,2022-03-06,5.296286751324983e-09,-5.435023969566771e-10,,,9.583e-10,3.326e-11,"[""A1"", ""A2""]",,,5.526752323202528,-16.341022157446698,,significant,significant,not_fitted,False,inverse_square,1.0,True,,,True,False,True,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,False,False,False
1000028,   37P/Forbes,37P,Forbes,cn,JFc,,,,1.92,,,0.5341888564444898,3.457805062214664,1.610684130222245,8.956078215927871,314.5778632046561,330.0246705922038,66.03864279575886,2458673.5,0.601622,1737,5080.0,0.0,0.59939,2011-02-08,2025-01-05,6.081100604114571e-09,-1.2677245276621708e-10,5.354331311674054e-10,-22.68715512480453,1.712e-10,2.086e-11,"[""A1"", ""A2"", ""A3"", ""DT""]",6.045e-11,1.157,35.52044745394025,-6.077298790326801,8.857454609882637,significant,significant,significant,True,inverse_square,1.0,True,,,True,False,False,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,False,False,False
1000101,   40P/Vaisala 1,40P,Vaisala,cn,JFc,,,,4.2,,,0.6325089761047851,4.903830980936918,1.802113868193584,11.50012944933107,134.4841617675708,47.3077175068917,251.9198743921435,2455788.5,0.830382,1268,8325.0,0.0,0.78521,2003-09-25,2026-07-11,1.438239989547843e-09,-1.2073345334469188e-10,,,1.29e-10,1.507e-12,"[""A1"", ""A2""]",,,11.149147205797233,-80.11509843708818,,significant,significant,not_fitted,False,inverse_square,1.0,True,,,True,False,True,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,False,False,False
1000100,   41P/Tuttle-Giacobini-Kresak,41P,Tuttle-Giacobini-Kresak,cn,JFc,,,,1.4,,,0.6612733030060237,3.085209301369051,1.045042756187832,9.228465743613803,141.0589723608447,62.16674348896015,0.2268016883212529,2457857.5,0.133724,4300,2498.0,3.0,0.40933,2016-11-10,2023-09-13,6.596751028860742e-09,-2.075555677867367e-10,,,5.811e-11,7.672e-11,"[""A1"", ""A2""]",,,113.52178676408091,-2.7053645436227414,,significant,marginal,not_fitted,False,inverse_square,1.0,True,,,True,False,True,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,False,False,False
1000065,   42P/Neujmin 3,42P,Neujmin,cn,JFc,,,,2.2,,,0.5856230836073971,4.858228946254294,2.013137929878139,3.98566657907849,150.3518921276295,147.1755724499905,84.4741269142084,2454120.5,0.996644,262,8087.0,0.0,0.69434,2003-03-12,2025-05-02,1.000213183917814e-08,8.860390214999805e-10,,,1.22e-09,2.753e-11,"[""A1"", ""A2""]",,,8.198468720637822,32.18449042862261,,significant,significant,not_fitted,False,inverse_square,1.0,True,,,True,False,True,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,False,False,False
1000111,   43P/Wolf-Harrington,43P,Wolf-Harrington,cn,JFc,,,,3.6,,,0.438593541737691,4.307221488639104,2.41810196088819,9.390117188209087,244.4139994640519,224.0529405148363,158.4291351508512,2459065.5,1.44666,3619,6222.0,0.0,0.73362,2009-05-24,2026-06-06,4.19676439830529e-09,1.33358075861182e-10,,,4.44e-11,1.974e-12,"[""A1"", ""A2""]",,,94.52172068255157,67.55728260444884,,significant,significant,not_fitted,False,inverse_square,1.0,True,,,True,False,True,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,False,False,False
1000045,   45P/Honda-Mrkos-Pajdusakova,45P,Honda-Mrkos-Pajdusakova,cn,JFc,,,,1.6,,,0.8239960779465374,3.026353875026082,0.532650151526285,4.248170541497252,88.93460245064746,326.3441984051743,42.25582356030202,2457979.5,0.0603555,1823,2067.0,1.0,0.64613,2016-11-05,2022-07-04,5.430524989806315e-09,1.803847893505592e-10,,-25.8394082782621,7.585e-10,1.154e-10,"[""A1"", ""A2"", ""DT""]",,4.863,7.159558325387363,1.563126424181622,,significant,marginal,not_fitted,False,inverse_square,1.0,True,,,True,False,True,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,False,False,False
1000109,   46P/Wirtanen,46P,Wirtanen,cn,JFc,,,,1.2,,,0.6587550054889648,3.092661874753647,1.055355384474796,11.7475487582537,82.15763392494087,356.341071857073,0.01247351001231614,2458465.5,0.071335,4224,3693.0,2.0,0.44968,2013-10-30,2023-12-10,4.096574451232726e-09,-1.2468981876487241e-09,6.905971929654712e-10,-14.14793441438829,4.624e-11,3.526e-11,"[""A1"", ""A2"", ""A3"", ""DT""]",2.636e-11,1.643,88.59373813219563,-35.36296618402507,26.198679551042154,significant,significant,significant,True,inverse_square,1.0,True,,,True,False,False,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,False,False,False
1000003,   47P/Ashbrook-Jackson,47P,Ashbrook-Jackson,cn,JFc,,,,5.6,,15.6,0.3185313788274142,4.123476982272926,2.810020173546426,13.04059618026604,356.9207407773484,357.6583346409781,191.9528987403752,2459547.5,1.805,2384,4309.0,0.0,0.6736,2014-04-05,2026-01-21,1.294498092845711e-07,5.5059253021919374e-08,,,8.236e-09,4.436e-09,"[""A1"", ""A2""]",,,15.717558193852732,12.411914567610319,,significant,significant,not_fitted,False,inverse_square,1.0,True,,,True,False,True,True,False,False,False,False,,,,,,,,,False,outgassing evidence; A1 is not an SRP coefficient,False,False,False,False,False,False,False
