spkid,full_name,pdes,name,kind,class,neo,H,diameter,albedo,diameter_sigma,e,a,q,i,n_obs_used,data_arc,condition_code,rms,first_obs,last_obs,A1,A2,A3,albedo_excess_snr,albedo_excess_significant,neowise_albedo,neowise_albedo_sigma,neowise_table,albedo_crosscheck,albedo_confirmed_two_sources,population
20066092, 66092 (1998 SD),66092,,an,IMB,,14.64,1.991,0.93,0.287,0.01789639857071969,1.935589363891475,1.900949285166027,19.36947877851888,4373,14114,0,0.40291,1987-08-06,2026-03-28,,,,,False,,,,NO_ALBEDO_COLUMN_FOUND,False,asteroid
20000317,   317 Roxane (A891 RD),317,Roxane,an,MBA,,9.75,18.648,0.926,0.162,0.08587840609243716,2.286594087566237,2.090225031945658,1.76622565866308,6148,48941,0,0.37834,1891-09-11,2025-09-09,,,,,False,,,,NO_ALBEDO_COLUMN_FOUND,False,asteroid
20011923, 11923 (1992 WX),11923,,an,MBA,,13.9,2.76,0.923,0.246,0.208111239893476,2.355980677501006,1.8656746175412,5.737136940624632,7028,26845,0,0.3479,1952-10-12,2026-04-12,,,,,False,,,,NO_ALBEDO_COLUMN_FOUND,False,asteroid
20033908, 33908 (2000 LL6),33908,,an,IMB,,15.24,1.449,0.922,0.274,0.04972713777095739,1.924650798266917,1.828943422860515,24.51803667912425,2885,15852,0,0.47861,1982-11-13,2026-04-08,,,,,False,,,,NO_ALBEDO_COLUMN_FOUND,False,asteroid
20111200,111200 (2001 WZ22),111200,,an,IMB,,15.88,1.153,0.92,0.072,0.092056602579163,1.918661484534011,1.742036026768317,19.96044706220802,2413,10038,0,0.52154,1998-09-14,2026-03-09,,,,,False,,,,NO_ALBEDO_COLUMN_FOUND,False,asteroid
20039665, 39665 (1995 WU6),39665,,an,IMB,,15.01,1.591,0.92,0.268,0.09893857762549482,1.930693024197676,1.739673002552093,22.31751659465221,3024,12840,0,0.45545,1991-02-09,2026-04-06,,,,,False,,,,NO_ALBEDO_COLUMN_FOUND,False,asteroid
20032814, 32814 (1990 XZ),32814,,an,IMB,,14.43,2.409,0.919,0.119,0.07803618615563679,1.927342646563904,1.776940177010946,23.17476768229012,3772,17005,0,0.43572,1979-09-15,2026-04-06,,,,,False,,,,NO_ALBEDO_COLUMN_FOUND,False,asteroid
20002348,  2348 Michkovitch (1939 AA),2348,Michkovitch,an,MBA,,12.86,4.595,0.917,0.098,0.1709060927284775,2.39780828532163,1.98800824016534,4.670311313843123,5627,31846,0,0.40684,1939-01-26,2026-04-05,,,,,False,,,,NO_ALBEDO_COLUMN_FOUND,False,asteroid
20024702, 24702 (1991 OR),24702,,an,IMB,,14.97,1.75,0.914,0.342,0.09027590150554744,1.94475372266342,1.76918932714371,24.25852514243177,3984,13227,0,0.43522,1990-01-26,2026-04-14,,,,,False,,,,NO_ALBEDO_COLUMN_FOUND,False,asteroid
20040270, 40270 (1999 JE),40270,,an,IMB,,15.31,1.672,0.914,0.23,0.07860373550986355,1.974094437711002,1.818923240657674,18.61392197492421,3109,17288,0,0.45264,1978-10-26,2026-02-24,,,,,False,,,,NO_ALBEDO_COLUMN_FOUND,False,asteroid
20050233, 50233 (2000 AK246),50233,,an,MBA,,14.58,2.11,0.909,0.471,0.1655980930445088,2.331138568398206,1.945106466848957,6.199542537886958,3380,27498,0,0.51745,1950-03-17,2025-06-29,,,,,False,,,,NO_ALBEDO_COLUMN_FOUND,False,asteroid
20001459,  1459 Magnya (1937 VA),1459,Magnya,an,MBA,,10.46,29.188,0.909,1.833,0.2280616569895671,3.152711747824378,2.433699082605076,16.89008555108648,11427,32297,0,0.2309,1937-11-06,2026-04-10,,,,,False,,,,NO_ALBEDO_COLUMN_FOUND,False,asteroid
20015129, 15129 Sparks (2000 ET47),15129,Sparks,an,MBA,,14.38,2.211,0.908,0.37,0.2062617459985833,2.392904756233606,1.899340043204548,4.633722506487439,3802,19487,0,0.47405,1972-12-02,2026-04-10,,,,,False,,,,NO_ALBEDO_COLUMN_FOUND,False,asteroid
20010531, 10531 (1991 GB1),10531,,an,IMB,,14.86,2.111,0.908,0.071,0.04381824139923278,1.962140518521719,1.876162971621918,20.98514368370915,3475,13309,0,0.43185,1989-10-04,2026-03-13,,,,,False,,,,NO_ALBEDO_COLUMN_FOUND,False,asteroid
20004022,  4022 Nonna (1981 TL4),4022,Nonna,an,MBA,,13.21,3.67,0.907,6.999,0.1272314194256063,2.358731732399134,2.058626946041773,5.088103035515416,5601,26826,0,0.3727,1952-10-24,2026-04-05,,,,,False,,,,NO_ALBEDO_COLUMN_FOUND,False,asteroid
20013070, 13070 Seanconnery (1991 RO2),13070,Seanconnery,an,MBA,,14.82,1.764,0.9,0.13,0.2784095233002458,2.429300009605785,1.752959751978156,5.623837245646485,3151,20056,0,0.48485,1971-03-24,2026-02-19,,,,,False,,,,NO_ALBEDO_COLUMN_FOUND,False,asteroid
