spkid,full_name,pdes,name,kind,class,neo,pha,H,diameter,albedo,rot_per,e,a,q,i,om,w,ma,epoch,moid,n_obs_used,data_arc,condition_code,rms,first_obs,last_obs,A1,A2,A3,DT,sigma_A1,sigma_A2,model_pars,sigma_A3,a1_snr,a2_snr,a3_snr,a1_state,a2_state,a3_state,nonradial_constrained,nongrav_law,g_1au,outgassing_evidence,beta_implied,amr_implied_m2_kg,s1_a1_significant,s1_a2_zero,s1_a3_zero,s1_quality,s1_no_coma,s1_no_outgassing_evidence,screen_a1_only,screen_a1_only_strict,R,R_lo,R_hi,amr_natural_m2_kg,beta,diameter_m,diameter_source,areal_density_kg_m2,R_valid,R_reason,screen_r_flag,screen_r_strong,screen_r_extreme,screen_r_flag_conservative,screen_negative_a1,screen_albedo,albedo_significant
50609716,       (2012 TC4),2012 TC4,,au,APO,,,26.71,,,0.204155,0.4037967014739034,1.620463632613993,0.9661257629060436,0.5342598748124083,19.6949573105242,26.57473019342488,60.00072995802819,2461200.5,0.000101229,805,1897,0.0,0.29702,2012-10-04,2017-12-14,2.3882962993877468e-11,-2.655600957157064e-13,,,7.973e-12,6.545e-14,"[""A1"", ""A2"", ""ALN"", ""NK"", ""NM"", ""R0""]",,2.9954801196384637,-4.057449896343872,,marginal,significant,not_fitted,False,marsden_g,1.0000000023534097,False,8.070962394033404e-08,0.00010541334524195636,False,False,True,True,True,True,False,False,1.0971946670543427,0.5485973335271713,1.9003969091317396,9.607533504055519e-05,8.070962394033404e-08,15.61274805200338,H_albedo_assumed,9486.464903515674,True,,False,False,False,False,False,False,False
50625727,       (2013 BA74),2013 BA74,,au,APO,,,25.4,,,,0.4447288151545136,1.754557348253017,0.9742551376438074,5.222478240029403,310.5409985576862,203.4298949363977,255.514004375747,2461200.5,0.00861475,99,2559,4.0,0.35711,2013-01-31,2020-02-03,2.461350513587601e-10,3.6456851157783284e-13,1.916800638650594e-11,,1.842e-09,4.571e-13,"[""A1"", ""A2"", ""A3"", ""ALN"", ""NK"", ""NM"", ""R0""]",5.303e-12,0.13362380638369167,0.7975683911131761,3.614559001792559,consistent_zero,consistent_zero,significant,True,marsden_g,1.0000000023534097,False,8.317840394758789e-07,0.0010863777309238817,False,True,False,True,True,True,False,False,20.671355076474956,10.335677538237478,35.80383725375146,5.255474190757017e-05,8.317840394758789e-07,28.541668088449594,H_albedo_assumed,920.4901495445567,True,,True,False,False,True,False,False,False
50654506,       (2013 XY20),2013 XY20,,au,APO,,,25.64,,,,0.1093322140987145,1.13418390061362,1.010181063564416,2.852646901565624,78.0824512513605,19.34285544771519,119.4266623188979,2461200.5,0.0286482,72,2250,2.0,0.54269,2013-11-26,2020-01-24,-1.5078586600045648e-10,5.656670616384763e-13,-9.216767541466916e-11,,6.376e-11,3.38e-13,"[""A1"", ""A2"", ""A3"", ""ALN"", ""NK"", ""NM"", ""R0""]",9.207e-12,-2.3648975219644996,1.6735711882795157,-10.010608820969823,marginal,marginal,significant,True,marsden_g,1.0000000023534097,False,-5.095628437532755e-07,,False,False,False,True,True,True,False,False,,,,,-5.095628425540654e-07,,,,False,A1 <= 0; not attributable to radiation pressure,False,False,False,False,False,False,False
50729304,       (2015 TC25),2015 TC25,,au,APO,,,29.34,,,0.03715,0.1162856089052357,1.028401225528296,0.9088129628188476,3.743420398817443,18.8499824211927,80.57915782482895,10.4280553995714,2461200.5,0.00167809,48,562,2.0,0.40716,2015-10-11,2017-04-25,1.599229182825786e-10,-5.27364458235883e-12,,,2.134e-11,2.774e-12,"[""A1"", ""A2"", ""ALN"", ""NK"", ""NM"", ""R0""]",,7.494044905462914,-1.901097542306716,,significant,marginal,not_fitted,False,marsden_g,1.0000000023534097,False,5.40440421790904e-07,0.0007058592269872159,True,False,True,True,True,True,False,False,2.18829661489928,1.09414830744964,3.7902409190365396,0.0003225610377410853,5.40440421790904e-07,4.650282658143066,H_albedo_assumed,1416.713080692096,True,,False,False,False,False,False,False,False
50752035,       (2016 GW221),2016 GW221,,au,ATE,,,24.75,,,0.2856,0.2667979401047085,0.8280581688421442,0.6071339551081832,3.760609109768254,33.04976946959108,8.864368410261179,332.0687195108316,2461200.5,0.0223114,209,3300,3.0,0.38708,2016-04-14,2025-04-27,3.812772795208656e-11,-1.7020540239449712e-13,3.470103124427388e-11,,7.179e-11,1.764e-14,"[""A1"", ""A2"", ""A3"", ""ALN"", ""NK"", ""NM"", ""R0""]",6.633e-12,0.531100821174071,-9.648832335288951,5.231574136028024,consistent_zero,significant,significant,True,marsden_g,1.0000000023534097,False,1.2884810756107378e-07,0.00016828612726716644,False,False,False,True,True,True,False,False,4.319529144254118,2.159764572127059,7.48164394262265,3.89593684050083e-05,1.2884810756107378e-07,38.501650858569164,H_albedo_assumed,5942.260459844248,True,,False,False,False,False,False,False,False
50755370,       (2016 NJ33),2016 NJ33,,au,AMO,,,25.53,,,,0.2099895743561496,1.314508350622172,1.038475301587418,6.619681269649745,279.4307800820562,24.48275533347982,203.6855140358769,2461200.5,0.0333255,90,2261,3.0,0.54486,2016-05-28,2022-08-06,9.47540245444315e-10,-5.486101259217607e-13,8.484934726920783e-11,,2.928e-10,1.909e-13,"[""A1"", ""A2"", ""A3"", ""ALN"", ""NK"", ""NM"", ""NN"", ""R0""]",1.621e-11,3.236134718047524,-2.873808936206185,5.234382928390366,significant,marginal,significant,True,marsden_g,1.0000000023534097,False,3.2020992076128677e-06,0.004182202478363983,True,False,False,True,True,True,False,False,74.95371229966347,37.47685614983173,129.82363791891743,5.579713599299285e-05,3.2020992076128677e-06,26.883100239918658,H_albedo_assumed,239.10846143230862,True,,True,False,False,True,False,False,False
50788063,       'Oumuamua (A/2017 U1),2017 U1,'Oumuamua,au,HYA,,,22.08,,,7.937,1.201133796102373,-1.27234500742808,0.2559115812959116,122.7417062847286,24.59690955523242,241.8105360304898,51.1576197938249,2458080.5,0.0958212,207,80,,0.43612,2017-10-14,2018-01-02,2.790193364334668e-07,1.441264159911234e-08,1.57392261588653e-08,,3.574e-08,2.445e-08,"[""A1"", ""A2"", ""A3"", ""ALN"", ""NK"", ""NM"", ""NN"", ""R0""]",2.249e-08,7.806920437422126,0.5894740940332246,0.6998321991491907,significant,consistent_zero,consistent_zero,True,marsden_g,1.0000000023534097,False,0.000942912557432663,1.2315206303414965,True,True,True,False,True,True,False,False,108101.01802219586,54050.50901109793,187236.4555643621,1.1392312976077934e-05,0.000942912557432663,131.66773096470962,H_albedo_assumed,0.8120042615304816,True,,True,True,True,True,False,False,False
54000953,       (2020 CD3),2020 CD3,,au,APO,,,31.74,,,,0.01237013808536905,1.02902259300666,1.016293441438203,0.6339870686443386,82.24626196068033,49.89651149055024,32.9757086105211,2461200.5,0.0211265,128,742,0.0,0.64154,2018-05-09,2020-05-20,1.356929036480999e-10,,,,2.503e-12,,"[""A1"", ""ALN"", ""NK"", ""NM"", ""NN"", ""R0""]",,54.21210693092284,,,significant,not_fitted,not_fitted,False,marsden_g,1.0000000023534097,False,4.585579782381968e-07,0.0005989140837678954,True,True,True,True,True,True,True,False,0.6148265569165535,0.30741327845827676,1.0649108344221088,0.0009741187608608491,4.585579782381968e-07,1.53985331180196,H_albedo_assumed,1669.6885698676313,True,,False,False,False,False,False,False,False
54016433,       (2020 GE),2020 GE,,au,ATE,,,28.17,,,,0.04953894916812334,0.9872736634635992,0.9383651636342492,1.671854881156746,171.7261538369749,68.13504377781186,23.92196186314073,2461200.5,0.00124848,58,1699,1.0,0.4674,2020-03-29,2024-11-22,1.763832253342219e-10,-1.939815078655556e-12,,,1.258e-11,2.184e-14,"[""A1"", ""A2"", ""ALN"", ""NK"", ""NM"", ""R0""]",,14.020924112418275,-88.81937173331299,,significant,significant,not_fitted,False,marsden_g,1.0000000023534097,False,5.960660655781145e-07,0.0007785108502580929,True,False,True,True,True,True,False,False,4.136687958715911,2.0683439793579557,7.164953719554345,0.0001881966582994948,5.960660655781145e-07,7.970385943904014,H_albedo_assumed,1284.5036131076126,True,,False,False,False,False,False,False,False
54088822,       (2020 WY),2020 WY,,au,APO,,,26.2,,,,0.02860139044097063,1.02037071354967,0.9911866923769038,1.70009609616035,107.0993086666264,180.4537510990365,268.1610071411457,2461200.5,0.0241892,99,360,2.0,0.55116,2020-01-22,2021-01-16,6.218351643397272e-11,,,,2.863e-11,,"[""A1"", ""ALN"", ""NK"", ""NM"", ""R0""]",,2.1719705355910834,,,marginal,not_fitted,not_fitted,False,marsden_g,1.0000000023534097,False,2.1014177461817116e-07,0.00027446228040857576,False,True,True,True,True,True,False,False,3.6130232790342967,1.8065116395171483,6.257939888216507,7.596471409448963e-05,2.1014177461817116e-07,19.746009945278104,H_albedo_assumed,3643.487908470917,True,,False,False,False,False,False,False,False
54134666,       (2021 GM1),2021 GM1,,au,ATE,,,30.4,,,,0.02550279901268023,0.9780116137912364,0.9530695801726514,1.178558670083117,176.2230199361613,226.1475693279558,276.7862633918435,2461200.5,0.000231211,113,344,1.0,0.37238,2020-05-26,2021-05-05,5.761714152844855e-11,,,,1.108e-11,,"[""A1"", ""ALN"", ""NK"", ""NM"", ""R0""]",,5.200103026033262,,,significant,not_fitted,not_fitted,False,marsden_g,1.0000000023534097,False,1.9471025544318794e-07,0.0002543074589760917,True,True,True,True,True,True,True,False,0.48389060576750803,0.24194530288375402,0.8381231144946054,0.0005255474190757017,1.9471025544318794e-07,2.854166808844959,H_albedo_assumed,3932.2480120176633,True,,False,False,False,False,False,False,False
54216314,       (2021 VH2),2021 VH2,,au,APO,,,28.8,,,,0.0786754399789885,1.02000680900753,0.939757324527298,1.326249329079196,222.4277915598705,265.1250985786449,98.92444561377626,2461200.5,0.00438083,47,917,2.0,0.32005,2021-10-27,2024-05-01,8.144490610504475e-11,,,,2.168e-11,,"[""A1"", ""ALN"", ""NK"", ""NM"", ""R0""]",,3.7566838609337982,,,significant,not_fitted,not_fitted,False,marsden_g,1.0000000023534097,False,2.75233342918092e-07,0.00035947717239484533,True,True,True,True,True,True,True,False,1.429089437325763,0.7145447186628815,2.47525551400824,0.0002515428097121272,2.75233342918092e-07,5.9631996705317984,H_albedo_assumed,2781.8178087303195,True,,False,False,False,False,False,False,False
