fold,period_days,phase,flux_frac,err,n
fold_at_2p,0.84656370819982,0.385,0.0,1.8941173021838444e-05,650
fold_at_2p,0.84656370819982,0.395,6.394259541830927e-05,1.910071757786403e-05,649
fold_at_2p,0.84656370819982,0.405,0.0001353858721850898,2.12931908359086e-05,641
fold_at_2p,0.84656370819982,0.415,0.00015947350318468168,1.8859089095585314e-05,651
fold_at_2p,0.84656370819982,0.425,0.0002922766763566731,1.9592067937752068e-05,650
fold_at_2p,0.84656370819982,0.435,0.00034727751963870013,2.1632344435104453e-05,655
fold_at_2p,0.84656370819982,0.445,0.00044466136771204035,2.3119983212505543e-05,642
fold_at_2p,0.84656370819982,0.455,0.00047717445687767146,2.3745682106824515e-05,647
fold_at_2p,0.84656370819982,0.465,0.0005014269606644639,2.3885875587274325e-05,653
fold_at_2p,0.84656370819982,0.475,0.0004886371819455837,2.41181112996827e-05,654
fold_at_2p,0.84656370819982,0.485,0.00044848558472909694,2.380877286621909e-05,656
fold_at_2p,0.84656370819982,0.495,0.0003712609393744515,2.1774732372183974e-05,639
fold_at_2p,0.84656370819982,0.505,0.0003701408152632091,1.9260570300881185e-05,656
fold_at_2p,0.84656370819982,0.515,0.0002863911576982403,1.7873759031917614e-05,651
fold_at_2p,0.84656370819982,0.525,0.00024169387252870322,1.748957317853975e-05,642
fold_at_2p,0.84656370819982,0.535,0.00020525715960129087,1.7222048381354707e-05,654
fold_at_2p,0.84656370819982,0.545,0.00014927120632712843,1.683108730396733e-05,637
fold_at_2p,0.84656370819982,0.555,9.616554618252504e-05,1.7102182812433174e-05,640
fold_at_2p,0.84656370819982,0.565,4.945077251172769e-05,1.4773710803583592e-05,653
fold_at_2p,0.84656370819982,0.575,2.5099251169447e-05,1.647730771044341e-05,651
fold_at_2p,0.84656370819982,0.585,0.0,1.58352723985888e-05,652
fold_at_2p,0.84656370819982,0.595,0.0,1.6010656306229324e-05,641
fold_at_2p,0.84656370819982,0.605,0.0,1.5980509386423537e-05,655
fold_at_2p,0.84656370819982,0.615,-8.070059396281248e-05,1.5581809980549048e-05,645
fold_at_2p,0.84656370819982,0.625,-7.774595772541693e-05,1.4660609465904863e-05,646
fold_at_2p,0.84656370819982,0.635,-0.0001162200601275698,1.4072360090173174e-05,653
fold_at_2p,0.84656370819982,0.645,-0.00010654346395133629,1.5696493408804784e-05,643
fold_at_2p,0.84656370819982,0.655,-0.0001357217454441284,1.3973133772435312e-05,656
fold_at_2p,0.84656370819982,0.665,-0.00016669625583570769,1.3587070396236087e-05,648
fold_at_2p,0.84656370819982,0.675,-0.0002059969504899506,1.4833309024372421e-05,656
fold_at_2p,0.84656370819982,0.685,-0.00020061876944876822,1.5652756388267448e-05,652
fold_at_2p,0.84656370819982,0.695,-0.00024179108766381185,1.6133981499322324e-05,648
fold_at_2p,0.84656370819982,0.705,-0.0002474622771533319,1.4401596950000327e-05,649
fold_at_2p,0.84656370819982,0.715,-0.00026352571048049445,1.561405425885121e-05,641
fold_at_2p,0.84656370819982,0.725,-0.00022326028466024272,1.4803180065556756e-05,652
fold_at_2p,0.84656370819982,0.735,-0.00024415624918305845,1.5527636143322124e-05,647
fold_at_2p,0.84656370819982,0.745,-0.00029160786545373574,1.5283246440987296e-05,652
fold_at_2p,0.84656370819982,0.755,-0.00027218960999658703,1.587739612445727e-05,646
fold_at_2p,0.84656370819982,0.765,-0.0002844737289376953,1.6517425762096238e-05,652
fold_at_2p,0.84656370819982,0.775,-0.0002951534224776564,1.672687998849826e-05,652
fold_at_2p,0.84656370819982,0.785,-0.0003167828690552321,1.6466161109625852e-05,653
fold_at_2p,0.84656370819982,0.795,-0.00030656806436690776,1.6594724400570437e-05,645
fold_at_2p,0.84656370819982,0.805,-0.00027434912195373196,1.5905183947961726e-05,654
fold_at_2p,0.84656370819982,0.815,-0.0002781003523343317,1.624735243397004e-05,644
fold_at_2p,0.84656370819982,0.825,-0.00023041603921886145,1.7051278511049618e-05,646
fold_at_2p,0.84656370819982,0.835,-0.00021157803465210456,1.617846111258188e-05,647
fold_at_2p,0.84656370819982,0.845,-0.00013861182977747966,1.6730302571937622e-05,640
fold_at_2p,0.84656370819982,0.855,-8.612553634279596e-05,1.8887227653490254e-05,644
fold_at_2p,0.84656370819982,0.865,-5.894501755293602e-05,1.9341598249650018e-05,656
fold_at_2p,0.84656370819982,0.875,0.0,2.163751725560288e-05,649
fold_at_2p,0.84656370819982,0.885,0.0,1.9162675923745757e-05,644
fold_at_2p,0.84656370819982,0.895,3.8168189949283615e-05,2.015989962036008e-05,649
fold_at_2p,0.84656370819982,0.905,9.789473101884383e-05,1.9842341615835213e-05,642
fold_at_2p,0.84656370819982,0.915,0.0002026677352502393,2.0142198224230248e-05,651
fold_at_2p,0.84656370819982,0.925,0.00025457474461088037,1.7635790609882513e-05,644
fold_at_2p,0.84656370819982,0.935,0.00037013564717791603,2.170873314139672e-05,639
fold_at_2p,0.84656370819982,0.945,0.00045743041707990706,2.3029929458301996e-05,647
fold_at_2p,0.84656370819982,0.955,0.00048133753702206405,2.417839595410546e-05,645
fold_at_2p,0.84656370819982,0.965,0.0004843196755706103,2.5387302853960873e-05,647
fold_at_2p,0.84656370819982,0.975,0.0004887935692760026,2.4024341542530873e-05,654
fold_at_2p,0.84656370819982,0.985,0.0004263964869614112,2.3144033230288693e-05,642
fold_at_2p,0.84656370819982,0.995,0.000421934407264013,2.2500460578289867e-05,648
fold_at_2p_flares_masked,0.84656370819982,0.005,0.0003322610830237549,1.9564053563661242e-05,634
fold_at_2p_flares_masked,0.84656370819982,0.015,0.000290840045288121,1.7347978909882965e-05,632
fold_at_2p_flares_masked,0.84656370819982,0.025,0.00022698424420020125,1.699536638453595e-05,627
fold_at_2p_flares_masked,0.84656370819982,0.035,0.0001819127615837468,1.640614957786987e-05,630
