source_id,ra,dec,l,b,ecl_lat,parallax,parallax_error,parallax_over_error,pmra,pmdec,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_variable_flag,non_single_star,ipd_frac_multi_peak,phot_bp_rp_excess_factor,random_index,tmass_angular_distance,tmass_number_of_neighbours,tmass_number_of_mates,tmass_designation,j_m,j_msigcom,h_m,h_msigcom,ks_m,ks_msigcom,tmass_ph_qual,track,dec_band_index,dec_lo,dec_hi,is_locus_sample,tmass_cc_flg,etz,nearby,distance_pc,first_rejection,rejections,vet_group,wise_status,allwise_sep_arcsec,allwise_w1,allwise_w2,allwise_cc_flags,catwise_present,unwise_present,nearest_allwise_sep_arcsec,nearest_allwise_cc_flags,truly_missing,missing_vet_status
6358928609077405568,328.6852845032745,-73.44042914624846,317.5798376114526,-38.24319226413553,-55.13539744510718,26.087310337158915,0.017217558,1515.1573,-196.56283021470347,-437.6089208332317,1.0188754,7.270075,7.609651,6.7561007,0.85355043,NOT_AVAILABLE,0,1,1.2062178,1709057585,0.038049474,1,0,21544520-7326185,6.234,0.024,5.933,0.04,5.794,0.017,AAA,missing,3,-75.0,-70.0,False,,False,True,38.3328134282818,,,nearby,wise_source_present_within_6as,0.2544389494878396,5.814000129699707,5.723999977111816,0000,,,,,False,wise_source_present_within_6as
6416644345242440320,289.65282131775,-73.1031914871551,321.9802097806956,-27.833064336103277,-50.263773636163016,21.526196858661603,0.010110975,2128.9932,120.7831363017414,-42.938663015301046,0.9013548,9.330579,9.828247,8.67512,1.1531267,NOT_AVAILABLE,0,0,1.2283973,867836853,0.053417478,1,0,19183624-7306108,7.913,0.023,7.458,0.067,7.327,0.024,AAA,missing,3,-75.0,-70.0,False,,False,True,46.45502438567661,,,nearby,wise_source_present_within_6as,0.1747679591707623,7.193999767303467,7.294000148773193,0000,,,,,False,wise_source_present_within_6as
5803288101584023040,263.6142791079534,-73.44800930242533,319.6421426014145,-20.702603494406876,-50.07145050183644,36.046258280675886,0.018165661,1984.3075,23.94560307875921,-58.805292287635794,1.0926261,11.005578,12.342608,9.859828,2.4827805,NOT_AVAILABLE,0,0,1.4209063,1771676649,0.104581185,1,0,17342735-7326519,8.316,0.019,7.716,0.04,7.478,0.026,AAA,missing,3,-75.0,-70.0,False,,False,True,27.742130465066666,,,nearby,wise_source_present_within_6as,0.49130869259504345,6.908999919891357,7.13700008392334,HHd0,,,,,False,wise_source_present_within_6as
4651329704762754176,79.00078097689477,-72.23321188218537,283.5048427412177,-32.96203338809909,-83.15556639244919,44.83657048485147,0.015729947,2850.3953,-46.93226502071431,825.9086009133438,0.999549,10.755001,12.003192,9.646079,2.357113,NOT_AVAILABLE,0,1,1.3986255,628053121,0.23983301,1,0,05160040-7214135,8.209,0.037,7.623,0.031,7.362,0.024,AAA,missing,3,-75.0,-70.0,False,,False,True,22.30322232914449,,,nearby,wise_source_present_within_6as,0.14284095494126392,7.175000190734863,7.073999881744385,0000,,,,,False,wise_source_present_within_6as
4644134225767167872,38.27444552078032,-72.44368232746149,292.7982639261912,-42.62699083719219,-71.63522790803832,20.173037082512167,0.014800541,1362.9933,-86.24984863653292,48.1290752696536,1.019664,7.7352734,8.034469,7.266171,0.7682977,NOT_AVAILABLE,0,0,1.1989584,1338893318,0.018439941,1,0,02330617-7226380,6.793,0.019,6.519,0.029,6.424,0.02,AAA,missing,3,-75.0,-70.0,False,,False,True,49.57111791892216,,,nearby,wise_source_present_within_6as,1.0983702936812139,6.065999984741211,6.017000198364258,hh00,,,,,False,wise_source_present_within_6as
4690114462012051584,12.718193297359578,-71.15126737757816,302.9976019663166,-45.97691054829187,-63.71136325662711,25.94291436073017,0.017076552,1519.2128,-13.358789964554228,37.64814395277728,0.9411767,6.7497683,6.975416,6.361929,0.61348724,NOT_AVAILABLE,0,0,1.190784,172528613,0.20809957,1,0,00505241-7109054,5.995,0.026,5.78,0.026,5.719,0.016,AAA,missing,3,-75.0,-70.0,False,,False,True,38.546170491689296,,,nearby,wise_source_present_within_6as,0.20324732949668994,5.718999862670898,5.5370001792907715,HHH0,,,,,False,wise_source_present_within_6as
6371426036195507328,325.1048203190033,-71.50357616054788,320.3897499228668,-38.48073272326815,-52.929665648217714,20.71607344269429,0.016531333,1253.1399,388.19509348965215,-54.56016750585093,1.0016838,7.304674,7.571976,6.864019,0.70795727,NOT_AVAILABLE,0,0,1.1986021,836231396,0.1567111,1,0,21402390-7130121,6.39,0.023,6.169,0.034,6.089,0.024,AAA,missing,3,-75.0,-70.0,False,,False,True,48.27169602223334,,,nearby,wise_source_present_within_6as,0.5382525165696211,6.150000095367432,5.958000183105469,0000,,,,,False,wise_source_present_within_6as
4706630501049679744,1.322328801511178,-67.83508132890724,309.4968228348829,-48.70072117905386,-58.55540622398929,61.00639982208859,0.019343195,3153.8948,-116.61790800134396,-560.5878813780755,0.96927494,8.09102,8.690603,7.351634,1.3389692,NOT_AVAILABLE,0,0,1.2491789,454619538,0.040230542,1,0,00051767-6749577,6.44,0.021,5.885,0.033,5.714,0.024,AAA,missing,4,-70.0,-65.0,False,,False,True,16.39172288343968,,,nearby,wise_source_present_within_6as,0.3948537598706359,5.718999862670898,5.639999866485596,dd00,,,,,False,wise_source_present_within_6as
5908778859223528192,269.1021167587068,-65.72315151301247,327.9457902415628,-19.18639320879005,-42.28542585047709,28.15503432268344,0.023154642,1215.9563,82.60217626623025,-318.1144867489557,0.92527395,6.2556252,6.4745374,5.877,0.5975375,NOT_AVAILABLE,0,1,1.1893663,743895802,0.15696326,1,0,17562432-6543184,5.572,0.018,5.366,0.024,5.286,0.029,AAA,missing,4,-70.0,-65.0,False,,False,True,35.51762674266528,,,nearby,wise_source_present_within_6as,0.47725455368695385,5.271999835968018,5.091000080108643,0000,,,,,False,wise_source_present_within_6as
6485226795340143488,359.4005062333625,-65.7756764957619,311.55607167534305,-50.44152658763904,-56.61443640261257,24.302072589210475,0.026443908,919.0046,260.4938400089081,-25.726232482457966,0.93362457,8.056912,8.365936,7.576627,0.7893095,NOT_AVAILABLE,0,0,1.2007098,307786291,0.076036334,1,0,23573544-6546320,7.044,0.02,6.76,0.029,6.661,0.021,AAA,missing,4,-70.0,-65.0,False,,False,True,41.14875372580261,,,nearby,wise_source_present_within_6as,0.2793567595767644,6.557000160217285,6.625999927520752,hh00,,,,,False,wise_source_present_within_6as
