star,n_epochs,n_epochs_candidate,candidate,any_control_veto,tc_coherent_any,max_radio_flagged,z_TcI_4238,z_TcI_4262,z_TcI_4297,z_UII_3860,z_ThII_4019
gaia_6060057503020288640,2,0,False,False,False,0,1.0746806225777439,-0.5829604008489953,-0.2980046976822864,-0.6609986846180836,-0.07094210597201729
renson_126515,1,0,False,False,False,0,0.9541810625846007,-3.47055565382846,1.2937611408940135,2.2535839869474397,-0.680307555336944
renson_31908,1,0,False,False,False,0,0.8160512064983034,1.1468242461909233,0.761031641879354,2.1642417641935774,-3.522473219456163
renson_3980,3,0,False,False,False,0,0.6435919545627637,-2.8406946072687083,-1.425626997536589,1.365633826253037,-3.4436739284235234
renson_5737,1,0,False,False,False,0,0.3256778247444111,-0.09775818546675956,-0.4582278518070268,-0.6984534880267892,0.450628289223179
renson_167858,3,0,False,False,False,0,0.2834477159403962,0.007506033024934439,-0.7113142105424156,-0.17267882450892463,0.184387890495264
gaia_4275035697119244928,3,0,False,False,False,0,0.27746974958266907,-0.007506033024934663,-0.6503728572882866,-0.2225763654574971,0.4425860341862672
renson_46462,1,0,False,False,False,0,0.11040177355539009,0.14076283364361944,-0.3735192847872791,-0.7262829462822892,0.42319179446677585
gaia_4284211465250502528,2,0,False,False,False,0,0.0,-0.02108321748382258,0.0,-0.750159530529774,0.8139259710718256
renson_86181,1,0,False,False,False,0,-0.0072687136863531605,-0.5200514184131965,-2.3885467890506633,0.17642048443262684,-0.6342348716150878
renson_72359,1,0,False,False,False,0,-0.047315099495645434,-0.563408858721657,-0.3713509821269614,-0.6955756006318973,0.12844898697072166
gaia_5429897771019708672,3,0,False,False,False,0,-0.05837905354484536,-0.040931248940358836,-0.2833603440198148,-1.7822459261392118,0.5753198542001088
gaia_5231963962676292224,3,0,False,False,False,0,-0.1347945722837358,0.8104283586731686,2.501329501226612,0.5671167922412137,-0.6113507702481693
renson_170973,2,0,False,False,False,0,-0.16641544109896778,0.47787941831414193,0.7004697249500474,-0.7234295300033882,0.8745822989512448
renson_135379,3,0,False,False,False,0,-0.26722509444465636,-0.7910129203949722,1.4967045792913125,0.9325153373939515,-0.05783026000343007
renson_114330,3,0,False,False,False,0,-0.2853780609830308,-0.4034298565212796,-0.39059208145331037,-0.6096224976461482,0.3384766664616022
gaia_6130345536147985024,2,0,False,False,False,0,-0.3143205487043572,-1.4219055486950931,0.36821938476326144,0.9585797977054236,-1.052817491956577
gaia_5772879737424829184,1,0,False,False,False,1,-0.32735465108856804,4.173833501261606,-5.3234983481746685,0.005263217454145668,0.5689420864240605
gaia_5245968236116294016,3,0,False,False,False,0,-0.37649482423014824,0.7375051724473743,3.0686245530766514,0.5205258106415427,-1.037693925828517
renson_96368,3,0,False,False,False,0,-0.39626496372361547,-1.1098308773180656,1.4251852103133313,-0.8217844521591626,0.8808194147394691
renson_148542,1,0,False,False,False,0,-0.4248964209382571,-0.5720494538261137,0.44190385036376484,0.041888768623435685,0.371842027709541
renson_57219,1,0,False,False,False,0,-0.4357436295283619,-0.33922135843555873,-0.4058363651550192,-0.5517198352902163,0.4130890850518854
gaia_5574891984279264128,2,0,False,False,False,0,-0.4613683077998945,-0.3339877716578387,0.08002643129802736,-0.7860190500318611,0.354119909656194
renson_87240,2,0,False,False,False,0,-0.49864566095434676,-0.3999791114359328,-0.16907872370629168,-0.9981795420954742,0.2880718376456509
gaia_6599619950733282304,1,0,False,False,False,0,-0.5126094634094741,2.605823309380798,3.520262154440249,0.2610897714844818,-3.094392552772166
gaia_5821125860988362752,1,0,False,False,False,0,-0.5338287628398509,-1.4317539822388385,-0.09905435332010377,0.34949935136388255,0.15409447737009863
gaia_5409223585178017152,2,0,False,False,False,0,-0.5412173857387371,-1.1410677860470644,-1.119268475304781,-0.025611797957222647,0.2306381140824627
renson_139271,1,0,False,False,False,1,-0.5724049263206086,3.4953334712137747,7.233105424157409,1.0948516298670168,-2.1085691136176172
gaia_4419087491463629952,1,0,False,False,False,0,-0.5796479907663962,-0.564846819717249,-1.2068846938034488,-0.26460995788332387,0.32911032301346393
gaia_5916065494590234368,2,0,False,False,False,0,-0.6464748710607371,-1.1701073142311307,-3.8163916471489756e-17,-0.06770959138735731,0.3124636984059104
gaia_6396437348747317248,1,0,False,False,False,0,-0.6597476676264211,-0.8854240892821237,0.054063493391663005,0.7986006090375093,-1.8845640079483492
gaia_5935598765341599104,2,0,False,False,False,0,-0.6945294347597302,0.21978540159630666,0.8004036392945552,2.088362995446267,-3.719726369423654
renson_89911,1,0,False,False,False,0,-0.7695205326330995,-0.5096767112947126,-0.3103907344144891,0.08765097474353806,0.23242202631786554
gaia_6117585222671394304,1,0,False,False,False,0,-0.8472994931100294,0.5172202874219411,1.300318768364546,1.7810716482040363,-2.5805822929535744
gaia_4279028985902356096,1,0,False,False,False,0,-0.9877794277899461,-0.6241995258096585,-0.7063886827449436,0.16421897750625308,0.3338366667869403
gaia_3310634944368705664,1,0,False,False,False,0,-1.3002703066819057,-2.198478943598159,-0.020267521491287882,1.0256053139860528,-0.22585751612785718
gaia_6448574845812814080,2,0,False,False,False,0,-1.4901409998428305,-0.6334450458762091,-0.6350563875749513,0.20165586551058393,0.2554159397938168
renson_30020,1,0,False,True,False,1,-1.6871462891013298,64.97397971282348,8.682313442706349,-9.503733395201722,11.629454921901416
