key,name,pdes,kind,class,is_comet,neo,H,H_effective,diameter_m,diameter_measured,albedo,a_au,e,i_deg,q_au,moid_au,tisserand_j,comet_like_dynamics,A_magnitude_au_day2,A_sigma_au_day2,A_snr,epsilon_1au,epsilon_1au_rho_1000,g_law_assumed,epsilon_at_perihelion,del_vigna_R,a2_snr,orbit_rms_arcsec,data_arc_days,n_obs_used,condition_code,reliable,tier,known_as,standing_exceedance,components_fitted,fails
1000231,188P/LINEAR-Mueller,188P,cn,JFc,True,,,,,False,,4.377822558614334,0.4164308330689698,10.53742613612089,2.554762263502438,1.56407,2.828384250044123,True,1.3280741945420298e-08,1.8340980245555438e-09,7.241020800204294,,,sublimation,,,79.55450885848536,0.72822,7043.0,1256.0,0.0,True,untestable,,,A1|A2|A3,
1000400,189P/NEAT,189P,cn,JFc,True,Y,,,,False,,2.91761891049007,0.5976428477056455,20.40062928962228,1.173924836304942,0.166971,2.909095868403596,True,2.1024409284569733e-10,5.111174467807216e-11,4.113420392317302,,,sublimation,,,605.3190789366004,0.74615,7330.0,1469.0,0.0,True,untestable,,,A1|A2,
1000233,190P/Mueller,190P,cn,JFc,True,,,,,False,,4.241753145210364,0.5206778025184362,2.172645037178136,2.033166438736566,1.03796,2.7673593753726964,True,5.869755467043989e-10,4.680115695437021e-10,1.2541902484946756,,,sublimation,,,6.259074222662806,0.47475,10015.0,714.0,1.0,False,untestable,,,A1|A2,a_snr_1.3_below_3
1002466,191P/McNaught,191P,cn,JFc,True,,,,,False,,3.532749442832078,0.4207224525762403,8.75900490041878,2.04644243290642,1.07186,2.950608167412785,True,6.00034903689564e-09,4.881534444230602e-10,12.291932189451915,,,sublimation,,,10.514122993446481,0.77967,7832.0,787.0,0.0,True,untestable,,,A1|A2|A3,
1000125,192P/Shoemaker-Levy 1,192P,cn,JFc,True,,,,,False,,6.476024904352533,0.7720114166459557,24.54364917386715,1.476459743708844,0.568545,2.0935549714365815,True,3.861192517677628e-09,5.520646575825885e-10,6.99409473989013,,,sublimation,,,12.541271855488391,0.60129,12468.0,200.0,0.0,True,untestable,,,A1|A2,
1000350,193P/LINEAR-NEAT,193P,cn,JFc,True,,,,,False,,3.575479347322213,0.3941781567465035,10.68695184107915,2.166103488709552,1.15785,2.952659272688093,True,5.966080641456016e-09,9.278612302866407e-10,6.429927716252286,,,sublimation,,,116.44305009504009,0.77785,7483.0,944.0,1.0,True,untestable,,,A1|A2,
1000441,197P/LINEAR,197P,cn,JFc,True,Y,,,,False,,2.867405607026134,0.6299409739580523,25.55606410528775,1.061109326203311,0.0508252,2.8551704930150414,True,7.332347456119059e-11,6.459638924929311e-11,1.1351017512483175,,,sublimation,,,25.332816567398087,0.92517,7452.0,325.0,0.0,False,untestable,,,A1|A2|A3,orbit_rms_0.93as_above_0.8|a_snr_1.1_below_3
1000151,199P/Shoemaker 4,199P,cn,JFc,True,,,,,False,,5.947599474494759,0.5075245602233383,24.75618188598803,2.929046666817249,1.91637,2.5479526737209404,True,6.322658817937651e-07,2.5725076771305702e-08,24.57780349557627,,,sublimation,,,15.743313811071719,0.65065,10776.0,863.0,2.0,True,untestable,,,A1|A2|A3,
1000364,202P/Scotti,202P,cn,JFc,True,,,,,False,,3.773896046358042,0.3304394741561227,2.18533959937087,2.52685182127962,1.54422,2.985313369863912,True,1.0707350055428298e-09,5.235065960756085e-10,2.045313303728052,,,sublimation,,,53.61561858647849,0.81977,34795.0,449.0,0.0,False,untestable,,,A1|A2,orbit_rms_0.82as_above_0.8|a_snr_2.0_below_3
1000292,203P/Korlevic,203P,cn,JFc,True,,,,,False,,4.653888305539413,0.3160488592639599,2.973799075121602,3.183032215431798,2.19933,2.9101997114395637,True,8.342558204242227e-08,1.685250711905656e-08,4.95033655544853,,,sublimation,,,59.431446874875505,0.75968,7856.0,1174.0,0.0,True,untestable,,,A1|A2,
1000361,204P/LINEAR-NEAT,204P,cn,JFc,True,,,,,False,,3.656366206927331,0.4721730964648458,6.588859308994665,1.92992845319303,0.946869,2.8913488322457392,True,3.7291351381191626e-09,4.283243420694687e-10,8.70633483052043,,,sublimation,,,72.61899937399733,0.64475,5361.0,1273.0,0.0,True,untestable,,,A1|A2,
1002995,205P/Giacobini-A,205P-A,cn,JFc,True,,,,,False,,3.539301441690985,0.568714327637854,15.30462698794076,1.526450001972009,0.532148,2.778967638257277,True,2.2014012760963684e-08,5.0059907794506935e-09,4.397533621382195,,,sublimation,,,2.928635548599899,0.81221,163.0,1143.0,4.0,False,untestable,,,A1|A2,orbit_rms_0.81as_above_0.8|arc_163d_below_3650d|condition_code_4_above_2
1002996,205P/Giacobini-B,205P-B,cn,JFc,True,,,,,False,,3.60328142190863,0.5753279137768729,15.40528193605396,1.530213038690974,0.536385,2.7565955890379428,True,7.842307379198002e-06,3.7070020360031035e-06,2.11553899971784,,,sublimation,,,0.09931192940482894,1.0167,19.0,66.0,9.0,False,untestable,,,A1|A2,orbit_rms_1.02as_above_0.8|arc_19d_below_3650d|only_66_observations|condition_code_9_above_2|a_snr_2.1_below_3
1002997,205P/Giacobini-C,205P-C,cn,JFc,True,,,,,False,,3.539968956941809,0.5687302569766289,15.30854366194419,1.526681502371005,0.532358,2.7787717415817035,True,6.256154123378463e-09,5.256531676455081e-10,11.901676825045808,,,sublimation,,,23.799501788071286,0.99216,40927.0,66.0,3.0,False,untestable,,,A1|A2,orbit_rms_0.99as_above_0.8|only_66_observations|condition_code_3_above_2
