target_id,night,mjd,polarity,bands,dflux_njy,dflux_err_njy,strongest_band,a,a_err,sep_arcsec,sep_sigma,grey_z,grey_tested,colour_temp_k,verdict,alert_ids,per_band,reasons
58775497870151168,n60976,60977.33670140011,flash,"[""r""]",180812.31223579243,20889.60052852386,r,0.9489166453856483,0.15113244908615156,0.4483219531366826,1.2680341769226622,,False,,kept,"[""3223336701615015015""]","{""r"": {""mjd"": 60977.33670140011, ""dflux_njy"": 180812.31223579243, ""dflux_err_njy"": 20889.60052852386, ""a"": 0.9489166453856483, ""a_err"": 0.15113244908615156, ""baseline_source"": ""rubin_template"", ""baseline_mag"": 18.20000016215631, ""snr"": 8.655613686288588, ""reliability"": 0.9995512}}","[""greyness_untested_single_band"", ""nondetection_untestable_no_baseline_other_band"", ""colour_temperature_untestable""]"
2456848359920712064,n61012,61013.1681597,dip,"[""g"", ""r""]",-2264164.621070158,120868.54263965413,r,-0.11817020010808947,0.006352205869344177,0.3182956110212476,0.9002758077297645,0.5313954692165049,True,,kept,"[""3259227235615010025"", ""3259168150315010103""]","{""g"": {""mjd"": 61013.227233800106, ""dflux_njy"": -618358.0230076523, ""dflux_err_njy"": 40930.325289641405, ""a"": -0.11293797294065301, ""a_err"": 0.007523109446182372, ""baseline_source"": ""rubin_template"", ""baseline_mag"": 14.553999971416328, ""snr"": -15.107576561678231, ""reliability"": 0.541429}, ""r"": {""mjd"": 61013.1681597, ""dflux_njy"": -2264164.621070158, ""dflux_err_njy"": 120868.54263965413, ""a"": -0.11817020010808947, ""a_err"": 0.006352205869344177, ""baseline_source"": ""rubin_template"", ""baseline_mag"": 13.193999927397059, ""snr"": -18.73245570454441, ""reliability"": 0.6964655}}",[]
2456848359920712064,n61026,61027.128911999986,dip,"[""g"", ""r""]",-1924594.3211559954,107213.58544558448,r,-0.10044745477723137,0.00562379559066489,0.25914198504525876,0.7329641112286899,0.000477061190005353,True,,kept,"[""3273116820315010016"", ""3273128910315010010""]","{""g"": {""mjd"": 61027.11682870006, ""dflux_njy"": -550452.6920121574, ""dflux_err_njy"": 38810.25965751019, ""a"": -0.10044312728610154, ""a_err"": 0.007117484879960236, ""baseline_source"": ""rubin_template"", ""baseline_mag"": 14.553000564909905, ""snr"": -14.183174677772067, ""reliability"": 0.872857}, ""r"": {""mjd"": 61027.128911999986, ""dflux_njy"": -1924594.3211559954, ""dflux_err_njy"": 107213.58544558448, ""a"": -0.10044745477723137, ""a_err"": 0.00562379559066489, ""baseline_source"": ""rubin_template"", ""baseline_mag"": 13.193999341754772, ""snr"": -17.951030302338037, ""reliability"": 0.99665534}}",[]
2456848359920712064,n61066,61067.173946800176,dip,"[""g"", ""r""]",-2739191.529406863,234795.5319508744,r,-0.14751029831441548,0.012780977220856806,0.13140302470620724,0.3716638231617849,-2.441688620968015,True,,kept,"[""3313121151415010008"", ""3313173941415010007""]","{""g"": {""mjd"": 61067.121157399844, ""dflux_njy"": -1081633.177142377, ""dflux_err_njy"": 95947.03802565581, ""a"": -0.201966790677324, ""a_err"": 0.01827734931342046, ""baseline_source"": ""rubin_template"", ""baseline_mag"": 14.577999911100786, ""snr"": -11.273231559823172, ""reliability"": 0.871429}, ""r"": {""mjd"": 61067.173946800176, ""dflux_njy"": -2739191.529406863, ""dflux_err_njy"": 234795.5319508744, ""a"": -0.14751029831441548, ""a_err"": 0.012780977220856806, ""baseline_source"": ""rubin_template"", ""baseline_mag"": 13.227999853243045, ""snr"": -11.66628473143167, ""reliability"": 0.92785645}}",[]
5161807767825277184,n61281,61282.48885420011,dip,"[""i""]",-460723.1130428717,29667.423435009252,i,-0.6146671669717217,0.04645958052462553,0.9405073450705443,2.660150235830168,,False,,kept,"[""3528488851215010000""]","{""i"": {""mjd"": 61282.48885420011, ""dflux_njy"": -460723.1130428717, ""dflux_err_njy"": 29667.423435009252, ""a"": -0.6146671669717217, ""a_err"": 0.04645958052462553, ""baseline_source"": ""rubin_template"", ""baseline_mag"": 16.71300003872441, ""snr"": -15.529596429300703, ""reliability"": 0.791429}}","[""greyness_untested_single_band""]"
3335243109817560448,n61297,61298.433576399926,flash,"[""g""]",4129333.88513752,96849.9410116402,g,1.1142772950386286,0.04243182418775307,0.05529501460018216,0.156397873407939,,False,,kept,"[""3544433570715015019""]","{""g"": {""mjd"": 61298.433576399926, ""dflux_njy"": 4129333.88513752, ""dflux_err_njy"": 96849.9410116402, ""a"": 1.1142772950386286, ""a_err"": 0.04243182418775307, ""baseline_source"": ""gaia_gspc_synthetic"", ""baseline_mag"": 14.977783203125, ""snr"": 42.63641094671625, ""reliability"": 0.62}}","[""greyness_untested_single_band"", ""colour_temperature_untestable""]"
3335243109817560448,n61299,61300.47317129979,flash,"[""g""]",4131235.951600488,97807.75447158211,g,1.114790556870269,0.0426035868951366,0.058408602199134095,0.1652044264017572,,False,,kept,"[""3546473170715015027""]","{""g"": {""mjd"": 61300.47317129979, ""dflux_njy"": 4131235.951600488, ""dflux_err_njy"": 97807.75447158211, ""a"": 1.114790556870269, ""a_err"": 0.0426035868951366, ""baseline_source"": ""gaia_gspc_synthetic"", ""baseline_mag"": 14.977783203125, ""snr"": 42.23832735880683, ""reliability"": 0.61}}","[""greyness_untested_single_band"", ""colour_temperature_untestable""]"
3335243109817560448,n61300,61301.493830999825,flash,"[""g""]",4097132.413870426,95555.0588894094,g,1.1055879109157059,0.04201140167069351,0.03250553103667792,0.09193949875171259,,False,,kept,"[""3547493830715015031""]","{""g"": {""mjd"": 61301.493830999825, ""dflux_njy"": 4097132.413870426, ""dflux_err_njy"": 95555.0588894094, ""a"": 1.1055879109157059, ""a_err"": 0.04201140167069351, ""baseline_source"": ""gaia_gspc_synthetic"", ""baseline_mag"": 14.977783203125, ""snr"": 42.87718998333976, ""reliability"": 0.597143}}","[""greyness_untested_single_band"", ""colour_temperature_untestable""]"
3335243109817560448,n61304,61305.50753469998,flash,"[""g"", ""r""]",15010625.849754417,414912.82302771433,r,1.082696633623111,0.044166061354834904,0.026477632219687193,0.07489003118347491,0.3031859690045859,True,3231.1108582123297,kept,"[""3551394140715015019"", ""3551507530715015021""]","{""g"": {""mjd"": 61305.3941434999, ""dflux_njy"": 4080550.904408326, ""dflux_err_njy"": 94337.90939859083, ""a"": 1.1011134847673172, ""a_err"": 0.041704216863171904, ""baseline_source"": ""gaia_gspc_synthetic"", ""baseline_mag"": 14.977783203125, ""snr"": 43.254625106937965, ""reliability"": 0.9998305}, ""r"": {""mjd"": 61305.50753469998, ""dflux_njy"": 15010625.849754417, ""dflux_err_njy"": 414912.82302771433, ""a"": 1.082696633623111, ""a_err"": 0.044166061354834904, ""baseline_source"": ""gaia_gspc_synthetic"", ""baseline_mag"": 13.545269966125488, ""snr"": 36.177782456127595, ""reliability"": 0.995572}}",[]
4471199875858401024,n61305,61306.1412037001,flash,"[""i""]",241542.9688542731,19272.48060899558,i,0.28431178980811245,0.023583995153880356,0.2674736376128408,0.7565194892673851,,False,,kept,"[""3552141204715015039""]","{""i"": {""mjd"": 61306.1412037001, ""dflux_njy"": 241542.9688542731, ""dflux_err_njy"": 19272.48060899558, ""a"": 0.28431178980811245, ""a_err"": 0.023583995153880356, ""baseline_source"": ""rubin_template"", ""baseline_mag"": 16.57700117334184, ""snr"": 12.533050298752464, ""reliability"": 0.99399304}}","[""greyness_untested_single_band"", ""colour_temperature_untestable""]"
58775497870151168,n61305,61306.35043979995,flash,"[""g"", ""r""]",469713.6704668621,31247.31212581898,r,2.4651006062735727,0.4362443945003097,0.1492772014375832,0.4222150093925412,-1.2076008214480447,True,2564.319648481098,kept,"[""3552442901615015013"", ""3552350431615015012""]","{""g"": {""mjd"": 61306.44290510006, ""dflux_njy"": 74956.7589746297, ""dflux_err_njy"": 8207.111705614, ""a"": 1.7587794468272842, ""a_err"": 0.38960803384112547, ""baseline_source"": ""rubin_template"", ""baseline_mag"": 19.82600145448304, ""snr"": 9.133147161059867, ""reliability"": 0.99999976}, ""r"": {""mjd"": 61306.35043979995, ""dflux_njy"": 469713.6704668621, ""dflux_err_njy"": 31247.31212581898, ""a"": 2.4651006062735727, ""a_err"": 0.4362443945003097, ""baseline_source"": ""rubin_template"", ""baseline_mag"": 18.200003621262177, ""snr"": 15.03213039814544, ""reliability"": 0.9999989}}",[]
3335243109817560448,n61305,61306.4659258998,flash,"[""g""]",3907566.700712258,79002.13053094287,g,1.0544346799187607,0.03814601086864399,0.07087009480753757,0.20045083961044252,,False,,kept,"[""3552465920715015019""]","{""g"": {""mjd"": 61306.4659258998, ""dflux_njy"": 3907566.700712258, ""dflux_err_njy"": 79002.13053094287, ""a"": 1.0544346799187607, ""a_err"": 0.03814601086864399, ""baseline_source"": ""gaia_gspc_synthetic"", ""baseline_mag"": 14.977783203125, ""snr"": 49.4615357136701, ""reliability"": 0.9997673}}","[""greyness_untested_single_band"", ""colour_temperature_untestable""]"
3384674133239529984,n61305,61306.47111110017,flash,"[""g""]",67217.13537640174,9444.844733767697,g,0.7438409151451664,0.13026340082026408,0.5176950450238771,1.464254793052232,,False,,kept,"[""3552471111715015006""]","{""g"": {""mjd"": 61306.47111110017, ""dflux_njy"": 67217.13537640174, ""dflux_err_njy"": 9444.844733767697, ""a"": 0.7438409151451664, ""a_err"": 0.13026340082026408, ""baseline_source"": ""rubin_template"", ""baseline_mag"": 19.010000157876227, ""snr"": 7.116806815900696, ""reliability"": 0.9937278}}","[""greyness_untested_single_band"", ""colour_temperature_untestable""]"
