n_epochs,max_depth,n_dips,dip_duty_cycle,asymmetry,best_period_d,period_power,score,n_dip_events,out_of_dip_rms,max_event_depth,source_id,ra,dec,g_mag,bp_rp,parallax,hr_class,secular_slope_mag_yr,secular_sigma,secular_total_mag,secular_score,is_secular_fader,resists_mundane,is_candidate
119,0.5259366643667924,2,0.01680672268907563,0.5028931947652536,0.2950323846463512,0.19017313232497712,0.24294806030250687,0,0.0,0.0,667204100004885,145.8868966,30.8037049,,,,unknown,0.0565696491750357,5.149999948132765,0.3921644232188508,0.5844999958506212,True,False,False
93,0.11545649076453157,0,0.0,1.0155263116862676,0.12590455124523176,0.21527895748863138,0.23634789145458662,0,0.0,0.0,1664211200008060,144.6186772,30.8317157,18.19473648071289,0.8054542541503906,0.42416393263785435,unknown,0.032358924773300275,6.030610594429322,0.21830199303372824,0.5924488475543458,True,False,False
93,0.09901908426817152,0,0.0,0.7078645458320761,0.1000670853427237,0.25465225422152254,0.22360432373354322,0,0.0,0.0,1664211200008108,144.7733196,30.8294965,18.11398696899414,1.8481578826904297,0.9880650706012702,main_sequence,0.01132972376643464,9.557416889688652,0.07643335790857395,0.5684805985622267,True,True,False
126,0.5201639868221906,1,0.007936507936507936,0.7370062423856539,1.2200765725631748,0.30297190133708923,0.2091084295988732,0,0.0,0.0,666201100030303,145.07946370000002,30.94399395,,,,unknown,0.1726610858816123,4.058596722247819,1.1438449211102428,0.5199150105070983,True,False,False
37,0.4425821087517269,0,0.0,0.5618425747484983,0.15882484056378945,0.51819411645317,0.15,0,0.0,0.0,666201100019202,144.7067613,30.9865754,,,,unknown,0.04037028693813793,6.04815453186526,0.16776613707924104,0.7874431024378926,True,False,False
34,0.4331844345471749,0,0.0,0.7893559468992533,0.5178908714589026,0.5567600861133465,0.15,0,0.0,0.0,1664211200025984,144.81476605,30.89353655,,,,unknown,0.01736588273410358,4.8536452070321205,0.11580489082338362,0.507200175503491,True,False,False
170,0.4873382354544318,0,0.0,0.7304998984443231,0.32059201863860753,0.19357016574457744,0.09192895027662677,0,0.059237246417996645,0.0,666201200021670,144.3525872,30.97084935,,,,unknown,0.051802313843147894,5.450733131135752,0.31859307707705337,0.5981419838241935,True,False,False
114,0.5428761255593961,3,0.02631578947368421,0.7666164741743493,0.8615957561538724,0.2773697741691434,0.06678906774925698,0,0.15373244116200144,0.0,666201100012003,145.07679295000003,30.96728595,,,,unknown,0.0775271056508644,5.062809798510405,0.45636594000296027,0.5497470061030546,True,False,False
30,0.5142259042764974,0,0.0,1.0674605947239801,0.30931497198480473,0.6110636080643518,0.004047635683438808,0,0.19382967879783147,0.0,667204200004316,145.74239985000003,30.89413785,,,,unknown,0.16277563669805106,7.636824587605357,0.4621804983089469,0.8251126336750952,True,False,False
42,0.5677065333414888,11,0.2619047619047619,0.46805022482917696,0.16490628609435493,0.4995110213761243,0.00014669358716271064,0,0.16830860900987477,0.0,666201200021752,144.3571369,30.95127845,,,,unknown,0.07067366354786754,4.845958624475349,0.288861468591311,0.7476766899580279,True,False,False
33,0.4890195928754807,3,0.09090909090909091,0.6800768463183722,0.46503345212986924,0.5501623813304065,0.0,0,0.18734607578366708,0.0,666201200025008,144.3681056,30.9598361,,,,unknown,0.07351486615694022,4.345868349945993,0.31004069095392983,0.7076694679956794,True,False,False
