n_epochs,max_depth,n_dips,dip_duty_cycle,asymmetry,best_period_d,period_power,score,n_dip_events,out_of_dip_rms,max_event_depth,source_id,ra,dec,g_mag,bp_rp,parallax,hr_class,resists_mundane,is_candidate
1028,0.0994267227065948,19,0.01848249027237354,0.9875515740767122,0.14397204846384615,0.023579801034015947,0.29292605968979524,0,0.0,0.0,712205300003100,160.4336098,39.1839628,,,,unknown,False,False
1038,0.3021010129167052,16,0.015414258188824663,0.9767266676074735,0.9832616208503944,0.02359445720064762,0.2929216628398057,0,0.0,0.0,712206400003480,159.7347178,39.14500545,,,,unknown,False,False
1028,0.07640890696225722,3,0.0029182879377431907,1.0008589836329982,3.863639397502161,0.023820342061515534,0.2929054363995252,0,0.0,0.0,712205300003665,160.71975685,39.0999164,,,,unknown,False,False
1028,0.11379221668349138,15,0.014591439688715954,0.9053214992980407,0.13676770887539907,0.023669551225201414,0.29289913463243955,0,0.0,0.0,712205300004095,160.8011401,39.0457974,,,,unknown,False,False
1028,0.09876360852491228,21,0.020428015564202335,0.9611761185652776,0.13368012000027266,0.023691402589517765,0.29289257922314466,0,0.0,0.0,712205300011273,161.1927388,39.0241209,,,,unknown,False,False
1027,0.26613579676613097,13,0.012658227848101266,1.0003525418977124,0.49931557577626495,0.02388019084551028,0.29285709526020964,0,0.0,0.0,712205300003453,161.1019705,39.118436,,,,unknown,False,False
1028,0.06765056495399469,7,0.006809338521400778,0.9616045269207021,0.18795603084545737,0.023843313846165424,0.29284700584615037,0,0.0,0.0,712205300003490,160.8125284,39.120741,,,,unknown,False,False
823,0.3504326190479954,0,0.0,0.8373802380627192,0.16601609896402772,0.024342428585479692,0.2926972714243561,0,0.0,0.0,712205300003246,160.4330192,39.1647508,,,,unknown,False,False
1048,0.19097174769096725,24,0.022900763358778626,0.8375348926188322,0.16786295417926314,0.024537337405113067,0.2926387987784661,0,0.0,0.0,712206400010255,159.1469114,39.1267978,,,,unknown,False,False
949,0.328952077756825,11,0.011591148577449948,0.8350812661076796,0.14534974511078375,0.0245766712348607,0.2926269986295418,0,0.0,0.0,712205300003518,160.8476333,39.1153936,,,,unknown,False,False
1028,0.09139376643605757,13,0.01264591439688716,0.8979535004946843,0.9969380089360168,0.02458809301509257,0.2926235720954722,0,0.0,0.0,712205300010318,160.94348925,39.1500386,,,,unknown,False,False
1026,0.7222974421170062,9,0.008771929824561403,0.9670434359452815,0.3318448126312193,0.024598196613811955,0.29262054101585644,0,0.0,0.0,712206400023373,159.9440559,39.083708650000005,,,,unknown,False,False
901,0.41619452975666493,2,0.0022197558268590455,0.8854154034648026,0.24967503499403781,0.02466252420276086,0.29260124273917176,0,0.0,0.0,712205300004314,160.4554296,39.026236,,,,unknown,False,False
914,0.3482356888343363,4,0.00437636761487965,0.7611154491011803,0.11193175939973632,0.024678563312218776,0.29259643100633437,0,0.0,0.0,712205300010121,160.5427043,39.1823297,,,,unknown,False,False
947,0.3512349824195443,8,0.008447729672650475,0.9091869278731082,0.5104086758082236,0.02471678532299034,0.2925849644031029,0,0.0,0.0,712205300003416,161.0353099,39.1261129,,,,unknown,False,False
1002,0.29143011890901604,9,0.008982035928143712,0.8296914882683414,0.3154594083291278,0.024744330713177075,0.29257670078604686,0,0.0,0.0,712205300010387,160.94221485,39.1386761,,,,unknown,False,False
1011,0.3995153916842952,8,0.00791295746785361,0.8603059990991055,0.9973715291141815,0.02484988185422348,0.29254503544373295,0,0.0,0.0,712206400010031,160.0723815,39.1408626,,,,unknown,False,False
1017,0.2241670577746364,11,0.010816125860373648,0.9384978517906777,0.34929711497651983,0.024877755434640166,0.292536673369608,0,0.0,0.0,712205300003529,160.9686187,39.1105769,,,,unknown,False,False
1049,0.195230716204976,18,0.017159199237368923,0.9133865676928046,0.3333076114393705,0.02487873179468206,0.29253638046159536,0,0.0,0.0,712206400010004,160.077248,39.1446704,,,,unknown,False,False
1002,0.3241129584635376,10,0.00998003992015968,0.8443867430918793,0.9974438191359457,0.025052774806917633,0.2924841675579247,0,0.0,0.0,712205300002983,160.9351827,39.1865186,,,,unknown,False,False
1027,0.14839953873444334,10,0.009737098344693282,0.9741740070137702,0.11520579580708484,0.02505888304308648,0.29248233508707405,0,0.0,0.0,712205300011351,160.5953941,39.0294214,,,,unknown,False,False
1048,0.15724450679098034,10,0.009541984732824428,0.870936361143755,0.10118496532882817,0.025191855212434427,0.2924424434362697,0,0.0,0.0,712206400004299,159.823138,39.0427433,,,,unknown,False,False
1027,0.08163314734657101,9,0.008763388510223954,0.819315314308704,0.9971547219060984,0.025212291778454996,0.2924363124664635,0,0.0,0.0,712205300003784,160.7036102,39.0858389,,,,unknown,False,False
868,0.3568755806506758,2,0.002304147465437788,0.814229612862258,0.13930685881920504,0.02532198647428174,0.2924034040577155,0,0.0,0.0,712205300003161,160.8420709,39.16731695,,,,unknown,False,False
1023,0.33297304561150376,12,0.011730205278592375,0.8611999108165967,0.19852248618452478,0.025395673166329506,0.29238129805010116,0,0.0,0.0,712206400003741,159.0719544,39.1223015,,,,unknown,False,False
932,0.3302322623147844,4,0.004291845493562232,0.8417380348967902,0.18995109725675613,0.02541470092353082,0.29237558972294075,0,0.0,0.0,712205300010894,160.7068398,39.0856509,,,,unknown,False,False
863,0.39732543373747675,3,0.0034762456546929316,0.840310902226354,0.45044768376853606,0.02558813765505301,0.2923235587034841,0,0.0,0.0,712205300016982,160.9965761,39.0972129,,,,unknown,False,False
1028,0.12536057819331747,17,0.016536964980544747,0.8963964631911518,0.14815228077107437,0.02561424391620989,0.29231572682513707,0,0.0,0.0,712205300010148,161.0749756,39.1648366,,,,unknown,False,False
