mode,alpha_x,alpha_y,F,s_eff_per_N_shifted,Xbar_squared,Ybar_squared,lambda_x,lambda_y
saddle,0.1,1.3,-0.19340098144992152,0.8325860926718371,0.21016749802570028,0.9761465677943791,-0.23790548238760384,-0.6658836095369232
saddle,0.1,1.35,-0.1961626674833881,0.8659326162882148,0.21549055390258048,1.0105484931470805,-0.23202873209284214,-0.6679540908501033
saddle,0.1,1.4000000000000001,-0.1987412679352191,0.8993790888461326,0.22084423903684824,1.0449608860153063,-0.2264039135368046,-0.6698815327617407
saddle,0.1,1.4500000000000002,-0.20115121681550932,0.9329185721032376,0.2262263191679465,1.079386395729539,-0.2210176083132081,-0.671677911513777
saddle,0.1,1.5,-0.20340583108342625,0.9665448645558382,0.2316350200676495,1.1138269269685643,-0.2158568250405202,-0.6733541646737073
saddle,0.1,1.55,-0.20551721598648343,1.0002521279255527,0.23706859409284284,1.1482839769286242,-0.21090942134839916,-0.6749201552676312
saddle,0.1,1.6,-0.20749640991652726,1.0340351752258656,0.24252538188364214,1.182758674194747,-0.20616398832840022,-0.6763848090521603
saddle,0.1,1.6500000000000001,-0.209353449280502,1.0678890060253228,0.24800369749226917,1.217251890262975,-0.2016098973748511,-0.677756187194556
saddle,0.1,1.7000000000000002,-0.21109762888012287,1.1018093340745645,0.253502337378462,1.2517640688996947,-0.1972368401690646,-0.6790416989258633
saddle,0.1,1.75,-0.21273739213977938,1.135791859231611,0.2590200490379945,1.286295515938101,-0.19303525030475813,-0.6802480372186158
saddle,0.1,1.8,-0.2142803752380388,1.1698328650749463,0.26455535721413814,1.320846488820163,-0.18899636176911236,-0.6813812260680792
saddle,0.1,1.85,-0.21573373848049937,1.203928833917221,0.2701074990685458,1.3554168575036352,-0.18511148402922123,-0.6824468759401712
saddle,0.1,1.9000000000000001,-0.21710387277283305,1.2380765042383635,0.2756751490253088,1.3900066284727302,-0.18137289551409536,-0.6834499782521272
saddle,0.1,1.9500000000000002,-0.21839674553749255,1.2722728569479684,0.2812574923454715,1.4246155526077215,-0.17777304200161353,-0.6843951676754392
saddle,0.1,2.0,-0.21961782336467547,1.3065151313120842,0.28685377011715735,1.459243321488348,-0.174304838244165,-0.6852866723967974
saddle,0.15000000000000002,0.0,0.053832999426633034,0.07906373659836291,0.13606417504819784,0.0,-0.5512104855920587,0.0
saddle,0.15000000000000002,0.05,0.034775108124825725,0.10174361423816787,0.1405433336522473,0.053888210199050546,-0.5336432404938956,-0.4639233685374927
saddle,0.15000000000000002,0.1,0.016838814520840836,0.12542129967227023,0.14519001901199566,0.10354803860496475,-0.5165644340455902,-0.48286766870350634
saddle,0.15000000000000002,0.15000000000000002,1.7489082419762943e-17,0.15000000000000002,0.15000000000000002,0.15000000000000005,-0.5,-0.49999999999999994
saddle,0.15000000000000002,0.2,-0.015776463259944053,0.17539469590915013,0.15496941590981017,0.1939732047313268,-0.4839664624124857,-0.5155351232068908
saddle,0.15000000000000002,0.25,-0.030532531204967978,0.20153006886479377,0.16009441664691998,0.2360034750691986,-0.46847355186289014,-0.5296532178746467
saddle,0.15000000000000002,0.30000000000000004,-0.04431433500968623,0.2283392012813418,0.16537096125018286,0.27649389803904734,-0.45352581513108353,-0.5425074515706547
saddle,0.15000000000000002,0.35000000000000003,-0.05717042043813273,0.25576215751152476,0.17079471826017156,0.3157536304143862,-0.43912364951328603,-0.5542295737671644
saddle,0.15000000000000002,0.4,-0.06915051716711026,0.28374533876279273,0.176361030503413,0.35402360438445446,-0.4252640154455697,-0.5649340821433154
saddle,0.15000000000000002,0.45,-0.08030463974960997,0.3122404162749555,0.18206492196099777,0.3914940635648931,-0.4119409669484088,-0.5747213583551685
saddle,0.15000000000000002,0.5,-0.09068242705211643,0.3412037738606668,0.18790114326580548,0.42831683275122956,-0.39914605465654246,-0.5836800725158573
saddle,0.15000000000000002,0.55,-0.10033260021610452,0.37059605168914295,0.19386421752157934,0.46461413429098997,-0.3868687113012572,-0.591889010048425
saddle,0.15000000000000002,0.6000000000000001,-0.10930255647712966,0.4003814895683893,0.1999485045011868,0.5004850406613036,-0.3750965789271749,-0.5994185152938886
saddle,0.15000000000000002,0.65,-0.11763806416944897,0.43052779905210975,0.2061482765217974,0.5360102882392923,-0.36381579931409114,-0.6063316453636978
saddle,0.15000000000000002,0.7000000000000001,-0.12538298434791162,0.46100553396024063,0.21245775602055295,0.5712559716304574,-0.3530113534322776,-0.6126850613063057
saddle,0.15000000000000002,0.75,-0.13257912321506635,0.4917880249287462,0.21887119239072433,0.6062763592519486,-0.3426672975131033,-0.6185298078630216
saddle,0.15000000000000002,0.8,-0.13926614666429327,0.5228510103452134,0.2253829489496505,0.6411160853631309,-0.3327669655114623,-0.6239119702845052
saddle,0.15000000000000002,0.8500000000000001,-0.14548141835607978,0.5541723818809232,0.23198745985153493,0.6758119836727736,-0.3232933368381109,-0.6288731337528101
saddle,0.15000000000000002,0.9,-0.1512600722520271,0.5857320890514832,0.23867935791069952,0.7103944179971123,-0.31422910073380045,-0.6334509233176846
