table_name,description
"'J/ApJ/816/53/table1'","SMA and Herschel data ( Wehrle A.E., Grupe D., Jorstad S.G., Marscher A.P., Gurwell M., Balokovic M., Hovatta T., Madejski G.M., Harrison F.H., Stern D.)"
"'J/ApJ/825/72/table1'","Cluster with deep Herschel/PACS imaging ( Alberts S., Pope A., Brodwin M., Chung S.M., Cybulski R., Dey A., Eisenhardt P.R.M., Galametz A., Gonzalez A.H., Jannuzi B.T., Stanford S.A., Snyder G.F., Stern D., Zeimann G.R.)"
"'J/ApJ/825/72/table6'","Summary of Herschel/PACS imaging ( Alberts S., Pope A., Brodwin M., Chung S.M., Cybulski R., Dey A., Eisenhardt P.R.M., Galametz A., Gonzalez A.H., Jannuzi B.T., Stanford S.A., Snyder G.F., Stern D., Zeimann G.R.)"
"'J/ApJ/830/51/cdfs_her'","CDFS far-infrared catalog (cdfs.v1.6.9.herschel.v0.4.cat) ( Straatman C.M.S., Spitler L.R., Quadri R.F., et al.)"
"'J/ApJ/849/63/table11'","Summary of Herschel OBSIDs of large maps ( Ribas A., Espaillat C.C., Macias E., Bouy H., Andrews S., Calvet N., Naylor D.A., Riviere-Marichalar P., van der Wiel M.H.D., Wilner D.)"
"'J/ApJ/849/63/table12'","Additional Herschel observations of sources outside large maps ( Ribas A., Espaillat C.C., Macias E., Bouy H., Andrews S., Calvet N., Naylor D.A., Riviere-Marichalar P., van der Wiel M.H.D., Wilner D.)"
"'J/ApJ/849/63/table16'","Objects with nearby sources/extended emission in Herschel maps ( Ribas A., Espaillat C.C., Macias E., Bouy H., Andrews S., Calvet N., Naylor D.A., Riviere-Marichalar P., van der Wiel M.H.D., Wilner D.)"
"'J/ApJ/852/102/table1'","Nearby Globules in the Herschel Archive ( Sadavoy S.I., Keto E., Bourke T.L., Dunham M.M., Myers P.C., Stephens I.W., Di Francesco J., Webb K., Stutz A.M., Launhardt R., Tobin J.J.)"
"'J/ApJ/863/13/flagged'","Herschel fluxes and stellar properties for flagged objects (tables 7 and 8) ( Grant S.L., Espaillat C.C., Megeath S.T., Calvet N., Fischer W.J., Miller C.J., Kim K.H., Stutz A.M., Ribas A., Robinson C.E.)"
"'J/ApJ/891/81/table8'","Properties of the clumps identified using the Herschel column density map ( Pandey R., Sharma S., Panwar N., Dewangan L.K., Ojha D.K., Bisen D.P., Sinha T., Ghosh A., Pandey A.K.)"
