target,gaia_idx,source_id,telescope,band,mjd_session,n_files,freq_centre_ghz,hpbw_arcmin,n_in_beam_neighbours,optical_10m_1um:n_pairs,optical_10m_1um:n_spillover,optical_10m_1um:n_between,optical_10m_1um:earth_term_known,radio_100m_1p4ghz:n_pairs,radio_100m_1p4ghz:n_spillover,radio_100m_1p4ghz:n_between,radio_100m_1p4ghz:earth_term_known,radio_10m_8ghz:n_pairs,radio_10m_8ghz:n_spillover,radio_10m_8ghz:n_between,radio_10m_8ghz:earth_term_known,radio_10m_1p4ghz:n_pairs,radio_10m_1p4ghz:n_spillover,radio_10m_1p4ghz:n_between,radio_10m_1p4ghz:earth_term_known,radio_10m_1p4ghz:drift_centre_hz_s_min,radio_10m_1p4ghz:drift_centre_hz_s_max,radio_10m_1p4ghz:halfwidth_tight_hz_s_min,radio_10m_1p4ghz:halfwidth_tight_hz_s_max,radio_10m_1p4ghz:halfwidth_loose_hz_s_max,radio_10m_1p4ghz:n_pairs_with_kinematics,radio_10m_1p4ghz:alpha_rad_min,radio_10m_1p4ghz:flux_ratio_max,overfilled_5deg:n_pairs,overfilled_5deg:n_spillover,overfilled_5deg:n_between,overfilled_5deg:earth_term_known,overfilled_5deg:drift_centre_hz_s_min,overfilled_5deg:drift_centre_hz_s_max,overfilled_5deg:halfwidth_tight_hz_s_min,overfilled_5deg:halfwidth_tight_hz_s_max,overfilled_5deg:halfwidth_loose_hz_s_max,overfilled_5deg:n_pairs_with_kinematics,overfilled_5deg:alpha_rad_min,overfilled_5deg:flux_ratio_max,radio_100m_1p4ghz:drift_centre_hz_s_min,radio_100m_1p4ghz:drift_centre_hz_s_max,radio_100m_1p4ghz:halfwidth_tight_hz_s_min,radio_100m_1p4ghz:halfwidth_tight_hz_s_max,radio_100m_1p4ghz:halfwidth_loose_hz_s_max,radio_100m_1p4ghz:n_pairs_with_kinematics,radio_100m_1p4ghz:alpha_rad_min,radio_100m_1p4ghz:flux_ratio_max,radio_10m_8ghz:drift_centre_hz_s_min,radio_10m_8ghz:drift_centre_hz_s_max,radio_10m_8ghz:halfwidth_tight_hz_s_min,radio_10m_8ghz:halfwidth_tight_hz_s_max,radio_10m_8ghz:halfwidth_loose_hz_s_max,radio_10m_8ghz:n_pairs_with_kinematics,radio_10m_8ghz:alpha_rad_min,radio_10m_8ghz:flux_ratio_max
HIP10056,215426,2518617548778912768,GBT,NAN,58378.041666666664,3,2.26962890625,8.7,0,0,0,0,True,2,0,2,True,2,0,2,True,44,1,43,True,0.0043957925006331946,0.004395845444447368,0.012194379149589114,0.09646330163414292,7.571281654615345,20,0.0010418519574778146,9.223386938403825,353,8,345,True,0.004395792254031681,0.004397057157339695,0.012194379149589114,0.32975464378081976,7.577845264324664,169,0.0010418519574778146,9.348741538512694,0.004395805076951409,0.004395807257142088,0.012194379149589114,0.012250660965486788,7.570677037336015,1.0,0.0010418519574778146,5.79027244167518,0.004395805076951409,0.004395807257142088,0.012194379149589114,0.012250660965486788,7.570677037336015,1.0,0.0010418519574778146,5.79027244167518
HIP10056,215426,2518617548778912768,GBT,NAN,58378.083333333336,3,2.26962890625,8.7,0,0,0,0,True,2,0,2,True,2,0,2,True,44,1,43,True,-0.04790264366710184,-0.04790259072328767,0.012194379149589114,0.09646330163414292,7.571281654615345,20,0.0010418519574778146,9.223386938403825,353,8,345,True,-0.04790264391370335,-0.04790137901039534,0.012194379149589114,0.32975464378081976,7.577845264324664,169,0.0010418519574778146,9.348741538512694,-0.047902631090783625,-0.047902628910592944,0.012194379149589114,0.012250660965486788,7.570677037336015,1.0,0.0010418519574778146,5.79027244167518,-0.047902631090783625,-0.047902628910592944,0.012194379149589114,0.012250660965486788,7.570677037336015,1.0,0.0010418519574778146,5.79027244167518
HIP10056,215426,2518617548778912768,GBT,NAN,58431.958333333336,3,2.26962890625,8.7,0,0,0,0,True,2,0,2,True,2,0,2,True,44,1,43,True,-0.08496785229796078,-0.08496779935414661,0.012194379149589114,0.09646330163414292,7.571281654615345,20,0.0010418519574778146,9.223386938403825,353,8,345,True,-0.0849678525445623,-0.08496658764125427,0.012194379149589114,0.32975464378081976,7.577845264324664,169,0.0010418519574778146,9.348741538512694,-0.08496783972164257,-0.08496783754145189,0.012194379149589114,0.012250660965486788,7.570677037336015,1.0,0.0010418519574778146,5.79027244167518,-0.08496783972164257,-0.08496783754145189,0.012194379149589114,0.012250660965486788,7.570677037336015,1.0,0.0010418519574778146,5.79027244167518
HIP100859,242813,2084032554258819072,APF,NAN,57495.333333333336,1,1.42,0.05,0,0,0,0,True,0,0,0,True,1,0,1,True,33,0,33,True,0.0253408671108701,0.02534089240417681,0.012771370677924944,0.06149412072898706,4.7370093157127515,15,0.0018479810191192154,12.653325682518902,335,4,331,True,0.025340867053782974,0.025340931778770934,0.012771370677924944,0.2064412798593226,4.741106804565271,158,0.0018479810191192154,12.67036923345775,,,,,,,,,0.02534086811241206,0.02534086811241206,0.012771370677924944,0.012771370677924944,4.736627369571534,0.0,0.0018479810191192154,9.843434468375605
HIP100859,242813,2084032554258819072,APF,NAN,58027.125,6,1.42,0.05,0,0,0,0,True,0,0,0,True,1,0,1,True,33,0,33,True,-0.09100063000152095,-0.09100060470821425,0.012771370677924944,0.06149412072898706,4.7370093157127515,15,0.0018479810191192154,12.653325682518902,335,4,331,True,-0.09100063005860808,-0.09100056533362012,0.012771370677924944,0.2064412798593226,4.741106804565271,158,0.0018479810191192154,12.67036923345775,,,,,,,,,-0.09100062899997899,-0.09100062899997899,0.012771370677924944,0.012771370677924944,4.736627369571534,0.0,0.0018479810191192154,9.843434468375605
HIP100859,242813,2084032554258819072,GBT,NAN,57667.958333333336,9,1.47509765625,8.7,1,0,0,0,True,0,0,0,True,2,0,2,True,66,0,66,True,-0.08656046929640634,-0.08654329449683584,0.013006497916838373,0.06383173223379175,4.9208101737937575,30,0.0018479810191192154,12.682284533531147,669,8,661,True,-0.08656046935426179,-0.08654325359446155,0.013006497916838373,0.2146665119447714,4.925076647913484,315,0.0018479810191192154,12.699327901447061,,,,,,,,,-0.08656046823233805,-0.0865433197311494,0.013006497916838373,0.013639022685949635,4.920415053571397,0.0,0.0018479810191192154,9.864766738590426
HIP100859,242813,2084032554258819072,GBT,NAN,57719.875,9,2.300390625,8.7,1,0,0,0,True,0,0,0,True,2,0,2,True,66,0,66,True,-0.13219751681659359,-0.132165343247686,0.01695772394640996,0.09892048728903001,7.673914767346969,30,0.0018479810191192154,12.682284533531147,669,8,661,True,-0.13219751690681822,-0.13216527946110349,0.01695772394640996,0.33458387442281134,7.68056827081982,315,0.0018479810191192154,12.699327901447061,,,,,,,,,-0.13219751515719652,-0.1321653826001845,0.01695772394640996,0.018126031810144647,7.673298583186345,0.0,0.0018479810191192154,9.864766738590426
HIP100933,10839,2246229554638383104,GBT,NAN,57667.958333333336,3,1.47509765625,8.7,0,0,0,0,True,1,1,0,True,1,1,0,True,77,12,65,True,-0.05577177569944686,-0.055771756221426966,0.009901043040489199,0.0636921359563692,4.920808364959448,45,0.0006904228034366203,4.309740247763146,850,78,772,True,-0.05577177570648061,-0.05577172319994354,0.009901043040489199,0.21435749657779446,4.925063188712535,454,0.0006904228034366203,4.330231320104912,-0.055771774649230395,-0.055771774649230395,0.009901043040489199,0.009901043040489199,4.920406112012044,1.0,0.0006904228034366203,0.8326024396021131,-0.055771774649230395,-0.055771774649230395,0.009901043040489199,0.009901043040489199,4.920406112012044,1.0,0.0006904228034366203,0.8326024396021131
HIP100933,10839,2246229554638383104,GBT,NAN,57719.875,3,2.26962890625,8.7,0,0,0,0,True,1,1,0,True,1,1,0,True,77,12,65,True,-0.08954453249217689,-0.08954450252271909,0.010668229637683017,0.09739333570210373,7.57129356099682,45,0.0006904228034366203,4.309740247763146,850,78,772,True,-0.08954453250299924,-0.0895444517148875,0.010668229637683017,0.32963745031978253,7.57784016548291,454,0.0006904228034366203,4.330231320104912,-0.08954453087628277,-0.08954453087628277,0.010668229637683017,0.010668229637683017,7.570674642069644,1.0,0.0006904228034366203,0.8326024396021131,-0.08954453087628277,-0.08954453087628277,0.010668229637683017,0.010668229637683017,7.570674642069644,1.0,0.0006904228034366203,0.8326024396021131
HIP100933,10839,2246229554638383104,GBT,NAN,57972.208333333336,3,1.47509765625,8.7,0,0,0,0,True,1,1,0,True,1,1,0,True,77,12,65,True,-0.05724634254219307,-0.057246323064173175,0.009901043040489199,0.0636921359563692,4.920808364959448,45,0.0006904228034366203,4.309740247763146,850,78,772,True,-0.05724634254922682,-0.05724629004268975,0.009901043040489199,0.21435749657779446,4.925063188712535,454,0.0006904228034366203,4.330231320104912,-0.057246341491976604,-0.057246341491976604,0.009901043040489199,0.009901043040489199,4.920406112012044,1.0,0.0006904228034366203,0.8326024396021131,-0.057246341491976604,-0.057246341491976604,0.009901043040489199,0.009901043040489199,4.920406112012044,1.0,0.0006904228034366203,0.8326024396021131
