name,gaia_idx,source_id,ra,dec,d_pc,has_rv,n_in_beam_neighbours,optical_10m_1um:n_spillover,optical_10m_1um:n_between,optical_10m_1um:n_in_beam_neighbour_pairs,radio_100m_1p4ghz:n_spillover,radio_100m_1p4ghz:n_between,radio_100m_1p4ghz:n_in_beam_neighbour_pairs,radio_10m_8ghz:n_spillover,radio_10m_8ghz:n_between,radio_10m_8ghz:n_in_beam_neighbour_pairs,radio_10m_1p4ghz:n_spillover,radio_10m_1p4ghz:n_between,radio_10m_1p4ghz:n_in_beam_neighbour_pairs,overfilled_5deg:n_spillover,overfilled_5deg:n_between,overfilled_5deg:n_in_beam_neighbour_pairs
HIP710,19632,2751994045736011264,2.203151146469125,8.022080339598096,91.22798573271193,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP7248,2679,534133166705984256,23.348416941516334,71.55440017157761,93.96462721325068,True,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
HIP74178,5459,1292061544302611968,227.34688901015997,36.418196372037535,95.40074905312595,True,0,0,0,0,0,0,0,0,0,0,0,5,0,0,52,0
HIP74223,6052,1645380397478283776,227.53081765264574,66.70777803642757,93.38843370736457,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP75037,7417,1615463167122629632,229.99857099706298,60.339756873324355,99.74029528665052,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP8096,18918,305434885564019200,25.983577187343613,32.74030128191221,97.64816892659734,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP81959,5328,1412221397666234880,251.14402414554652,49.862683499059656,99.6444056950928,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP8311,19130,291179335057417472,26.797127860424734,24.39232831799751,91.97865347874283,True,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
HIP83648,6548,1419868775914926592,256.44849940274173,53.751343222928654,91.29163687305314,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP83673,5465,1358632815835563520,256.5213010831969,45.006941158993236,94.52638085291402,True,0,0,0,0,0,0,0,0,0,0,0,1,0,0,40,0
HIP85086,6714,1432860124272113152,260.8444733446241,57.01178795671828,96.77879957182121,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP87237,6649,1634757568966999552,267.36692666189384,68.6893492344551,97.04222199136,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP8810,18658,90193046200814464,28.308949601747095,15.433479710508996,97.81853947569925,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP91391,10393,2156515590564344064,279.5906180596315,61.01763252976387,97.46663455233464,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP9563,11743,2504754425139821568,30.71811782780301,-2.3779390150601345,93.95090401313091,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIP99560,11658,2292241023883776000,303.07121163316685,80.46851280339384,97.81093648851221,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TIC154089169,7676,1674293361400214272,209.21714443771646,68.61821692996763,94.69598809438844,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TIC159510109,7634,1710280239538684928,247.53470747334916,80.3077747536548,98.36891332194135,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TIC349827430,4026,1076970406751899008,161.90900262984917,71.6557222491935,96.88270074525911,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TIC459970307,6900,1632298579931398144,254.92404116336644,64.69921738008688,93.78721757614929,True,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
