name,main_id,ra,dec,plx,pmra,pmdec,rvz_radvel,gaia_dr3,resolved_by,gaia_idx,match_by
DIAG_DIAG_PSR_J1740,,,,,,,,,unresolved,-1,none
DIAG_DIAG_PSR_J1954,,,,,,,,,unresolved,-1,none
DIAG_HIP10792,,,,,,,,,unresolved,-1,none
DIAG_HIP15785,,,,,,,,,unresolved,-1,none
DIAG_HIP15945,,,,,,,,,unresolved,-1,none
DIAG_HIP16100,,,,,,,,,unresolved,-1,none
DIAG_HIP19849,,,,,,,,,unresolved,-1,none
DIAG_J1744-1134,,,,,,,,,unresolved,-1,none
DIAG_KIC8462852,,,,,,,,,unresolved,-1,none
DIAG_KIC8462852_OFF,,,,,,,,,unresolved,-1,none
DIAG_NGC7027,,,,,,,,,unresolved,-1,none
DIAG_NGC7027_OFF_E,,,,,,,,,unresolved,-1,none
DIAG_NGC7027_OFF_N,,,,,,,,,unresolved,-1,none
DIAG_NGC7027_OFF_S,,,,,,,,,unresolved,-1,none
DIAG_NGC7027_OFF_W,,,,,,,,,unresolved,-1,none
DIAG_ON1,,,,,,,,,unresolved,-1,none
DIAG_ON1_OFF,,,,,,,,,unresolved,-1,none
DIAG_PSR_B1859+03,,,,,,,,,unresolved,-1,none
DIAG_PSR_J0034-0721,,,,,,,,,unresolved,-1,none
DIAG_PSR_J0248+6021,,,,,,,,,unresolved,-1,none
DIAG_PSR_J0332,,,,,,,,,unresolved,-1,none
DIAG_PSR_J0332+5434,,,,,,,,,unresolved,-1,none
DIAG_PSR_J0358+5413,,,,,,,,,unresolved,-1,none
DIAG_PSR_J0452-1759,,,,,,,,,unresolved,-1,none
DIAG_PSR_J0454+5543,,,,,,,,,unresolved,-1,none
DIAG_PSR_J0528+2200,,,,,,,,,unresolved,-1,none
DIAG_PSR_J0534+2200,,,,,,,,,unresolved,-1,none
DIAG_PSR_J0543+2329,,,,,,,,,unresolved,-1,none
DIAG_PSR_J0814+7429,,,,,,,,,unresolved,-1,none
DIAG_PSR_J0820-1350,,,,,,,,,unresolved,-1,none
DIAG_PSR_J0826,,,,,,,,,unresolved,-1,none
DIAG_PSR_J0826+2637,,,,,,,,,unresolved,-1,none
DIAG_PSR_J0953+0755,,,,,,,,,unresolved,-1,none
DIAG_PSR_J1136+1551,,,,,,,,,unresolved,-1,none
DIAG_PSR_J1239+2453,,,,,,,,,unresolved,-1,none
DIAG_PSR_J1509+5531,,,,,,,,,unresolved,-1,none
DIAG_PSR_J1543+0929,,,,,,,,,unresolved,-1,none
DIAG_PSR_J1645,,,,,,,,,unresolved,-1,none
DIAG_PSR_J1645-0317,,,,,,,,,unresolved,-1,none
DIAG_PSR_J1705-1906,,,,,,,,,unresolved,-1,none
DIAG_PSR_J1713+0747,,,,,,,,,unresolved,-1,none
DIAG_PSR_J1740+1000,,,,,,,,,unresolved,-1,none
DIAG_PSR_J1746-2850,,,,,,,,,unresolved,-1,none
DIAG_PSR_J1807-0847,,,,,,,,,unresolved,-1,none
DIAG_PSR_J1818-1422,,,,,,,,,unresolved,-1,none
DIAG_PSR_J1820-0427,,,,,,,,,unresolved,-1,none
DIAG_PSR_J1852-0635,,,,,,,,,unresolved,-1,none
DIAG_PSR_J1901+0435,,,,,,,,,unresolved,-1,none
DIAG_PSR_J1903+0135,,,,,,,,,unresolved,-1,none
DIAG_PSR_J1903+0327,,,,,,,,,unresolved,-1,none
DIAG_PSR_J1935+1616,,,,,,,,,unresolved,-1,none
DIAG_PSR_J1939+2134,,,,,,,,,unresolved,-1,none
DIAG_PSR_J1954+2923,,,,,,,,,unresolved,-1,none
DIAG_PSR_J2013+3845,,,,,,,,,unresolved,-1,none
DIAG_PSR_J2018+2839,,,,,,,,,unresolved,-1,none
DIAG_PSR_J2022+5154,,,,,,,,,unresolved,-1,none
DIAG_PSR_J2048-1616,,,,,,,,,unresolved,-1,none
DIAG_PSR_J2108+4441,,,,,,,,,unresolved,-1,none
DIAG_PSR_J2113+4644,,,,,,,,,unresolved,-1,none
DIAG_PSR_J2145-0750,,,,,,,,,unresolved,-1,none
DIAG_S269,,,,,,,,,unresolved,-1,none
DIAG_S269_OFF,,,,,,,,,unresolved,-1,none
DIAG_SGR_B2,,,,,,,,,unresolved,-1,none
DIAG_TRAPPIST1,,,,,,,,,unresolved,-1,none
DIAG_TRAPPIST1_OFF,,,,,,,,,unresolved,-1,none
DIAG_W3OH,,,,,,,,,unresolved,-1,none
DIAG_W3OH_OFF,,,,,,,,,unresolved,-1,none
DIAG_W75S,,,,,,,,,unresolved,-1,none
DIAG_W75S_OFF,,,,,,,,,unresolved,-1,none
DIAG_ZENITH,,,,,,,,,unresolved,-1,none
DRACO,,,,,,,,,unresolved,-1,none
DW1,,,,,,,,,unresolved,-1,none
DWF_8HR,,,,,,,,,unresolved,-1,none
DWF_9HR,,,,,,,,,unresolved,-1,none
DWF_DUSTY10,,,,,,,,,unresolved,-1,none
ESO137-018_R,,,,,,,,,unresolved,-1,none
ESO137-018_S,,,,,,,,,unresolved,-1,none
ESO294-010_R,,,,,,,,,unresolved,-1,none
ESO294-010_S,,,,,,,,,unresolved,-1,none
FM1,,,,,,,,,unresolved,-1,none
FRB121102,FRB 20181119D,82.994575,33.147941,,,,52118.5217524454,,simbad_position,-1,none
FRB181017,FRB 181017,331.47841666666665,-8.84283888888889,,,,,,simbad_position,-1,none
FRB_MAU,,,,,,,,,unresolved,-1,none
G0.00+1.21,,,,,,,,,unresolved,-1,none
G0.00+3.64,,,,,,,,,unresolved,-1,none
G0.00+6.06,,,,,,,,,unresolved,-1,none
G0.00-1.21,,,,,,,,,unresolved,-1,none
G0.00-3.64,,,,,,,,,unresolved,-1,none
G0.12+1.41,,,,,,,,,unresolved,-1,none
G0.12+3.84,,,,,,,,,unresolved,-1,none
G0.12+6.26,,,,,,,,,unresolved,-1,none
G0.12-1.01,,,,,,,,,unresolved,-1,none
G0.12-3.44,,,,,,,,,unresolved,-1,none
G0.47+0.00,,,,,,,,,unresolved,-1,none
G0.47+2.42,,,,,,,,,unresolved,-1,none
G0.47+4.85,,,,,,,,,unresolved,-1,none
G0.47-2.42,,,,,,,,,unresolved,-1,none
G0.47-4.85,,,,,,,,,unresolved,-1,none
G0.58+0.20,,,,,,,,,unresolved,-1,none
G0.58+2.63,,,,,,,,,unresolved,-1,none
G0.58+5.05,,,,,,,,,unresolved,-1,none
G0.58-2.22,,,,,,,,,unresolved,-1,none
G0.58-4.65,,,,,,,,,unresolved,-1,none
G0.70+0.00,,,,,,,,,unresolved,-1,none
G0.70+2.42,,,,,,,,,unresolved,-1,none
G0.70+4.85,,,,,,,,,unresolved,-1,none
G0.70-2.42,,,,,,,,,unresolved,-1,none
G0.70-4.85,,,,,,,,,unresolved,-1,none
G0.82+0.20,,,,,,,,,unresolved,-1,none
G0.82+2.63,,,,,,,,,unresolved,-1,none
G0.82+5.05,,,,,,,,,unresolved,-1,none
G0.82-2.22,,,,,,,,,unresolved,-1,none
G0.82-4.65,,,,,,,,,unresolved,-1,none
G1.17+1.21,,,,,,,,,unresolved,-1,none
G1.17+3.64,,,,,,,,,unresolved,-1,none
G1.17+6.06,,,,,,,,,unresolved,-1,none
