source_id,ra,dec,l,b,track,feh,feh_provenance,population,kinematic_method,v_tot_or_bound_kms,v_tot_err_kms,luminosity_class,M_G,bp_rp,phot_g_mean_mag,W1mag,W2mag,W3mag,W4mag,chi_W1,chi_W2,chi_W3,chi_W4,chi_w1_w2,chi_w1_w3,w1_w2_obs,w1_w2_locus,t_dust_k,t_dust_lo_k,t_dust_hi_k,tau,tau_lo,tau_hi,dust_fit_chi2,n_excess_bands,registration_arcsec,registration_arcsec_unpropagated,chance_superposition_p,ebv_sfd,blend_verdict,simbad_id,simbad_otype,verdict,reject_reason,followup_verdict,neighbour_over_excess,n_beam_neighbours
1107595855738932352,94.33034907182787,71.34419190687146,143.02323002451075,22.942175053156813,phot,-1.698699951171875,gaia_gspphot,unclassified,vtan_lower_bound,58.618517651241135,13.216752786059667,dwarf,6.433752894245135,1.2333527,17.951252,15.779,15.539,11.608,8.033,-0.13460677498407184,1.57685901081505,7.596191357327609,7.485966188387837,1.3521696684036093,3.0944084150667837,0.2400000000000002,-0.08163351150369236,152.65041696656004,145.49080536182112,160.12697780072622,0.5862046684529559,0.5104675971064155,0.6747705783049859,2.4787478995469314,3,0.3660624955609112,0.32405996470357706,0.00040293411630920595,0.1814,isolated,,,surviving,,rejected,0.0,0
1094171647694319104,126.63679699495736,67.83899768670479,147.50525186574433,33.893632827007785,phot,-1.0927000045776367,gaia_gspphot,unclassified,vtan_lower_bound,21.650166029761515,5.73529737667648,dwarf,6.129497228911923,1.2126236,17.475758,15.317,15.256,10.766,7.933,0.040778105932925496,0.7635892872449358,10.635633345496357,5.190257307702547,0.6119241545036395,3.6712155586648736,0.06099999999999994,-0.08031923577445532,195.40890733786676,183.62611607515723,210.57382689635818,0.3867711992037797,0.3292089762105393,0.45314064141377514,5.260889003011471e-05,2,0.04169000917559344,0.055230823133414604,0.000140808293545569,0.0413,isolated,,,surviving,,surviving,0.0,0
1107283323856583680,90.22361672782812,70.3102896340855,143.59918302324775,21.329275757126663,phot,-1.7648999691009521,gaia_gspphot,unclassified,vtan_lower_bound,13.821698585519272,0.9297924327912763,dwarf,6.484878824570469,1.116703,17.63447,15.632,15.638,11.244,8.067,0.11186002772870908,0.413407606261317,9.112539589884609,6.094476074808216,0.29127217060666005,3.2657893918648107,-0.006000000000000227,-0.07367552455089776,172.67161152660154,164.57296562532207,183.62611607515723,0.41059389299059496,0.35175463331686385,0.48027787046071985,8.198836981421209e-05,2,0.4981043618421721,0.49846030877109315,0.000250554147710913,0.1396,isolated,,,surviving,,rejected,0.0,0
1109724274028743808,110.04893246451171,70.40535097865553,145.03430334037026,27.835254795983115,phot,-1.1627999544143677,gaia_gspphot,unclassified,vtan_lower_bound,17.98689977145582,4.391146988251065,dwarf,6.651229135288247,1.2544022,17.720823,15.486,15.403,11.278,8.244,0.08215686788478582,0.8992149870079097,8.155836146814735,4.550711806324323,0.7028908936523437,3.2021991737756945,0.08300000000000018,-0.08271058399078868,183.085167468479,171.10134130326483,199.35007956204512,0.33403191579051444,0.27010080189361724,0.40718511938407226,0.00010377997560340191,2,0.05928606315421615,0.07655108665749255,0.0002714282872192664,0.0454,isolated,,,surviving,,surviving,0.0,0
1107379148869659776,95.47283361138282,70.19085316817355,144.340387773307,22.968552346906144,phot,-1.407099962234497,gaia_gspphot,unclassified,vtan_lower_bound,13.302258714312991,3.78270800658923,dwarf,6.656433531850524,1.3099194,17.94875,15.596,15.619,10.952,7.785,0.3131477228502016,0.47976602237539484,12.24521210308023,8.882798837959518,0.2461040481960114,4.037353769703895,-0.022999999999999687,-0.08298284579222681,171.82046704626762,166.84203923766762,181.1287768168539,0.7416041412988967,0.6469722854132198,0.8221630878680225,7.242119082206955e-05,2,0.0865487909379481,0.08305632282028506,0.0001704593590399206,0.1344,isolated,,,surviving,,rejected,0.0,0
1097115723219884288,123.13394954550472,68.87922299418797,146.54301618733152,32.44421838611619,phot,-1.063599944114685,gaia_gspphot,unclassified,vtan_lower_bound,26.92233309120449,1.951426332102374,dwarf,6.299297518511036,0.78326607,17.671541,16.254,16.131,11.624,8.239,-0.14795541948094795,0.6237993732135624,10.430813866859475,8.866890421906616,0.6496287727121128,3.2884298692044567,0.12300000000000111,-0.0405112418339415,160.97995443792138,153.68218427892157,169.14239803126165,0.40589321693549507,0.36139425074842385,0.4530369060178404,9.368261854092452e-05,2,0.18429083881592018,0.18981528696117808,0.00036964970374253614,0.0461,isolated,,,surviving,,surviving,0.0,0
1108547865306627200,112.53343184437334,68.84626632502822,146.8427023884496,28.63496650571788,phot,-1.1039999723434448,gaia_gspphot,unclassified,vtan_lower_bound,23.1736390539049,2.463047197601762,dwarf,5.30526398336338,0.84098244,17.326303,15.68,15.511,11.222,7.787,1.2963480689841487,2.1174039996989635,10.371500659659178,9.123329153743144,1.1490959905290687,3.211767609477399,0.16900000000000048,-0.046371321277604904,158.79060594757289,153.34776862144986,164.57296562532207,0.44979228268720894,0.3931405144280529,0.50252148406047,6.132654449964889,4,0.2565628852803472,0.26218579529705527,0.00023498255520248978,0.0423,isolated,,,surviving,,surviving,0.0,0
1098049831363850624,118.07775066844698,69.10267896914874,146.50684750332533,30.618565711099826,phot,-1.4688999652862549,gaia_gspphot,unclassified,vtan_lower_bound,99.67468037771951,14.073430403614728,dwarf,5.7833142528788795,0.98389053,17.305128,15.635,15.65,11.263,7.913,-0.8194179003102221,-0.2466193153433157,8.167074169732455,6.396849841599274,0.2076984072330449,3.1982435249826517,-0.015000000000000568,-0.060929909641708635,163.19948888784594,153.68218427892157,171.47447335507496,0.3616517934329569,0.30930714912842416,0.4242468641956344,9.321650185256658e-05,2,0.017084295785413654,0.07119759591209317,0.00026120276816965493,0.0363,isolated,,,surviving,,surviving,0.0,0
1109438877745070208,105.69249567365847,69.60701597299175,145.77102966923422,26.278372140191816,phot,-1.4931999444961548,gaia_gspphot,unclassified,vtan_lower_bound,29.093455052807258,2.3769515241683576,dwarf,6.824710622569473,1.293232,17.82584,15.398,15.373,10.812,7.866,1.2211809538981149,1.41023878757028,12.485234714366394,7.440861745692026,0.48129825647864094,3.911501111790808,0.025000000000000355,-0.08290100917214271,185.60948074639833,176.23552880766957,196.63889233836906,0.5867077017833308,0.5190386413047076,0.6643165581585736,3.3485267625270865,4,0.3580916632488065,0.3666383390435429,0.00014442711397766317,0.0713,isolated,,,surviving,,surviving,0.0,0
1097208979846238464,125.4310727721886,68.25433598442274,147.1154561107017,33.37368844482354,phot,-1.0636999607086182,gaia_gspphot,unclassified,vtan_lower_bound,24.521628960260855,5.3956491355880685,dwarf,6.944759378257761,1.1170616,17.884434,16.035,15.725,11.589,8.326,-1.0482641098193963,1.1424942237746565,8.381691549040212,6.033805422264027,1.5354872084014297,3.3473470743143503,0.3100000000000005,-0.07370431292668256,168.0844048232372,157.94922990449808,181.1287768168539,0.40378445907223526,0.3376598571938666,0.4661442833230084,1.2855376041752464,3,0.32426090303837135,0.33802557607596984,0.0003798605451333925,0.04,isolated,,,surviving,,surviving,0.0,0
