source_id,ra_deg,dec_deg,sample,class,glat_deg,ecl_lat_deg,poss1_e,epoch_poss1,gaia_g,ps1_r,w1,w2,w3,w4,w3_lim,w4_lim,2mass_j,2mass_ks,wise_ccf,wise_id,allwise_sep_arcsec,n_ir_neighbours,bright_nb_gmag,bright_nb_sep_arcsec,pm_recovered,pm_total_mas_yr,n_ir_bands,tdust_fit_k,eta_max,eta_lo,eta_hi,budget_verdict,ftk_class,vet_flags,p_chance_match,modern_depth_mag,modern_depth_cats,modern_depth_margin_mag,class_reason
VASCO-VO-0156455,47.131962,4.288964,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-44.37065518934331,-12.832875144714482,16.27,1981.4,,,,,,,,,16.375,14.825,,,,0,16.988646,47.63775,False,0.0,3.0,1000.0,0.29490878158996514,0.046591523892490994,0.29490878158996514,IR_TOO_FAINT_MARGINAL,DISAPPEARANCE_LIKE,,0.0,23.2,"ps1,gaia",6.93,"3 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0024526,47.225148,2.206937,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-45.76938967800146,-14.858447050746442,18.58,1978.7,,,14.884,14.69,11.841,,,8.449,,,0000,J030854.21+021222.0,3.958546,0,18.910141,18.230383,False,0.0,3.0,350.0,0.2748803262051771,0.043427303917219176,0.2748803262051771,IR_TOO_FAINT_MARGINAL,DISAPPEARANCE_LIKE,,0.0,23.2,"ps1,gaia",4.620000000000001,"3 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0292621,45.72805,6.482075,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-43.73000712675682,-10.336249988987822,18.88,1982.7,,,,,,,,,15.631,15.057,,,,0,18.753901,6.545244,False,148.70454714298415,3.0,1000.0,0.2511006140152357,0.039670437055944564,0.2511006140152357,IR_TOO_FAINT_MARGINAL,DISAPPEARANCE_LIKE,,0.0,23.2,"ps1,gaia",4.32,"3 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0212964,42.104334,3.673225,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-48.222851298996005,-11.968591060583345,18.84,1967.4,,,16.075,15.703,12.261,,,8.931,,,0000,J024825.05+034018.8,4.781246,0,16.490849,48.374376,False,14.274535439025678,3.0,350.0,0.24434596101793862,0.03860329495589473,0.24434596101793862,IR_TOO_FAINT_MARGINAL,DISAPPEARANCE_LIKE,,0.0,23.2,"ps1,gaia",4.359999999999999,"3 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0119786,47.534453,3.393931,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-44.71988907865956,-13.804129544349852,,1982.9,,,15.8,15.683,,,12.192,8.464,16.869,15.83,0000,J031008.57+032336.3,4.893177,0,14.809251,31.193659,False,25.36419801610136,5.0,250.0,0.22355956026522336,0.002075018650776839,0.22355956026522336,IR_TOO_FAINT_MARGINAL,DISAPPEARANCE_LIKE,,0.0,23.2,"ps1,gaia",3.629999999999999,"5 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0159656,47.130553,4.943962,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-43.90280491461062,-12.203157167021411,18.43,1973.3,,,16.632,16.394,12.121,,,8.457,,,0000,J030831.29+045633.3,4.935644,0,19.476715,26.902519,False,0.0,3.0,250.0,0.21197929740067367,0.033489808090180685,0.21197929740067367,IR_TOO_FAINT_MARGINAL,DISAPPEARANCE_LIKE,,0.0,23.2,"ps1,gaia",4.77,"3 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0330585,44.578992,7.451359,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-43.75097631282768,-9.08245419171968,14.35,1950.0,,,,,,,,,13.393,12.76,,,,0,15.051781,6.460246,False,154.6791080430709,3.0,80.0,0.19237670255100428,0.030392868211452186,0.19237670255100428,IR_TOO_FAINT_MARGINAL,DISAPPEARANCE_LIKE,,0.0,23.2,"ps1,gaia",8.85,"3 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0249131,41.92265,4.694167,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-47.56125548364217,-10.940533929571176,18.88,1979.5,,,15.433,15.275,12.667,,,8.992,,,0000,J024741.14+044137.6,4.606372,0,14.704287,44.771407,False,0.693333974358678,3.0,350.0,0.16668736470737172,0.026334306809954047,0.16668736470737172,IR_TOO_FAINT_MARGINAL,DISAPPEARANCE_LIKE,,0.0,23.2,"ps1,gaia",4.32,"3 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0223186,43.907287,4.468884,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-46.438795566477594,-11.743408920697586,17.18,1977.2,,,12.487,12.241,11.566,,,8.424,13.507,12.701,0000,J025538.00+042805.1,4.754752,0,16.771595,7.066633,False,426.8231783818681,6.0,700.0,0.15899697240815966,0.025119330793914107,0.15899697240815966,IR_TOO_FAINT_MARGINAL,DISAPPEARANCE_LIKE,,0.0,23.2,"ps1,gaia",6.02,"6 infrared band(s), no modern optical counterpart, and no mundane class fits"
VASCO-VO-0058252,42.902675,2.264406,vizier:I/284/out,RESIDUAL_UNEXPLAINED,-48.746419584995685,-13.551936371522194,15.55,1966.1,,,,,,,,,14.955,14.527,,,,0,16.025427,5.348148,False,21.54621138390692,3.0,80.0,0.13683194203558555,0.021617561410805595,0.13683194203558555,IR_TOO_FAINT_MARGINAL,DISAPPEARANCE_LIKE,,0.0,23.2,"ps1,gaia",7.649999999999999,"3 infrared band(s), no modern optical counterpart, and no mundane class fits"
