n_epochs,max_depth,n_dips,dip_duty_cycle,asymmetry,best_period_d,period_power,score,n_dip_events,out_of_dip_rms,max_event_depth,source_id,ra,dec,g_mag,bp_rp,parallax,hr_class,secular_slope_mag_yr,secular_sigma,secular_total_mag,secular_score,is_secular_fader,resists_mundane,is_candidate,shared_epoch_frac,rejected_shared_epoch
438,0.29785665484919577,14,0.0319634703196347,0.8806840345003715,0.1068859733514674,0.048845697502765816,0.6553462907491703,1,0.0,0.23720151116958454,526216400006616,191.23315815,13.7957278,,,,unknown,0.008465482849218709,2.6871073107349663,0.05998195062944107,0.19425412788723617,False,False,False,0.9523809523809523,
498,0.2636059343740035,21,0.04216867469879518,0.962538929082367,0.2313680133970618,0.0488837157785903,0.6553348852664229,1,0.0,0.2636059343740035,526216300006396,190.68407515,13.8901039,,,,unknown,0.00819648251085717,1.5300505393269093,0.057920224345072546,0.10136039260387696,False,False,False,0.8666666666666667,
495,0.29375575807275567,9,0.01818181818181818,0.9916949881793681,0.17977223663056263,0.05142612186490052,0.6545721634405298,1,0.0,0.27326198221225473,526216300005754,190.7490932,13.9529969,,,,unknown,0.008273722301486056,2.099223111277431,0.05846603725880298,0.10231556520290519,False,False,False,0.9375,
470,0.2774648958625129,12,0.02553191489361702,0.7536534398734619,0.22416575851265363,0.051900034684254436,0.6544299895947236,1,0.0,0.2030502256470681,526215300021881,192.12762855,13.8710628,,,,unknown,0.004932537755175311,1.2662995693761951,0.03494292509495787,0.06115011891617626,False,False,False,0.9733333333333334,
439,0.22824588823855996,18,0.04100227790432802,0.8182324914819818,0.33806573573239374,0.05620180082225594,0.6531394597533232,1,0.0,0.2168267018917014,526216400006244,191.2845146,13.8381356,,,,unknown,0.004361945962075356,1.1208545623462827,0.03090050863868004,0.05407589011769006,False,False,False,0.9361702127659575,
412,0.3212155698213769,17,0.0412621359223301,0.7592567597962463,0.2547727573537364,0.059748623305259006,0.6520754130084223,1,0.0,0.22299181800702894,526216400005866,191.1363321,13.879605300000001,,,,unknown,0.0017134262615161701,0.626984546155292,0.012152334049013887,0.021266584585774302,False,False,False,1.0,
423,0.3607038750431779,6,0.014184397163120567,0.7784779495243658,0.13896403117215697,0.06294751189910334,0.651115746430269,1,0.0,0.3607038750431779,526215300022044,192.8506348,13.8364194,,,,unknown,0.0038722637010184173,1.0497933087373885,0.027463710039676285,0.04806149256943349,False,False,False,0.9907407407407407,
465,0.2762883162865376,68,0.14623655913978495,0.7504655681596822,0.18689155126243073,0.06409752401474028,0.6507707427955779,11,0.06060400814659484,0.24255269623365683,526215300006178,192.4934485,13.8478439,,,,unknown,-0.0020454778745853117,0.5988548324933438,-0.014490508477109027,0.0,False,False,False,1.0,
408,0.2968170822251037,11,0.02696078431372549,0.8685706682738167,0.20530020224209458,0.0644493281649297,0.6506652015505211,1,0.0,0.2573589491156869,526216400005987,191.6440219,13.87170545,,,,unknown,0.005700220822583362,1.4185408451159283,0.04038099607424208,0.07066674312992363,False,False,False,0.9807692307692307,
337,0.46535164860615497,3,0.008902077151335312,0.7864257934709561,0.9973386769290103,0.0671434112197067,0.649856976634088,1,0.0,0.3759383830824514,526215300006697,192.5938304,13.7881933,,,,unknown,0.0029885528447412984,0.7039837490584575,0.02133542314028036,0.03733699049549062,False,False,False,0.9885057471264368,
495,0.3415854190482994,74,0.1494949494949495,0.6239197414161207,0.2836587568403726,0.0681129786642797,0.6479133310544891,14,0.046265210829694696,0.25158031815301185,526216300013446,190.6653164,13.9233975,,,,unknown,-0.00035052826377463567,0.08978600627299807,-0.002477018562540836,0.0,False,False,False,0.9664429530201343,
451,0.19462200386938555,17,0.037694013303769404,1.1921368421037168,0.9963600081567544,0.07209832250266894,0.6478374805499821,2,0.00995703622090471,0.19462200386938555,526216400005420,191.1181924,13.9306727,,,,unknown,0.004577196492084176,1.4530310693362214,0.032425367249916334,0.056744392687353575,False,False,False,0.0,
392,0.2521317776835307,14,0.03571428571428571,0.9561119251443357,0.11485557017168734,0.061319429311821126,0.6469412757904779,1,0.0,0.19794284025765774,526215400009186,193.314185,13.852029949999999,,,,unknown,0.007280872751941518,1.1347204593806886,0.05163898782061555,0.11877731959516809,False,False,False,0.9545454545454546,
491,0.22816782293809623,6,0.012219959266802444,0.7867952089940216,0.15269919420096797,0.041681930016037386,0.6464882606496946,1,0.0,0.19514389984757607,526216300007054,190.8136985,13.820435,,,,unknown,0.00487511313638662,1.4943960291489433,0.03445013421536862,0.06028773487689507,False,False,False,0.9393939393939394,
491,0.35790560332876475,60,0.12219959266802444,0.7437525294116539,0.161159592867082,0.08016365349197524,0.6459509039524074,9,0.05736810290864276,0.2759573987274916,526216300007324,190.7068544,13.7924394,,,,unknown,-0.0021316579631325,0.5767797130602519,-0.015066329170716363,0.0,False,False,False,0.98,
355,0.4448986954161892,44,0.12394366197183099,0.6573315260564018,0.4992540123295798,0.08257570691336408,0.6452272879259908,7,0.09320188445888482,0.4027424505804952,526216400023227,191.6366938,13.8024496,,,,unknown,-0.017937335883553306,2.666601948959692,-0.12731630398294466,0.0,False,False,False,1.0,
405,0.19826993871467224,15,0.037037037037037035,0.7760687107064596,0.499556327151343,0.07829306210112226,0.6425906091229204,1,0.0,0.19826993871467224,526215400004342,193.2936468,13.8573158,,,,unknown,0.001997927187832342,0.3496138557382388,0.01417013333895163,0.02479773334316535,False,False,False,0.9,
503,0.19389958637017723,10,0.019880715705765408,0.8020136642437568,0.2070488220779197,0.04785586318909669,0.6418156368156728,1,0.0,0.19389958637017723,526216300006738,190.9131261,13.8547516,,,,unknown,0.00645514964717133,1.7788973907342795,0.04561550993874326,0.0798271423928007,False,False,False,0.8636363636363636,
356,0.5065245860740794,49,0.13764044943820225,0.6783264895823307,0.9974817318247476,0.10686942558768446,0.6379391723236947,6,0.10105485656043377,0.5065245860740794,526216400025560,191.1245047,13.928452199999999,,,,unknown,-0.020670074815364346,4.252886243668932,-0.14657381618097606,0.0,False,False,False,1.0,
448,0.4575524500244359,68,0.15178571428571427,0.6929407625965806,0.9974140387819068,0.11370457326154436,0.6358886280215367,6,0.06614234850759144,0.3232518581502116,526215300006172,192.69089904999998,13.8499525,,,,unknown,-0.002687907527926937,0.7810360088769245,-0.01904158793553647,0.0,False,False,False,0.9945054945054945,
423,0.30956334473905145,66,0.15602836879432624,0.7369679630873184,0.4992540123295798,0.11626336158111229,0.6351209915256664,12,0.050719892487247155,0.2740362756500886,526216400006845,191.2539123,13.7705074,,,,unknown,-0.005610536902673245,1.5862438843507263,-0.03992316939539963,0.0,False,False,False,1.0,
411,0.41947639971616546,72,0.17518248175182483,0.8426096544732998,0.4992540123295798,0.09778626024605763,0.6342355504976113,13,0.0727433382997423,0.41947639971616546,526216400005066,191.3459975,13.9721796,,,,unknown,-0.015335135561553134,2.563404219108589,-0.10863667342153585,0.0,False,False,False,1.0,
503,0.2230246227555629,9,0.017892644135188866,0.8915926345458817,0.2453854950177756,0.0462216562962571,0.6337083101738754,1,0.0,0.19010653252768495,526216300006598,190.7072304,13.8675405,,,,unknown,0.005062049689952253,1.2404345176394975,0.035771127016956755,0.06259947227967431,False,False,False,0.8260869565217391,
496,0.2734333157278769,12,0.024193548387096774,0.7997701416763404,0.1118397647818036,0.06031672727130637,0.6276615754837689,1,0.004838163605294426,0.19570783138869585,526216300023510,190.923926,13.9226485,,,,unknown,0.0037220891178793764,1.3601470293539952,0.026302255165209877,0.04602894653911728,False,False,False,0.9594594594594594,
