series,platenum,mosnum,expnum,exptime_min
ai,6381,0,0,61.0
ac,40744,0,0,120.0
ac,10624,0,0,60.0
bm,91,-1,0,82.0
fa,3129,2,0,51.0
fa,2129,0,0,59.0
ai,24330,0,0,114.0
ke,183,-1,0,41.0
ai,30943,1,0,42.0
fa,8507,0,0,46.0
ai,21704,1,0,74.0
ai,1843,0,0,81.0
ee,2001,0,0,33.0
ai,21297,2,0,70.0
ee,1956,-1,0,36.0
ac,21613,0,0,64.0
ac,20153,0,0,58.0
rh,6574,0,0,40.0
ai,15012,1,0,72.0
ro,1,0,0,6.0
ai,37606,1,0,90.0
fa,9792,0,0,59.0
ai,22095,0,0,88.0
ai,31134,-1,0,57.0
ai,38253,0,0,87.0
ai,34102,0,0,125.0
ai,35,-1,0,120.0
ai,20062,0,0,68.0
ai,20234,1,0,60.0
ac,23651,0,0,61.0
ac,29341,0,0,42.0
ac,10944,0,0,60.0
ee,2075,-1,0,40.0
ai,4213,0,0,62.0
fa,12105,2,0,76.0
ac,32660,0,0,65.0
ai,31663,1,0,72.0
ai,1680,0,0,61.0
ai,3903,0,0,58.0
dny,178,0,0,120.0
a,5499,0,0,10.0
ai,7832,0,1,20.0
ai,7832,0,2,20.0
ka,2835,-1,0,59.0
fa,9171,1,0,59.0
ac,8619,0,0,71.0
ai,32913,2,0,74.0
i,23269,0,0,12.0
bi,4197,1,0,45.0
ac,32702,0,0,80.0
ac,36710,0,0,48.0
fa,4551,-1,0,30.0
fa,1292,0,0,54.0
ai,27537,0,0,59.0
ai,6858,0,0,60.0
ai,43264,1,0,18.0
ai,10018,0,0,60.0
ai,5712,1,0,57.0
ai,6024,-1,0,49.0
ai,2539,0,0,97.0
ka,898,0,0,46.0
ac,14264,0,0,60.0
dnr,714,0,0,55.0
ac,30437,0,0,61.0
ac,27642,0,0,62.0
ai,34768,-1,0,93.0
ai,24256,1,0,62.0
ai,44707,-1,0,58.0
ac,28502,0,0,70.0
kb,2062,-1,0,35.0
rh,13227,0,0,15.0
fa,10309,-1,0,62.0
ai,40357,0,0,120.0
fa,1682,0,0,68.0
ai,21099,0,0,60.0
ac,22305,0,0,58.0
ai,5225,0,0,78.0
dnr,2468,-1,0,60.0
kd,48,-1,0,45.0
ke,220,-1,0,29.0
ai,36655,1,0,70.0
ai,5299,0,0,479.0
ai,18600,0,0,50.0
ai,39605,0,0,59.0
fa,4456,1,0,49.0
ai,28216,0,0,94.0
ac,42008,0,0,92.0
ai,29134,-1,0,90.0
ka,234,-1,0,50.0
ai,25567,-1,0,70.0
fa,6936,1,0,56.0
fa,7693,1,0,58.0
ac,25585,0,0,125.0
ai,5189,0,0,73.0
fa,9181,0,0,22.0
i,3978,-1,0,10.0
ai,4582,0,0,96.0
ai,28243,1,0,120.0
fa,7088,0,0,61.0
ac,22860,0,0,64.0
ai,14818,0,0,58.0
ai,15987,0,0,66.0
ai,3813,0,0,49.0
fa,10246,-1,0,59.0
ai,9184,0,0,64.0
ai,7062,0,0,60.0
ee,2098,0,0,55.0
ai,28397,0,0,62.0
ai,29323,2,0,70.0
i,23414,0,0,20.0
fa,2140,1,0,53.0
ka,2455,0,0,19.0
ka,52,0,0,8.0
ai,27507,0,0,60.0
kb,618,-1,0,57.0
ac,33192,-1,0,60.0
fa,1080,1,0,61.0
ir,1687,0,0,30.0
kb,1429,0,0,59.0
ai,32438,4,0,75.0
fa,1742,0,0,36.0
ca,1139,0,0,54.0
ai,11222,2,0,73.0
ac,34504,0,0,82.0
ai,24914,1,0,70.0
ai,38274,1,0,119.0
ai,41543,1,0,58.0
fa,9873,1,0,64.0
ai,27259,-1,0,56.0
ai,38282,1,0,16.0
bi,2883,0,0,45.0
fa,4659,0,0,64.0
ac,27487,0,0,56.0
ai,12982,0,0,61.0
ab,57,-1,0,72.0
ai,35660,0,0,88.0
ai,32811,0,0,88.0
fa,12147,1,0,77.0
ac,14311,0,0,60.0
ai,29247,1,0,60.0
i,20976,0,0,47.0
ai,7977,0,0,60.0
fa,1031,-1,0,75.0
ac,8897,0,0,61.0
ai,39754,0,0,100.0
fa,4553,1,0,59.0
fa,2986,0,0,60.0
ai,20296,1,0,56.0
ac,17917,0,0,67.0
ai,18717,0,0,64.0
ai,39604,1,0,30.0
ai,27678,0,0,65.0
dnb,5834,0,0,36.0
ac,1904,0,0,120.0
dnb,2879,0,0,36.58
ai,8138,0,0,60.0
fa,5424,2,0,59.0
ai,12654,0,0,60.0
kb,563,-1,0,25.0
bi,246,1,0,45.0
ai,25524,-1,0,124.0
ai,10974,2,0,62.0
ai,20381,-1,0,60.0
ai,20844,-1,0,60.0
ai,27389,-1,0,64.0
ee,2052,0,0,28.0
ac,30316,0,0,51.0
ac,15414,0,0,61.0
ai,1579,0,0,63.0
ac,13206,0,0,30.0
ai,6085,0,0,123.0
dnb,743,-1,0,79.0
fa,11245,0,0,16.0
mc,20836,0,0,33.0
ay,531,0,0,120.0
fa,8540,0,0,58.0
ai,16443,0,0,58.0
ac,5033,0,0,63.0
fa,3192,1,0,48.0
ac,17020,0,0,61.0
dny,184,0,0,120.0
ai,2197,0,0,60.0
ai,15573,0,0,63.0
ai,14226,0,0,62.0
ai,8401,0,0,60.0
ai,12912,1,0,63.0
ac,19901,-1,0,45.0
ai,22681,1,0,64.0
fa,6241,0,0,80.0
ai,5855,0,0,60.0
ai,36572,1,0,110.0
ay,1886,-1,0,64.0
fa,4529,1,0,59.0
h,5492,-1,0,20.0
ai,30987,0,0,109.0
am,2115,1,0,56.0
dnb,6492,0,0,36.0
fa,570,4,0,69.0
ac,15441,0,0,61.0
ai,43288,0,0,49.0
ca,458,0,0,64.0
ay,1733,0,0,67.0
ai,4634,0,0,89.0
ai,12593,0,0,80.0
ac,25159,0,0,77.0
ai,34816,0,0,110.0
ee,2184,0,0,47.0
ai,43237,0,0,58.0
ai,12666,0,0,66.0
ai,35010,1,0,79.0
fa,5550,1,0,69.0
fa,8606,0,0,58.0
fa,4471,1,0,53.0
md,24841,0,0,75.0
ac,5396,0,0,58.0
ai,29194,1,0,116.0
fa,8410,0,0,59.0
ai,15063,0,0,94.0
ai,43308,1,0,35.0
ai,5549,1,0,68.0
ac,18992,0,0,79.0
ac,3813,0,0,81.0
fa,11305,0,0,64.0
ac,15496,0,0,62.0
ee,1982,-1,0,37.0
ac,1804,0,0,66.0
ac,40423,0,0,52.0
ai,29718,3,0,77.0
fa,1309,2,0,58.0
ai,29972,-1,0,59.0
ac,19156,0,0,60.0
ac,29422,0,0,63.0
ai,31784,5,0,94.0
ee,2206,0,0,47.0
ai,13539,0,0,54.0
ai,10054,0,0,60.0
ai,31657,1,0,79.0
ai,18673,0,0,67.0
rh,12519,-1,0,15.0
rh,12519,-1,1,15.0
rh,12519,-1,2,2.0
kb,2090,-1,0,58.0
fa,7743,1,0,59.0
ai,7833,0,0,60.0
ai,35751,0,0,64.0
ai,35721,0,0,58.0
ai,7003,0,0,60.0
ai,6427,1,0,72.0
rh,13937,0,0,87.0
fa,2273,2,0,45.0
rh,5195,0,0,61.0
ac,22905,0,0,2.0
ac,22905,0,1,2.0
ai,18583,0,0,112.0
ai,20096,1,0,108.0
ai,17364,0,0,46.0
ai,26804,-1,0,71.0
ai,29140,1,0,69.0
ai,1030,0,0,25.0
ay,88,0,0,67.0
ai,6918,0,0,60.0
fa,1206,0,0,59.0
ai,19961,1,0,2.0
ay,713,0,0,179.0
ka,352,-1,0,76.0
ac,3973,0,0,129.0
ai,37461,-1,0,75.0
ay,1026,0,0,55.0
ai,30427,1,0,117.0
mb,2167,-1,0,20.0
ai,36491,0,0,87.0
ai,9061,0,0,60.0
ac,395,0,0,106.0
ai,20820,-1,0,74.0
fa,9120,2,0,32.0
ai,33418,0,0,83.0
ai,23448,0,0,66.0
ac,32229,0,0,73.0
i,43623,0,0,10.0
fa,2209,1,0,59.0
ai,1352,-1,0,74.0
kc,141,0,0,59.0
ka,3100,-1,0,59.0
ee,1337,0,0,85.0
ai,28377,0,0,65.0
ai,4095,0,0,60.0
ac,6142,-1,0,61.0
ai,23419,2,0,92.0
fa,5455,1,0,62.0
kb,1428,1,0,37.0
ac,20313,0,0,60.0
kb,638,-1,0,53.0
ai,31656,3,0,50.0
dnb,314,0,0,120.0
ai,29316,-1,0,61.0
ka,603,-1,0,1.97
ka,603,-1,1,72.27
ai,36599,0,0,73.0
ai,10194,0,0,64.0
ai,15432,-1,0,65.0
ai,40422,0,0,77.0
ai,7300,0,0,68.0
rh,13198,0,0,15.0
bm,584,0,0,60.0
dnb,4618,0,0,32.17
ai,2835,0,0,67.0
ai,43238,1,0,60.0
fa,1298,1,0,59.0
rh,14797,0,0,4.0
ai,29560,1,0,61.0
ai,29991,-1,0,56.0
ac,25269,0,0,123.0
ka,3107,-1,0,59.0
ac,8574,0,0,61.0
ir,4177,-1,0,4.0
ai,6104,0,0,66.0
aco,66,-1,0,31.0
fa,7084,1,0,59.0
ke,166,0,0,27.0
ai,32725,1,0,111.0
rl,5053,-1,0,5.0
ac,30207,0,0,79.0
ke,251,-1,0,45.0
fa,2242,0,0,34.0
c,22880,-1,0,97.0
ka,48,0,0,8.0
ai,22715,0,0,136.0
ca,460,0,0,64.0
ai,35599,1,0,140.0
ka,1806,0,0,89.0
ai,2885,-1,0,23.0
ai,30326,0,0,83.0
ai,23622,0,0,78.0
rh,4189,0,0,18.0
ac,11940,0,0,69.0
i,2320,-1,0,66.0
fa,5599,-1,0,54.0
ca,294,0,0,60.0
ay,700,0,0,62.0
fa,10777,-1,0,32.0
ai,35709,3,0,110.0
ac,26432,0,0,60.0
fa,8536,0,0,63.0
ac,7870,0,0,73.0
fa,8356,-1,0,71.0
ai,28538,0,0,106.0
ai,29299,1,0,62.0
ai,41150,0,0,33.0
ac,40303,0,0,37.0
fa,6731,1,0,50.0
fa,5962,2,0,57.0
ai,15026,0,0,50.0
kd,266,0,0,58.0
rl,3304,-1,0,10.0
kc,83,-1,0,68.0
fa,3787,0,0,49.0
ai,9864,0,0,64.0
ai,8347,0,0,76.0
ac,28492,0,0,69.0
ai,11509,0,0,60.0
ee,2097,0,0,54.0
ay,1482,0,0,60.0
ai,42540,-1,0,28.0
ac,28515,0,0,63.0
ai,40298,1,0,118.0
ai,31733,1,0,93.0
ai,34760,-1,0,54.0
ka,2569,0,0,43.0
ai,25212,1,0,71.0
ai,3872,-1,0,75.0
ai,6032,0,0,63.0
fa,1102,0,0,59.0
ai,32724,1,0,110.0
ai,39662,0,0,118.0
rl,3305,-1,0,10.0
me,50000,1,0,45.0
ai,36600,2,0,77.0
ai,31701,1,0,88.0
ai,10672,0,0,60.0
ac,12407,0,0,60.0
ai,21876,1,0,46.0
ca,258,0,0,60.0
fa,8430,-1,0,59.0
ac,20282,0,0,60.0
fa,1385,1,0,85.0
ai,1473,0,0,51.0
ac,15428,0,0,88.0
ai,41002,0,0,83.0
ac,6450,0,0,61.0
ai,26512,0,0,61.0
ca,78,0,0,42.0
ay,622,-1,0,97.0
