lam_um,response
24.16,0.5531
24.17,0.55709
24.18,0.56109
24.19,0.56509
24.2,0.56909
24.21,0.56932
24.22,0.56956
24.23,0.56979
24.24,0.56625
24.25,0.56649
24.26,0.56294
24.27,0.5594
24.28,0.55585
24.29,0.55607
24.3,0.55252
24.31,0.55275
24.32,0.55676
24.33,0.56078
24.34,0.56101
24.35,0.56503
24.36,0.56526
24.37,0.56929
24.38,0.56953
24.39,0.56976
24.4,0.56999
24.41,0.56642
24.42,0.56666
24.43,0.56308
24.44,0.56331
24.45,0.56354
24.46,0.55997
24.47,0.56019
24.48,0.56042
24.49,0.55684
24.5,0.55707
24.51,0.55348
24.52,0.54988
24.53,0.54285
24.54,0.53925
24.55,0.53182
24.56,0.52439
24.57,0.51695
24.58,0.5095
24.59,0.50205
24.6,0.49459
24.61,0.49096
24.62,0.48733
24.63,0.48369
24.64,0.48389
24.65,0.48408
24.66,0.48044
24.67,0.48063
24.68,0.48083
24.69,0.47718
24.7,0.47352
24.71,0.47372
24.72,0.47006
24.73,0.46255
24.74,0.45888
24.75,0.45521
24.76,0.45154
24.77,0.45172
24.78,0.44804
24.79,0.44823
24.8,0.44841
24.81,0.44859
24.82,0.44877
24.83,0.44508
24.84,0.44526
24.85,0.44157
24.86,0.43788
24.87,0.43418
24.88,0.4266
24.89,0.4229
24.9,0.41919
24.91,0.41548
24.92,0.41177
24.93,0.40805
24.94,0.40821
24.95,0.40449
24.96,0.40077
24.97,0.40093
24.98,0.3972
24.99,0.39346
25.0,0.38934
25.01,0.38529
25.02,0.37921
25.03,0.37277
25.04,0.36629
25.05,0.35945
25.06,0.35261
25.07,0.34572
25.08,0.34004
25.09,0.33514
25.1,0.33023
25.11,0.32645
25.12,0.32345
25.13,0.32045
25.14,0.3178
25.15,0.31553
25.16,0.31327
25.17,0.311
25.18,0.30916
25.19,0.30693
25.2,0.30509
25.21,0.30329
25.22,0.30188
25.23,0.30047
25.24,0.29984
25.25,0.29921
25.26,0.29897
25.27,0.29949
25.28,0.3
25.29,0.30012
25.3,0.30024
25.31,0.30036
25.32,0.30008
25.33,0.29823
25.34,0.29673
25.35,0.29447
25.36,0.29143
25.37,0.28834
25.38,0.2853
25.39,0.28225
25.4,0.27915
25.41,0.27649
25.42,0.27423
25.43,0.27196
25.44,0.26969
25.45,0.26742
25.46,0.26439
25.47,0.26172
25.48,0.25749
25.49,0.25247
25.5,0.24781
25.51,0.24198
25.52,0.23536
25.53,0.22913
25.54,0.2229
25.55,0.21745
25.56,0.21201
25.57,0.20731
25.58,0.20425
25.59,0.20154
25.6,0.19886
25.61,0.19695
25.62,0.19503
25.63,0.19315
25.64,0.19003
25.65,0.18615
25.66,0.18267
25.67,0.17758
25.68,0.17173
25.69,0.16548
25.7,0.15918
25.71,0.15247
25.72,0.1458
25.73,0.13949
25.74,0.13473
25.75,0.12957
25.76,0.12521
25.77,0.12333
25.78,0.12141
25.79,0.11953
25.8,0.11966
25.81,0.11982
25.82,0.12035
25.83,0.12128
25.84,0.12258
25.85,0.12432
25.86,0.12561
25.87,0.12763
25.88,0.1293
25.89,0.13132
25.9,0.13331
25.91,0.1353
25.92,0.13733
25.93,0.13855
25.94,0.14018
25.95,0.14145
25.96,0.14191
25.97,0.14232
25.98,0.14242
25.99,0.14207
26.0,0.14095
26.01,0.13942
26.02,0.13794
26.03,0.1356
26.04,0.1333
26.05,0.131
26.06,0.12833
26.07,0.12562
26.08,0.12294
26.09,0.12068
26.1,0.1184
26.11,0.11617
26.12,0.11394
26.13,0.11174
26.14,0.10987
26.15,0.1076
26.16,0.10531
26.17,0.10299
26.18,0.10034
26.19,0.097196
26.2,0.093969
26.21,0.090821
26.22,0.087589
26.23,0.084681
26.24,0.081771
26.25,0.079227
26.26,0.077866
26.27,0.076832
26.28,0.07547
26.29,0.076154
26.3,0.07651
26.31,0.077236
26.32,0.078085
26.33,0.078976
26.34,0.079867
26.35,0.080349
26.36,0.08079
26.37,0.080862
26.38,0.080934
26.39,0.080964
26.4,0.080625
26.41,0.080244
26.42,0.080316
26.43,0.080346
26.44,0.080377
26.45,0.080448
26.46,0.080561
26.47,0.080674
26.48,0.080746
26.49,0.079662
26.5,0.078619
26.51,0.077534
26.52,0.075746
26.53,0.073089
26.54,0.07043
26.55,0.06781
26.56,0.065106
26.57,0.062027
26.58,0.059277
26.59,0.056152
26.6,0.053646
26.61,0.050848
26.62,0.04809
26.63,0.045288
26.64,0.042525
26.65,0.039719
26.66,0.037043
