lam_um,response
5.4989,0.0017994
5.5018,0.0018104
5.5047,0.0018186
5.5077,0.0018063
5.5106,0.0017844
5.5135,0.0017818
5.5164,0.0017936
5.5194,0.0018137
5.5223,0.0018451
5.5253,0.00185
5.5282,0.0018138
5.5312,0.001766
5.5341,0.0017117
5.5371,0.0016815
5.54,0.0017104
5.543,0.0017485
5.5459,0.0017479
5.5489,0.001739
5.5519,0.0017672
5.5549,0.0018277
5.5578,0.0018408
5.5608,0.0017862
5.5638,0.0017646
5.5668,0.0018173
5.5698,0.0018515
5.5728,0.0018261
5.5758,0.0018306
5.5788,0.0018825
5.5818,0.0018883
5.5848,0.0018168
5.5878,0.0017314
5.5908,0.0017117
5.5938,0.0017569
5.5968,0.0017966
5.5998,0.0017871
5.6029,0.0017495
5.6059,0.0017173
5.6089,0.0016878
5.612,0.0016748
5.615,0.001698
5.618,0.0017273
5.6211,0.0017429
5.6241,0.0017204
5.6272,0.0016742
5.6302,0.0016725
5.6333,0.0016673
5.6364,0.0016249
5.6394,0.0016284
5.6425,0.0016976
5.6456,0.0017735
5.6486,0.0017756
5.6517,0.0016929
5.6548,0.0016207
5.6579,0.0016076
5.661,0.0016321
5.6641,0.0016529
5.6672,0.0016406
5.6703,0.0016265
5.6734,0.0016738
5.6765,0.0017377
5.6796,0.0017268
5.6827,0.0017154
5.6858,0.0017439
5.6889,0.0017162
5.6921,0.0016332
5.6952,0.0015735
5.6983,0.0015898
5.7014,0.001637
5.7046,0.0016402
5.7077,0.0016222
5.7109,0.0016197
5.714,0.0016516
5.7172,0.0017172
5.7203,0.0017841
5.7235,0.0018426
5.7266,0.0018784
5.7298,0.0019022
5.733,0.0019663
5.7361,0.0020546
5.7393,0.00213
5.7425,0.0021976
5.7457,0.0022637
5.7488,0.0022953
5.752,0.0023544
5.7552,0.0025052
5.7584,0.0026561
5.7616,0.0028135
5.7648,0.0030085
5.768,0.0031287
5.7712,0.0032078
5.7745,0.0033273
5.7777,0.0034595
5.7809,0.0035763
5.7841,0.0037028
5.7873,0.0038916
5.7906,0.0041214
5.7938,0.0043557
5.797,0.0045956
5.8003,0.0048042
5.8035,0.004999
5.8068,0.0052464
5.81,0.005557
5.8133,0.0058798
5.8166,0.0062121
5.8198,0.00656
5.8231,0.0068734
5.8264,0.0071741
5.8296,0.0075273
5.8329,0.0079341
5.8362,0.0084027
5.8395,0.0089478
5.8428,0.0095011
5.8461,0.010006
5.8494,0.010444
5.8527,0.010851
5.856,0.011387
5.8593,0.01205
5.8626,0.012694
5.8659,0.013376
5.8692,0.014144
5.8725,0.014851
5.8759,0.015699
5.8792,0.016825
5.8825,0.017695
5.8859,0.018417
5.8892,0.019366
5.8926,0.0204
5.8959,0.021647
5.8993,0.022815
5.9026,0.023854
5.906,0.025208
5.9094,0.026595
5.9127,0.028079
5.9161,0.029791
5.9195,0.031455
5.9229,0.033276
5.9262,0.035081
5.9296,0.03689
5.933,0.039213
5.9364,0.041699
5.9398,0.044071
5.9432,0.046407
5.9466,0.048962
5.95,0.052068
5.9535,0.055033
5.9569,0.057977
5.9603,0.061312
5.9637,0.064786
5.9672,0.06911
5.9706,0.073341
5.974,0.076702
5.9775,0.081202
5.9809,0.086446
5.9844,0.090881
5.9878,0.096031
5.9913,0.10185
5.9948,0.10674
5.9982,0.11215
6.0017,0.11864
6.0052,0.12494
6.0086,0.13174
6.0121,0.13951
6.0156,0.14654
6.0191,0.15289
6.0226,0.16028
6.0261,0.16778
6.0296,0.17532
6.0331,0.18327
6.0366,0.19082
6.0401,0.19843
6.0437,0.20619
6.0472,0.21509
6.0507,0.22299
6.0542,0.22821
6.0578,0.23435
6.0613,0.24096
6.0649,0.24758
6.0684,0.25382
6.072,0.25892
6.0755,0.26462
6.0791,0.26862
6.0827,0.27228
6.0862,0.27706
6.0898,0.27988
6.0934,0.2829
6.097,0.28536
6.1005,0.28709
6.1041,0.2907
6.1077,0.29171
6.1113,0.29301
6.1149,0.29629
6.1185,0.29494
6.1221,0.29373
6.1258,0.29472
6.1294,0.29528
6.133,0.29598
6.1366,0.29561
6.1403,0.29628
6.1439,0.29672
6.1476,0.29519
6.1512,0.29392
6.1548,0.2938
6.1585,0.29469
6.1622,0.29387
6.1658,0.29229
6.1695,0.29176
6.1732,0.29158
6.1768,0.29082
6.1805,0.29045
6.1842,0.29167
6.1879,0.29029
6.1916,0.28837
6.1953,0.28879
6.199,0.28825
6.2027,0.28781
6.2064,0.28757
6.2101,0.28722
6.2139,0.2869
6.2176,0.28582
6.2213,0.2855
6.225,0.28533
6.2288,0.28483
6.2325,0.28475
6.2363,0.28448
6.24,0.28434
6.2438,0.28462
6.2475,0.28433
6.2513,0.28398
6.2551,0.28405
6.2589,0.28355
6.2626,0.28288
6.2664,0.28296
6.2702,0.28327
6.274,0.28296
6.2778,0.28301
6.2816,0.28339
6.2854,0.2835
6.2892,0.28389
6.293,0.28397
6.2969,0.28385
6.3007,0.28382
6.3045,0.2841
6.3083,0.28418
6.3122,0.2842
6.316,0.2849
6.3199,0.28536
6.3237,0.28581
6.3276,0.28643
6.3315,0.28712
6.3353,0.28719
6.3392,0.2878
6.3431,0.29006
6.347,0.28989
6.3508,0.28885
6.3547,0.2905
6.3586,0.29203
6.3625,0.29189
6.3664,0.29324
6.3703,0.29565
6.3743,0.29542
6.3782,0.29518
6.3821,0.29586
6.386,0.29699
6.39,0.29861
6.3939,0.29885
6.3979,0.29939
6.4018,0.29938
6.4058,0.30103
