n_epochs,max_depth,n_dips,dip_duty_cycle,asymmetry,best_period_d,period_power,score,n_dip_events,out_of_dip_rms,max_event_depth,source_id,ra,dec,g_mag,bp_rp,parallax,hr_class,resists_mundane,is_candidate
76,0.2135507184967088,3,0.039473684210526314,2.5635038367424094,0.9972192489390486,0.2857934193838317,0.6780722043893951,1,0.0,0.2135507184967088,1615207400003400,140.18918415000002,21.17224915,12.858973503112793,0.7173881530761719,1.3520190495159907,main_sequence,True,True
76,0.2837415476234463,3,0.039473684210526314,1.7943092530099125,0.39458568614653067,0.1549629146237764,0.6711696807934618,1,0.0,0.2837415476234463,1615207400003487,140.17772695000002,21.1631908,15.98731517791748,1.3565053939819336,1.5130144311772158,main_sequence,True,True
75,0.40392542198342185,4,0.05333333333333334,1.9733187967635735,0.8164757477269863,0.20365877861408746,0.6673014942215882,1,0.0,0.40392542198342185,1615207300003462,139.1987374,21.2223042,18.170564651489258,1.3105754852294922,0.6626137817131023,unknown,False,True
75,0.355942135066701,6,0.08,1.9460847812945512,0.14140395623417423,0.20445037917530104,0.6654299731250828,1,0.0,0.355942135066701,1615207300002952,139.1940833,21.2771159,16.96390724182129,2.352025032043457,3.302835320852379,giant,False,True
76,0.3128852364819462,3,0.039473684210526314,1.7849195565952622,0.9972985208590398,0.1845086083450854,0.6617425908921901,1,0.0,0.3128852364819462,1615207400010480,140.3026609,21.176670350000002,16.507877349853516,0.9914493560791016,0.5633446158220745,main_sequence,True,True
75,0.25384122973508105,5,0.06666666666666667,2.043981558525876,0.11040802950357993,0.24080140245790577,0.6603984727741808,1,0.0,0.25384122973508105,1615207300004516,139.1764784,21.1034395,18.148426055908203,1.1505508422851562,0.5193647469026783,unknown,False,True
73,0.43777363437995986,5,0.0684931506849315,1.7115622744363084,0.12665340017259374,0.18088608026221262,0.6584279123875147,1,0.0,0.43777363437995986,1615207300021888,139.9567836,21.1607744,18.813440322875977,2.149648666381836,0.7795261010891376,unknown,False,True
76,0.22007636770958316,3,0.039473684210526314,2.383543241761701,0.9972985208590398,0.31550622453551797,0.6583607271450467,1,0.0,0.22007636770958316,1615207400003394,140.13361375,21.1728682,14.784220695495605,0.8768463134765625,0.7563770856896561,main_sequence,True,True
75,0.3726336337734315,4,0.05333333333333334,1.6230225659599344,0.14140395623417423,0.1678128904685821,0.6570374868170215,1,0.0,0.3726336337734315,1615207300005189,139.198336,21.0305945,16.938274383544922,1.5888175964355469,1.0771257902372693,main_sequence,True,True
74,0.37276394306415306,6,0.08108108108108109,2.086476419811037,0.9972192489390486,0.26670442057204286,0.6551772590170494,1,0.0,0.37276394306415306,1615207300004778,139.16212505,21.0756288,16.708463668823242,0.9735851287841797,0.61894714579724,main_sequence,True,True
75,0.3164592666794809,5,0.06666666666666667,1.8984702038423296,0.9972192489390486,0.22831906032250954,0.6520115508913832,1,0.00113364774746789,0.3164592666794809,1615207300004388,139.1739283,21.1171628,17.57162094116211,0.8698387145996094,,unknown,False,True
76,0.20927774910531072,3,0.039473684210526314,1.9298696708908913,0.9972985208590398,0.21789127002884195,0.6505427156532027,1,0.0032940278638660535,0.20927774910531072,1615207400004475,140.22498635,21.0449765,14.792450904846191,0.8160514831542969,,unknown,False,True
73,0.5720536643714761,3,0.0410958904109589,1.5179733944329976,0.23718775650900173,0.17143748553537405,0.6496471580053677,1,0.0,0.5720536643714761,1615207300012537,139.7696546,21.0194227,18.572832107543945,2.144132614135742,0.7784173937348244,unknown,False,True
76,0.28261838899330827,4,0.05263157894736842,1.8094090914286165,0.9972985208590398,0.23475828295650486,0.6481370605987655,1,0.0,0.28261838899330827,1615207400003231,140.1436052,21.19265445,16.976709365844727,1.6896839141845703,1.4403417616301333,main_sequence,True,True
76,0.2025839732840644,3,0.039473684210526314,1.9830769185083599,0.9972985208590398,0.2955066281022031,0.6403326266798406,1,0.0,0.2025839732840644,1615207400003997,140.16127434999999,21.10319595,14.337279319763184,0.8259115219116211,1.0842372410297116,main_sequence,True,True
76,0.24819515533574243,3,0.039473684210526314,2.3794707907854438,0.9972985208590398,0.35016721179922217,0.6372241030678559,1,0.003497993613168012,0.24819515533574243,1615207400003808,140.1281224,21.1251687,14.114188194274902,0.8034334182739258,0.8680235873710863,main_sequence,True,True
76,0.23588740199717295,11,0.14473684210526316,2.346980779828496,0.9972985208590398,0.3661277093486038,0.6356076212337634,2,0.011790970917121762,0.23588740199717295,1615207400003237,140.5078276,21.1940455,15.358368873596191,2.670783042907715,14.441541702095055,main_sequence,True,True
74,0.18391431488992038,3,0.04054054054054054,1.9952201329653554,0.9972192489390486,0.20685968716346773,0.6311944155793673,1,0.0,0.18391431488992038,1615208400004320,138.96714475,21.1061469,15.527789115905762,0.885594367980957,0.9231652230117958,main_sequence,True,True
52,0.17872701756242193,4,0.07692307692307693,1.8904543669459475,0.9973228799115235,0.2741967109337209,0.567201579709652,1,0.008582636278381647,0.17872701756242193,1615207400003880,140.0677575,21.11711505,13.592958450317383,0.8598337173461914,1.02653875777015,giant,False,True
75,0.440715159332988,7,0.09333333333333334,2.0636325313321806,0.9972985208590398,0.13863168453903257,0.5200538496823726,1,0.0,0.124040619043008,1615207300004895,139.1816038,21.061214,16.559619903564453,2.546276092529297,5.128501566028444,giant,False,True
75,0.3756165831665256,6,0.08,1.8482521009457051,0.9972192489390486,0.16280686277780712,0.4521939053797702,1,0.0,0.10300331095133974,1615207300004873,139.1752672,21.064024,17.293699264526367,0.8712520599365234,0.38553808984496984,unknown,False,True
