spec_id,wavelength,significance,width_ratio,score,redshift,n_survivors,ra,dec,spectype,data_release,n_lines_in_spectrum,simbad_id,simbad_otype,simbad_sptype,simbad_n_match,candidate_class,hunt_rank,search_mode,nearest_known_line,nearest_line_dv_kms,n_spectra_at_wavelength,triage_verdict,galaxy_z,galaxy_rest_lines
00ac8d30-5e07-11f0-b95a-525400f334e1,6756.161150841544,9.179364551419251,1.380926699358069,0.4799238918330816,0.0041532539762556,2,182.6016,13.17061,STAR,SDSS-DR17,2,KUG 1207+134,AG?,,2.0,ag?,0.4173251233331144,emission,6732.67,1046.0,2,galaxy_zmatch,0.005752382453488858,"Ha6563,[SII]6716"
00ac8d30-5e07-11f0-b95a-525400f334e1,6756.161150841544,9.179364551419251,1.380926699358069,0.4799238918330816,0.0041532539762556,2,182.6016,13.17061,STAR,SDSS-DR17,2,KUG 1207+134,AG?,,2.0,ag?,0.4173251233331144,emission,6732.67,1046.0,2,duplicate,,
07aa3cfa-5e3a-11f0-b81c-525400f334e1,7353.599954754009,8.59138375068541,1.4646507172138945,0.5216363009101851,0.0001828248496167,1,219.75219,22.156463,STAR,SDSS-DR17,3,,,,0.0,unexamined,0.4012586930078347,emission,7360.73,290.4,1,known_line_window,,
04254954-5e34-11f0-89f1-525400f334e1,6599.332342635646,10.006467569941464,1.1572867801137912,0.6383823671016258,0.0001720893051242,3,120.74229,7.291201,STAR,SDSS-DR17,5,,,,0.0,unexamined,0.3989889794385161,emission,6585.27,640.2,1,survives,,
04254954-5e34-11f0-89f1-525400f334e1,6599.332342635646,10.006467569941464,1.1572867801137912,0.6383823671016258,0.0001720893051242,3,120.74229,7.291201,STAR,SDSS-DR17,5,,,,0.0,unexamined,0.3989889794385161,emission,6585.27,640.2,1,duplicate,,
05811e92-5e33-11f0-9c48-525400f334e1,6478.8809526878,8.802036657205672,1.385031274651828,0.5702906904130924,-0.0002375935146119,1,37.955845,23.828541,STAR,SDSS-DR17,4,,,,0.0,unexamined,0.3933039244228223,emission,6496.69,821.8,1,survives,,
07912693-5e32-11f0-af82-525400f334e1,6942.246017141189,12.523544912160167,0.6916184475891534,0.6849294678757494,-4.432609784998931e-05,1,19.960469,24.903417,STAR,SDSS-DR17,6,,,,0.0,unexamined,0.3913882673575711,emission,6950.82,369.8,1,survives,,
078e18a6-5de6-11f0-80aa-525400f334e1,7737.488205148097,8.661762858973857,1.511205439972294,0.5040119986763449,9.060207230504602e-05,1,182.70898,0.44694993,STAR,SDSS-DR17,3,,,,0.0,unexamined,0.3877015374433422,emission,7701.12,1415.8,1,survives,,
01abf68b-5e1f-11f0-9180-525400f334e1,4415.704473533126,8.387113856667147,1.1700577207253406,0.7331894098884917,0.0004153078480158,1,134.61238,4.210062,STAR,SDSS-DR17,7,SDSS J085826.96+041236.2,HB?,F9,1.0,hb?,0.3858891630992062,emission,4416.34,43.1,3,known_line_window,,
06eeea42-5e2a-11f0-a8db-525400f334e1,4263.831169000789,8.545335859643217,1.5187929053382705,0.4991737584632956,-0.000417281553382,1,8.3683655,14.521349,STAR,SDSS-DR17,3,,,,0.0,unexamined,0.3839798142025351,emission,4273.0,643.3,2,survives,,
05ae349a-5def-11f0-89ae-525400f334e1,6743.727297598055,25.71139929459797,1.125823439686232,0.8239622262544389,-0.0003710165037773,2,22.260549,39.406333,STAR,SDSS-DR17,9,Z 521-35,G,,1.0,g,0.3745282846611086,emission,6732.67,492.4,2,galaxy_zmatch,0.027285291525019018,"Ha6563,[NII]6584"
05ae349a-5def-11f0-89ae-525400f334e1,6743.727297598055,25.71139929459797,1.125823439686232,0.8239622262544389,-0.0003710165037773,2,22.260549,39.406333,STAR,SDSS-DR17,9,Z 521-35,G,,1.0,g,0.3745282846611086,emission,6732.67,492.4,2,duplicate,,
04254954-5e34-11f0-89f1-525400f334e1,6663.463144693567,30.3142958965676,1.410782636638632,0.5856953159856619,0.0001720893051242,3,120.74229,7.291201,STAR,SDSS-DR17,5,,,,0.0,unexamined,0.3660595724910387,emission,6662.54,41.5,1,known_line_window,,
04254954-5e34-11f0-89f1-525400f334e1,6663.463144693567,30.3142958965676,1.410782636638632,0.5856953159856619,0.0001720893051242,3,120.74229,7.291201,STAR,SDSS-DR17,5,,,,0.0,unexamined,0.3660595724910387,emission,6662.54,41.5,1,duplicate,,
053cc544-5de7-11f0-9dc3-525400f334e1,3808.9037649813513,9.420748272443662,1.4358533473495898,0.5511504878877322,-0.0005871208268217,1,341.52447,22.111028,STAR,SDSS-DR17,5,Gaia DR3 2836475262174717568,*,,1.0,*,0.3444690549298326,emission,3836.49,2155.7,1,survives,,
05ae349a-5def-11f0-89ae-525400f334e1,6765.501583068967,8.845062680214873,1.0945701839097797,0.6900199082851629,-0.0003710165037773,2,22.260549,39.406333,STAR,SDSS-DR17,9,Z 521-35,G,,1.0,g,0.3136454128568922,emission,6732.67,1461.9,2,galaxy_zmatch,0.027285291525019018,"Ha6563,[NII]6584"
05ae349a-5def-11f0-89ae-525400f334e1,6765.501583068967,8.845062680214873,1.0945701839097797,0.6900199082851629,-0.0003710165037773,2,22.260549,39.406333,STAR,SDSS-DR17,9,Z 521-35,G,,1.0,g,0.3136454128568922,emission,6732.67,1461.9,2,duplicate,,
03f76ac0-5e00-11f0-beda-525400f334e1,4281.539943374177,9.616320673532655,1.4247511476052688,0.5606300091741847,0.000540509878192,1,260.86218,-12.725423,STAR,SDSS-DR17,7,,,,0.0,unexamined,0.2950684258811498,emission,4273.0,599.2,1,survives,,
06371fde-5de5-11f0-8630-525400f334e1,5011.872336272725,8.2610410619937,1.4067683734027616,0.4128320739500407,-0.0001278167183045,3,223.85688,-0.29795128,STAR,SDSS-DR17,4,2MASS J14552564-0017526,LM*,M4V,1.0,lm*,0.2847117751379591,emission,5008.24,217.4,1,known_line_window,,
0556e064-5e32-11f0-8613-525400f334e1,8859.312069730528,8.119021666812936,1.2275997041689444,0.5814491000133403,1.632501880521886e-05,2,49.405689,17.162296,STAR,SDSS-DR17,8,,,,0.0,unexamined,0.2836337073235806,emission,8865.23,200.1,1,known_line_window,,
04254954-5e34-11f0-89f1-525400f334e1,8733.734791423198,14.77367430557088,1.5445225882498508,0.4466112956123578,0.0001720893051242,3,120.74229,7.291201,STAR,SDSS-DR17,5,,,,0.0,unexamined,0.2791320597577236,emission,8752.9,656.4,1,survives,,
04254954-5e34-11f0-89f1-525400f334e1,8733.734791423198,14.77367430557088,1.5445225882498508,0.4466112956123578,0.0001720893051242,3,120.74229,7.291201,STAR,SDSS-DR17,5,,,,0.0,unexamined,0.2791320597577236,emission,8752.9,656.4,1,duplicate,,
06bd6aad-5e3a-11f0-b056-525400f334e1,4479.19531254284,8.058537585150319,1.452518319189808,0.5169986405227678,2.945511914731469e-05,1,12.125602,-0.15907795,STAR,SDSS-DR17,7,SDSS J004830.14-000932.6,*,K5,1.0,*,0.272104547643562,emission,4472.75,432.0,1,survives,,
040c27a8-5e0b-11f0-bb1d-525400f334e1,5422.505485172428,9.48251273705858,1.535436794092993,0.5109799335369523,-4.9436872359365225e-05,1,193.76644,23.230064,STAR,SDSS-DR17,8,2MASX J12550402+2313480,G,,1.0,g,0.2492585041643669,emission,5436.01,744.8,1,survives,,
04206018-5e37-11f0-9624-525400f334e1,5445.026528424209,9.061878077644078,1.4736662078331222,0.5263239930453267,8.32312653074041e-05,1,357.70743,-0.849064,STAR,SDSS-DR17,9,2MASS J23504978-0050564,LM*,M4V,1.0,lm*,0.2392381786569666,emission,5448.41,186.2,1,known_line_window,,
069b6c28-5e32-11f0-b03b-525400f334e1,4483.322704327333,8.136046262597084,1.2404230797990363,0.670948057181078,-0.0006480477168224,1,48.444681,18.080851,STAR,SDSS-DR17,14,SDSS J031346.72+180451.0,RG*,KIII,1.0,rg*,0.2274400193834162,emission,4472.75,708.7,3,recurrent_across_runs,,
068839f0-5e19-11f0-8675-525400f334e1,7517.95981512007,31.94121287511708,1.0684584520886964,0.8353361063694316,-0.0001167495429399,3,25.621215,-8.241701,STAR,SDSS-DR17,19,,,,0.0,unexamined,0.2257665152349815,emission,7591.09,2888.1,1,galaxy_zmatch,0.14522565927299103,"Ha6563,[NII]6584"
068839f0-5e19-11f0-8675-525400f334e1,7517.95981512007,31.94121287511708,1.0684584520886964,0.8353361063694316,-0.0001167495429399,3,25.621215,-8.241701,STAR,SDSS-DR17,19,,,,0.0,unexamined,0.2257665152349815,emission,7591.09,2888.1,1,duplicate,,
040978dd-5e00-11f0-8bdd-525400f334e1,4223.767459498086,10.046892330512213,1.5814213965037047,0.5086472197215419,0.0004238188557792,1,260.79888,-13.21442,STAR,SDSS-DR17,10,,,,0.0,unexamined,0.2164456254134221,emission,4227.89,292.3,2,known_line_window,,
05249b7c-5e3a-11f0-9acb-525400f334e1,3883.291570049549,8.205484930040587,1.4933895402461006,0.501836706382782,0.0001214023650391,1,189.9192,24.264955,STAR,SDSS-DR17,10,,,,0.0,unexamined,0.2135475346309711,emission,3890.2,532.4,3,recurrent_across_runs,,
019819d0-5e33-11f0-96e9-525400f334e1,8578.275698828089,14.684204780747876,1.3391396228158663,0.55250080633844,-0.0004279093700461,3,36.270252,24.174448,STAR,SDSS-DR17,12,,,,0.0,unexamined,0.2084908703163924,emission,8600.76,783.7,1,survives,,
000eacd4-5e1e-11f0-9ded-525400f334e1,3923.7379954486046,9.146443569503544,1.3752726846745378,0.583145948243807,-0.0001502136146882,1,228.27775,6.679856,STAR,SDSS-DR17,13,,,,0.0,unexamined,0.2082664100870739,emission,3934.78,841.3,3,recurrent_across_runs,,
0404a7ee-5e2a-11f0-aba0-525400f334e1,4413.671434634397,8.68765927936654,1.211220167978509,0.7061810096224657,0.0002086702006636,1,9.8541874,14.01082,STAR,SDSS-DR17,17,SDSS J003925.00+140038.9,*,,1.0,*,0.207700296947784,emission,4416.34,181.1,3,known_line_window,,
061d282b-5e19-11f0-8bc8-525400f334e1,3883.291570049549,9.723714727072837,1.2715982948132791,0.6738069826178837,6.864807073725387e-05,1,25.69868,-9.191125,STAR,SDSS-DR17,16,,,,0.0,unexamined,0.2073252254208873,emission,3890.2,532.4,3,recurrent_across_runs,,
07a676c5-5e27-11f0-a9ca-525400f334e1,4214.053063912862,8.54883732917715,1.4518739359038122,0.5269346723796953,-3.276614370406605e-05,1,92.123125,24.235861,STAR,SDSS-DR17,12,NGC  2168   608,*,,1.0,*,0.1988432725961114,emission,4227.89,981.2,2,survives,,
