name,reference,atmosphere,teff,n_measured,pair,obs_log_ratio,sigma,env_lo,env_hi,phase_lo,phase_hi,env_lo_total,env_hi_total,z_pair,exceeds,phase_constraint,rest_p_naive,rest_natural,rest_t_dec_max,kills,survives
WD 1145+017,Fortin-Archambault 2020,He,14500.0,12,Ti/Al,-1.6800000000000006,0.32015621187164245,-3.20816,-0.2559999999999998,-0.25407915421381366,-0.0022284688181548606,-3.4622391542138136,-0.25822846881815464,0.0,False,rest_of_panel_fit,0.9996417878926561,True,0.0003,,False
WD 1145+017,Fortin-Archambault 2020,He,14500.0,12,Ca/Al,-0.11000000000000032,0.32015621187164245,-0.7495637114076302,2.974,-0.17802966290342864,-0.0010304061523094266,-0.9275933743110589,2.972969593847691,0.0,False,rest_of_panel_fit,0.9998527265302803,True,0.0004,,False
WD 1145+017,Fortin-Archambault 2020,He,14500.0,12,Mn/Cr,-0.6500000000000004,0.47169905660283024,-1.9505686235523725,1.9059999999999997,-0.05891008640256251,0.01757664570361772,-2.009478709954935,1.9235766457036174,0.0,False,rest_of_panel_fit,0.999996861543806,True,0.0002,,False
WD 1145+017 (Opt),Le Bourdais 2024,He,15500.0,11,Ti/Al,-1.4800000000000004,0.3721558813185679,-3.20816,-0.2559999999999998,-0.3491320618365289,-0.0007428355263427999,-3.5572920618365287,-0.2567428355263426,0.0,False,rest_of_panel_fit,0.9993386181394736,True,1.229,,False
WD 1145+017 (Opt),Le Bourdais 2024,He,15500.0,11,Ca/Al,0.27000000000000046,0.4387482193696061,-0.7495637114076302,2.974,-0.25967578153988113,-0.0003433678856057387,-1.0092394929475113,2.9736566321143947,0.0,False,rest_of_panel_fit,0.9997261734455996,True,1.229,,False
WD 1145+017 (Opt),Le Bourdais 2024,He,15500.0,11,Mn/Cr,-0.7199999999999998,0.45088801270381984,-1.9505686235523725,1.9059999999999997,-0.2748581762620185,0.08201133969737173,-2.225426799814391,1.9880113396973713,0.0,False,rest_of_panel_fit,0.9979222011986639,True,1.229,,False
WD 1145+017 (UV),Le Bourdais 2024,He,15500.0,10,Ni/Co,0.8099999999999996,0.4635730794599704,-1.2030000000000003,2.324,-0.290111346532967,0.2046313531285533,-1.4931113465329673,2.528631353128553,0.0,False,rest_of_panel_fit,0.9982225101019109,True,1.229,,False
WD 1232+563,Xu 2019,He,11787.0,8,Mn/Cr,-0.379999999999999,0.17291616465790582,-1.9505686235523725,1.9059999999999997,-0.32453319831954097,0.09670350213107382,-2.2751018218719135,2.0027035021310735,0.0,False,rest_of_panel_fit,0.7711107199687224,True,1.3899,,False
G149-28,Zuckerman 2011,H,8600.0,6,Ti/Al,-1.3100000000000005,0.24392621835300937,-3.20816,-0.2559999999999998,-0.15973889865007607,-0.00036898734378043585,-3.367898898650076,-0.2563689873437802,0.0,False,rest_of_panel_fit,0.865505896419583,True,0.8129,,False
G149-28,Zuckerman 2011,H,8600.0,6,Ca/Al,0.13000000000000078,0.23706539182259395,-0.7495637114076302,2.974,-0.01999999999990542,0.07999999999911633,-0.7695637114075357,3.0539999999991165,0.0,False,rest_of_panel_fit,0.8320112606328702,True,0.8354,,False
G238-44,Johnson 2022,H,20546.0,10,Ca/Al,0.4800000000000004,0.21610182784974308,-0.7495637114076302,2.974,-0.07064543030725778,-0.00033664491866991497,-0.820209141714888,2.9736633550813303,0.0,False,rest_of_panel_fit,0.43022113070921697,True,0.1118,,False
WD1536+520,Farihi 2016,He,20800.0,8,Ti/Al,-1.46,0.32015621187164245,-3.20816,-0.2559999999999998,-0.14142618596978151,-0.0007282933878154374,-3.3495861859697813,-0.2567282933878152,0.0,False,rest_of_panel_fit,0.7183872623989968,True,0.0781,,False
WD1536+520,Farihi 2016,He,20800.0,8,Ca/Al,0.09999999999999964,0.32015621187164245,-0.7495637114076302,2.974,-0.09288113123374235,-0.00033664491866991497,-0.8424448426413725,2.9736633550813303,0.0,False,rest_of_panel_fit,0.4913981259778277,True,0.0781,,False
WD 1551+175,Xu 2019,He,14756.0,9,Ti/Al,-1.6899999999999995,0.2389560629069704,-3.20816,-0.2559999999999998,-0.16189139062012353,-0.028116097199189005,-3.3700513906201235,-0.2841160971991888,0.0,False,rest_of_panel_fit,0.994705418468068,True,0.3419,,False
WD 1551+175,Xu 2019,He,14756.0,9,Ca/Al,0.0600000000000005,0.22338307903688676,-0.7495637114076302,2.974,-0.22479808716384786,-0.00041393552441704173,-0.9743617985714781,2.973586064475583,0.0,False,rest_of_panel_fit,0.9995053967287666,True,1.171,,False
WD 1551+175,Xu 2019,He,14756.0,9,Mn/Cr,-0.4900000000000002,0.17291616465790582,-1.9505686235523725,1.9059999999999997,-0.23296977883808156,0.06956122110309226,-2.183538402390454,1.975561221103092,0.0,False,rest_of_panel_fit,0.8969697858520447,True,0.8354,,False
WD2115-560,Swan 2019,H,9600.0,5,Ca/Al,0.1999999999999993,0.20615528128088303,-0.7495637114076302,2.974,-0.5939156321495607,-0.0003433678856057387,-1.343479343557191,2.9736566321143947,0.0,False,rest_of_panel_fit,0.9999999733368135,True,2.6905,,False
WD J2141-3300,O'Brien 2024,He,6870.0,10,Ti/Al,-1.5,0.35,-3.20816,-0.2559999999999998,-0.5467155193449382,-0.07936530292324018,-3.754875519344938,-0.33536530292323996,0.0,False,rest_of_panel_fit,0.913206669500171,True,1.8017,,False
WD J2141-3300,O'Brien 2024,He,6870.0,10,Ca/Al,-0.40000000000000036,0.35,-0.7495637114076302,2.974,-0.27850019814083116,-0.03668043156859846,-1.0280639095484614,2.937319568431402,0.0,False,rest_of_panel_fit,0.949808333641527,True,1.7371,,False
WD J2141-3300,O'Brien 2024,He,6870.0,10,Sr/Ca,-3.1999999999999993,0.35,-3.643570101466785,-2.4167023662701723,-0.8849548933521949,-0.08821714121322621,-4.52852499481898,-2.5049195074833985,0.0,False,rest_of_panel_fit,0.9138107523287352,True,1.7371,,False
WD2207+121,Xu 2019,He,14752.0,10,Ti/Al,-1.7599999999999998,0.2541653005427767,-3.20816,-0.2559999999999998,-0.3566851535441471,-0.0008954717987956773,-3.564845153544147,-0.25689547179879546,0.0,False,rest_of_panel_fit,0.9997513175228446,True,1.3899,,False
WD2207+121,Xu 2019,He,14752.0,10,Ca/Al,-0.3200000000000003,0.22671568097509268,-0.7495637114076302,2.974,-0.24069110967316804,-0.00041393552441704173,-0.9902548210807982,2.973586064475583,0.0,False,rest_of_panel_fit,0.9997434837278921,True,1.1866,,False
WD2207+121,Xu 2019,He,14752.0,10,Mn/Cr,-0.33999999999999986,0.25495097567963926,-1.9505686235523725,1.9059999999999997,-0.32809908995910275,0.09769826818553118,-2.2786677135114752,2.0036982681855307,0.0,False,rest_of_panel_fit,0.9991849518020178,True,1.8017,,False
WD J0808-5300,O'Brien 2023,H,4910.0,6,Ca/Al,-0.20000000000000107,0.15427248620541512,-0.7495637114076302,2.974,-0.41434714339954054,-0.012600433043161219,-1.1639108548071708,2.961399566956839,0.0,False,rest_of_panel_fit,0.9984469572086744,True,2.5715,,False
WD2157-574,Swan 2019,H,7010.0,6,Ca/Al,0.0,0.20615528128088303,-0.7495637114076302,2.974,-0.4227511416245431,-0.0003568728239748964,-1.1723148530321734,2.9736431271760253,0.0,False,rest_of_panel_fit,0.9999976815937066,True,2.3873,,False
