name,reference,atmosphere,teff,n_measured,flag,element,fired,z,phase_constraint,note,kills,survives
HS 0209+0832,Wolff 2000,H,35900.0,7,ALLOY_TI_AL_V_WITHOUT_FE,,False,0.0,rest_of_panel_fit,,,
HS 0209+0832,Wolff 2000,H,35900.0,7,PURE_SI_WITHOUT_O_MG_FE,,False,17.598448598967448,rest_of_panel_fit,,,
HS 0209+0832,Wolff 2000,H,35900.0,7,CU_ZN_SN_PB_ENRICHED,Zn,False,0.0,rest_of_panel_fit,,,
HS2253+8023,Klein 2011,He,14000.0,9,PURE_SI_WITHOUT_O_MG_FE,,False,0.0,rest_of_panel_fit,,,
HS2253+8023,Klein 2011,He,14000.0,9,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
HS2253+8023,Klein 2011,He,14400.0,9,PURE_SI_WITHOUT_O_MG_FE,,False,0.0,rest_of_panel_fit,,,
HS2253+8023,Klein 2011,He,14400.0,9,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
HS2253+8023,Klein 2011,He,14800.0,9,PURE_SI_WITHOUT_O_MG_FE,,False,0.0,rest_of_panel_fit,,,
HS2253+8023,Klein 2011,He,14800.0,9,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J051212.78-050503.4,Hollands 2017,He,5563.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
SDSS J082303.82+054656.1,Hollands 2017,He,6019.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
J0848,Swan 2023,He,11700.0,6,PURE_SI_WITHOUT_O_MG_FE,,False,0.0,rest_of_panel_fit,,,
J0848,Swan 2023,He,11700.0,6,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
J0939,Swan 2023,He,9020.0,6,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
J1227,Swan 2023,He,7420.0,6,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
J1313,Swan 2023,He,8800.0,5,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
J1618,Swan 2023,He,9870.0,8,FE_MG_BELOW_MANTLE,,False,0.0,rest_of_panel_fit,,,
NLTT 43806,Zuckerman 2011,H,5900.0,9,ALLOY_TI_AL_V_WITHOUT_FE,,False,0.0,rest_of_panel_fit,,,
