name,reference,atmosphere,teff,n_measured,n_limits,elements,p_misfit,p_misfit_full,p_misfit_meteorite,meteorite_cal_status,n_bodies_covering_panel,chi2,chi2_per_dof,p_naive,phase,t_dec,dominant_endmember,dominant_weight,t_cut_K,depth_dex,max_abs_residual_sigma,worst_element,misfit_class,per_element_worst,per_element_worst_p,per_element_worst_p_corrected,n_sources,trace_measured,n_pairs_exceeding,n_flags_fired,errors_assumed
WD2157-574,Swan 2019,H,7010.0,6,3,Mg Al Si Ca Fe Ni,0.9139072847682119,,,,,0.2967036828039903,0.05934073656079806,0.9977046217032035,early,0.0,Moon_BSM,0.3876759673705403,650.5254376404968,0.00017345442213649077,0.41626405612921397,Ca,NATURAL,,,,5,,0,0,
SDSS J161603.00+330301.3,Hollands 2017,He,6400.0,6,0,Na Mg Ca Ti Cr Fe,0.9139072847682119,,0.9215686274509803,OK,973.0,0.11484604972032707,0.022969209944065413,0.9997717775781498,early,0.0,bulk_Earth,0.4437717723618969,705.6599367525013,3.339249745130305,0.20399076998944565,Ca,NATURAL,Mg,0.47019867549668876,1.0,4,,0,0,Na Mg Ca Ti Cr Fe
SDSS J093719.14+522802.2,Hollands 2017,He,6600.0,5,0,Na Mg Ca Cr Fe,0.9139072847682119,,,,,0.029717545689633577,0.007429386422408394,0.9998906958878206,building,0.0,EL,0.23453262262894525,737.8046979277747,2.943463372232206,0.14239889148043064,Mg,NATURAL,,,,1,,0,0,Na Mg Ca Cr Fe
SDSS J143007.15-015129.5,Hollands 2017,He,6150.0,6,0,Na Mg Ca Ti Cr Fe,0.9205298013245033,,0.9607843137254902,OK,973.0,0.12818258962190027,0.025636517924380053,0.9997010626297445,early,0.0001855152873120809,Mars_BSM,0.47432853160579186,910.6400491868988,0.0011988224369089123,0.2560267503128242,Ti,NATURAL,Na,0.3841059602649007,1.0,9,,0,0,Na Mg Ca Ti Cr Fe
SDSS J085217.60+340211.3,Hollands 2017,He,5580.0,5,0,Na Mg Ca Cr Fe,0.9205298013245033,,0.9607843137254902,OK,1014.0,0.016301692048223793,0.004075423012055948,0.9999669618080127,early,0.0,Vesta_eucrite,0.2840850045974083,676.3988538550232,0.00016911682036455176,0.09078883773266135,Cr,NATURAL,Na,0.7483443708609272,1.0,6,,0,0,Na Mg Ca Cr Fe
SDSS J124231.07+522626.6,Raddi 2015,He,13000.0,8,10,O Na Mg Si Ca Ti Cr Fe,0.9271523178807947,,0.9411764705882353,OK,814.0,2.707764993965903,0.3868235705665576,0.9106572796959206,declining,1.8452478453598222,L,0.3985598047291343,830.0090298772827,2.6859561585098235,0.8803539424802868,Ca,NATURAL,Ca,0.33112582781456956,1.0,4,,0,0,
SDSS J225448.83+303107.1,Hollands 2017,He,5900.0,5,0,Na Mg Ca Cr Fe,0.9337748344370861,,0.9803921568627451,OK,1014.0,0.013269603071279853,0.0033174007678199633,0.9999780868184552,declining,0.11789675514624168,EL,0.37423232555409636,196.6278578102499,3.238758464930326,0.09643033981113774,Mg,NATURAL,Ca,0.609271523178808,1.0,4,,0,0,Na Mg Ca Cr Fe
Ton 345,Jura 2015,He,18700.0,11,1,C O Mg Al Si Ca Ti Cr Mn Fe Ni,0.9403973509933775,,0.9607843137254902,OK,222.0,1.889516187045091,0.1889516187045091,0.997118911190128,early,0.0005909452026497046,bulk_Earth,0.5652146606259586,306.12589211438905,-1.1870308637967508,0.6786503395974786,Ti,NATURAL,Ti,0.37748344370860926,1.0,8,,0,0,
J0939,Swan 2023,He,9020.0,6,7,Mg Ca Ti Cr Fe Ni,0.9403973509933775,,0.9607843137254902,OK,832.0,0.20633927548484637,0.04126785509696927,0.9990441171961597,declining,0.5223631866217746,CO,0.3309831618441589,13.597158600350873,1.2790712711540022,0.3151189365567738,Ti,NATURAL,Ti,0.5033112582781457,1.0,10,,0,0,
WD2207+121,Xu 2019,He,14752.0,10,0,O Mg Al Si Ca Ti Cr Mn Fe Ni,0.9536423841059603,,1.0,OK,772.0,0.6968472756663793,0.07742747507404214,0.9998748482855051,building,0.000250099035711178,LL,0.43500340871052096,1198.1645127343374,0.32538621265708634,0.45571270045205264,Al,NATURAL,,,,9,,0,0,
SDSS J101451.15+282701.6,Hollands 2017,He,6250.0,6,0,Na Mg Ca Ti Cr Fe,0.9536423841059603,,,,,0.07305047849767098,0.014610095699534194,0.9999252537996014,early,0.0,EL,0.26727799199699426,174.91829125762862,-2.2151271184792292e-05,0.20866142472390659,Cr,NATURAL,,,,10,,0,0,Na Mg Ca Ti Cr Fe
SDSS J141140.27+341039.4,Hollands 2017,He,5480.0,5,0,Na Mg Ca Cr Fe,0.9602649006622517,,0.9607843137254902,OK,1014.0,0.0028436572870116513,0.0007109143217529128,0.999998990159265,early,9.142402603920016e-05,EL,0.4545698626199576,830.9595819563708,3.2925277744059844,0.041012217131909334,Cr,NATURAL,Na,0.8807947019867549,1.0,6,,0,0,Na Mg Ca Cr Fe
SDSS J133059.26+302953.2,Hollands 2017,He,6100.0,7,0,Na Mg Ca Ti Cr Fe Ni,0.9668874172185431,,1.0,OK,830.0,0.07279990260791423,0.01213331710131904,0.999992178217326,early,0.0,water_ice,0.31882579365208685,156.96772634606762,-0.0001669386785550312,0.2062709038607283,Ti,NATURAL,Ti,0.6754966887417219,1.0,15,,0,0,Na Mg Ca Ti Cr Fe Ni
G29-38,Xu 2014,H,11820.0,8,6,C O Mg Si Ca Ti Cr Fe,0.9735099337748344,,,,,0.4711308280890851,0.06730440401272644,0.9995454731998852,building,0.0,Vesta_eucrite,0.2853938651069165,873.7331888043707,-0.00042896893994482364,0.4076486331174422,Mg,NATURAL,,,,6,,0,0,
SDSS J122035.75+092948.1,Hollands 2017,He,6640.0,5,0,Na Mg Ca Cr Fe,0.9735099337748344,,,,,0.008702253638629377,0.0021755634096573442,0.9999905612619018,early,0.0,Mars_BSM,0.5150378575495895,1346.0463602613033,-0.18630179653589524,0.06780114564798491,Mg,NATURAL,,,,1,,0,0,Na Mg Ca Cr Fe
G29-38,Xu 2014,H,11820.0,8,6,C O Mg Si Ca Ti Cr Fe,0.9801324503311258,,1.0,OK,242.0,0.5062987291093961,0.07232838987277088,0.9994230895814058,early,0.0,Mars_BSM,0.30624038870420933,253.26830521163595,0.00031818288562168853,0.5314689611210238,Mg,NATURAL,Mg,0.2913907284768212,1.0,14,,0,0,
SDSS J152449.58+404938.1,Hollands 2017,He,5900.0,5,0,Na Mg Ca Cr Fe,0.9801324503311258,,1.0,OK,1014.0,0.0009068907094329868,0.0002267226773582467,0.9999998972247279,early,0.0,CHON_organics,0.2701068181180789,48.90087252953386,-0.3666407220968305,0.02209081730824925,Fe,NATURAL,Na,0.8211920529801324,1.0,8,,0,0,Na Mg Ca Cr Fe
SDSS J091621.36+254028.4,Hollands 2017,He,5378.0,6,0,Na Mg Ca Ti Cr Fe,0.9933774834437086,,1.0,OK,973.0,0.02497310846331291,0.004994621692662582,0.9999948041286537,early,0.0,crust_cont,0.18316187017250157,1101.5696626277684,1.8339258289465197,0.10228684545911688,Fe,NATURAL,Na,0.7880794701986755,1.0,8,,0,0,Na Mg Ca Ti Cr Fe
