kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_period_err1,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_ingress,koi_dor,koi_steff,koi_slogg,koi_srad,koi_kepmag,ra,dec,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_tce_delivname,koi_count,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,tic_id,tic_route,has_ephemeris,has_depth,long_period
8890783,K00464.01,Kepler-561 b,CONFIRMED,CANDIDATE,58.362058,4.095e-05,5374.7,20.6,-20.6,0.06741,0.00251,-0.001011,0.402,0.045,-0.319,6.3363,0.0508,-0.0508,,69.6,5592,4.467,0.953,14.361,293.7471,45.10722,0,0,0,0,q1_q17_dr25_tce,2,-4.095e-05,196.55541,0.000432,-0.000432,2.7070043e+08,name_planet,True,True,True
8890783,K00464.02,Kepler-561 c,CONFIRMED,CANDIDATE,5.3501561,4.542e-06,764.8,9.9,-9.9,0.024953,0.000492,-0.000217,0.008,0.349,-0.008,2.2647,0.0215,-0.0215,,18.507,5592,4.467,0.953,14.361,293.7471,45.10722,0,0,0,0,q1_q17_dr25_tce,2,-4.542e-06,195.76135,0.000626,-0.000626,2.7070043e+08,name_planet,True,True,False
8890924,K04269.01,Kepler-1993 b,CONFIRMED,CANDIDATE,26.656574,0.0002052,163.4,9.4,-9.4,0.012413,0.002772,-0.000981,0.686,0.242,-0.48,4.954,0.173,-0.173,,30.6,5159,3.604,3.062,13.263,293.79684,45.160728,0,0,0,0,q1_q17_dr25_tce,2,-0.0002052,131.59433,0.00685,-0.00685,2.7070034e+08,name_planet,True,True,False
8890924,K04269.02,,CANDIDATE,CANDIDATE,4.4408541,0.0001096,33.9,3.7,-3.7,0.005195,0.000387,-0.000325,0.005,0.458,-0.005,8.083,0.717,-0.717,,4.26,5159,3.604,3.062,13.263,293.79684,45.160728,0,0,0,0,q1_q17_dr25_tce,2,-0.0001096,135.2744,0.0166,-0.0166,2.7070034e+08,name_host,True,True,False
8891684,K05581.01,Kepler-1634 b,CONFIRMED,CANDIDATE,374.87813,0.007791,914.6,48.1,-48.1,0.028862,0.00681,-0.00168,0.626,0.311,-0.394,10.556,0.401,-0.401,,221.6,5636,4.218,1.354,14.508,294.0434,45.139778,0,0,0,0,q1_q17_dr25_tce,1,-0.007791,491.064,0.00929,-0.00929,2.7085729e+08,name_planet,True,True,True
8892157,K02224.01,Kepler-1149 b,CONFIRMED,CANDIDATE,3.7309003,1.5e-05,191.2,9.2,-9.2,0.014249,0.000187,-0.001775,0.822,0.017,-0.567,2.9095,0.0933,-0.0933,,5.89,5709,4.489,0.95,14.966,294.18927,45.151581,0,0,0,0,q1_q17_dr25_tce,2,-1.5e-05,132.89428,0.00342,-0.00342,2.7085727e+08,name_planet,True,True,False
8892157,K02224.02,,CANDIDATE,CANDIDATE,86.130534,0.008076,285.2,74,-74,0.015395,0.001807,-0.002752,0.072,0.4858,-0.0717,3.321,0.661,-0.661,,200.5,5830,4.54,0.876,14.966,294.18927,45.151581,0,0,0,0,,2,-0.008076,200.9117,0.0224,-0.0224,2.7085727e+08,name_host,True,True,True
8892303,K02688.01,Kepler-1314 b,CONFIRMED,CANDIDATE,5.4247493,3.898e-06,7680,122,-122,0.079794,0.001772,-0.000732,0.016,0.354,-0.016,1.139,0.0232,-0.0232,,39.29,4137,4.658,0.591,16.406,294.23764,45.197105,0,0,0,0,q1_q17_dr25_tce,1,-3.898e-06,133.72895,0.000713,-0.000713,2.7095526e+08,name_planet,True,True,False
8894646,K02641.01,,CANDIDATE,CANDIDATE,3.5555792,2.357e-05,60.4,4.5,-4.5,0.007131,0.000319,-0.000348,0.269,0.187,-0.269,3.24,0.159,-0.159,,8.16,5839,4.337,1.082,13.845,294.99585,45.119579,0,0,0,0,q1_q17_dr25_tce,1,-2.357e-05,132.75203,0.00535,-0.00535,,,True,True,False
8895758,K03106.01,Kepler-1427 b,CONFIRMED,CANDIDATE,0.96898078,6.407e-06,118.5,11.1,-11.1,0.009916,0.00059,-0.000561,0.065,0.392,-0.065,1.517,0.147,-0.147,,4.9539,5866,4.473,1,15.415,295.34967,45.114552,0,0,0,0,q1_q17_dr25_tce,1,-6.407e-06,132.41921,0.00605,-0.00605,2.7166535e+08,name_planet,True,True,False
