kepoi_name,kepler_name,kepid,tic_id,tic_route,koi_disposition,class,vetoes,flags_classify,koi_period,koi_depth,koi_depth_in_tess_band_ppm,pdc_depth_ppm,pdc_total_err_ppm,pdc_z,pdc_z_pop,pdc_ratio,sap_depth_ppm,sap_total_err_ppm,sap_z,sap_z_pop,sap_ratio,sap_minus_pdcsap_z,background_direction,pdc_odd_even_sigma,sap_odd_even_sigma,duration_verdict,z_duration,t14_ratio_observed,t14_ratio_expected_fixed_b,epoch_offset_minutes,epoch_offset_sigma,epoch_search_snr_best,pdc_n_transits,sap_n_transits,pdc_sector_list,pdc_authors,pdc_exptimes_s,pdc_depth_reduction_spread_ppm,sap_depth_reduction_spread_ppm,pdc_sector_scatter_chi2_per_dof,ra,dec,shard
K05653.01,,9300066,274019503,tic_kic_crossid,CANDIDATE,not_measured,,,188.6641,960,913.76175,,,,,,,,,,,,,,,inconclusive,,,,0,,,0,0,"41,81,82",SPOC,120,,,,298.3862,45.764229,2
K03313.01,,9571186,164416500,tic_kic_crossid,CANDIDATE,not_measurable,,,34.952426,677,905.16422,-768.83704,1592.2758,-1.0498634,-0.30211531,-0.84938956,-447.77524,1186.8985,-1.1370452,-0.30157575,-0.4946895,,,,0.67311402,inconclusive,,0.78321801,,0,,1.3602005,3,4,"75,80,81,82",SPOC,120,,,3.7298787,283.04764,46.265331,2
K01938.01,Kepler-1020 b,9651234,63362217,name_planet,CONFIRMED,not_measurable,,,96.915171,862.8,839.9601,662.20935,1234.8167,-0.1438503,-0.11075904,0.78838192,696.54785,1311.6259,-0.10927278,-0.030260894,0.82926302,,,0.94071785,1.1163333,fixed_b,0.22035861,1.0310142,0.9958585,0,,1.4578704,2,2,"14,15,40,41,54,55,74,75,81",QLP,"1800,200,600",,,0.88495008,292.67255,46.377419,2
K05707.01,,9723746,272838001,tic_kic_crossid,CANDIDATE,not_measured,,,208.80073,594,575.75657,,,,,,,,,,,,,,,inconclusive,,,,0,,,0,0,"81,82",SPOC,120,,,,296.94031,46.494099,2
K00951.02,Kepler-258 c,9775938,270854411,tic_kic_crossid_over_name_planet,CONFIRMED,not_measurable,,,33.652847,1140.8,1112.6253,4237.0087,3147.5846,0.99243217,0.18303266,3.8081182,3992.8282,2382.1999,2.1322121,0.55853964,3.5886548,-0.14782313,PDC_DEEPER_THAN_SAP,,,inconclusive,,,,0,,1.4606364,1,1,"81,82",SPOC,120,1221.7484,1326.2696,,294.06848,46.57933,2
K00593.02,Kepler-616 c,9958962,271355361,tic_kic_crossid_over_name_planet,CONFIRMED,not_measurable,,,90.411799,1265,1289.6835,-198.07281,2189.3029,-0.6791607,-0.22096269,-0.15358249,-103.86599,713.73985,-1.941824,-0.51614846,-0.080536034,,,,,inconclusive,,2.5,,0,,0.59457796,1,1,"81,82",SPOC,120,,,,294.98914,46.838329,2
K00593.03,Kepler-616 d,9958962,271355361,tic_kic_crossid_over_name_planet,CONFIRMED,not_measurable,,,51.067436,597.5,582.4435,-1802.0737,3037.979,-0.78481887,-0.19903526,-3.0939888,-498.3991,925.57289,-1.1664176,-0.30902367,-0.85570377,,,,,inconclusive,,0.59497766,,0,,1.4371204,1,1,"81,82",SPOC,120,,,,294.98914,46.838329,2
K00593.04,,9958962,271355361,tic_kic_crossid_over_name_planet,CANDIDATE,not_measurable,,,240.19281,605.8,612.46097,-1226.7261,1846.5423,-0.99544499,-0.26263067,-2.0029458,-166.69263,707.75903,-1.0965937,-0.29113635,-0.27216857,-0.92508625,PDC_DEEPER_THAN_SAP,,,inconclusive,,2.0187723,,0,,2.075739,1,1,"81,82",SPOC,120,,,,294.98914,46.838329,2
K04902.01,,10000162,158211095,tic_kic_crossid,CANDIDATE,not_measurable,,,409.38645,531.5,505.72856,-3510.1602,1609.8335,-2.4912451,-0.59782933,-6.9407987,-1841.1401,879.58828,-2.6561858,-0.70177634,-3.6405697,,,,,inconclusive,,0.69314484,,0,,0.48115835,1,1,"80,81,82",SPOC,120,,,,286.33545,46.917831,2
K04519.01,,10003058,158661445,tic_kic_crossid,CANDIDATE,not_measured,,,148.56888,404.4,390.49945,,,,,,,,,,,,,,,inconclusive,,,,0,,,0,0,"80,81,82",SPOC,120,,,,288.01013,46.978519,2
