source_id,ra,dec,vim_d_ra,vim_d_ra_error,vim_d_dec,vim_d_dec_error,role,expected,phot_g_mean_mag,ruwe
3045469569092807296,108.79560377578062,-11.360882836443453,8.614289739951976,0.47396407,3.9367117003852647,0.37124455,VIM_POSITIVE,BLEND,,
2056049296133443968,307.344182760988,33.92815603863901,-2.1201119577257743,0.1882061,-6.80749504478264,0.20901151,VIM_POSITIVE,BLEND,,
1905860886853653504,336.8923451360457,36.201604147324495,-3.968735780097249,0.123906575,2.4143287278378147,0.132082,VIM_POSITIVE,BLEND,,
5241013905460293888,165.910648674619,-62.72962376863984,9.98554920098481,0.48921454,-14.366184590644604,0.48034486,VIM_POSITIVE,BLEND,,
3415163345861964288,76.68076158368778,21.8192152197192,1.3036665534766045,0.2219697,2.6699389447070643,0.12747125,VIM_POSITIVE,BLEND,,
2487033390076742656,35.34323716640672,-6.458236876186883,12.221785776625754,6.1138015,4.655896745720479,3.0222392,VIM_POSITIVE,BLEND,,
5259183713055589376,149.00021236590308,-57.816966846225505,8.766916493328699,0.32671916,10.3177868057951,0.33063126,VIM_POSITIVE,BLEND,,
1825340935977567104,294.80070958592813,19.767365961668613,3.0087633613775706,0.23464584,-2.545044224452329,0.2284672,VIM_POSITIVE,BLEND,,
6023373087817480832,243.4760119714571,-34.248371141837886,-6.441037251528474,0.30589277,-0.0968719650655935,0.11226348,VIM_POSITIVE,BLEND,,
3845907677561927424,140.18402752441193,3.807623487172923,10.329788147809468,1.4308418,11.230409618479168,2.5591664,VIM_POSITIVE,BLEND,,
611722571242554112,132.52928876243575,16.861029312755665,8.14483212363441,0.3888436,-8.790348870004088,0.21257149,VIM_POSITIVE,BLEND,,
5337013567027618048,169.18848619685792,-61.83410952649381,1.9230483442707667,0.06482909,-0.7274540973649997,0.08247343,VIM_POSITIVE,BLEND,,
5370608977319935616,179.2900845025584,-50.30421635457392,-4.761725873128954,0.13471551,8.173401529926037,0.1881646,VIM_POSITIVE,BLEND,,
5864237437123259904,204.34066643186856,-63.80982414139035,-16.6874710405338,0.33408627,-7.447814092349609,0.44400436,VIM_POSITIVE,BLEND,,
6150408427892764416,188.17636916382924,-38.815135212919564,-4.8168415702835805,0.1193999,-7.075893575254797,0.1403275,VIM_POSITIVE,BLEND,,
5303613775341247872,137.71262431127886,-58.08004593013705,-2.8618524548390893,0.58405554,-22.56070192642826,0.46972734,VIM_POSITIVE,BLEND,,
5215239325652823680,133.83005935634029,-77.84967175579887,-3.9954664212544007,0.19691762,2.1249877314014523,0.22528951,VIM_POSITIVE,BLEND,,
3374535330361287424,91.85311125280136,19.242408691636903,1.61576169735272,0.24728544,9.140388777993941,0.19878364,VIM_POSITIVE,BLEND,,
2008661616286348160,345.9360750123129,55.10686301741802,-3.088183353068482,0.42784333,8.98459712644525,0.49660096,VIM_POSITIVE,BLEND,,
360746367755106560,11.657225751898807,31.854806419242557,-0.43530000987383943,0.054831486,-0.8946712533588046,0.034745038,VIM_POSITIVE,BLEND,,
3401353239298318336,80.35484954089492,18.428206517652605,-2.268800216714197,0.39911723,13.50355190870051,0.23759004,VIM_POSITIVE,BLEND,,
