source_id,vet_class,flags,kind,t_peak,delta_g,delta_bp,delta_rp,ratio_bp_rp,ratio_err,n_transits_episode,score,phot_g_mean_mag,bp_rp,ruwe,min_n_obs_g,rms_out_of_episode_g,ra,dec,l_deg,b_deg,reproduced,simbad_status,vsx_status,n_gaia_30as,ztf_n,ztf_class,ztf_band,ztf_period_d,ztf_t0,ztf_duration_d,ztf_depth,ztf_sde,ztf_rms,ztf_n_low_points,fate,fate_flags,simbad_main_id,simbad_otype,simbad_sep_arcsec,vsx_name,vsx_type,vsx_period
2072232251888219264,SURVIVES,,DIP,2624.49,-0.361423,-0.316962,-0.362393,0.874636,0.122699,2,107.909,16.2066,0.974113,1.05225,8,0.00473666,299.588,37.4862,73.2893,4.25675,,OK,OK,59,1786,ZTF_DIPS_APERIODIC,zr,30.983,3027.31,0.1,0.364597,3.79559,0.025711,21,KNOWN_VARIABLE(VSX:VAR),crowded:59_within_30as;ztf_dips_aperiodic,Gaia DR3 2072232251888219264,*,1.25057,Gaia DR3 2072232251888219264,VAR,0.0147492
5450806152850548864,SURVIVES,,DIP,1677.77,-0.298906,-0.271698,-0.252049,1.07796,0.144255,2,99.1124,16.4525,1.14745,0.955467,9,0.00426503,161.297,-32.8855,274.43,22.9068,,OK,OK,5,,ZTF_SOUTH_OF_COVERAGE,,,,,,,,,KNOWN_VARIABLE(VSX:VAR),,Gaia DR3 5450806152850548864,*,1.30843,Gaia DR3 5450806152850548864,VAR,0.0145676
5465152786727729408,SURVIVES,,DIP,1788.98,-0.1194,-0.118674,-0.118375,1.00253,0.0657856,2,96.6086,14.3237,0.742281,0.981496,9,0.00174785,151.874,-29.3923,265.132,21.1961,,OK,OK,1,0,ZTF_NO_DATA,,,,,,,,,KNOWN_VARIABLE(VSX:VAR),,Gaia DR3 5465152786727729408,*,1.31417,Gaia DR3 5465152786727729408,VAR,0.0372933
5847323477883945472,SURVIVES_FLAGGED,gaia_class:RS,BRIGHTENING,1780.08,0.395463,0.368621,0.417807,0.882277,0.0518972,3,96.5478,15.56,1.57229,0.990609,6,0.00709454,208.755,-68.43,308.746,-6.27892,,NO_MATCH,OK,66,,ZTF_SOUTH_OF_COVERAGE,,,,,,,,,KNOWN_VARIABLE(VSX:RS),crowded:66_within_30as,,,,Gaia DR3 5847323477883945472,RS,
1843322001199190016,SURVIVES,,DIP,2194.64,-0.26086,-0.252641,-0.253131,0.998066,0.0684141,2,95.2332,15.5029,0.886166,0.986247,9,0.00387377,311.396,24.6618,68.4244,-11.3101,,OK,OK,9,1839,ZTF_DIPS_APERIODIC,zr,0.513509,3020.87,0.1,0.272977,8.43523,0.0155029,193,KNOWN_VARIABLE(VSX:VAR),ztf_dips_aperiodic,Gaia DR3 1843322001199190016,*,0.197823,Gaia DR3 1843322001199190016,VAR,0.0369296
1983841481311363968,SURVIVES,,DIP,2257.61,-0.1243,-0.116093,-0.141238,0.821969,0.106138,2,94.6952,15.3653,1.00388,1.05176,9,0.00185634,341.929,45.1852,101.16,-12.3924,,OK,OK,5,2015,ZTF_DIPS_APERIODIC,zr,28.974,3083.38,0.1,0.168425,4.74213,0.0105905,13,KNOWN_VARIABLE(VSX:VAR),ztf_dips_aperiodic,Gaia DR3 1983841481311363968,*,0.321483,Gaia DR3 1983841481311363968,VAR,0.0352042
530596175238120960,SURVIVES,,DIP,1949.29,-0.223868,-0.217499,-0.203541,1.06857,0.0794093,2,92.9224,15.509,2.06274,1.01984,9,0.00340711,2.64667,69.1214,119.285,6.53939,,OK,OK,5,1869,ZTF_DIPS_APERIODIC,zr,21.8265,3056.07,0.1,0.109608,2.63654,0.019551,8,KNOWN_VARIABLE(VSX:VAR),ztf_dips_aperiodic,Gaia DR3 530596175238120960,*,0.101041,Gaia DR3 530596175238120960,VAR,0.0247981
173475550152666752,SURVIVES_FLAGGED,gaia_class:S,DIP,2209.35,-0.779123,-0.882771,-0.779697,1.1322,0.0940706,2,90.9334,17.2505,1.42619,1.04851,9,0.0121171,70.091,33.5857,168.037,-8.57151,,NO_MATCH,OK,6,1399,ZTF_DIPS_APERIODIC,zr,1.94506,3020.55,0.1,0.637553,7.83228,0.0305293,89,KNOWN_VARIABLE(VSX:S),ztf_dips_aperiodic,,,,Gaia DR3 173475550152666752,S,
968301789929695872,SURVIVES,,DIP,2597.79,-0.187678,-0.20362,-0.189982,1.07179,0.0656144,2,87.6108,14.2753,0.888069,1.01852,8,0.00302949,95.4998,45.5107,168.733,14.2054,,OK,OK,9,1481,ZTF_DIPS_APERIODIC,zr,14.7231,3017.47,0.1,0.290912,4.66903,0.0119053,59,KNOWN_VARIABLE(VSX:VAR),ztf_dips_aperiodic,Gaia DR3 968301789929695872,*,0.068012,Gaia DR3 968301789929695872,VAR,0.0369107
1789765202126772608,SURVIVES,,DIP,2092.69,-0.315249,-0.325972,-0.304945,1.06895,0.0789201,2,87.2103,15.7936,1.19765,1.04946,9,0.00511212,318.432,20.3376,69.1245,-19.0857,,OK,OK,5,1647,ZTF_DIPS_APERIODIC,zr,12.5809,3036.11,0.1,0.326516,3.72534,0.0126391,21,KNOWN_VARIABLE(VSX:VAR),ztf_dips_aperiodic,Gaia DR3 1789765202126772608,*,0.651001,Gaia DR3 1789765202126772608,VAR,0.0186462
6438647905079032704,SURVIVES,,DIP,2162.64,-0.21036,-0.195304,-0.196561,0.993603,0.157326,2,85.8544,16.0317,1.07265,0.976269,8,0.0034651,289.544,-63.4941,332.771,-27.0192,,OK,OK,4,,ZTF_SOUTH_OF_COVERAGE,,,,,,,,,KNOWN_VARIABLE(VSX:VAR),,Gaia DR3 6438647905079032704,*,0.329229,Gaia DR3 6438647905079032704,VAR,0.091277
1968959213479118976,SURVIVES,,DIP,1884.9,-0.124034,-0.116684,-0.120324,0.969745,0.0744422,2,85.3022,15.0008,1.09332,0.983569,9,0.00205634,318.775,41.6999,85.5617,-4.95979,,OK,OK,29,160,ZTF_DIPS_APERIODIC,zr,0.451488,3074.48,0.02,0.0902833,0.729659,0.0108897,4,KNOWN_VARIABLE(VSX:VAR),ztf_dips_aperiodic,UCAC4 659-092622,V*,0.488601,Gaia DR3 1968959213479118976,VAR,0.0753769
471942207760759168,SURVIVES,,DIP,2015.53,-0.130699,-0.124871,-0.130554,0.956469,0.078548,2,84.7442,14.2097,1.16572,0.983367,9,0.00218112,67.1541,60.4637,146.781,8.08653,,OK,OK,4,1877,ZTF_DIPS_APERIODIC,zr,2.62133,3019.3,0.1,0.336997,6.73019,0.0135194,90,KNOWN_VARIABLE(VSX:VAR),ztf_dips_aperiodic,Gaia DR3 471942207760759168,*,0.136951,Gaia DR3 471942207760759168,VAR,0.0176898
4331113985578673280,SURVIVES,,DIP,2116.23,-0.291133,-0.248773,-0.286489,0.868353,0.137525,2,84.2641,16.2466,1.47706,0.938925,8,0.00488612,248.27,-12.0156,4.36201,23.531,,OK,OK,5,0,ZTF_NO_DATA,,,,,,,,,KNOWN_VARIABLE(VSX:VAR),,Gaia DR3 4331113985578673280,*,1.52945,Gaia DR3 4331113985578673280,VAR,0.0346235
1554849083948974080,SURVIVES,,DIP,1668.07,-0.258771,-0.219704,-0.193199,1.13719,0.175634,2,83.2668,16.4821,1.25063,0.97831,5,0.00439499,197.043,49.3667,115.792,67.5289,,OK,OK,1,1740,ZTF_DIPS_APERIODIC,zg,7.91876,3008.06,0.02,0.21977,1.93024,0.0174253,3,KNOWN_VARIABLE(VSX:VAR),ztf_dips_aperiodic,Gaia DR3 1554849083948974080,*,0.919736,Gaia DR3 1554849083948974080,VAR,0.0254052
5937112792922018048,SURVIVES,,DIP,1838.51,-0.16412,-0.146897,-0.154218,0.952526,0.0527258,2,83.088,14.621,1.34988,0.854558,9,0.00279344,251.257,-51.0719,335.356,-3.53637,,OK,OK,111,,ZTF_SOUTH_OF_COVERAGE,,,,,,,,,KNOWN_VARIABLE(VSX:VAR),crowded:111_within_30as,Gaia DR3 5937112792922018048,*,0.807343,Gaia DR3 5937112792922018048,VAR,0.0367909
742247555080914432,SURVIVES_FLAGGED,gaia_class:LPV;ruwe_high,BRIGHTENING,2130.99,2.40803,2.50162,2.25936,1.10722,0.0387133,2,82.8833,12.117,4.7805,4.73153,9,0.0410875,154.009,30.572,197.714,55.9638,,OK,OK,1,1251,ZTF_QUIET,zr,0.993936,3020.07,0.1,0.287674,11.6977,0.323888,0,KNOWN_VARIABLE(VSX:SRA),,V* RW LMi,C*,1.52801,RW LMi,SRA,640
3443230755281634432,SURVIVES_FLAGGED,gaia_class:RS,DIP,2588.14,-0.16924,-0.135544,-0.143846,0.942286,0.179078,5,82.3842,15.7792,1.4855,1.00618,8,0.00459351,87.3822,28.4867,180.828,0.500732,,NO_MATCH,OK,4,2562,ZTF_DIPS_APERIODIC,zr,110.418,3057.04,0.1,0.218537,3.03761,0.0128602,10,KNOWN_VARIABLE(VSX:RS),ztf_dips_aperiodic,,,,Gaia DR3 3443230755281634432,RS,
3109935348881678464,SURVIVES,,DIP,1882.49,-0.148306,-0.139032,-0.151596,0.917126,0.1176,2,82.2693,15.0776,0.802664,1.05486,9,0.00254939,110.501,-1.14589,217.457,6.26939,,OK,"ERROR:DeadlineExceeded('SELECT TOP 5 * FROM ""B/vsx/vsx"" WHERE 1 : no answer within 60s')",4,1166,ZTF_DIPS_APERIODIC,zr,5.2859,3024.26,0.1,0.17187,7.52677,0.00917016,19,UNEXPLAINED,ztf_dips_aperiodic,Gaia DR3 3109935348881678464,*,0.707898,,,
