source_id,kind,depth,ratio,g_noise,snr,med_flux_g,s_col,colour_testable,pre_existing_event,recovered,grey_class,coherence,tier
17723165367547904,grey,0.23340994589977432,1.0,0.1550859554252736,1.5050359992929228,1726.0045887876606,0.062438389927402686,False,False,False,,,
17723165367547904,dust,0.23340994589977432,1.7,0.1550859554252736,1.5050359992929228,1726.0045887876606,0.062438389927402686,False,False,False,,,
17882633208497536,grey,0.14920774282594368,1.0,0.019679279000840242,7.581972023445218,4556.275561571757,0.06219659793646879,False,False,True,G_ONLY,MULTI,C
17882633208497536,dust,0.14920774282594368,1.7,0.019679279000840242,7.581972023445218,4556.275561571757,0.06219659793646879,False,False,True,G_ONLY,MULTI,C
18017117224332672,grey,0.198988050882558,1.0,0.007666152577611888,25.956703687802875,22800.76754277431,0.007425039141878408,True,False,True,GREY,MULTI,A
18017117224332672,dust,0.198988050882558,1.7,0.007666152577611888,25.956703687802875,22800.76754277431,0.007425039141878408,True,False,True,CHROMATIC_BLUE,MULTI,C
18124727629721472,grey,0.1389599421404713,1.0,0.148128764556908,0.9381023500475208,138.66288276217404,0.2372924161351886,False,False,False,,,
18124727629721472,dust,0.1389599421404713,1.7,0.148128764556908,0.9381023500475208,138.66288276217404,0.2372924161351886,False,False,False,,,
18234369554778240,grey,0.23183275098725498,1.0,0.17706369571600622,1.3093183786194842,191.98501367161307,0.5173395379944823,False,False,False,,,
18234369554778240,dust,0.23183275098725498,1.7,0.17706369571600622,1.3093183786194842,191.98501367161307,0.5173395379944823,False,False,False,,,
18321063470008448,grey,0.12404492593776528,1.0,0.021080759861080232,5.884272044993017,90228.85526978085,0.010412981809920747,True,False,True,GREY,MULTI,A
18321063470008448,dust,0.12404492593776528,1.7,0.021080759861080232,5.884272044993017,90228.85526978085,0.010412981809920747,True,False,True,CHROMATIC_BLUE,MULTI,C
18408096686746496,grey,0.31814659188110384,1.0,0.07735024798472434,4.113064924419294,1047.1499793033558,0.11947824152093253,False,False,False,,,
18408096686746496,dust,0.31814659188110384,1.7,0.07735024798472434,4.113064924419294,1047.1499793033558,0.11947824152093253,False,False,True,G_ONLY,MULTI,C
18493721155296768,grey,0.19192573978032412,1.0,0.0061958274348563646,30.976611566131112,11436.607187180842,0.023177251262677438,False,False,True,GREY,MULTI,A
18493721155296768,dust,0.19192573978032412,1.7,0.0061958274348563646,30.976611566131112,11436.607187180842,0.023177251262677438,False,False,True,CHROMATIC_BLUE,MULTI,C
