source_id,kind,tier,t_peak,t_start,t_end,transit_id_peak,n_transits_episode,delta_g_peak,z_g_peak,delta_g,sigma_g,delta_bp,sigma_bp,delta_rp,sigma_rp,z_bp_episode,z_rp_episode,grey_class,p_grey,ratio_bp_rp,ratio_err,ratio_vs_dust_sigma,coherence,n_partner_contradicting,any_variability_reject,min_n_obs_g,period_class,period_d,period_fap,n_dip_episodes,rms_out_of_episode_g,s_int_g,n_ok_g,med_flux_g,file,epoch_cluster,n_local_coincident,p_local_coincident,score,ra,dec,parallax,parallax_over_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,phot_g_mean_flux,phot_g_mean_flux_over_error,phot_g_n_obs,phot_bp_rp_excess_factor,ruwe,astrometric_excess_noise,astrometric_excess_noise_sig,ipd_frac_multi_peak,ipd_gof_harmonic_amplitude,ipd_frac_odd_win,duplicated_source,phot_variable_flag,non_single_star,radial_velocity_error,visibility_periods_used,best_class_name,best_class_score,ecl_frequency,global_ranking,in_vari_eclipsing_binary,kill_reasons,flags,vet_class,cone_checked
270651903944053248,DIP,A,1707.08,1707.08,1707.16,17154887553388912,2,-0.333113,-137.615,-0.333,0.00134963,-0.340445,0.00295607,-0.333812,0.00199659,-33.6386,-56.1106,GREY,0.702734,1.01987,0.0384948,17.6681,MULTI,0,False,8,APERIODIC,,0.0102414,6,0.00232706,0.00200303,62,30681.1,EpochPhotometry_030436-030827.csv.gz,False,1,0.0237986,202.372,65.2853,50.0855,0.748026,34.2992,2.39895,-2.67968,14.4704,14.9678,13.7973,1.17056,30676,5261.65,438,1.24107,0.952543,0,0,0,0.0594624,0,False,VARIABLE,0,10.8744,20,ECL,0.962589,0.212139,0.727861,True,GAIA_ECLIPSING_BINARY;GAIA_CLASS_ECL,,KILLED,False
3327651879675199744,DIP,A,2482.83,2482.83,2482.9,60050431122755952,2,-0.249365,-169.737,-0.23063,0.000388579,-0.226265,0.0013839,-0.22329,0.00110834,-37.5549,-65.8397,GREY,0.427542,1.01332,0.022694,30.258,MULTI,0,False,7,PERIOD_UNTESTABLE,,,2,0.00161523,0.00138375,24,96450.9,EpochPhotometry_378155-378388.csv.gz,False,0,1,201.927,98.5901,10.1479,0.901159,48.6589,3.79946,-7.82453,13.2262,13.6755,12.6021,1.07338,96490,5012.48,170,1.22732,1.43077,0.105361,8.4936,0,0.0785914,0,False,VARIABLE,0,7.19753,16,ECL,0.611696,0.0720071,0.760845,True,GAIA_ECLIPSING_BINARY;GAIA_CLASS_ECL,ruwe_high,KILLED,False
2222143000085165312,DIP,A,2150.25,2150.17,2150.25,41660164472873928,2,-0.394566,-127.934,-0.362959,0.0014376,-0.34079,0.00452144,-0.334152,0.00282927,-13.5105,-28.2556,GREY,0.0557839,1.01987,0.0391171,17.3871,MULTI,0,False,8,APERIODIC,,0.00198002,5,0.00254228,0.00257632,45,12737.8,EpochPhotometry_252407-252718.csv.gz,False,1,0.0133978,201.906,323.248,67.744,0.539826,22.0031,-3.39942,-5.06553,15.4246,16.0836,14.6248,1.45876,12738.7,3013.06,304,1.27445,1.1665,0.109992,2.10371,0,0.0613265,0,False,VARIABLE,0,,28,ECL,0.680159,0.152746,0.679279,True,GAIA_ECLIPSING_BINARY;GAIA_CLASS_ECL,,KILLED,False
3120885556977584640,DIP,A,1879.32,1879.25,1879.32,26678868504535588,2,-0.267074,-152.066,-0.185038,0.00085656,-0.172681,0.00272682,-0.19792,0.00201213,-13.5766,-44.4677,GREY,0.232019,0.872478,0.0746138,11.0907,MULTI,0,False,9,PERIOD_UNTESTABLE,,,2,0.00129819,0.00128869,22,31465.9,EpochPhotometry_354733-355017.csv.gz,False,1,0.00920653,201.574,98.3994,1.65132,0.42079,17.2221,-0.282644,-2.10929,14.4425,14.8889,13.8177,1.07122,31474.6,3452.62,170,1.22913,1.01159,0,0,1,0.0430642,0,False,VARIABLE,0,,14,ECL,0.883269,0.0689106,0.783839,True,GAIA_ECLIPSING_BINARY;GAIA_CLASS_ECL,,KILLED,False
5698928750009121280,DIP,A,1890.3,1890.23,1890.55,27286134506303588,4,-0.454802,-181.992,-0.326133,0.000703306,-0.341155,0.00299219,-0.326038,0.00228855,-28.6827,-63.0703,GREY,0.462322,1.04637,0.0534742,12.2233,MULTI,0,False,7,PERIOD_UNTESTABLE,,,2,0.00328004,0.00230839,56,13503.9,EpochPhotometry_647869-648021.csv.gz,False,1,0.0592549,198.859,122.172,-23.39,0.208811,7.08279,-4.22447,3.84739,15.3614,15.7893,14.7622,1.02708,13501.8,3666.02,426,1.2199,1.01574,0,0,0,0.128559,0,False,VARIABLE,0,,21,ECL,0.704287,0.0326873,0.735193,True,GAIA_ECLIPSING_BINARY;GAIA_CLASS_ECL,,KILLED,False
5483359462333071744,DIP,A,2086.41,2086.34,2086.41,38130384073183904,2,-0.346426,-180.522,-0.327212,0.000343375,-0.323114,0.000805918,-0.32031,0.000741326,-190.348,-160.293,GREY,0.338799,1.00876,0.0152312,45.3833,MULTI,0,False,9,PERIOD_UNTESTABLE,,,2,0.00238414,0.00187078,37,224148,EpochPhotometry_622839-623577.csv.gz,False,1,0.00192506,194.095,101.579,-58.8612,1.11463,111.328,-3.45665,8.3602,12.311,12.6082,11.8449,0.763259,224154,5301.46,293,1.19815,1.00369,0.0667028,5.93612,0,0.0642099,0,False,VARIABLE,0,5.36892,25,ECL,0.859606,1.63062,0.423555,True,GAIA_ECLIPSING_BINARY;GAIA_CLASS_ECL,,KILLED,False
5394926532385744384,DIP,A,2242.06,2241.99,2242.06,46736951593980112,2,-0.320015,-199.332,-0.283837,0.000435339,-0.294054,0.00177769,-0.289876,0.00153107,-79.9911,-85.5952,GREY,0.139756,1.01441,0.0184302,37.1992,MULTI,0,False,9,PERIOD_UNTESTABLE,,,2,0.00208521,0.00147004,61,54587.5,EpochPhotometry_613194-613721.csv.gz,False,0,1,192.502,164.143,-37.4633,0.78726,52.7204,-20.3561,5.80261,13.8445,14.1961,13.3265,0.869605,54593.6,6462.4,487,1.20288,0.949053,0,0,0,0.0238792,0,False,VARIABLE,0,3.85584,22,ECL,0.92623,0.10901,0.524671,True,GAIA_ECLIPSING_BINARY;GAIA_CLASS_ECL,,KILLED,False
2222143000085165312,DIP,A,2644.54,2644.47,2644.54,68992761461911584,2,-0.359416,-117.247,-0.345633,0.00141347,-0.341635,0.00470996,-0.334599,0.00275118,-13.5255,-28.3376,GREY,0.680688,1.02103,0.0390648,17.3806,MULTI,0,False,9,APERIODIC,,0.00198002,5,0.00254228,0.00257632,45,12737.8,EpochPhotometry_252407-252718.csv.gz,False,1,0.0133978,192.268,323.248,67.744,0.539826,22.0031,-3.39942,-5.06553,15.4246,16.0836,14.6248,1.45876,12738.7,3013.06,304,1.27445,1.1665,0.109992,2.10371,0,0.0613265,0,False,VARIABLE,0,,28,ECL,0.680159,0.152746,0.679279,True,GAIA_ECLIPSING_BINARY;GAIA_CLASS_ECL,,KILLED,False
398361656975406080,DIP,A,1827.32,1827.32,1827.39,23803478291132524,2,-0.469418,-177.327,-0.424069,0.000603782,-0.411178,0.0025159,-0.422346,0.00219944,-53.0862,-110.813,GREY,0.377318,0.973558,0.0252014,28.8255,MULTI,0,False,9,PERIOD_UNTESTABLE,,,2,0.00314527,0.00254166,30,24206.6,EpochPhotometry_044917-045326.csv.gz,False,1,0.00403834,190.675,19.1561,46.4265,0.410194,12.5948,-1.60092,-4.67352,14.7269,15.0356,14.25,0.78558,24221.3,2992.36,235,1.19883,1.004,0,0,1,0.0986297,0,False,VARIABLE,0,,16,ECL,0.819097,0.455028,0.407693,True,GAIA_ECLIPSING_BINARY;GAIA_CLASS_ECL,,KILLED,False
6049597333483425920,DIP,A,2112.46,2112.39,2112.46,39571142554346248,2,-0.455958,-178.786,-0.380495,0.000637325,-0.386469,0.00282512,-0.382085,0.00227129,-46.4298,-55.4639,GREY,0.782877,1.01148,0.0216453,31.8094,MULTI,0,False,9,PERIOD_UNTESTABLE,,,1,0.00283656,0.00239271,46,21820.2,EpochPhotometry_687640-687899.csv.gz,False,0,1,189.702,243.257,-24.7865,0.496892,16.9201,0.606948,5.60242,14.8401,15.2796,14.2214,1.05824,21822.5,3989.07,378,1.22805,0.977234,0,2.07012e-15,0,0.0248118,0,False,VARIABLE,0,,16,ECL,0.937794,0.957483,0.443826,True,GAIA_ECLIPSING_BINARY;GAIA_CLASS_ECL,,KILLED,False
