t_myr,m,m_eff,surprise,lambda,r_ball_pc,focus,rms_now_pc,rms_meet_pc,med_now_pc,sig_v_internal_kms,n_epochs_seen,mh_mad_dex,heterogeneous,co_natal_possible,rms_min_pc_p50,p_rms_lt_5pc,member_source_ids
7.0,22,22,20.73,1.0842331831357905,4.57,23.54,159.0,6.76,201.64,21.92,1,0.3882929362641647,True,False,7.5897284212478375,0.0,5422926111380414848;4636740388027879168;1958019004057977728;3017400037975399040;3245647691133880960;5394475182863099008;5703457810196372736;4325095568167430016;5999766676255978112;4062582837791257472;3626460038720269440;5984166216846046208;5923542723425641984;1242821634038734208;3677043861429945984;3694052997074633216;1200368665457490304;6071348491003883136;5204956727269231744;6505646371238861952;6180355997896884992;5347912789580111104
13.0,24,23,20.69,1.425875227786018,7.64,17.69,185.78,10.5,240.56,13.54,1,0.29800259223449976,True,False,12.505546079096497,0.0,42572716567465600;4098219345296911744;4046639811736174592;1574852052315751296;2219622335320754688;2219619586542565760;2219622129162327168;2984632628654771840;3338260414535820544;2175670010830499968;6606441801908216832;5565049289329691008;63250750714211584;6873002246989356672;5359829296604369664;978012470467289472;1416789215644261504;1918992560382675840;202863026359934848;668757679646843264;3410391572774350848;884093733411037696;3911388959410588416;4493541505456772352
11.0,27,27,20.63,2.020864490022105,6.62,17.29,159.65,9.23,203.01,14.02,1,0.22832040704749523,True,False,10.515804291541825,0.0,4337368832352669568;353309202387251968;160608657064045056;4577682251250893312;4441447297366796032;1356057416006017664;2046175028878183552;1932299365498512896;870420894004327552;4445286723250780672;4569815760947589248;4929202337758056320;2817111865976446976;2961178297585520896;634813968988959616;3079714859467582720;5753927966595521792;4055220988901206400;2204506867943596672;1917349890009864064;2993656771561184896;5567248797918283264;1513969757023200128;3310598213808461952;3703459387769393920;4431561176003844224;4719430087707860736
11.5,25,25,20.24,1.6823708597759985,6.87,19.3,190.38,9.86,253.0,15.45,1,0.21082570981979368,True,False,11.370298255175372,0.0,476544767732772736;3308645859114559360;4130164109453380480;2099480310362380288;1975749384977863168;6617406475457836672;58777589518462720;3374919094278553856;2042945484045183744;4646957668548068224;6578324399072481024;1965983144736412544;2742179117751623552;5452610623229981568;1571577294371240192;2774036333295315328;3257785131274230784;1254984152491503488;6853488733093944576;5318625918678300928;5142079883522635904;320475856738724352;2967120230221431552;3143030408354037248;6125238476442725888
13.0,26,26,20.09,1.910672805233264,7.64,19.22,209.86,10.92,285.49,14.99,1,0.2560450241357088,True,False,12.881342365181165,0.0,839723658929771392;3191357449086629632;5446752390918272768;4103838296391501184;4559551922980735488;3459842344453905920;5732225707301515392;6852501543450927360;4326284140237498240;1752220045431182976;4561171984644918016;1823738329045589120;6094834093709165440;5993328966957272448;5075629249031146112;706603350909832576;5450109749673242240;5705183802932841856;1335885363366587648;4478027602552647808;4792020047235141376;4797458785798846336;5622521625409943424;6702524309128553088;3815239794297686016;3418673261856511744
10.5,25,25,20.06,1.7134713147467617,6.36,18.95,159.83,8.44,203.05,14.8,1,0.32454113271832463,True,False,10.070405055231777,0.0,6030071209636743552;582708727128928512;3149474366828322816;3545023606201587456;6093500111228226176;5833821230246932096;240855001388947968;544770082709532416;3984389105495578880;5688779222588345216;6714746514745587456;4106011210598100480;5983042554640684672;1574444958135098368;6237271354019110016;6237252529178696960;6240570099361924864;6242242216028893568;4369905614801080576;4563040256760220032;4004907504298576256;4327232434655886464;6214451784754188160;4377415073061874432;775336571540428672
12.0,26,26,20.02,1.9232746871725281,7.13,15.44,159.26,10.31,199.02,11.83,1,0.20393163843490184,True,False,11.51848986546353,0.0,3619259818105812736;5357136249046174720;4980003279654180736;5528171226956915456;930871935922113024;2254157308354311424;5817881786296474368;4750382680058796800;271977330850895488;143065949041931904;397681913974918272;1586418811560728064;3441729578310530560;4077415249629314560;6759478564778511744;5413864073992378752;5828866938255936640;1072094171466222848;1718504174197492608;5139274170366692480;86886471139120256;3908727935112893824;6302776275367601152;4609935325336062976;6699589880098631296;2018512209687215872
10.5,27,27,19.84,2.1747905148708897,6.36,17.1,160.4,9.38,209.76,13.94,1,0.2819163847066462,True,False,10.918958123262577,0.0,780741839422365440;5417163811462850048;4213400786113528704;5411162436488233600;1359056299611094784;2078119586877777408;4162788960216448384;6724433040417258368;6299227532870171264;4087664037982399872;2096969992176537600;1815174331729347328;2096970095255756032;5496643590021407744;4981808437229290496;6345917228993215488;5647109965279770496;803285607362611840;4012459504210556928;4214442435946560000;2033585105381921024;1815061876606946560;1809270096029784320;5952855222423356800;6661254823079341056;4108179619339159296;4603649928458148480
8.5,23,23,19.54,1.4132569006608664,5.34,26.31,187.97,7.15,251.65,20.73,1,0.1740572370484471,True,False,8.357612864186876,0.0,6838412264010746624;1330040187754463104;5947769942429571200;4639000090580868736;2134960313640041344;2324102396953351936;2360096628075818240;190351820985171712;3495865442051917312;4239969144576888448;6849994828738457600;4184426868015208960;4777528483981844352;5215926348622288640;1077669318190256384;895872664040674816;4397654951820963456;5350811304099625856;3010043240023087744;5672376849859977728;6709917116084018432;4292414749731991808;2614673633360714624
11.5,26,25,19.54,2.014691029608294,6.87,20.24,196.96,9.73,265.27,15.85,1,0.3164609667789191,True,False,11.495589953883826,0.0,2830204506842606080;1907918416706516224;4139627679057634688;4201314129672766336;6590696967198272128;171287899970203008;748803603615386752;6754969227072408064;6916459207123615488;4559913421792909824;4947206286610743552;438980434006665984;2939162707546805504;2939162673187071232;1186693764463861888;3968046724869993600;3968046724869993472;4270111259405386368;2790347519572893568;6725955103779502592;5773034184449803648;1084938120842258048;5154720178433179520;3990754526201957888;4276624250897321984;6471630024096107008
9.0,25,25,19.53,1.8051965594184753,5.6,26.06,185.42,7.12,244.44,19.66,1,0.21645958853401243,True,False,8.346336606279795,0.0,3004918137152090112;6559258803024075008;2304032255298332928;2911594446342095616;5575810179568594816;6028012408436142720;4166017263793701376;6716476179677259008;1265232189273867136;5430345169176911488;2121277716064933504;2192832322195040256;5642773461365731456;740417143098724096;4116001540694018560;1408527485273660416;2198941380604843264;6743707066908315520;4362552940028275328;5932543841135864960;1090016833772307072;2373812898193205760;5385502412066621184;1818469915974629248;2774268330247832064
12.5,23,23,19.35,1.4421317174224662,7.38,15.3,157.64,10.31,193.33,12.13,2,0.1590088463768363,True,False,12.766610404510196,0.0,1790546615591055488;1840404279591168128;6863171754042284672;5303329551579482752;2888273903497848064;5813435391317267328;529302084416039424;2943618409696830592;229968839843155072;3049175786573091328;4740317235222353152;6422189251100728320;6433839951186779648;285859966521198848;3117438622383360384;3024661350193124992;701728253791944704;898862541098238720;4248183217982976128;6342740293223329024;6448955556007897344;19985822858104832;2913716847383081728;386653747925624576;2920114214052633472;5643762781311698048
7.0,20,20,19.34,0.9372185142360223,4.57,25.43,157.17,6.18,187.11,21.6,1,0.29244284615591165,True,False,7.246749058427207,0.0,3046949516048611968;899129791142836864;5375859179695849344;4179775624589523200;5755331424467033472;3847899584609658752;6297473330787537920;6088852613014576896;3057221909586842368;5393996689145907584;5592757673848510464;3748145808064621952;5466572767337910272;6719433114351522304;3194023111949152128;5573858271550619648;3544760380542598272;6899828200401004800;5422651130402007808;6560759189719788416
12.0,29,29,19.33,2.7574661177533835,7.13,15.85,160.12,10.1,196.14,12.45,1,0.2977061044961214,True,False,11.662948078561229,0.0,279855262942641024;5086757474937902208;5187877527821171968;6195863647333411840;6248256407193841024;5934709672818614528;2298932136253031808;5595633996268361344;6148253763061264384;5397872776871478784;4174379389016499968;5999574708399277696;257469068765000832;1709170110751788672;3177022566239475968;3215500216171798144;3465060321697965440;6234391458188013696;6068212443300900480;1129367358495084288;3249206466674969984;3701146255822139136;6130537950683078912;5333036912692287232;5925777579574361472;2374591799102346624;3265335443260522112;749786562715192320;1810584287296477056
10.0,23,23,19.16,1.471625953289747,6.11,17.99,163.93,9.11,218.58,15.56,1,0.20356098077986387,True,False,10.28697174861961,0.0,479976545381799040;6913232277935031424;273427380528246784;2263555212190732160;103931306551357184;705985734613059840;4103107572201529600;1600658758450840832;1496317269638758400;4408699030728847360;1346326085265787136;1749767206786977280;6507102094570741760;2210632384654077056;1824008121739701504;4730185338651740288;6459577559886060544;256556852068123904;6837045502337984896;2803106080703163264;2783778556072274432;937971413782902016;3292445272538363904
12.0,25,25,19.14,1.876930718806925,7.13,20.46,203.69,9.96,279.07,15.67,1,0.2733173193141818,True,False,12.124033316777759,0.0,4650461945254785792;1645197191353116032;2182144927431923584;2377834911728186880;2891276261733849216;867232241563418624;3313278475263573376;5754175528509407872;4166537328489271168;4404768036144981888;6796903226163060352;4537179438340237312;5413037305663332224;1074932393230857472;305557030138042624;667990117450558208;3056429677093655296;5706730403474499200;425190049937662720;1725733218335856640;2136791928214451456;2589604836966707840;4218993348921389056;6557970896950719744;3019188492409252096
12.5,23,23,19.03,1.4936364216161255,7.38,14.64,161.79,11.05,211.68,11.83,1,0.11149152943789958,True,False,12.688751233905627,0.0,1626424439058558592;4177051820749509888;6491507033959199616;494760789185473536;503641815182816640;2129359852383543808;2021724673435128960;363248272104569856;1908313519338567296;6025634748874710272;1315064427068583808;6663435601313814144;1434617487450886656;3265600803520000384;4142151023882240768;1512365603919243520;1581924111105411840;3333461114999480192;3992447258712956672;6172728166042305024;6118624158079982208;2087332424861211136;3721221826316800384
9.5,22,21,18.77,1.3459168607317518,5.85,23.46,200.58,8.55,270.06,19.33,1,0.2765048969954252,True,False,9.777486400134709,0.0,2001900272602899712;2631331406320100992;6842736776386817792;1446028390922160128;3951854629445005568;2070021889891585792;6749924461563446912;4749015299911171200;1579186636390691712;3199263556166205568;1232992824719884800;181663720620838912;6159754581669583744;4342467336489793920;4431638004378927872;5076495080078769920;3586851743508224;3144132290804813824;4386967320845081728;4557343309060605824;2409677520086569728;2409691440076195840
10.5,26,26,18.74,2.1747905148708897,6.36,19.63,175.13,8.92,233.02,15.33,1,0.31705400853306054,True,False,10.520327701901945,0.0,1687431185322701312;6801165105029953024;3320896686391583744;1067239179090348416;6609593689428414592;1847218983941133824;2843333431593939456;2063102250901098752;984802294069769088;1964046178908579072;1988228876311400320;4985801726023205120;666422076430615040;6794636789101323904;4552161864812630528;2112097760343705216;6569751820445875968;5104357151402678656;6724111188424469248;6396080415488569856;231379066582790656;3546776609990133632;4492775828749737600;408967030741872896;364184162658081408;4801152663831514240
12.5,24,24,18.68,1.751159942584423,7.38,15.18,158.95,10.47,204.24,12.11,2,0.4311400766596198,True,False,13.130623478292758,0.0,505696252659239936;3018951822531367552;186493222367413760;609698065394688640;528470303866406656;2035582505686231680;1734445065576342912;1069681671156329216;1550974542412647552;2153545534779798272;3307597234259293184;4234298756943582848;4227285315860646400;4294037246605334272;2052452827959588864;509284165263605504;966501438421231616;1401787375916193792;5112818443133926400;334224875983781888;2084513861163062144;2265414074036220928;2496309145046231168;3394392441637962880;6907462758171272064;1316404834821367552
11.0,25,25,18.67,1.965244366443515,6.62,19.34,170.22,8.8,227.51,14.58,1,0.2512265588477254,True,False,10.510257192355688,0.0,3073280070745510016;1407502014585418240;3068690812295389568;3308016354349551488;3918448854853643520;4381589570815264512;4393869470728915456;503334677780347648;1241794106062992640;5650525293209392512;6269079061476007168;4114318158394779904;2009884135776553472;2117729351523917312;2476480689789790208;5598262207016711552;799732844776861824;3839005939994729344;5377158561921264896;5960545614707110912;6779337046143022848;5877812145072672640;435535938955017984;630911389904866560;1402746699810525568
10.5,20,20,18.36,1.0544438859980072,6.36,22.61,205.48,9.09,282.16,18.4,1,0.32898894173204896,True,False,10.497478279712405,0.0,6809062038058942976;33278235538923264;2856637140036099840;3291223650696091392;3394680891640976384;5508662282906550656;1563007425867126784;2014828948798995840;3336204671390053760;6052309519431845376;5501725116150590720;2708770143408091904;3325888228667447552;5479604557107650560;237867353418479872;1402147706492229376;2902483789914005376;613783056033321600;4782376849223189120;5258401754126740736
12.0,23,23,18.26,1.622038892796108,7.13,18.87,190.64,10.1,256.85,14.76,1,0.3024503943443298,True,False,11.412925073372223,0.0,1741256059073442816;2505368261865515264;2190769775820278784;4054631646354215680;5823548016399090816;6440744987286912512;5264586846318386944;487547370136321792;3009595223394621952;31153253223774464;596554262877780864;657260155274410880;3149885554114562432;3796961341198991616;3861976047864537984;3902095131218362496;6320234595871827712;4190323170915144576;5311893574621666432;5556465818665454464;3475763929954662656;3575958095266803968;6148055988406516864
7.0,19,19,18.16,0.9188416806235513,4.57,21.9,149.0,6.8,184.27,20.63,1,0.10126157091557979,True,False,7.672907374806604,0.0,5570681576299809536;3058844788750350464;3337243778596219136;5489275831324824704;2445041116866646144;2910878556894534656;3182444842192282752;3298149508800007936;356327155647298688;1928570577971044480;4898918553417690368;5537108779024756608;157771161149503744;5640594568610055424;3335160582018881280;3231795214717866112;5270643888374780032;5503635590621356032;4855062440496327296
10.0,24,24,18.15,1.8504603571069098,6.11,21.41,195.21,9.12,257.71,18.3,1,0.28480745946094393,True,False,10.443346029104532,0.0,987245202748570112;2760041440060058752;672798483661116544;1828142246744342272;2403925459365565696;2713352465491223680;13006539657550720;5955404233958765184;5947005030238723840;6389289286215301760;6112913672639541632;6210334560387812352;1326617957813899264;6867290455881491456;6567519330803963776;425375725660531328;857327325422881408;5590625166743592832;5793191531125317248;4674663574861724416;418149464667619200;6874999372420971776;6005444107610492032;6631762764424312960
5.5,20,20,18.12,1.0852616653616212,3.81,28.12,158.84,5.65,208.61,27.73,1,0.3039330083951354,True,False,6.227012085274378,0.0,166897760496242944;2580777407863126144;2822581936324637312;3608600843148646912;4304127950160713344;492241704968361984;1568709115212542336;6225137147992427008;954145573425634176;2066409684954244224;2823398976543813888;4098279268682304512;3180970294020326400;3060393072918801920;5624963743811510656;5686542541059530112;6755425180802068864;2043319150506694912;4625051960949303936;533852756881520896
12.5,24,24,18.0,1.879921703068572,7.38,14.04,149.21,10.62,200.26,11.29,1,0.46553639898374677,True,False,12.195711903468222,0.0,571900459108358528;1890291389885961984;2304231576141015680;2215804796594247296;343986580733631488;5727262752333334528;4386967969383894272;6477155276184930688;6464553708995533184;504224010887459840;1084418189281541248;1983019699450751360;2885742007393881984;4271486297475908608;4230833886560714368;2612326072956399616;2612758692126269696;2923672164957712512;4042561997979011968;4499162449416966272;4538165253598295680;2813447674757978240;1200149381607467008;6472620276052756352
10.5,20,20,17.98,1.1038709431541638,6.36,18.75,165.02,8.8,217.65,14.49,1,0.25204199160486457,True,False,10.101597703034932,0.0,3088981680908721280;6845634234340998784;5469805026582816768;3823713966635355776;5178569925669465216;4820107071766662656;4816801875390940544;3713743738498513024;5400461783157460480;2026825032985612032;6387020100374036864;1121739152980930176;5545513755144755456;4535533606875357696;4768861828389560704;5549166401486158464;324445853925182720;1523402226760424576;5749825001517303168;4773660990487094272
13.0,23,22,17.91,1.682532768787501,7.64,14.7,167.74,11.41,218.75,11.4,1,0.16871988059207796,True,False,13.176104112363662,0.0,2473559253035575168;4997516197781917440;5814705228476695296;5075693463085921152;3556199008026470528;5728009045852414720;5306587301465529216;5306587301465529088;6454776164407204608;2936346617753238784;3552438231583131008;3749936259671434368;2781554896884684416;3523136869473511040;6251602324156899968;6781750753341023744;5989818260692571136;5935991222314092544;3347721677730493568;3694052997074633216;6511622010777371776;2328250334633289856;6527965258988306304
9.0,22,22,17.85,1.4912493316935231,5.6,21.76,175.97,8.09,224.25,18.47,1,0.20363511065393686,True,False,9.41159771195123,0.0,4638681060410496000;5555307964201335424;209114299718237696;4885316911683318272;6121291672067020800;1387726443262739328;6002569434464493184;1755390968246067840;4571536874600585600;6061761299352524032;5871747926121003136;6090410895871838976;5797726569921525632;5262054915855204992;376804013526536064;2616911788063386624;4384110377318610688;6560798772138767616;442469218761068288;4721546166554166528;778323807194605568;5190380566042142208
11.5,22,22,17.83,1.495440764245332,6.87,17.1,156.8,9.17,195.86,12.78,2,0.23588165972605346,True,False,11.501789347096583,0.0,2970725391409241472;5880910500116645632;6067300604570259328;5604038079030700416;5656314187569821952;48570552496532480;6188737540675269120;5834174487107526784;6078385601617371008;6105656758456275968;6088892397289211008;5331941214951065600;1499537666180390656;6892461021521254656;5877527435928581376;6000185590188905728;5811286468862259328;5249465228544102784;4728629942015233664;6380598333993083904;6422954476833342720;2373727857840974720;3620597339641283712;5778945223380267648;5779453442570694656;6416270751806848512;6420588087293438976
11.5,23,23,17.8,1.703140870390517,6.87,16.69,169.34,10.15,205.94,14.42,1,0.291627417541109,True,False,11.665646614280107,0.0,16796487519013120;3392434692464813696;2284796196292714240;672420805712773248;6199943453951164032;4062486797941252736;5999230011499983360;5988838900745908864;1603818479991801344;1473974849764629888;5983280770708287488;5939242237671507456;1128109654633114752;1151048623988019840;6890644014132659712;3464832138675486464;3601838056364195456;1314950077858187264;5907152612816763776;5848784007295234560;6260459027756400768;5419752061834555520;4405307140436260608
8.0,21,21,17.72,1.3210703128737582,5.08,22.24,163.12,7.33,220.32,19.71,1,0.1636790270626545,True,False,8.513643697453325,0.0,469133990646627072;2911064722255095936;3104422122698589440;5539140092399519104;4396573788297890944;911861315454092160;735549261525368192;3877679066773924224;6281934478412625792;1111516924659043200;2870654440117979776;3802060700034183680;4112685276191239296;4350236038971718016;1583679756296705152;2450402610442614912;91690164426524288;5669848007475745152;5975850511624296192;6264959981685665152;5833117718964892928
10.0,24,24,17.63,1.9524542350576843,6.11,18.4,152.62,8.29,199.9,14.36,1,0.3400343109190464,True,False,9.625571386124435,0.0,5004814412369762304;2982627364261931648;5970955653360015232;2364138638978444416;6641723893094650880;5067301788480635008;362256787493927424;3196685648075410176;5882218437921968768;1944365955860720128;2818027484284974592;3014986300704795520;656635254710619648;5562172043496164992;3919893063376357504;5976035023419890944;5166527146609042432;5048233920391387648;1441513035968622848;4352644347393975168;6749596394781519360;1013092698188391680;6759846420135918336;5947085565156418176
9.5,22,22,17.57,1.5381906979791449,5.85,18.64,157.39,8.44,202.19,16.18,1,0.26360626852959396,True,False,9.539469899003425,0.0,391962976041619328;4139627679057634688;356216757807809920;2088200523650978560;197224382837323392;6842803369854830080;3340772145770730880;4175377470697371520;6798036169816521088;4434180796817582464;2167654949032626688;2250118733424810368;5745055736687076224;4217371534913920128;4235276532021337600;210345851524362624;1054544458354071680;667294435828710656;6033981893252236800;6729130394584531456;6060282387521429120;6501738573771471744
11.5,24,24,17.43,1.993921018993776,6.87,18.41,180.32,9.8,239.31,14.81,1,0.13854896247088908,True,False,11.517810418963471,0.0,2204702851586995328;1843751089908417280;908590337081285376;1788452385241176448;2917926362007815168;6313590826924525056;4126642923464825472;4441786531063856384;484646141205239680;2199774501177626624;2613060233190874112;6827951780966462080;4071397927367505536;4209736423097893632;2060628865150772352;4684773446847233792;5499399653353202176;4162855991760668032;4235620198124774400;1755189001703743616;4736214201424818304;272841611409367936;6847858610786011008;5274623501993516544
10.5,21,21,17.32,1.3839576003723844,6.36,18.69,177.49,9.5,220.09,15.93,1,0.138623102010414,True,False,10.831974286453502,0.0,2291857809720529024;3433726709912830720;2478896488634726272;3413158734301842304;3479120189199741312;5329502395096368128;1840633493406152576;5563294713587863040;3042898331090872064;3469100786411560832;3530492705342427264;3556216054752400384;5443981106221222528;6184198000761809792;5721313397996637184;6351099880128789632;4791888110136795776;5638755158683263744;1709947190595606144;6193279279612173952;4793601557272771968
8.5,21,20,17.32,1.384017102716159,5.34,23.26,172.83,7.43,223.97,19.36,1,0.1614551363635808,True,False,8.494835741402387,0.0,3430537885675930112;6448422327228203776;1913057156094486144;6009661284450106368;2027083555662392320;4928245350325427968;6845347261804522240;6011129063768360832;1314087098669451904;233879287308277120;268592205126551040;1563777221444871296;1563777221444871680;3369338797892130176;4049242222690813056;6402512356648956288;6447997297264457856;2735031291442432000;1911595321026919936;4368157631830337920;6418786778009697280
10.5,23,23,17.31,1.7958497433403557,6.36,19.73,172.82,8.76,226.83,15.74,1,0.3454458041533828,True,False,10.282113774378761,0.0,2231096907387014016;5695800738203247488;6038052049080469504;1381322234707479424;541673789246364032;1141057705423682816;6611955504828653952;5973234047612019072;4409377669922516224;5900264168157619584;6686360766647674368;471402042609911296;290313778887903104;5613640526398502016;3703320982447732864;5762447807319449344;4036049594977886848;6081870576740100096;2912111388605573120;4885276676429758464;462185901786308992;5592237639209047424;5334356223546958464
6.0,19,19,17.29,1.026440765177453,4.06,18.25,95.48,5.23,112.43,15.92,1,0.2648664943389594,True,False,6.147336029805481,0.0,522899422050996608;3209444033109693568;243190982563599744;441430111554726784;441750928431655040;436455126375970304;441653243696011392;436786667790598528;436536254019633664;436211966808344832;441585726810505472;441849162923735552;436482068710785152;435647642464171520;3404160812178626176;411358915210954624;2325447237112797696;2757255518112621440;6612242034982766848
8.0,21,21,17.24,1.3968004581977318,5.08,26.49,173.74,6.56,229.86,21.2,1,,,,,,
10.5,21,21,17.22,1.400433286091103,6.36,15.47,147.32,9.52,188.17,12.9,2,,,,,,
5.5,19,19,17.17,1.0428410139468347,3.81,33.21,178.21,5.37,240.09,31.2,1,,,,,,
6.0,18,17,17.16,0.8804199031856815,4.06,25.74,136.16,5.29,191.01,22.02,1,,,,,,
11.5,24,24,17.13,2.0562310508373316,6.87,18.18,186.1,10.23,254.01,15.01,1,,,,,,
12.5,22,22,17.1,1.6223981821002744,7.38,17.27,183.91,10.65,235.29,13.37,1,,,,,,
11.0,19,19,17.06,1.056782347993211,6.62,16.98,167.53,9.87,228.81,13.48,1,,,,,,
10.0,20,20,17.04,1.2384970894022622,6.11,20.83,183.8,8.82,242.94,17.79,1,,,,,,
